,QUARTER,TIME_REMAINING,PHOENIX_ACTION,HOUSTON_ACTION,PHOENIX_SCORE,HOUSTON_SCORE
0,1,11:39.0,,J. Harden misses 3-pt jump shot from 26 ft,0,0
1,1,11:37.0,,Offensive rebound by C. Capela,0,0
2,1,11:27.0,,R. Westbrook misses 2-pt jump shot from 8 ft,0,0
3,1,11:25.0,Defensive rebound by F. Kaminsky,,0,0
4,1,11:15.0,K. Oubre misses 3-pt jump shot from 23 ft,,0,0
5,1,11:12.0,,Defensive rebound by R. Westbrook,0,0
6,1,10:57.0,,J. Harden misses 3-pt jump shot from 25 ft,0,0
7,1,10:53.0,,Offensive rebound by D. House,0,0
8,1,10:52.0,,D. House makes 2-pt layup from 2 ft,0,2
9,1,10:31.0,R. Rubio misses 2-pt layup from 4 ft (block by R. Westbrook),,0,2
10,1,10:28.0,,Defensive rebound by P. Tucker,0,2
11,1,10:16.0,,R. Westbrook misses 3-pt jump shot from 26 ft,0,2
12,1,10:13.0,Defensive rebound by K. Oubre,,0,2
13,1,10:08.0,D. Booker misses 2-pt layup from 3 ft (block by J. Harden),,0,2
14,1,10:08.0,Offensive rebound by Team,,0,2
15,1,9:58.0,K. Oubre misses 2-pt jump shot from 7 ft,,0,2
16,1,9:56.0,,Defensive rebound by R. Westbrook,0,2
17,1,9:52.0,,R. Westbrook misses 2-pt jump shot from 20 ft,0,2
18,1,9:48.0,,Offensive rebound by C. Capela,0,2
19,1,9:46.0,,C. Capela misses 2-pt hook shot from 8 ft,0,2
20,1,9:44.0,Defensive rebound by D. Šarić,,0,2
21,1,9:34.0,D. Booker misses 2-pt layup from 10 ft,,0,2
22,1,9:34.0,Offensive rebound by D. Šarić,,0,2
23,1,9:27.0,D. Šarić makes 2-pt layup from 1 ft,,2,2
24,1,9:17.0,,Turnover by R. Westbrook (traveling),2,2
25,1,9:07.0,D. Booker makes 2-pt layup from 2 ft (assist by F. Kaminsky),,4,2
26,1,8:52.0,,R. Westbrook makes 3-pt jump shot from 23 ft (assist by D. House),4,5
27,1,8:36.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,4,5
28,1,8:36.0,Offensive rebound by Team,,4,5
29,1,8:36.0,,Loose ball foul by C. Capela (drawn by D. Šarić),4,5
30,1,8:22.0,Turnover by Team (shot clock),,4,5
