,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CLEVELAND_ACTION,ORLANDO_SCORE,CLEVELAND_SCORE
0,1,11:43.0,M. Fultz makes 2-pt layup from 2 ft,,2,0
1,1,11:30.0,,Turnover by C. Osman (traveling),2,0
2,1,11:21.0,Turnover by M. Fultz (bad pass),,2,0
3,1,11:08.0,,Shooting foul by W. Iwundu (drawn by C. Osman),2,0
4,1,11:08.0,,C. Osman makes free throw 1 of 2,2,1
5,1,11:08.0,,C. Osman makes free throw 2 of 2,2,2
6,1,10:55.0,K. Birch makes 2-pt layup from 11 ft (assist by E. Fournier),,4,2
7,1,10:43.0,,C. Osman makes 2-pt layup from 1 ft (assist by K. Love),4,4
8,1,10:32.0,M. Fultz makes 2-pt layup from 2 ft,,6,4
9,1,10:21.0,,D. Garland makes 3-pt jump shot from 26 ft,6,7
10,1,10:03.0,J. Isaac makes 3-pt jump shot from 27 ft (assist by K. Birch),,9,7
11,1,9:50.0,,Turnover by D. Garland (bad pass),9,7
12,1,9:38.0,J. Isaac makes 2-pt jump shot from 2 ft (assist by M. Fultz),,11,7
13,1,9:27.0,,C. Sexton misses 2-pt jump shot from 10 ft,11,7
14,1,9:22.0,,Offensive rebound by C. Sexton,11,7
15,1,9:22.0,,C. Sexton makes 2-pt layup from 1 ft,11,9
16,1,9:15.0,J. Isaac misses 3-pt jump shot from 26 ft,,11,9
17,1,9:11.0,,Defensive rebound by T. Thompson,11,9
18,1,8:59.0,,K. Love makes 2-pt jump shot from 14 ft,11,11
19,1,8:44.0,E. Fournier makes 2-pt jump shot from 12 ft (assist by M. Fultz),,13,11
20,1,8:37.0,,Turnover by C. Sexton (out of bounds lost ball),13,11
21,1,8:22.0,W. Iwundu misses 2-pt jump shot from 18 ft,,13,11
22,1,8:20.0,,Defensive rebound by C. Sexton,13,11
23,1,8:11.0,,Personal foul by W. Iwundu (drawn by T. Thompson),13,11
24,1,8:03.0,,T. Thompson makes 2-pt hook shot from 9 ft (assist by C. Sexton),13,13
25,1,7:45.0,E. Fournier misses 3-pt jump shot from 26 ft,,13,13
26,1,7:43.0,,Defensive rebound by K. Love,13,13
27,1,7:36.0,,Turnover by D. Garland (bad pass; steal by K. Birch),13,13
28,1,7:30.0,J. Isaac misses 2-pt layup from 3 ft,,13,13
29,1,7:30.0,Offensive rebound by J. Isaac,,13,13
30,1,7:30.0,Shooting foul by D. Garland (drawn by J. Isaac),,13,13
31,1,7:30.0,J. Isaac misses free throw 1 of 2,,13,13
32,1,7:30.0,Offensive rebound by Team,,13,13
33,1,7:30.0,J. Isaac makes free throw 2 of 2,,14,13
34,1,7:17.0,,C. Osman misses 2-pt layup from 1 ft (block by W. Iwundu),14,13
35,1,7:14.0,Defensive rebound by W. Iwundu,,14,13
36,1,7:09.0,J. Isaac misses 3-pt jump shot from 26 ft,,14,13
37,1,7:06.0,,Defensive rebound by D. Garland,14,13
38,1,7:00.0,,D. Garland makes 2-pt layup from 1 ft,14,15
39,1,6:43.0,M. Fultz misses 2-pt jump shot from 13 ft,,14,15
40,1,6:41.0,,Defensive rebound by C. Osman,14,15
41,1,6:32.0,,Shooting foul by J. Isaac (drawn by K. Love),14,15
42,1,6:32.0,,Cleveland full timeout,14,15
43,1,6:32.0,,K. Love misses free throw 1 of 2,14,15
44,1,6:32.0,,Offensive rebound by Team,14,15
45,1,6:32.0,,K. Love makes free throw 2 of 2,14,16
46,1,6:20.0,E. Fournier misses 2-pt jump shot from 20 ft,,14,16
47,1,6:16.0,,Defensive rebound by C. Sexton,14,16
48,1,6:01.0,,C. Sexton misses 2-pt jump shot from 8 ft,14,16
49,1,5:59.0,Defensive rebound by M. Fultz,,14,16
50,1,5:55.0,E. Fournier makes 3-pt jump shot from 23 ft (assist by M. Fultz),,17,16
51,1,5:29.0,,C. Osman misses 2-pt layup at rim (block by J. Isaac),17,16
52,1,5:26.0,Defensive rebound by K. Birch,,17,16
53,1,5:17.0,E. Fournier makes 2-pt jump shot from 14 ft,,19,16
54,1,4:59.0,,D. Garland misses 3-pt jump shot from 23 ft,19,16
55,1,4:56.0,Defensive rebound by J. Isaac,,19,16
56,1,4:51.0,J. Isaac misses 2-pt layup from 1 ft,,19,16
57,1,4:50.0,,Defensive rebound by Team,19,16
58,1,4:50.0,Loose ball foul by K. Birch (drawn by T. Thompson),,19,16
59,1,4:50.0,A. Aminu enters the game for E. Fournier,,19,16
60,1,4:50.0,D. Augustin enters the game for M. Fultz,,19,16
61,1,4:50.0,T. Ross enters the game for J. Isaac,,19,16
