,QUARTER,TIME_REMAINING,DENVER_ACTION,MEMPHIS_ACTION,DENVER_SCORE,MEMPHIS_SCORE
0,1,11:48.0,Turnover by G. Harris (bad pass; steal by J. Crowder),,0,0
1,1,11:45.0,,Turnover by J. Crowder (bad pass; steal by P. Millsap),0,0
2,1,11:41.0,J. Murray makes 3-pt jump shot from 27 ft (assist by N. Jokić),,3,0
3,1,11:25.0,,Turnover by J. Crowder (bad pass; steal by J. Murray),3,0
4,1,11:23.0,J. Murray makes 2-pt dunk from 2 ft,,5,0
5,1,11:02.0,,J. Crowder misses 2-pt jump shot from 13 ft,5,0
6,1,10:59.0,Defensive rebound by J. Murray,,5,0
7,1,10:54.0,J. Murray makes 2-pt jump shot from 14 ft,,7,0
8,1,10:39.0,,J. Morant misses 2-pt layup from 2 ft (block by J. Murray),7,0
9,1,10:33.0,,Offensive rebound by J. Valančiūnas,7,0
10,1,10:33.0,,J. Valančiūnas makes 2-pt hook shot from 6 ft,7,2
11,1,10:19.0,J. Murray makes 2-pt jump shot from 10 ft (assist by G. Harris),,9,2
12,1,10:14.0,,Memphis full timeout,9,2
13,1,10:04.0,,J. Jackson makes 2-pt hook shot from 9 ft (assist by J. Morant),9,4
14,1,9:42.0,P. Millsap misses 2-pt jump shot from 11 ft,,9,4
15,1,9:38.0,,Defensive rebound by J. Crowder,9,4
16,1,9:35.0,,Personal foul by W. Barton (drawn by J. Crowder),9,4
17,1,9:28.0,,J. Crowder makes 3-pt jump shot from 23 ft (assist by J. Morant),9,7
18,1,9:09.0,J. Murray misses 2-pt jump shot from 17 ft,,9,7
19,1,9:07.0,,Defensive rebound by J. Valančiūnas,9,7
20,1,8:51.0,,Shooting foul by P. Millsap (drawn by J. Morant),9,7
21,1,8:51.0,,J. Morant misses free throw 1 of 2,9,7
22,1,8:51.0,,Offensive rebound by Team,9,7
23,1,8:51.0,,J. Morant makes free throw 2 of 2,9,8
24,1,8:39.0,N. Jokić misses 2-pt jump shot from 14 ft,,9,8
25,1,8:36.0,,Defensive rebound by J. Jackson,9,8
26,1,8:27.0,,J. Morant makes 2-pt layup from 1 ft,9,10
27,1,8:13.0,G. Harris makes 2-pt jump shot from 8 ft (assist by J. Murray),,11,10
