,QUARTER,TIME_REMAINING,DETROIT_ACTION,MILWAUKEE_ACTION,DETROIT_SCORE,MILWAUKEE_SCORE
0,1,11:54.0,,D. DiVincenzo misses 2-pt layup from 2 ft,0,0
1,1,11:51.0,Defensive rebound by L. Galloway,,0,0
2,1,11:43.0,L. Galloway misses 3-pt jump shot from 24 ft,,0,0
3,1,11:40.0,,Defensive rebound by G. Antetokounmpo,0,0
4,1,11:29.0,,W. Matthews misses 3-pt jump shot from 26 ft,0,0
5,1,11:26.0,Defensive rebound by L. Galloway,,0,0
6,1,11:23.0,L. Kennard misses 3-pt jump shot from 24 ft,,0,0
7,1,11:19.0,,Defensive rebound by G. Antetokounmpo,0,0
8,1,11:11.0,,G. Antetokounmpo misses 2-pt jump shot from 9 ft,0,0
9,1,11:08.0,Defensive rebound by M. Morris,,0,0
10,1,10:51.0,Turnover by A. Drummond (out of bounds lost ball),,0,0
11,1,10:38.0,,D. DiVincenzo makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),0,2
12,1,10:26.0,L. Kennard misses 3-pt jump shot from 27 ft,,0,2
13,1,10:22.0,,Defensive rebound by E. Bledsoe,0,2
14,1,10:17.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by W. Matthews),0,4
15,1,9:55.0,L. Kennard misses 2-pt layup from 6 ft,,0,4
16,1,9:50.0,Offensive rebound by A. Drummond,,0,4
17,1,9:50.0,A. Drummond makes 2-pt layup from 1 ft,,2,4
18,1,9:40.0,,D. DiVincenzo misses 3-pt jump shot from 28 ft,2,4
19,1,9:37.0,Defensive rebound by A. Drummond,,2,4
20,1,9:33.0,Turnover by A. Drummond (lost ball),,2,4
21,1,9:33.0,Loose ball foul by A. Drummond (drawn by W. Matthews),,2,4
22,1,9:22.0,,W. Matthews misses 3-pt jump shot from 27 ft,2,4
23,1,9:19.0,Defensive rebound by A. Drummond,,2,4
24,1,9:03.0,M. Morris misses 2-pt jump shot from 13 ft,,2,4
25,1,9:00.0,,Defensive rebound by G. Antetokounmpo,2,4
26,1,8:58.0,,G. Antetokounmpo makes 2-pt layup from 3 ft,2,6
27,1,8:45.0,B. Brown makes 2-pt jump shot from 7 ft,,4,6
28,1,8:33.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,4,6
29,1,8:30.0,Defensive rebound by A. Drummond,,4,6
30,1,8:19.0,A. Drummond misses 2-pt jump shot from 8 ft,,4,6
31,1,8:14.0,Offensive rebound by B. Brown,,4,6
32,1,8:14.0,B. Brown misses 2-pt layup from 1 ft,,4,6
33,1,8:14.0,,Defensive rebound by B. Lopez,4,6
34,1,8:08.0,,D. DiVincenzo misses 2-pt layup from 4 ft (block by B. Brown),4,6
35,1,8:05.0,,Offensive rebound by Team,4,6
36,1,7:58.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by E. Bledsoe),4,8
37,1,7:51.0,Detroit full timeout,,4,8
38,1,7:45.0,L. Galloway misses 2-pt jump shot from 8 ft,,4,8
39,1,7:40.0,Offensive rebound by A. Drummond,,4,8
40,1,7:40.0,A. Drummond makes 2-pt layup from 1 ft,,6,8
41,1,7:30.0,,E. Bledsoe misses 2-pt jump shot from 11 ft,6,8
