,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,ORLANDO_ACTION,MILWAUKEE_SCORE,ORLANDO_SCORE
0,1,11:46.0,K. Middleton makes 2-pt jump shot from 20 ft (assist by G. Antetokounmpo),,2,0
1,1,11:31.0,,Shooting foul by B. Lopez (drawn by A. Gordon),2,0
2,1,11:31.0,,A. Gordon makes free throw 1 of 2,2,1
3,1,11:31.0,,A. Gordon makes free throw 2 of 2,2,2
4,1,11:17.0,Turnover by G. Antetokounmpo (bad pass; steal by N. Vučević),,2,2
5,1,11:02.0,,N. Vučević makes 2-pt jump shot from 16 ft (assist by D. Augustin),2,4
6,1,10:48.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),,4,4
7,1,10:38.0,,A. Gordon misses 2-pt jump shot from 20 ft,4,4
8,1,10:35.0,Defensive rebound by K. Middleton,,4,4
9,1,10:32.0,Offensive foul by K. Middleton (drawn by J. Isaac),,4,4
10,1,10:32.0,Turnover by K. Middleton (offensive foul),,4,4
11,1,10:19.0,,E. Fournier makes 2-pt jump shot from 21 ft,4,6
12,1,10:06.0,B. Lopez misses 3-pt jump shot from 23 ft,,4,6
13,1,10:04.0,,Defensive rebound by N. Vučević,4,6
14,1,9:57.0,,E. Fournier makes 3-pt jump shot from 24 ft (assist by D. Augustin),4,9
15,1,9:41.0,Personal foul by E. Fournier (drawn by E. Bledsoe),,4,9
16,1,9:38.0,Turnover by K. Middleton (bad pass; steal by N. Vučević),,4,9
17,1,9:30.0,,N. Vučević makes 2-pt jump shot from 13 ft (assist by D. Augustin),4,11
18,1,9:28.0,Milwaukee full timeout,,4,11
19,1,9:13.0,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,7,11
20,1,8:58.0,,D. Augustin makes 2-pt layup from 3 ft,7,13
21,1,8:36.0,K. Middleton misses 3-pt jump shot from 23 ft,,7,13
22,1,8:33.0,,Defensive rebound by J. Isaac,7,13
23,1,8:24.0,,N. Vučević makes 2-pt hook shot from 9 ft (assist by D. Augustin),7,15
24,1,8:14.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,7,15
25,1,8:11.0,,Defensive rebound by J. Isaac,7,15
26,1,8:07.0,,Personal foul by E. Bledsoe (drawn by D. Augustin),7,15
