,QUARTER,TIME_REMAINING,CHICAGO_ACTION,BOSTON_ACTION,CHICAGO_SCORE,BOSTON_SCORE
0,1,11:35.0,,E. Freedom makes 2-pt layup from 2 ft,0,2
1,1,11:17.0,L. Markkanen misses 3-pt jump shot from 26 ft,,0,2
2,1,11:15.0,,Defensive rebound by E. Freedom,0,2
3,1,11:11.0,,Personal foul by D. Gafford (drawn by J. Brown),0,2
4,1,11:00.0,,J. Tatum makes 2-pt jump shot from 16 ft (assist by G. Hayward),0,4
5,1,10:37.0,T. Satoranský misses 2-pt jump shot from 16 ft,,0,4
6,1,10:35.0,,Defensive rebound by J. Tatum,0,4
7,1,10:19.0,,Turnover by E. Freedom (traveling),0,4
8,1,10:06.0,L. Markkanen misses 2-pt layup from 9 ft,,0,4
9,1,10:05.0,Offensive rebound by L. Markkanen,,0,4
10,1,10:05.0,L. Markkanen makes 2-pt layup at rim,,2,4
11,1,9:49.0,,Turnover by G. Hayward (bad pass),2,4
12,1,9:32.0,Shooting foul by J. Brown (drawn by T. Satoranský),,2,4
13,1,9:32.0,T. Satoranský makes free throw 1 of 2,,3,4
14,1,9:32.0,T. Satoranský makes free throw 2 of 2,,4,4
15,1,9:25.0,,Offensive foul by E. Freedom (drawn by D. Gafford),4,4
16,1,9:25.0,,Turnover by E. Freedom (offensive foul),4,4
17,1,9:13.0,D. Gafford makes 2-pt dunk from 2 ft (assist by T. Satoranský),,6,4
18,1,8:56.0,,Personal foul by L. Markkanen (drawn by K. Walker),6,4
19,1,8:50.0,,E. Freedom makes 2-pt dunk from 2 ft (assist by K. Walker),6,6
20,1,8:34.0,T. Satoranský misses 2-pt jump shot from 12 ft,,6,6
21,1,8:32.0,,Defensive rebound by J. Brown,6,6
22,1,8:25.0,,Personal foul by T. Satoranský (drawn by J. Brown),6,6
23,1,8:19.0,,E. Freedom makes 2-pt layup from 2 ft (assist by G. Hayward),6,8
24,1,8:09.0,Z. LaVine makes 2-pt jump shot from 16 ft (assist by T. Satoranský),,8,8
25,1,7:55.0,,Turnover by K. Walker (lost ball; steal by T. Satoranský),8,8
26,1,7:52.0,T. Satoranský misses 2-pt layup from 3 ft (block by J. Tatum),,8,8
27,1,7:48.0,Offensive rebound by Z. LaVine,,8,8
28,1,7:47.0,Z. LaVine misses 2-pt layup from 4 ft,,8,8
29,1,7:46.0,,Defensive rebound by E. Freedom,8,8
30,1,7:39.0,,J. Tatum misses 2-pt layup from 6 ft (block by D. Gafford),8,8
31,1,7:37.0,Defensive rebound by K. Dunn,,8,8
32,1,7:36.0,Turnover by K. Dunn (bad pass),,8,8
33,1,7:22.0,,J. Tatum misses 2-pt jump shot from 12 ft,8,8
34,1,7:20.0,Defensive rebound by L. Markkanen,,8,8
35,1,7:14.0,Turnover by T. Satoranský (lost ball; steal by J. Brown),,8,8
36,1,7:11.0,,Shooting foul by D. Gafford (drawn by J. Brown),8,8
37,1,7:11.0,,J. Brown makes free throw 1 of 2,8,9
38,1,7:11.0,L. Kornet enters the game for D. Gafford,,8,9
39,1,7:11.0,,J. Brown makes free throw 2 of 2,8,10
40,1,6:54.0,Z. LaVine misses 2-pt jump shot from 13 ft,,8,10
41,1,6:53.0,,Defensive rebound by E. Freedom,8,10
42,1,6:42.0,,K. Walker makes 2-pt layup from 2 ft (assist by J. Tatum),8,12
43,1,6:32.0,L. Markkanen misses 3-pt jump shot from 26 ft,,8,12
44,1,6:30.0,,Defensive rebound by K. Walker,8,12
45,1,6:21.0,,Personal foul by K. Dunn (drawn by K. Walker),8,12
46,1,6:21.0,,Boston full timeout,8,12
47,1,6:21.0,,K. Walker makes free throw 1 of 2,8,13
48,1,6:21.0,,K. Walker misses free throw 2 of 2,8,13
49,1,6:20.0,,Offensive rebound by E. Freedom,8,13
50,1,6:20.0,,E. Freedom makes 2-pt layup from 1 ft,8,15
51,1,6:20.0,,Shooting foul by L. Kornet (drawn by E. Freedom),8,15
52,1,6:20.0,,E. Freedom makes free throw 1 of 1,8,16
53,1,6:07.0,Turnover by L. Kornet (out of bounds lost ball),,8,16
54,1,5:47.0,,J. Tatum misses 3-pt jump shot from 26 ft,8,16
55,1,5:43.0,Defensive rebound by K. Dunn,,8,16
56,1,5:33.0,Shooting foul by J. Tatum (drawn by L. Markkanen),,8,16
57,1,5:33.0,L. Markkanen misses free throw 1 of 2,,8,16
58,1,5:33.0,Offensive rebound by Team,,8,16
59,1,5:33.0,C. White enters the game for T. Satoranský,,8,16
60,1,5:33.0,,M. Smart enters the game for E. Freedom,8,16
61,1,5:33.0,,G. Williams enters the game for J. Tatum,8,16
62,1,5:33.0,L. Markkanen makes free throw 2 of 2,,9,16
63,1,5:17.0,,J. Brown misses 2-pt dunk from 3 ft,9,16
64,1,5:15.0,Defensive rebound by L. Markkanen,,9,16
65,1,5:11.0,Personal foul by M. Smart (drawn by Z. LaVine),,9,16
66,1,4:54.0,Z. LaVine misses 3-pt jump shot from 31 ft,,9,16
67,1,4:52.0,,Defensive rebound by G. Hayward,9,16
68,1,4:44.0,,K. Walker makes 2-pt layup from 1 ft (assist by G. Hayward),9,18
69,1,4:17.0,C. White misses 3-pt jump shot from 26 ft,,9,18
70,1,4:15.0,,Defensive rebound by Team,9,18
71,1,4:02.0,,G. Hayward misses 2-pt jump shot from 11 ft,9,18
72,1,4:00.0,Defensive rebound by L. Kornet,,9,18
73,1,3:50.0,L. Kornet misses 3-pt jump shot from 26 ft,,9,18
74,1,3:48.0,,Defensive rebound by M. Smart,9,18
75,1,3:40.0,,K. Walker makes 3-pt jump shot from 26 ft (assist by M. Smart),9,21
76,1,3:38.0,Chicago full timeout,,9,21
77,1,3:38.0,T. Young enters the game for L. Markkanen,,9,21
78,1,3:38.0,,S. Ojeleye enters the game for J. Brown,9,21
79,1,3:28.0,Turnover by Z. LaVine (bad pass),,9,21
80,1,3:13.0,,G. Williams misses 2-pt jump shot from 10 ft,9,21
81,1,3:11.0,Defensive rebound by K. Dunn,,9,21
82,1,3:02.0,Shooting foul by G. Williams (drawn by K. Dunn),,9,21
83,1,3:02.0,K. Dunn misses free throw 1 of 2,,9,21
84,1,3:02.0,Offensive rebound by Team,,9,21
85,1,3:02.0,C. Hutchison enters the game for Z. LaVine,,9,21
86,1,3:02.0,,B. Wanamaker enters the game for K. Walker,9,21
87,1,3:02.0,K. Dunn makes free throw 2 of 2,,10,21
88,1,2:50.0,,G. Hayward misses 2-pt jump shot from 14 ft,10,21
89,1,2:46.0,,Offensive rebound by G. Williams,10,21
90,1,2:45.0,,G. Williams makes 2-pt layup from 2 ft,10,23
91,1,2:26.0,C. Hutchison misses 2-pt layup from 4 ft,,10,23
92,1,2:24.0,,Defensive rebound by G. Hayward,10,23
93,1,2:19.0,,M. Smart makes 3-pt jump shot from 23 ft (assist by B. Wanamaker),10,26
94,1,2:02.0,K. Dunn makes 2-pt layup from 4 ft (assist by C. White),,12,26
95,1,1:39.0,,G. Hayward misses 2-pt layup from 8 ft (block by C. Hutchison),12,26
96,1,1:35.0,,Offensive rebound by G. Williams,12,26
97,1,1:33.0,,B. Wanamaker misses 2-pt jump shot from 11 ft,12,26
98,1,1:31.0,Defensive rebound by L. Kornet,,12,26
99,1,1:17.0,C. White makes 2-pt jump shot from 14 ft,,14,26
100,1,0:54.0,,Turnover by G. Williams (bad pass),14,26
101,1,0:54.0,R. Arcidiacono enters the game for K. Dunn,,14,26
102,1,0:54.0,D. Gafford enters the game for L. Kornet,,14,26
103,1,0:54.0,,E. Freedom enters the game for G. Hayward,14,26
104,1,0:54.0,,J. Tatum enters the game for G. Williams,14,26
105,1,0:34.0,C. White misses 3-pt jump shot from 24 ft,,14,26
106,1,0:32.0,,Defensive rebound by E. Freedom,14,26
107,1,0:25.0,,Shooting foul by T. Young (drawn by J. Tatum),14,26
108,1,0:25.0,,J. Tatum makes free throw 1 of 2,14,27
109,1,0:25.0,L. Markkanen enters the game for D. Gafford,,14,27
110,1,0:25.0,,G. Williams enters the game for E. Freedom,14,27
111,1,0:25.0,,J. Tatum makes free throw 2 of 2,14,28
112,1,0:03.0,T. Young misses 3-pt jump shot from 26 ft,,14,28
113,1,0:01.0,,Defensive rebound by G. Williams,14,28
114,2,11:45.0,C. Hutchison misses 2-pt layup from 4 ft,,14,28
115,2,11:42.0,,Defensive rebound by E. Freedom,14,28
116,2,11:27.0,,E. Freedom misses 2-pt hook shot from 5 ft,14,28
117,2,11:25.0,Defensive rebound by C. Hutchison,,14,28
118,2,11:04.0,T. Young makes 3-pt jump shot from 26 ft,,17,28
119,2,10:45.0,,J. Tatum misses 3-pt jump shot from 24 ft,17,28
