,QUARTER,TIME_REMAINING,CHICAGO_ACTION,DETROIT_ACTION,CHICAGO_SCORE,DETROIT_SCORE
0,1,11:35.0,,S. Mykhailiuk misses 3-pt jump shot from 28 ft,0,0
1,1,11:31.0,Defensive rebound by D. Gafford,,0,0
2,1,11:09.0,D. Gafford makes 2-pt layup from 5 ft (assist by Z. LaVine),,2,0
3,1,10:58.0,,A. Drummond misses 2-pt layup from 3 ft,2,0
4,1,10:56.0,Defensive rebound by L. Markkanen,,2,0
5,1,10:41.0,T. Satoranský misses 2-pt jump shot from 10 ft,,2,0
6,1,10:39.0,,Defensive rebound by S. Doumbouya,2,0
7,1,10:34.0,,S. Doumbouya makes 2-pt layup from 2 ft,2,2
8,1,10:24.0,K. Dunn misses 3-pt jump shot from 25 ft,,2,2
9,1,10:21.0,,Defensive rebound by S. Mykhailiuk,2,2
10,1,10:02.0,,A. Drummond makes 3-pt jump shot from 27 ft (assist by S. Mykhailiuk),2,5
11,1,9:45.0,Z. LaVine misses 3-pt jump shot from 27 ft,,2,5
12,1,9:42.0,,Defensive rebound by S. Mykhailiuk,2,5
13,1,9:37.0,,S. Mykhailiuk makes 2-pt layup from 3 ft,2,7
14,1,9:16.0,K. Dunn misses 2-pt hook shot from 6 ft,,2,7
15,1,9:13.0,,Defensive rebound by B. Brown,2,7
16,1,9:00.0,,T. Snell misses 3-pt jump shot from 29 ft,2,7
17,1,8:57.0,Defensive rebound by T. Satoranský,,2,7
18,1,8:52.0,Shooting foul by B. Brown (drawn by Z. LaVine),,2,7
19,1,8:52.0,Z. LaVine makes free throw 1 of 2,,3,7
20,1,8:52.0,Z. LaVine makes free throw 2 of 2,,4,7
21,1,8:33.0,,S. Mykhailiuk misses 3-pt jump shot from 23 ft,4,7
22,1,8:31.0,Defensive rebound by K. Dunn,,4,7
23,1,8:27.0,T. Satoranský makes 2-pt layup from 2 ft (assist by L. Markkanen),,6,7
24,1,8:08.0,,S. Doumbouya misses 2-pt jump shot from 10 ft,6,7
25,1,8:06.0,Defensive rebound by K. Dunn,,6,7
26,1,7:51.0,T. Satoranský makes 2-pt jump shot from 7 ft,,8,7
27,1,7:35.0,,S. Mykhailiuk makes 2-pt layup from 3 ft (assist by T. Snell),8,9
28,1,7:24.0,Turnover by Z. LaVine (lost ball; steal by A. Drummond),,8,9
29,1,7:19.0,,Shooting foul by L. Markkanen (drawn by S. Doumbouya),8,9
30,1,7:19.0,,S. Doumbouya makes free throw 1 of 2,8,10
31,1,7:19.0,,S. Doumbouya misses free throw 2 of 2,8,10
32,1,7:17.0,Defensive rebound by Z. LaVine,,8,10
33,1,7:09.0,Z. LaVine makes 2-pt dunk from 2 ft (assist by T. Satoranský),,10,10
34,1,6:52.0,,A. Drummond makes 2-pt layup from 3 ft (assist by T. Snell),10,12
35,1,6:44.0,Personal foul by S. Mykhailiuk (drawn by T. Satoranský),,10,12
36,1,6:44.0,,Detroit full timeout,10,12
37,1,6:44.0,L. Kornet enters the game for D. Gafford,,10,12
38,1,6:34.0,K. Dunn makes 2-pt layup from 2 ft (assist by Z. LaVine),,12,12
39,1,6:21.0,,Turnover by T. Snell (bad pass; steal by L. Kornet),12,12
40,1,6:17.0,Z. LaVine misses 2-pt layup from 3 ft (block by T. Snell),,12,12
41,1,6:13.0,,Defensive rebound by T. Snell,12,12
42,1,6:06.0,,A. Drummond makes 2-pt hook shot from 6 ft,12,14
43,1,5:46.0,Z. LaVine misses 2-pt jump shot from 19 ft,,12,14
44,1,5:43.0,,Defensive rebound by S. Doumbouya,12,14
45,1,5:28.0,,B. Brown misses 2-pt layup from 5 ft (block by Z. LaVine),12,14
46,1,5:27.0,,Offensive rebound by B. Brown,12,14
47,1,5:26.0,,B. Brown misses 2-pt layup from 3 ft (block by L. Kornet),12,14
48,1,5:25.0,Defensive rebound by L. Kornet,,12,14
49,1,5:18.0,L. Markkanen makes 2-pt layup from 3 ft,,14,14
50,1,4:54.0,,S. Doumbouya misses 3-pt jump shot from 26 ft,14,14
51,1,4:54.0,Defensive rebound by K. Dunn,,14,14
52,1,4:36.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by K. Dunn),,17,14
53,1,4:21.0,,S. Mykhailiuk misses 2-pt layup from 2 ft,17,14
54,1,4:19.0,Defensive rebound by L. Kornet,,17,14
55,1,4:12.0,L. Kornet makes 2-pt layup from 3 ft (assist by Z. LaVine),,19,14
56,1,4:06.0,,Detroit full timeout,19,14
57,1,4:06.0,C. White enters the game for L. Markkanen,,19,14
58,1,4:06.0,T. Young enters the game for T. Satoranský,,19,14
59,1,4:06.0,,L. Galloway enters the game for S. Doumbouya,19,14
60,1,4:06.0,,M. Morris enters the game for S. Mykhailiuk,19,14
61,1,4:06.0,,D. Rose enters the game for T. Snell,19,14
62,1,3:53.0,,A. Drummond misses 2-pt layup from 3 ft,19,14
