,QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA LAKERS_ACTION,PHOENIX_SCORE,LA LAKERS_SCORE
0,1,11:46.0,,A. Bradley makes 2-pt jump shot from 17 ft (assist by L. James),0,2
1,1,11:26.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by C. Johnson),,3,2
2,1,11:07.0,,L. James makes 3-pt jump shot from 26 ft (assist by A. Davis),3,5
3,1,10:50.0,Personal foul by D. Green (drawn by C. Diallo),,3,5
4,1,10:40.0,C. Diallo makes 2-pt jump shot from 12 ft (assist by D. Booker),,5,5
5,1,10:31.0,,Shooting foul by R. Rubio (drawn by A. Bradley),5,5
6,1,10:31.0,,A. Bradley makes free throw 1 of 2,5,6
7,1,10:31.0,,A. Bradley misses free throw 2 of 2,5,6
8,1,10:27.0,Defensive rebound by D. Booker,,5,6
9,1,10:22.0,D. Booker makes 2-pt jump shot from 10 ft,,7,6
10,1,10:08.0,,L. James misses 3-pt jump shot from 28 ft,7,6
11,1,10:05.0,Defensive rebound by D. Booker,,7,6
12,1,9:58.0,D. Booker misses 2-pt jump shot from 13 ft,,7,6
13,1,9:54.0,,Defensive rebound by L. James,7,6
14,1,9:40.0,,A. Davis makes 2-pt layup from 4 ft (assist by L. James),7,8
15,1,9:25.0,C. Johnson makes 2-pt dunk from 2 ft (assist by C. Diallo),,9,8
16,1,9:25.0,Shooting foul by J. McGee (drawn by C. Johnson),,9,8
17,1,9:25.0,C. Johnson misses free throw 1 of 1,,9,8
18,1,9:23.0,,Defensive rebound by J. McGee,9,8
19,1,9:13.0,,Turnover by A. Davis (lost ball; steal by C. Johnson),9,8
20,1,9:02.0,C. Johnson misses 3-pt jump shot from 23 ft,,9,8
21,1,9:00.0,,Defensive rebound by J. McGee,9,8
22,1,8:49.0,,L. James makes 2-pt jump shot from 6 ft,9,10
23,1,8:32.0,Turnover by M. Bridges (bad pass; steal by D. Green),,9,10
24,1,8:32.0,,Turnover by A. Davis (bad pass),9,10
25,1,8:18.0,C. Diallo makes 2-pt layup from 1 ft (assist by R. Rubio),,11,10
26,1,8:01.0,,A. Bradley misses 3-pt jump shot from 27 ft,11,10
27,1,7:58.0,Defensive rebound by C. Diallo,,11,10
28,1,7:50.0,R. Rubio makes 3-pt jump shot from 23 ft (assist by D. Booker),,14,10
29,1,7:50.0,,LA Lakers full timeout,14,10
30,1,7:30.0,,D. Green misses 3-pt jump shot from 23 ft,14,10
31,1,7:27.0,,Offensive rebound by J. McGee,14,10
32,1,7:09.0,,L. James makes 2-pt layup from 4 ft,14,12
33,1,6:54.0,D. Booker misses 2-pt jump shot from 8 ft (block by D. Green),,14,12
34,1,6:51.0,Offensive rebound by R. Rubio,,14,12
35,1,6:45.0,R. Rubio misses 3-pt jump shot from 26 ft,,14,12
36,1,6:43.0,,Defensive rebound by A. Davis,14,12
