,QUARTER,TIME_REMAINING,DENVER_ACTION,MEMPHIS_ACTION,DENVER_SCORE,MEMPHIS_SCORE
0,1,11:45.0,,J. Valančiūnas makes 2-pt jump shot from 6 ft (assist by J. Morant),0,2
1,1,11:23.0,Denver full timeout,,0,2
2,1,11:20.0,W. Barton misses 3-pt jump shot from 23 ft,,0,2
3,1,11:17.0,,Defensive rebound by J. Valančiūnas,0,2
4,1,11:13.0,,J. Morant misses 2-pt layup from 3 ft (block by N. Jokić),0,2
5,1,11:10.0,Defensive rebound by J. Grant,,0,2
6,1,11:08.0,G. Harris misses 3-pt jump shot from 27 ft,,0,2
7,1,11:04.0,,Defensive rebound by Team,0,2
8,1,10:52.0,,J. Valančiūnas makes 2-pt jump shot from 5 ft (assist by J. Morant),0,4
9,1,10:39.0,Shooting foul by K. Anderson (drawn by W. Barton),,0,4
10,1,10:39.0,W. Barton makes free throw 1 of 2,,1,4
11,1,10:39.0,W. Barton makes free throw 2 of 2,,2,4
12,1,10:20.0,,J. Valančiūnas misses 2-pt hook shot from 8 ft,2,4
13,1,10:18.0,Defensive rebound by N. Jokić,,2,4
14,1,10:00.0,T. Craig misses 3-pt jump shot from 25 ft,,2,4
15,1,9:59.0,,Defensive rebound by K. Anderson,2,4
16,1,9:53.0,,D. Brooks makes 2-pt jump shot from 3 ft (assist by K. Anderson),2,6
17,1,9:37.0,G. Harris misses 2-pt jump shot from 21 ft,,2,6
18,1,9:34.0,,Defensive rebound by J. Valančiūnas,2,6
19,1,9:14.0,,J. Jackson misses 3-pt jump shot from 25 ft,2,6
20,1,9:12.0,Defensive rebound by J. Grant,,2,6
21,1,9:09.0,Personal foul by J. Jackson (drawn by N. Jokić),,2,6
22,1,9:04.0,Turnover by N. Jokić (bad pass; steal by J. Morant),,2,6
23,1,8:55.0,,J. Jackson misses 3-pt jump shot from 25 ft,2,6
24,1,8:53.0,Defensive rebound by G. Harris,,2,6
25,1,8:33.0,T. Craig makes 3-pt jump shot from 23 ft (assist by N. Jokić),,5,6
26,1,8:09.0,,J. Morant misses 2-pt jump shot from 4 ft,5,6
27,1,8:05.0,,Offensive rebound by J. Valančiūnas,5,6
28,1,8:05.0,,J. Valančiūnas makes 2-pt layup at rim,5,8
29,1,7:59.0,Turnover by N. Jokić (bad pass; steal by D. Brooks),,5,8
30,1,7:55.0,,D. Brooks makes 2-pt dunk from 1 ft,5,10
31,1,7:32.0,Personal foul by J. Valančiūnas (drawn by N. Jokić),,5,10
32,1,7:25.0,W. Barton misses 3-pt jump shot from 27 ft,,5,10
33,1,7:22.0,,Defensive rebound by J. Morant,5,10
34,1,7:13.0,,J. Valančiūnas makes 2-pt jump shot from 14 ft,5,12
35,1,6:56.0,N. Jokić misses 3-pt jump shot from 26 ft,,5,12
36,1,6:54.0,,Defensive rebound by J. Jackson,5,12
37,1,6:47.0,,D. Brooks misses 3-pt jump shot from 26 ft,5,12
38,1,6:44.0,Defensive rebound by N. Jokić,,5,12
39,1,6:36.0,N. Jokić misses 2-pt layup from 3 ft (block by J. Jackson),,5,12
40,1,6:33.0,,Defensive rebound by J. Morant,5,12
41,1,6:29.0,,Personal foul by T. Craig (drawn by J. Morant),5,12
42,1,6:29.0,M. Porter enters the game for T. Craig,,5,12
43,1,6:29.0,,B. Clarke enters the game for J. Jackson,5,12
44,1,6:29.0,,T. Jones enters the game for J. Morant,5,12
45,1,6:27.0,,Personal foul by G. Harris (drawn by D. Brooks),5,12
46,1,6:17.0,,Turnover by D. Brooks (bad pass; steal by M. Porter),5,12
47,1,6:05.0,Shooting foul by B. Clarke (drawn by G. Harris),,5,12
48,1,6:05.0,G. Harris makes free throw 1 of 2,,6,12
49,1,6:05.0,G. Harris makes free throw 2 of 2,,7,12
50,1,5:52.0,,B. Clarke makes 2-pt layup from 2 ft (assist by D. Brooks),7,14
51,1,5:41.0,N. Jokić makes 3-pt jump shot from 25 ft (assist by G. Harris),,10,14
52,1,5:24.0,,K. Anderson misses 2-pt layup from 2 ft,10,14
53,1,5:22.0,Defensive rebound by N. Jokić,,10,14
54,1,5:08.0,J. Grant misses 2-pt layup from 3 ft (block by D. Brooks),,10,14
55,1,5:06.0,Offensive rebound by N. Jokić,,10,14
56,1,5:05.0,N. Jokić misses 2-pt layup from 2 ft (block by K. Anderson),,10,14
57,1,5:03.0,,Defensive rebound by T. Jones,10,14
58,1,5:00.0,,B. Clarke misses 2-pt layup from 1 ft,10,14
59,1,4:58.0,Defensive rebound by M. Porter,,10,14
60,1,4:53.0,Turnover by N. Jokić (bad pass; steal by K. Anderson),,10,14
61,1,4:49.0,,B. Clarke makes 2-pt dunk from 1 ft (assist by T. Jones),10,16
62,1,4:29.0,M. Porter misses 2-pt layup from 2 ft (block by J. Valančiūnas),,10,16
63,1,4:27.0,,Defensive rebound by J. Valančiūnas,10,16
64,1,4:23.0,,K. Anderson misses 2-pt jump shot from 10 ft,10,16
65,1,4:19.0,Defensive rebound by N. Jokić,,10,16
66,1,4:12.0,N. Jokić makes 3-pt jump shot from 25 ft,,13,16
67,1,4:12.0,,Memphis full timeout,13,16
68,1,4:12.0,M. Beasley enters the game for W. Barton,,13,16
69,1,4:12.0,J. Hernangómez enters the game for J. Grant,,13,16
70,1,4:12.0,M. Morris enters the game for G. Harris,,13,16
71,1,4:12.0,,M. Guduric enters the game for K. Anderson,13,16
72,1,4:12.0,,S. Hill enters the game for D. Brooks,13,16
73,1,3:49.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by S. Hill),13,18
74,1,3:27.0,M. Beasley makes 2-pt jump shot from 20 ft (assist by M. Morris),,15,18
75,1,3:11.0,,S. Hill makes 3-pt jump shot from 24 ft (assist by T. Jones),15,21
76,1,2:55.0,N. Jokić misses 2-pt jump shot from 14 ft,,15,21
77,1,2:52.0,,Defensive rebound by M. Guduric,15,21
78,1,2:49.0,,B. Clarke makes 2-pt dunk at rim (assist by M. Guduric),15,23
79,1,2:32.0,M. Beasley misses 3-pt jump shot from 23 ft,,15,23
80,1,2:28.0,,Defensive rebound by B. Clarke,15,23
81,1,2:24.0,,M. Guduric makes 3-pt jump shot from 24 ft (assist by B. Clarke),15,26
82,1,2:22.0,Denver full timeout,,15,26
83,1,2:22.0,J. Grant enters the game for N. Jokić,,15,26
84,1,2:22.0,,J. Jackson enters the game for J. Valančiūnas,15,26
85,1,2:01.0,J. Grant misses 2-pt jump shot from 20 ft,,15,26
86,1,1:59.0,,Defensive rebound by M. Guduric,15,26
87,1,1:50.0,,Personal foul by J. Grant (drawn by J. Jackson),15,26
88,1,1:42.0,,Turnover by S. Hill (bad pass; steal by M. Beasley),15,26
89,1,1:39.0,Turnover by M. Beasley (bad pass),,15,26
90,1,1:17.0,,Turnover by J. Jackson (lost ball; steal by M. Porter),15,26
91,1,1:12.0,M. Porter misses 3-pt jump shot from 25 ft,,15,26
92,1,1:09.0,,Defensive rebound by S. Hill,15,26
93,1,1:04.0,,J. Jackson makes 2-pt dunk at rim (assist by T. Jones),15,28
94,1,0:51.0,M. Morris makes 3-pt jump shot from 26 ft,,18,28
95,1,0:36.0,,Turnover by M. Guduric (bad pass; steal by J. Grant),18,28
96,1,0:25.0,Turnover by M. Morris (bad pass; steal by M. Guduric),,18,28
97,1,0:06.0,,J. Jackson makes 3-pt jump shot from 24 ft (assist by T. Jones),18,31
98,1,0:01.0,J. Grant misses 2-pt layup from 1 ft (block by J. Jackson),,18,31
99,1,0:00.0,Offensive rebound by Team,,18,31
100,2,11:43.0,J. Grant makes 2-pt layup from 1 ft (assist by M. Porter),,20,31
101,2,11:25.0,,Turnover by J. Jackson (traveling),20,31
102,2,11:09.0,Turnover by M. Beasley (bad pass; steal by J. Morant),,20,31
103,2,11:05.0,,M. Guduric makes 2-pt layup from 1 ft (assist by J. Morant),20,33
104,2,10:52.0,J. Grant makes 3-pt jump shot from 27 ft (assist by M. Morris),,23,33
105,2,10:37.0,,Personal foul by M. Beasley (drawn by J. Jackson),23,33
106,2,10:37.0,,D. Brooks enters the game for M. Guduric,23,33
107,2,10:32.0,,D. Brooks makes 2-pt jump shot from 11 ft (assist by J. Morant),23,35
108,2,10:20.0,J. Hernangómez misses 3-pt jump shot from 26 ft,,23,35
109,2,10:17.0,,Defensive rebound by D. Brooks,23,35
110,2,9:57.0,,D. Brooks makes 2-pt jump shot from 1 ft,23,37
111,2,9:43.0,M. Morris makes 3-pt jump shot from 24 ft (assist by J. Grant),,26,37
112,2,9:28.0,,J. Konchar misses 3-pt jump shot from 25 ft,26,37
113,2,9:25.0,Defensive rebound by M. Beasley,,26,37
114,2,9:18.0,M. Beasley misses 3-pt jump shot from 27 ft,,26,37
115,2,9:14.0,Offensive rebound by J. Hernangómez,,26,37
116,2,9:14.0,J. Hernangómez makes 2-pt layup from 2 ft,,28,37
117,2,9:14.0,Shooting foul by J. Konchar (drawn by J. Hernangómez),,28,37
118,2,9:14.0,W. Barton enters the game for M. Beasley,,28,37
119,2,9:14.0,,Memphis full timeout,28,37
120,2,9:14.0,N. Jokić enters the game for J. Grant,,28,37
121,2,9:14.0,J. Hernangómez makes free throw 1 of 1,,29,37
122,2,9:04.0,,Turnover by J. Jackson (traveling),29,37
123,2,8:53.0,M. Porter misses 2-pt jump shot from 20 ft,,29,37
124,2,8:51.0,Offensive rebound by J. Hernangómez,,29,37
125,2,8:50.0,J. Hernangómez misses 2-pt layup from 1 ft,,29,37
126,2,8:48.0,Offensive rebound by J. Hernangómez,,29,37
