,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,CLEVELAND_ACTION,OKLAHOMA CITY_SCORE,CLEVELAND_SCORE
0,1,11:45.0,T. Ferguson misses 3-pt jump shot from 23 ft,,0,0
1,1,11:41.0,,Defensive rebound by T. Thompson,0,0
2,1,11:24.0,,C. Osman makes 2-pt layup from 1 ft (assist by D. Garland),0,2
3,1,11:04.0,D. Gallinari misses 2-pt jump shot from 2 ft,,0,2
4,1,11:01.0,,Defensive rebound by T. Thompson,0,2
5,1,10:57.0,Violation by Team (kicked ball),,0,2
6,1,10:43.0,,C. Sexton makes 2-pt jump shot from 16 ft,0,4
7,1,10:36.0,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,,0,4
8,1,10:33.0,,Defensive rebound by T. Thompson,0,4
9,1,10:19.0,,T. Thompson misses 2-pt hook shot from 2 ft,0,4
10,1,10:17.0,Defensive rebound by S. Adams,,0,4
11,1,10:09.0,D. Gallinari makes 3-pt jump shot from 27 ft (assist by S. Adams),,3,4
12,1,9:48.0,,D. Garland makes 3-pt jump shot from 27 ft,3,7
13,1,9:34.0,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,,3,7
14,1,9:32.0,,Defensive rebound by C. Sexton,3,7
15,1,9:26.0,,C. Sexton misses 2-pt jump shot from 18 ft,3,7
16,1,9:24.0,Defensive rebound by S. Gilgeous-Alexander,,3,7
17,1,9:23.0,Personal foul by C. Osman (drawn by C. Paul),,3,7
18,1,9:11.0,T. Ferguson makes 2-pt jump shot from 1 ft (assist by C. Paul),,5,7
19,1,8:56.0,,C. Osman makes 3-pt jump shot from 26 ft (assist by T. Thompson),5,10
20,1,8:40.0,T. Ferguson misses 3-pt jump shot from 26 ft,,5,10
21,1,8:37.0,,Defensive rebound by T. Thompson,5,10
22,1,8:33.0,,D. Garland misses 3-pt jump shot from 29 ft,5,10
23,1,8:30.0,Defensive rebound by S. Adams,,5,10
24,1,8:25.0,C. Paul makes 2-pt jump shot from 17 ft,,7,10
25,1,8:13.0,,C. Sexton makes 2-pt jump shot from 14 ft,7,12
26,1,7:59.0,D. Gallinari makes 3-pt jump shot from 30 ft (assist by C. Paul),,10,12
27,1,7:46.0,,C. Osman misses 3-pt jump shot from 24 ft,10,12
28,1,7:46.0,Defensive rebound by Team,,10,12
29,1,7:46.0,,Loose ball foul by T. Thompson (drawn by S. Adams),10,12
30,1,7:46.0,Oklahoma City full timeout,,10,12
31,1,7:35.0,S. Gilgeous-Alexander makes 2-pt layup at rim (assist by C. Paul),,12,12
32,1,7:14.0,,C. Sexton misses 2-pt jump shot from 10 ft,12,12
33,1,7:14.0,,Offensive rebound by C. Sexton,12,12
34,1,7:09.0,,C. Sexton makes 2-pt layup from 1 ft,12,14
35,1,6:59.0,Personal foul by D. Garland (drawn by C. Paul),,12,14
36,1,6:59.0,,M. Dellavedova enters the game for D. Garland,12,14
37,1,6:59.0,,A. McKinnie enters the game for C. Osman,12,14
38,1,6:50.0,D. Gallinari misses 2-pt jump shot from 20 ft,,12,14
39,1,6:49.0,,Defensive rebound by C. Sexton,12,14
40,1,6:31.0,,Turnover by K. Love (bad pass; steal by S. Adams),12,14
41,1,6:26.0,S. Gilgeous-Alexander makes 2-pt layup from 7 ft (assist by T. Ferguson),,14,14
42,1,6:26.0,Shooting foul by M. Dellavedova (drawn by S. Gilgeous-Alexander),,14,14
43,1,6:26.0,N. Noel enters the game for S. Adams,,14,14
44,1,6:26.0,S. Gilgeous-Alexander makes free throw 1 of 1,,15,14
45,1,6:14.0,,A. McKinnie misses 3-pt jump shot from 24 ft,15,14
46,1,6:12.0,Defensive rebound by S. Gilgeous-Alexander,,15,14
47,1,6:02.0,D. Gallinari misses 2-pt layup from 2 ft,,15,14
48,1,6:02.0,Offensive rebound by D. Gallinari,,15,14
49,1,6:02.0,Shooting foul by A. McKinnie (drawn by D. Gallinari),,15,14
50,1,6:02.0,D. Gallinari makes free throw 1 of 2,,16,14
51,1,6:02.0,D. Schröder enters the game for C. Paul,,16,14
52,1,6:02.0,D. Gallinari makes free throw 2 of 2,,17,14
