,QUARTER,TIME_REMAINING,PORTLAND_ACTION,CHICAGO_ACTION,PORTLAND_SCORE,CHICAGO_SCORE
0,1,11:46.0,,Turnover by T. Satoranský (bad pass; steal by H. Whiteside),0,0
1,1,11:27.0,R. Hood makes 3-pt jump shot from 26 ft,,3,0
2,1,11:15.0,,T. Satoranský makes 2-pt jump shot from 6 ft,3,2
3,1,10:57.0,C. McCollum misses 3-pt jump shot from 26 ft,,3,2
4,1,10:54.0,,Defensive rebound by T. Satoranský,3,2
5,1,10:53.0,,Personal foul by R. Hood (drawn by S. Harrison),3,2
6,1,10:43.0,,L. Markkanen misses 3-pt jump shot from 26 ft,3,2
7,1,10:40.0,Defensive rebound by H. Whiteside,,3,2
8,1,10:27.0,R. Hood misses 3-pt jump shot from 23 ft,,3,2
9,1,10:23.0,,Defensive rebound by S. Harrison,3,2
10,1,10:21.0,,Turnover by T. Satoranský (step out of bounds),3,2
11,1,10:04.0,C. Anthony misses 2-pt layup from 2 ft (block by L. Markkanen),,3,2
12,1,10:02.0,,Defensive rebound by W. Carter,3,2
13,1,10:00.0,,Shooting foul by R. Hood (drawn by W. Carter),3,2
14,1,10:00.0,,Chicago full timeout,3,2
15,1,10:00.0,,Instant Replay (Challenge: Ruling Stands),3,2
16,1,10:00.0,,W. Carter makes free throw 1 of 2,3,3
17,1,10:00.0,,W. Carter makes free throw 2 of 2,3,4
18,1,9:38.0,R. Hood makes 2-pt jump shot from 11 ft (assist by C. McCollum),,5,4
19,1,9:24.0,,Z. LaVine makes 3-pt jump shot from 25 ft (assist by T. Satoranský),5,7
20,1,9:05.0,D. Lillard makes 2-pt layup from 2 ft,,7,7
21,1,8:39.0,,Z. LaVine misses 2-pt jump shot from 16 ft,7,7
22,1,8:36.0,Defensive rebound by C. Anthony,,7,7
23,1,8:21.0,D. Lillard misses 3-pt jump shot from 26 ft,,7,7
24,1,8:19.0,Offensive rebound by R. Hood,,7,7
25,1,8:17.0,C. Anthony makes 3-pt jump shot from 26 ft (assist by R. Hood),,10,7
26,1,8:11.0,,L. Markkanen makes 3-pt jump shot from 27 ft (assist by T. Satoranský),10,10
27,1,7:42.0,C. Anthony misses 3-pt jump shot from 27 ft,,10,10
28,1,7:39.0,,Defensive rebound by W. Carter,10,10
29,1,7:32.0,,T. Satoranský makes 2-pt jump shot from 6 ft,10,12
30,1,7:18.0,C. McCollum misses 3-pt jump shot from 26 ft (block by Z. LaVine),,10,12
31,1,7:15.0,,Defensive rebound by W. Carter,10,12
32,1,7:09.0,,Turnover by S. Harrison (lost ball; steal by D. Lillard),10,12
33,1,7:09.0,Personal foul by S. Harrison (drawn by D. Lillard),,10,12
34,1,7:09.0,A. Simons enters the game for R. Hood,,10,12
35,1,7:09.0,,C. White enters the game for S. Harrison,10,12
36,1,7:00.0,H. Whiteside misses 2-pt layup from 2 ft (block by W. Carter),,10,12
37,1,6:57.0,Offensive rebound by C. Anthony,,10,12
38,1,6:55.0,C. Anthony makes 2-pt layup from 2 ft,,12,12
39,1,6:52.0,,Z. LaVine makes 2-pt dunk from 1 ft (assist by T. Satoranský),12,14
40,1,6:52.0,,Shooting foul by C. McCollum (drawn by Z. LaVine),12,14
41,1,6:52.0,,Z. LaVine makes free throw 1 of 1,12,15
42,1,6:36.0,Shooting foul by Z. LaVine (drawn by D. Lillard),,12,15
43,1,6:36.0,D. Lillard makes free throw 1 of 2,,13,15
44,1,6:36.0,D. Lillard makes free throw 2 of 2,,14,15
45,1,6:10.0,,C. White misses 3-pt jump shot from 25 ft,14,15
46,1,6:08.0,Defensive rebound by H. Whiteside,,14,15
47,1,6:05.0,A. Simons misses 2-pt jump shot from 17 ft,,14,15
48,1,6:03.0,,Defensive rebound by W. Carter,14,15
49,1,5:57.0,,L. Markkanen misses 3-pt jump shot from 24 ft,14,15
50,1,5:53.0,Defensive rebound by H. Whiteside,,14,15
51,1,5:45.0,C. Anthony makes 2-pt layup from 1 ft (assist by D. Lillard),,16,15
52,1,5:35.0,,T. Satoranský makes 2-pt jump shot from 9 ft,16,17
53,1,5:18.0,C. Anthony makes 2-pt jump shot from 15 ft (assist by D. Lillard),,18,17
54,1,5:02.0,,Z. LaVine misses 3-pt jump shot from 24 ft,18,17
55,1,5:01.0,Defensive rebound by H. Whiteside,,18,17
56,1,4:53.0,C. Anthony misses 2-pt jump shot from 17 ft,,18,17
57,1,4:49.0,,Defensive rebound by C. White,18,17
58,1,4:45.0,,Turnover by T. Satoranský (bad pass),18,17
59,1,4:45.0,K. Bazemore enters the game for C. McCollum,,18,17
60,1,4:45.0,S. Labissière enters the game for H. Whiteside,,18,17
61,1,4:45.0,,K. Dunn enters the game for L. Markkanen,18,17
62,1,4:45.0,,T. Young enters the game for T. Satoranský,18,17
63,1,4:30.0,S. Labissière makes 2-pt jump shot from 17 ft (assist by D. Lillard),,20,17
64,1,4:15.0,,K. Dunn misses 3-pt jump shot from 25 ft,20,17
65,1,4:10.0,,Offensive rebound by W. Carter,20,17
66,1,4:04.0,,W. Carter misses 2-pt layup from 3 ft (block by S. Labissière),20,17
67,1,4:01.0,Defensive rebound by A. Simons,,20,17
68,1,3:51.0,C. Anthony makes 3-pt jump shot from 24 ft (assist by D. Lillard),,23,17
69,1,3:38.0,,W. Carter misses 3-pt jump shot from 26 ft,23,17
70,1,3:35.0,Defensive rebound by C. Anthony,,23,17
71,1,3:28.0,D. Lillard misses 3-pt jump shot from 31 ft,,23,17
72,1,3:25.0,,Defensive rebound by T. Young,23,17
73,1,3:10.0,,C. White makes 3-pt jump shot from 23 ft (assist by Z. LaVine),23,20
74,1,2:43.0,S. Labissière makes 2-pt jump shot from 11 ft (assist by D. Lillard),,25,20
75,1,2:28.0,,T. Young makes 3-pt jump shot from 23 ft (assist by Z. LaVine),25,23
