,QUARTER,TIME_REMAINING,PORTLAND_ACTION,TORONTO_ACTION,PORTLAND_SCORE,TORONTO_SCORE
0,1,11:43.0,C. Anthony misses 2-pt jump shot from 13 ft (block by O. Anunoby),,0,0
1,1,11:40.0,,Defensive rebound by S. Ibaka,0,0
2,1,11:26.0,,S. Ibaka makes 3-pt jump shot from 25 ft (assist by R. Hollis-Jefferson),0,3
3,1,11:07.0,C. McCollum makes 2-pt layup from 1 ft (assist by D. Lillard),,2,3
4,1,10:57.0,,R. Hollis-Jefferson misses 2-pt layup from 1 ft,2,3
5,1,10:55.0,,Offensive rebound by R. Hollis-Jefferson,2,3
6,1,10:54.0,,R. Hollis-Jefferson misses 2-pt layup from 2 ft,2,3
7,1,10:52.0,Defensive rebound by C. Anthony,,2,3
8,1,10:34.0,C. Anthony makes 2-pt jump shot from 11 ft (assist by D. Lillard),,4,3
9,1,10:20.0,,S. Ibaka makes 2-pt dunk from 1 ft (assist by K. Lowry),4,5
10,1,10:08.0,K. Bazemore misses 3-pt jump shot from 23 ft,,4,5
11,1,10:05.0,,Defensive rebound by P. McCaw,4,5
12,1,10:00.0,,K. Lowry misses 3-pt jump shot from 31 ft,4,5
13,1,9:56.0,Defensive rebound by C. Anthony,,4,5
14,1,9:40.0,K. Bazemore misses 3-pt jump shot from 24 ft,,4,5
15,1,9:37.0,,Defensive rebound by S. Ibaka,4,5
16,1,9:24.0,,S. Ibaka makes 2-pt jump shot from 20 ft (assist by K. Lowry),4,7
17,1,9:24.0,Violation by Team (def goaltending),,4,7
18,1,9:10.0,H. Whiteside makes 2-pt layup from 2 ft (assist by D. Lillard),,6,7
19,1,8:43.0,,R. Hollis-Jefferson misses 2-pt jump shot from 11 ft,6,7
20,1,8:40.0,Defensive rebound by H. Whiteside,,6,7
21,1,8:17.0,D. Lillard misses 2-pt jump shot from 8 ft,,6,7
22,1,8:15.0,,Defensive rebound by S. Ibaka,6,7
23,1,8:09.0,,K. Lowry makes 3-pt jump shot from 25 ft,6,10
24,1,7:57.0,C. McCollum makes 2-pt jump shot from 11 ft,,8,10
25,1,7:48.0,,K. Lowry makes 2-pt layup from 1 ft,8,12
26,1,7:28.0,Turnover by H. Whiteside (traveling),,8,12
27,1,7:14.0,,Personal foul by H. Whiteside (drawn by K. Lowry),8,12
28,1,6:59.0,,Turnover by K. Lowry (bad pass; steal by C. Anthony),8,12
