,QUARTER,TIME_REMAINING,DALLAS_ACTION,PHILADELPHIA_ACTION,DALLAS_SCORE,PHILADELPHIA_SCORE
0,1,11:44.0,Turnover by K. Porziņģis (bad pass; steal by J. Richardson),,0,0
1,1,11:40.0,,B. Simmons makes 2-pt layup from 1 ft (assist by J. Richardson),0,2
2,1,11:23.0,D. Finney-Smith makes 3-pt jump shot from 24 ft (assist by J. Brunson),,3,2
3,1,11:02.0,,T. Harris misses 3-pt jump shot from 26 ft,3,2
4,1,11:00.0,Defensive rebound by J. Brunson,,3,2
5,1,10:51.0,K. Porziņģis misses 2-pt jump shot from 8 ft,,3,2
6,1,10:49.0,,Defensive rebound by J. Embiid,3,2
7,1,10:44.0,,A. Horford makes 3-pt jump shot from 26 ft (assist by B. Simmons),3,5
8,1,10:32.0,Turnover by J. Brunson (bad pass),,3,5
9,1,10:08.0,,J. Embiid makes 2-pt jump shot from 15 ft (assist by T. Harris),3,7
10,1,9:43.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,3,7
11,1,9:41.0,,Defensive rebound by J. Embiid,3,7
12,1,9:33.0,,Personal foul by D. Finney-Smith (drawn by A. Horford),3,7
13,1,9:23.0,,J. Embiid misses 2-pt hook shot from 4 ft,3,7
14,1,9:23.0,Defensive rebound by Team,,3,7
15,1,9:23.0,,Loose ball foul by J. Embiid (drawn by J. Brunson),3,7
16,1,9:14.0,T. Hardaway misses 2-pt jump shot from 11 ft,,3,7
17,1,9:11.0,,Defensive rebound by J. Embiid,3,7
18,1,9:06.0,,Turnover by B. Simmons (bad pass; steal by T. Hardaway),3,7
19,1,9:01.0,T. Hardaway makes 2-pt jump shot from 14 ft,,5,7
20,1,8:41.0,,Shooting foul by D. Powell (drawn by J. Embiid),5,7
21,1,8:41.0,,J. Embiid makes free throw 1 of 2,5,8
22,1,8:41.0,,J. Embiid makes free throw 2 of 2,5,9
23,1,8:23.0,Turnover by D. Finney-Smith (lost ball; steal by B. Simmons),,5,9
24,1,8:18.0,,Turnover by T. Harris (lost ball; steal by J. Brunson),5,9
25,1,8:10.0,D. Powell misses 2-pt jump shot from 18 ft,,5,9
26,1,8:07.0,,Defensive rebound by J. Embiid,5,9
27,1,7:57.0,,T. Harris makes 2-pt jump shot from 11 ft,5,11
28,1,7:57.0,,Shooting foul by T. Hardaway (drawn by T. Harris),5,11
