,QUARTER,TIME_REMAINING,MIAMI_ACTION,SACRAMENTO_ACTION,MIAMI_SCORE,SACRAMENTO_SCORE
0,1,11:48.0,K. Nunn misses 2-pt jump shot from 19 ft,,0,0
1,1,11:43.0,Offensive rebound by D. Jones,,0,0
2,1,11:35.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by K. Nunn),,3,0
3,1,11:19.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,3,0
4,1,11:14.0,Defensive rebound by D. Robinson,,3,0
5,1,11:12.0,Turnover by D. Robinson (step out of bounds),,3,0
6,1,11:02.0,,N. Bjelica makes 3-pt jump shot from 25 ft (assist by D. Fox),3,3
7,1,10:42.0,K. Nunn misses 2-pt jump shot from 17 ft,,3,3
8,1,10:39.0,,Defensive rebound by B. Bogdanović,3,3
9,1,10:28.0,,H. Giles makes 2-pt dunk from 1 ft (assist by B. Bogdanović),3,5
10,1,10:13.0,Turnover by B. Adebayo (lost ball; steal by B. Bogdanović),,3,5
11,1,9:57.0,,H. Giles makes 2-pt jump shot from 17 ft,3,7
12,1,9:46.0,Turnover by K. Nunn (bad pass; steal by H. Giles),,3,7
13,1,9:38.0,,Personal foul by D. Jones (drawn by H. Giles),3,7
14,1,9:31.0,,H. Barnes makes 2-pt jump shot from 3 ft (assist by N. Bjelica),3,9
15,1,9:15.0,Turnover by K. Olynyk (step out of bounds),,3,9
16,1,9:03.0,,D. Fox makes 2-pt jump shot from 7 ft,3,11
17,1,9:03.0,Miami full timeout,,3,11
18,1,8:46.0,K. Nunn misses 3-pt jump shot from 24 ft,,3,11
19,1,8:44.0,Offensive rebound by B. Adebayo,,3,11
20,1,8:40.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by K. Olynyk),,6,11
21,1,8:25.0,,Personal foul by B. Adebayo (drawn by N. Bjelica),6,11
22,1,8:17.0,,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by N. Bjelica),6,14
23,1,8:06.0,B. Adebayo makes 2-pt dunk from 1 ft,,8,14
24,1,7:56.0,,Shooting foul by D. Robinson (drawn by D. Fox),8,14
25,1,7:56.0,,D. Fox misses free throw 1 of 2,8,14
26,1,7:56.0,,Offensive rebound by Team,8,14
27,1,7:56.0,G. Dragić enters the game for K. Nunn,,8,14
28,1,7:56.0,,D. Fox misses free throw 2 of 2,8,14
29,1,7:54.0,Defensive rebound by K. Olynyk,,8,14
30,1,7:43.0,K. Olynyk misses 3-pt jump shot from 25 ft,,8,14
31,1,7:41.0,,Defensive rebound by H. Giles,8,14
32,1,7:36.0,,H. Barnes misses 2-pt layup from 4 ft,8,14
33,1,7:35.0,Defensive rebound by D. Jones,,8,14
34,1,7:32.0,Personal foul by B. Bogdanović (drawn by G. Dragić),,8,14
35,1,7:32.0,,B. Hield enters the game for N. Bjelica,8,14
36,1,7:26.0,G. Dragić makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,11,14
37,1,7:13.0,,Turnover by H. Barnes (bad pass),11,14
38,1,7:03.0,Offensive foul by G. Dragić (drawn by D. Fox),,11,14
39,1,7:03.0,Turnover by G. Dragić (offensive foul),,11,14
40,1,6:51.0,,H. Giles makes 2-pt dunk from 1 ft (assist by D. Fox),11,16
41,1,6:35.0,B. Adebayo makes 2-pt layup from 2 ft (assist by D. Robinson),,13,16
42,1,6:19.0,,D. Fox makes 2-pt jump shot from 8 ft,13,18
43,1,6:08.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by D. Robinson),,15,18
44,1,5:56.0,,B. Bogdanović makes 2-pt jump shot from 8 ft,15,20
45,1,5:42.0,K. Olynyk misses 3-pt jump shot from 28 ft,,15,20
46,1,5:38.0,,Defensive rebound by B. Hield,15,20
47,1,5:27.0,,H. Barnes makes 2-pt dunk from 1 ft (assist by B. Hield),15,22
48,1,5:13.0,G. Dragić misses 3-pt jump shot from 25 ft,,15,22
49,1,5:11.0,Offensive rebound by K. Olynyk,,15,22
50,1,5:11.0,K. Olynyk makes 2-pt dunk from 1 ft,,17,22
51,1,4:57.0,,D. Fox misses 3-pt jump shot from 25 ft,17,22
52,1,4:51.0,Defensive rebound by B. Adebayo,,17,22
53,1,4:44.0,G. Dragić makes 3-pt jump shot from 23 ft (assist by B. Adebayo),,20,22
54,1,4:43.0,,Sacramento full timeout,20,22
55,1,4:43.0,K. Nunn enters the game for D. Robinson,,20,22
56,1,4:43.0,,N. Bjelica enters the game for H. Giles,20,22
57,1,4:28.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by B. Hield),20,25
58,1,4:00.0,B. Adebayo misses 2-pt jump shot from 8 ft,,20,25
59,1,3:58.0,,Defensive rebound by B. Hield,20,25
60,1,3:44.0,,Turnover by B. Hield (bad pass; steal by G. Dragić),20,25
61,1,3:41.0,Turnover by G. Dragić (out of bounds lost ball),,20,25
62,1,3:41.0,K. Okpala enters the game for D. Jones,,20,25
63,1,3:41.0,,C. Joseph enters the game for B. Bogdanović,20,25
64,1,3:28.0,,N. Bjelica misses 2-pt hook shot from 8 ft,20,25
65,1,3:26.0,Defensive rebound by B. Adebayo,,20,25
66,1,3:14.0,G. Dragić misses 2-pt jump shot from 5 ft,,20,25
67,1,3:12.0,Offensive rebound by K. Okpala,,20,25
68,1,3:12.0,K. Okpala misses 2-pt layup from 7 ft,,20,25
69,1,3:12.0,Offensive rebound by Team,,20,25
70,1,3:12.0,,Loose ball foul by H. Barnes (drawn by K. Okpala),20,25
71,1,3:04.0,B. Adebayo misses 2-pt hook shot from 9 ft,,20,25
72,1,3:01.0,,Defensive rebound by N. Bjelica,20,25
73,1,2:56.0,,Turnover by D. Fox (lost ball; steal by G. Dragić),20,25
74,1,2:50.0,K. Nunn misses 2-pt jump shot from 10 ft,,20,25
75,1,2:46.0,,Defensive rebound by D. Fox,20,25
76,1,2:37.0,,B. Hield misses 3-pt jump shot from 26 ft,20,25
77,1,2:34.0,Defensive rebound by K. Olynyk,,20,25
78,1,2:22.0,B. Adebayo makes 2-pt layup from 1 ft (assist by K. Olynyk),,22,25
79,1,2:05.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),22,28
80,1,1:55.0,Personal foul by D. Fox (drawn by K. Olynyk),,22,28
81,1,1:55.0,D. Robinson enters the game for B. Adebayo,,22,28
82,1,1:55.0,C. Silva enters the game for K. Olynyk,,22,28
83,1,1:55.0,,K. Bazemore enters the game for H. Barnes,22,28
84,1,1:55.0,,Y. Ferrell enters the game for D. Fox,22,28
85,1,1:40.0,K. Nunn makes 2-pt layup from 7 ft (assist by G. Dragić),,24,28
86,1,1:18.0,,Turnover by N. Bjelica (bad pass),24,28
87,1,1:05.0,G. Dragić makes 2-pt jump shot from 10 ft,,26,28
88,1,0:54.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by B. Hield),26,30
89,1,0:40.0,K. Nunn misses 3-pt jump shot from 24 ft,,26,30
90,1,0:37.0,Offensive rebound by K. Nunn,,26,30
91,1,0:28.0,G. Dragić misses 2-pt jump shot from 17 ft,,26,30
92,1,0:26.0,Offensive rebound by Team,,26,30
93,1,0:26.0,,Loose ball foul by Y. Ferrell (drawn by C. Silva),26,30
94,1,0:26.0,C. Silva makes free throw 1 of 2,,27,30
95,1,0:26.0,D. Jones enters the game for K. Nunn,,27,30
96,1,0:26.0,C. Silva makes free throw 2 of 2,,28,30
97,1,0:06.0,,Personal foul by K. Okpala (drawn by N. Bjelica),28,30
98,1,0:03.0,,Offensive foul by Y. Ferrell (drawn by C. Silva),28,30
99,1,0:03.0,,Turnover by Y. Ferrell (offensive foul),28,30
100,1,0:03.0,K. Nunn enters the game for K. Okpala,,28,30
101,1,0:00.0,Turnover by D. Robinson (bad pass; steal by K. Bazemore),,28,30
102,1,0:00.0,,Y. Ferrell misses 3-pt jump shot from 42 ft (block by D. Robinson),28,30
103,1,0:00.0,,Offensive rebound by Team,28,30
104,2,11:42.0,,C. Joseph misses 3-pt jump shot from 25 ft (block by K. Okpala),28,30
105,2,11:38.0,,Offensive rebound by N. Bjelica,28,30
106,2,11:37.0,,B. Hield misses 3-pt jump shot from 25 ft,28,30
107,2,11:33.0,Defensive rebound by G. Dragić,,28,30
108,2,11:16.0,D. Robinson misses 3-pt jump shot from 24 ft,,28,30
109,2,11:14.0,,Defensive rebound by K. Bazemore,28,30
110,2,11:12.0,,Offensive foul by K. Bazemore (drawn by G. Vincent),28,30
