,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW YORK_ACTION,BROOKLYN_SCORE,NEW YORK_SCORE
135,2,7:03.0,T. Prince enters the game for G. Temple,,39,43
136,2,6:53.0,Personal foul by F. Ntilikina (drawn by N. Claxton),,39,43
137,2,6:44.0,T. Prince makes 3-pt jump shot from 23 ft (assist by J. Harris),,42,43
138,2,6:36.0,,New York full timeout,42,43
139,2,6:28.0,,J. Randle makes 2-pt jump shot from 9 ft,42,45
140,2,6:09.0,C. LeVert misses 3-pt jump shot from 25 ft,,42,45
141,2,6:07.0,Offensive rebound by N. Claxton,,42,45
142,2,6:03.0,J. Harris makes 2-pt layup from 1 ft (assist by N. Claxton),,44,45
143,2,5:50.0,,B. Portis misses 2-pt jump shot from 20 ft,44,45
144,2,5:48.0,Defensive rebound by R. Kurucs,,44,45
145,2,5:32.0,T. Prince misses 2-pt jump shot from 7 ft,,44,45
146,2,5:31.0,,Defensive rebound by B. Portis,44,45
147,2,5:20.0,,F. Ntilikina misses 2-pt jump shot from 22 ft,44,45
148,2,5:18.0,Defensive rebound by N. Claxton,,44,45
149,2,5:05.0,Turnover by J. Harris (bad pass; steal by D. Dotson),,44,45
150,2,5:04.0,,Personal take foul by R. Kurucs (drawn by D. Dotson),44,45
151,2,5:04.0,J. Allen enters the game for N. Claxton,,44,45
152,2,5:04.0,S. Dinwiddie enters the game for R. Kurucs,,44,45
153,2,5:04.0,G. Temple enters the game for C. LeVert,,44,45
154,2,5:04.0,,R. Bullock enters the game for D. Dotson,44,45
155,2,5:04.0,,M. Morris enters the game for K. Knox,44,45
156,2,5:04.0,,E. Payton enters the game for F. Ntilikina,44,45
157,2,4:58.0,,Personal foul by T. Prince (drawn by E. Payton),44,45
158,2,4:54.0,,Turnover by J. Randle (bad pass),44,45
159,2,4:54.0,,M. Robinson enters the game for B. Portis,44,45
160,2,4:37.0,S. Dinwiddie misses 3-pt jump shot from 23 ft,,44,45
161,2,4:35.0,,Defensive rebound by M. Robinson,44,45
162,2,4:24.0,,Personal foul by T. Prince (drawn by J. Randle),44,45
163,2,4:24.0,,J. Randle makes free throw 1 of 2,44,46
164,2,4:24.0,,J. Randle misses free throw 2 of 2,44,46
165,2,4:23.0,Defensive rebound by T. Prince,,44,46
166,2,4:11.0,Shooting foul by M. Robinson (drawn by T. Prince),,44,46
167,2,4:11.0,T. Prince makes free throw 1 of 2,,45,46
168,2,4:11.0,,T. Gibson enters the game for M. Robinson,45,46
169,2,4:11.0,T. Prince makes free throw 2 of 2,,46,46
170,2,3:50.0,,R. Bullock makes 2-pt jump shot from 9 ft (assist by E. Payton),46,48
171,2,3:37.0,Turnover by S. Dinwiddie (step out of bounds),,46,48
172,2,3:23.0,,M. Morris misses 2-pt jump shot from 21 ft,46,48
173,2,3:21.0,Defensive rebound by G. Temple,,46,48
174,2,3:15.0,S. Dinwiddie makes 2-pt layup from 1 ft,,48,48
175,2,3:01.0,,Personal foul by J. Allen (drawn by T. Gibson),48,48
176,2,3:01.0,,T. Gibson misses free throw 1 of 2,48,48
177,2,3:01.0,,Offensive rebound by Team,48,48
178,2,3:01.0,,T. Gibson makes free throw 2 of 2,48,49
179,2,2:55.0,Personal foul by R. Bullock (drawn by J. Harris),,48,49
180,2,2:49.0,S. Dinwiddie misses 2-pt layup from 1 ft,,48,49
181,2,2:48.0,,Defensive rebound by J. Randle,48,49
182,2,2:47.0,,Technical foul by S. Dinwiddie,48,49
183,2,2:47.0,,M. Morris makes technical free throw,48,50
184,2,2:33.0,,M. Morris makes 2-pt jump shot from 18 ft (assist by E. Payton),48,52
185,2,2:10.0,G. Temple misses 2-pt layup from 8 ft (block by T. Gibson),,48,52
186,2,2:09.0,,Defensive rebound by J. Randle,48,52
187,2,1:59.0,,Turnover by J. Randle (bad pass; steal by J. Harris),48,52
188,2,1:54.0,J. Harris misses 3-pt jump shot from 24 ft,,48,52
189,2,1:52.0,,Defensive rebound by Team,48,52
190,2,1:38.0,,T. Gibson misses 2-pt jump shot from 11 ft,48,52
191,2,1:36.0,,Offensive rebound by J. Randle,48,52
192,2,1:36.0,,J. Randle misses 2-pt layup at rim,48,52
193,2,1:34.0,,Offensive rebound by J. Randle,48,52
194,2,1:32.0,,J. Randle misses 2-pt dunk from 2 ft (block by J. Allen),48,52
195,2,1:30.0,Defensive rebound by S. Dinwiddie,,48,52
196,2,1:26.0,S. Dinwiddie misses 2-pt layup from 1 ft,,48,52
197,2,1:25.0,Offensive rebound by J. Allen,,48,52
198,2,1:22.0,J. Allen makes 2-pt dunk from 1 ft,,50,52
199,2,1:03.0,,Turnover by T. Gibson (traveling),50,52
200,2,0:46.0,T. Prince misses 3-pt jump shot from 29 ft,,50,52
201,2,0:44.0,,Defensive rebound by M. Morris,50,52
202,2,0:38.0,,M. Morris makes 3-pt jump shot from 25 ft,50,55
203,2,0:33.0,Shooting foul by E. Payton (drawn by S. Dinwiddie),,50,55
204,2,0:33.0,Technical foul by J. Randle,,50,55
205,2,0:33.0,T. Prince makes technical free throw,,51,55
206,2,0:33.0,S. Dinwiddie misses free throw 1 of 2,,51,55
207,2,0:33.0,Offensive rebound by Team,,51,55
208,2,0:33.0,S. Dinwiddie makes free throw 2 of 2,,52,55
209,2,0:10.0,,J. Randle misses 2-pt jump shot from 16 ft,52,55
210,2,0:08.0,,Offensive rebound by M. Morris,52,55
211,2,0:01.0,,R. Bullock misses 2-pt jump shot from 5 ft,52,55
212,2,0:01.0,,Offensive rebound by Team,52,55
213,3,11:36.0,,M. Morris misses 2-pt jump shot from 22 ft,52,55
214,3,11:34.0,Defensive rebound by Team,,52,55
215,3,11:19.0,G. Temple makes 3-pt jump shot from 26 ft,,55,55
216,3,11:05.0,,J. Randle makes 2-pt layup from 1 ft (assist by R. Bullock),55,57
217,3,10:46.0,J. Harris makes 2-pt jump shot from 21 ft (assist by T. Prince),,57,57
218,3,10:17.0,,J. Randle misses 3-pt jump shot from 25 ft,57,57
219,3,10:15.0,,Offensive rebound by E. Payton,57,57
220,3,10:12.0,,T. Gibson misses 2-pt dunk from 2 ft (block by J. Allen),57,57
221,3,10:10.0,Defensive rebound by S. Dinwiddie,,57,57
222,3,10:07.0,T. Prince makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),,60,57
223,3,9:47.0,,M. Morris makes 2-pt jump shot from 10 ft,60,59
224,3,9:35.0,Personal foul by M. Morris (drawn by S. Dinwiddie),,60,59
225,3,9:25.0,J. Harris makes 2-pt layup from 2 ft (assist by G. Temple),,62,59
226,3,9:05.0,,M. Morris misses 3-pt jump shot from 26 ft,62,59
227,3,9:03.0,Defensive rebound by J. Harris,,62,59
228,3,8:55.0,Personal foul by R. Bullock (drawn by J. Allen),,62,59
229,3,8:51.0,Shooting foul by E. Payton (drawn by S. Dinwiddie),,62,59
230,3,8:51.0,S. Dinwiddie makes free throw 1 of 2,,63,59
231,3,8:51.0,S. Dinwiddie misses free throw 2 of 2,,63,59
232,3,8:49.0,,Defensive rebound by J. Randle,63,59
233,3,8:35.0,,J. Randle misses 2-pt jump shot from 5 ft (block by G. Temple),63,59
234,3,8:33.0,,Offensive rebound by Team,63,59
235,3,8:28.0,,J. Randle misses 3-pt jump shot from 23 ft,63,59
236,3,8:26.0,,Offensive rebound by T. Gibson,63,59
237,3,8:25.0,,T. Gibson makes 2-pt layup at rim,63,61
238,3,8:15.0,Turnover by J. Harris (lost ball; steal by M. Morris),,63,61
239,3,8:14.0,,Personal take foul by G. Temple (drawn by M. Morris),63,61
240,3,8:08.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by E. Payton),63,64
241,3,7:57.0,S. Dinwiddie misses 2-pt layup from 4 ft (block by E. Payton),,63,64
242,3,7:56.0,Offensive rebound by Team,,63,64
243,3,7:54.0,J. Harris misses 3-pt jump shot from 23 ft,,63,64
244,3,7:52.0,,Defensive rebound by T. Gibson,63,64
245,3,7:39.0,,E. Payton misses 3-pt jump shot from 26 ft,63,64
246,3,7:37.0,Defensive rebound by S. Dinwiddie,,63,64
247,3,7:30.0,Turnover by J. Allen (bad pass),,63,64
248,3,7:21.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by E. Payton),63,67
249,3,7:19.0,Brooklyn full timeout,,63,67
250,3,7:02.0,S. Dinwiddie makes 3-pt jump shot from 23 ft,,66,67
251,3,6:36.0,,M. Morris misses 3-pt jump shot from 25 ft,66,67
252,3,6:34.0,,Offensive rebound by J. Randle,66,67
253,3,6:27.0,,M. Morris makes 2-pt layup from 3 ft (assist by E. Payton),66,69
254,3,6:19.0,S. Dinwiddie misses 2-pt layup from 2 ft (block by T. Gibson),,66,69
255,3,6:18.0,Offensive rebound by Team,,66,69
256,3,6:18.0,C. LeVert enters the game for G. Temple,,66,69
257,3,6:03.0,T. Prince misses 3-pt jump shot from 22 ft,,66,69
258,3,6:02.0,Offensive rebound by Team,,66,69
259,3,6:02.0,Turnover by Team (shot clock),,66,69
260,3,5:52.0,,J. Randle misses 2-pt layup from 2 ft,66,69
261,3,5:50.0,,Offensive rebound by Team,66,69
262,3,5:40.0,,J. Randle makes 2-pt dunk at rim,66,71
263,3,5:26.0,Turnover by J. Allen (lost ball; steal by E. Payton),,66,71
264,3,5:17.0,,T. Gibson makes 2-pt layup from 1 ft (assist by E. Payton),66,73
265,3,5:04.0,Shooting foul by T. Gibson (drawn by S. Dinwiddie),,66,73
266,3,5:04.0,W. Chandler enters the game for J. Harris,,66,73
267,3,5:04.0,R. Kurucs enters the game for T. Prince,,66,73
268,3,5:04.0,S. Dinwiddie makes free throw 1 of 2,,67,73
269,3,5:04.0,S. Dinwiddie makes free throw 2 of 2,,68,73
270,3,4:52.0,,M. Morris misses 2-pt jump shot from 10 ft,68,73
271,3,4:50.0,,Offensive rebound by J. Randle,68,73
272,3,4:50.0,,J. Randle misses 2-pt layup from 1 ft,68,73
273,3,4:48.0,Defensive rebound by W. Chandler,,68,73
274,3,4:38.0,R. Kurucs misses 3-pt jump shot from 28 ft,,68,73
275,3,4:37.0,,Defensive rebound by Team,68,73
276,3,4:24.0,,E. Payton misses 2-pt layup from 4 ft,68,73
277,3,4:22.0,,Offensive rebound by J. Randle,68,73
278,3,4:20.0,,J. Randle makes 2-pt layup from 1 ft,68,75
279,3,4:15.0,R. Kurucs makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),,70,75
280,3,4:00.0,,Offensive foul by J. Randle (drawn by R. Kurucs),70,75
281,3,4:00.0,,Turnover by J. Randle (offensive foul),70,75
282,3,4:00.0,,M. Robinson enters the game for T. Gibson,70,75
283,3,3:38.0,R. Kurucs makes 2-pt layup from 1 ft (assist by C. LeVert),,72,75
284,3,3:20.0,,J. Randle makes 2-pt jump shot from 7 ft,72,77
285,3,3:14.0,S. Dinwiddie misses 2-pt layup from 3 ft (block by M. Robinson),,72,77
286,3,3:13.0,Offensive rebound by Team,,72,77
287,3,3:13.0,N. Claxton enters the game for J. Allen,,72,77
288,3,3:13.0,,D. Dotson enters the game for R. Bullock,72,77
289,3,3:13.0,,B. Portis enters the game for J. Randle,72,77
290,3,3:11.0,,Violation by Team (kicked ball),72,77
291,3,3:11.0,,F. Ntilikina enters the game for E. Payton,72,77
292,3,2:59.0,R. Kurucs misses 2-pt jump shot from 14 ft,,72,77
293,3,2:57.0,,Defensive rebound by M. Morris,72,77
294,3,2:48.0,,Turnover by M. Morris (bad pass; steal by R. Kurucs),72,77
295,3,2:44.0,W. Chandler misses 3-pt jump shot from 26 ft,,72,77
296,3,2:42.0,,Defensive rebound by D. Dotson,72,77
297,3,2:34.0,,B. Portis misses 2-pt jump shot from 5 ft,72,77
298,3,2:32.0,,Offensive rebound by B. Portis,72,77
299,3,2:28.0,,M. Morris makes 2-pt jump shot from 17 ft,72,79
300,3,2:28.0,,Shooting foul by W. Chandler (drawn by M. Morris),72,79
301,3,2:28.0,,New York full timeout,72,79
302,3,2:28.0,G. Temple enters the game for S. Dinwiddie,,72,79
303,3,2:28.0,,M. Morris misses free throw 1 of 1,72,79
304,3,2:26.0,Defensive rebound by G. Temple,,72,79
305,3,2:13.0,Shooting foul by M. Robinson (drawn by N. Claxton),,72,79
306,3,2:13.0,N. Claxton misses free throw 1 of 2,,72,79
307,3,2:13.0,Offensive rebound by Team,,72,79
308,3,2:13.0,,K. Knox enters the game for M. Morris,72,79
309,3,2:13.0,N. Claxton makes free throw 2 of 2,,73,79
310,3,1:57.0,,F. Ntilikina makes 2-pt jump shot from 18 ft,73,81
311,3,1:43.0,R. Kurucs misses 2-pt layup from 5 ft,,73,81
312,3,1:42.0,Offensive rebound by Team,,73,81
313,3,1:34.0,C. LeVert makes 2-pt jump shot from 16 ft,,75,81
314,3,1:14.0,,F. Ntilikina makes 2-pt jump shot from 13 ft (assist by M. Robinson),75,83
315,3,1:01.0,C. LeVert misses 2-pt jump shot from 13 ft,,75,83
316,3,0:59.0,,Defensive rebound by F. Ntilikina,75,83
317,3,0:52.0,,F. Ntilikina misses 2-pt jump shot from 23 ft,75,83
318,3,0:50.0,Defensive rebound by R. Kurucs,,75,83
319,3,0:42.0,Turnover by R. Kurucs (bad pass; steal by F. Ntilikina),,75,83
320,3,0:37.0,,D. Dotson makes 2-pt layup from 2 ft (assist by F. Ntilikina),75,85
321,3,0:29.0,C. LeVert misses 3-pt jump shot from 25 ft,,75,85
322,3,0:26.0,,Defensive rebound by M. Robinson,75,85
323,3,0:25.0,,Personal foul by R. Kurucs (drawn by M. Robinson),75,85
324,3,0:06.0,,D. Dotson misses 3-pt jump shot from 23 ft,75,85
325,3,0:03.0,Defensive rebound by C. LeVert,,75,85
326,3,0:00.0,Personal foul by F. Ntilikina (drawn by C. LeVert),,75,85
327,3,0:00.0,C. LeVert makes free throw 1 of 2,,76,85
328,3,0:00.0,C. LeVert misses free throw 2 of 2,,76,85
329,3,0:00.0,,Defensive rebound by B. Portis,76,85
330,4,11:47.0,R. Kurucs misses 3-pt jump shot from 25 ft,,76,85
331,4,11:46.0,,Defensive rebound by Team,76,85
332,4,11:35.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by K. Knox),76,87
333,4,11:23.0,Personal foul by M. Robinson (drawn by C. LeVert),,76,87
334,4,11:23.0,,J. Randle enters the game for M. Robinson,76,87
335,4,11:10.0,G. Temple misses 2-pt jump shot from 22 ft (block by J. Randle),,76,87
336,4,11:09.0,,Defensive rebound by J. Randle,76,87
337,4,10:54.0,,J. Randle makes 2-pt dunk from 1 ft (assist by K. Knox),76,89
338,4,10:39.0,J. Harris makes 2-pt layup at rim (assist by R. Kurucs),,78,89
339,4,10:19.0,,J. Randle makes 2-pt jump shot from 10 ft,78,91
340,4,10:08.0,C. LeVert makes 2-pt layup from 1 ft,,80,91
341,4,10:07.0,Violation by Team (delay of game),,80,91
342,4,9:56.0,,Turnover by B. Portis (traveling),80,91
343,4,9:46.0,Shooting foul by J. Randle (drawn by C. LeVert),,80,91
344,4,9:46.0,C. LeVert makes free throw 1 of 2,,81,91
345,4,9:46.0,,M. Morris enters the game for J. Randle,81,91
346,4,9:46.0,C. LeVert makes free throw 2 of 2,,82,91
347,4,9:36.0,,M. Morris makes 2-pt jump shot from 16 ft (assist by D. Dotson),82,93
348,4,9:23.0,C. LeVert misses 2-pt jump shot from 10 ft,,82,93
349,4,9:22.0,,Defensive rebound by M. Morris,82,93
350,4,9:22.0,Loose ball foul by C. LeVert (drawn by M. Morris),,82,93
351,4,9:22.0,J. Allen enters the game for W. Chandler,,82,93
352,4,9:22.0,S. Dinwiddie enters the game for C. LeVert,,82,93
353,4,9:22.0,,R. Bullock enters the game for B. Portis,82,93
354,4,9:10.0,,F. Ntilikina misses 2-pt layup from 2 ft,82,93
355,4,9:07.0,Defensive rebound by J. Harris,,82,93
356,4,8:59.0,J. Allen misses 2-pt layup from 5 ft,,82,93
357,4,8:58.0,Offensive rebound by J. Allen,,82,93
358,4,8:58.0,J. Allen makes 2-pt layup from 1 ft,,84,93
359,4,8:56.0,,New York full timeout,84,93
360,4,8:56.0,T. Prince enters the game for R. Kurucs,,84,93
361,4,8:56.0,,T. Gibson enters the game for K. Knox,84,93
362,4,8:44.0,,M. Morris makes 2-pt jump shot from 14 ft,84,95
363,4,8:26.0,Turnover by S. Dinwiddie (step out of bounds),,84,95
