,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,ATLANTA_ACTION,SACRAMENTO_SCORE,ATLANTA_SCORE
0,1,11:44.0,N. Bjelica misses 2-pt jump shot from 19 ft,,0,0
1,1,11:39.0,,Defensive rebound by J. Parker,0,0
2,1,11:19.0,,A. Len makes 2-pt hook shot from 6 ft (assist by J. Parker),0,2
3,1,11:19.0,Violation by Team (def goaltending),,0,2
4,1,11:06.0,Turnover by D. Fox (lost ball; steal by C. Reddish),,0,2
5,1,11:02.0,,C. Reddish misses 2-pt layup from 1 ft (block by D. Fox),0,2
6,1,10:55.0,,Offensive rebound by J. Parker,0,2
7,1,10:55.0,,J. Parker makes 2-pt dunk from 1 ft,0,4
8,1,10:46.0,B. Hield misses 2-pt jump shot from 19 ft (block by C. Reddish),,0,4
9,1,10:44.0,Offensive rebound by B. Hield,,0,4
10,1,10:44.0,Turnover by D. Fox (traveling),,0,4
11,1,10:33.0,,J. Parker misses 3-pt jump shot from 23 ft,0,4
12,1,10:28.0,,Offensive rebound by A. Len,0,4
13,1,10:28.0,,A. Len misses 2-pt layup from 1 ft,0,4
14,1,10:27.0,Defensive rebound by R. Holmes,,0,4
15,1,10:21.0,B. Hield misses 3-pt jump shot from 26 ft,,0,4
16,1,10:18.0,,Defensive rebound by A. Len,0,4
17,1,10:10.0,,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),0,6
18,1,9:54.0,N. Bjelica makes 3-pt jump shot from 24 ft (assist by D. Fox),,3,6
19,1,9:40.0,,T. Young misses 2-pt layup from 2 ft,3,6
20,1,9:39.0,Defensive rebound by Team,,3,6
21,1,9:31.0,N. Bjelica makes 3-pt jump shot from 26 ft (assist by D. Fox),,6,6
22,1,9:09.0,,T. Young makes 2-pt jump shot from 17 ft (assist by D. Hunter),6,8
23,1,9:01.0,B. Hield makes 2-pt layup from 1 ft (assist by D. Fox),,8,8
24,1,8:47.0,,C. Reddish misses 2-pt jump shot from 19 ft,8,8
25,1,8:44.0,Defensive rebound by R. Holmes,,8,8
26,1,8:39.0,B. Hield makes 2-pt layup from 2 ft,,10,8
27,1,8:22.0,,D. Hunter misses 3-pt jump shot from 25 ft,10,8
28,1,8:18.0,Defensive rebound by R. Holmes,,10,8
29,1,8:08.0,N. Bjelica makes 2-pt jump shot from 10 ft (assist by H. Barnes),,12,8
30,1,7:45.0,,T. Young misses 3-pt jump shot from 26 ft,12,8
31,1,7:42.0,Defensive rebound by H. Barnes,,12,8
32,1,7:36.0,B. Hield misses 3-pt jump shot from 25 ft,,12,8
33,1,7:33.0,,Defensive rebound by D. Hunter,12,8
34,1,7:19.0,,C. Reddish misses 3-pt jump shot from 25 ft,12,8
35,1,7:16.0,Defensive rebound by R. Holmes,,12,8
36,1,7:11.0,H. Barnes makes 3-pt jump shot from 24 ft (assist by D. Fox),,15,8
37,1,7:08.0,,Atlanta full timeout,15,8
38,1,7:08.0,,B. Fernando enters the game for A. Len,15,8
39,1,7:08.0,,K. Huerter enters the game for C. Reddish,15,8
40,1,6:50.0,,D. Hunter misses 2-pt layup from 1 ft,15,8
41,1,6:49.0,,Offensive rebound by Team,15,8
42,1,6:46.0,,K. Huerter makes 3-pt jump shot from 26 ft (assist by T. Young),15,11
