,QUARTER,TIME_REMAINING,DETROIT_ACTION,ATLANTA_ACTION,DETROIT_SCORE,ATLANTA_SCORE
0,1,11:45.0,D. Rose misses 2-pt jump shot from 18 ft,,0,0
1,1,11:40.0,,Defensive rebound by D. Hunter,0,0
2,1,11:23.0,,Personal foul by S. Doumbouya (drawn by J. Collins),0,0
3,1,11:16.0,,T. Young makes 3-pt jump shot from 28 ft,0,3
4,1,11:02.0,Turnover by B. Brown (bad pass; steal by D. Hunter),,0,3
5,1,10:57.0,,C. Reddish misses 2-pt layup at rim (block by T. Snell),0,3
6,1,10:57.0,,Offensive rebound by Team,0,3
7,1,10:51.0,,J. Collins misses 2-pt layup from 1 ft,0,3
8,1,10:48.0,Defensive rebound by D. Rose,,0,3
9,1,10:45.0,D. Rose makes 2-pt layup from 2 ft,,2,3
10,1,10:39.0,,K. Huerter misses 2-pt layup from 2 ft,2,3
11,1,10:36.0,Defensive rebound by A. Drummond,,2,3
12,1,10:33.0,Shooting foul by C. Reddish (drawn by D. Rose),,2,3
13,1,10:33.0,D. Rose makes free throw 1 of 2,,3,3
14,1,10:33.0,D. Rose makes free throw 2 of 2,,4,3
15,1,10:23.0,,Turnover by T. Young (bad pass; steal by A. Drummond),4,3
16,1,10:17.0,B. Brown makes 2-pt layup from 1 ft (assist by D. Rose),,6,3
17,1,10:07.0,,T. Young makes 2-pt layup from 1 ft,6,5
18,1,9:55.0,S. Doumbouya misses 2-pt layup from 1 ft,,6,5
19,1,9:50.0,Offensive rebound by A. Drummond,,6,5
20,1,9:50.0,A. Drummond makes 2-pt layup at rim,,8,5
21,1,9:31.0,,D. Hunter misses 2-pt jump shot from 10 ft,8,5
22,1,9:31.0,,Offensive rebound by Team,8,5
23,1,9:29.0,,J. Collins misses 3-pt jump shot from 25 ft,8,5
24,1,9:26.0,Defensive rebound by Team,,8,5
25,1,9:04.0,D. Rose makes 2-pt jump shot from 8 ft (assist by A. Drummond),,10,5
26,1,8:52.0,,J. Collins misses 2-pt layup from 1 ft (block by A. Drummond),10,5
27,1,8:52.0,,Offensive rebound by Team,10,5
28,1,8:50.0,,T. Young misses 3-pt jump shot from 23 ft (block by T. Snell),10,5
29,1,8:41.0,Defensive rebound by A. Drummond,,10,5
30,1,8:38.0,A. Drummond makes 2-pt layup from 1 ft (assist by D. Rose),,12,5
31,1,8:27.0,,T. Young makes 2-pt layup from 1 ft,12,7
32,1,8:16.0,A. Drummond misses 2-pt layup from 6 ft (block by J. Collins),,12,7
33,1,8:14.0,,Defensive rebound by J. Collins,12,7
34,1,8:07.0,,D. Hunter makes 3-pt jump shot from 23 ft (assist by T. Young),12,10
35,1,7:47.0,D. Rose makes 2-pt layup from 1 ft,,14,10
36,1,7:34.0,,T. Young misses 2-pt layup from 2 ft (block by T. Snell),14,10
37,1,7:30.0,,Offensive rebound by D. Hunter,14,10
38,1,7:28.0,,J. Collins makes 2-pt dunk from 1 ft (assist by D. Hunter),14,12
39,1,7:08.0,S. Doumbouya misses 3-pt jump shot from 26 ft,,14,12
40,1,7:06.0,,Defensive rebound by T. Young,14,12
41,1,7:01.0,,T. Young misses 3-pt jump shot from 30 ft,14,12
42,1,7:01.0,Defensive rebound by Team,,14,12
43,1,6:48.0,D. Rose makes 2-pt jump shot from 13 ft,,16,12
44,1,6:28.0,,Turnover by K. Huerter (lost ball; steal by T. Snell),16,12
45,1,6:25.0,T. Snell makes 2-pt layup from 3 ft,,18,12
46,1,6:24.0,,Atlanta full timeout,18,12
47,1,6:24.0,M. Morris enters the game for S. Doumbouya,,18,12
48,1,6:24.0,,B. Fernando enters the game for D. Hunter,18,12
49,1,6:24.0,,J. Teague enters the game for C. Reddish,18,12
50,1,6:11.0,,Turnover by J. Teague (bad pass; steal by A. Drummond),18,12
51,1,6:06.0,A. Drummond makes 2-pt dunk from 1 ft (assist by D. Rose),,20,12
52,1,5:52.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),20,14
53,1,5:34.0,Turnover by B. Brown (lost ball; steal by B. Fernando),,20,14
54,1,5:26.0,,T. Young misses 3-pt jump shot from 25 ft,20,14
55,1,5:20.0,Defensive rebound by A. Drummond,,20,14
56,1,5:08.0,T. Snell makes 3-pt jump shot from 23 ft,,23,14
57,1,4:41.0,,Turnover by Team (shot clock),23,14
58,1,4:41.0,T. Frazier enters the game for D. Rose,,23,14
59,1,4:41.0,,D. Bembry enters the game for K. Huerter,23,14
60,1,4:30.0,M. Morris makes 3-pt jump shot from 24 ft (assist by T. Frazier),,26,14
61,1,4:09.0,,J. Collins makes 2-pt layup from 3 ft (assist by J. Teague),26,16
62,1,3:59.0,Turnover by T. Frazier (bad pass),,26,16
63,1,3:59.0,,V. Carter enters the game for J. Collins,26,16
64,1,3:51.0,,Personal foul by B. Brown (drawn by T. Young),26,16
65,1,3:51.0,S. Mykhailiuk enters the game for T. Snell,,26,16
66,1,3:45.0,,V. Carter makes 3-pt jump shot from 28 ft (assist by T. Young),26,19
67,1,3:32.0,Turnover by A. Drummond (bad pass),,26,19
68,1,3:24.0,,Shooting foul by A. Drummond (drawn by D. Bembry),26,19
69,1,3:24.0,,D. Bembry makes free throw 1 of 2,26,20
70,1,3:24.0,,C. Reddish enters the game for T. Young,26,20
71,1,3:24.0,,D. Bembry makes free throw 2 of 2,26,21
72,1,3:07.0,M. Morris makes 3-pt jump shot from 26 ft (assist by S. Mykhailiuk),,29,21
73,1,2:54.0,,C. Reddish misses 2-pt jump shot from 18 ft,29,21
74,1,2:51.0,Defensive rebound by A. Drummond,,29,21
75,1,2:41.0,S. Mykhailiuk misses 3-pt jump shot from 26 ft,,29,21
76,1,2:38.0,,Defensive rebound by J. Teague,29,21
77,1,2:28.0,,C. Reddish misses 3-pt jump shot from 24 ft,29,21
78,1,2:26.0,,Offensive rebound by Team,29,21
79,1,2:26.0,Detroit full timeout,,29,21
80,1,2:26.0,L. Galloway enters the game for B. Brown,,29,21
81,1,2:26.0,C. Wood enters the game for A. Drummond,,29,21
82,1,2:20.0,,J. Teague misses 2-pt jump shot from 11 ft,29,21
83,1,2:17.0,,Offensive rebound by B. Fernando,29,21
84,1,2:15.0,,C. Reddish makes 3-pt jump shot from 25 ft (assist by J. Teague),29,24
85,1,2:01.0,S. Mykhailiuk makes 2-pt layup from 1 ft (assist by M. Morris),,31,24
86,1,1:33.0,,J. Teague makes 3-pt jump shot from 25 ft,31,27
87,1,1:12.0,M. Morris makes 2-pt hook shot from 7 ft,,33,27
88,1,0:59.0,,V. Carter misses 3-pt jump shot from 26 ft,33,27
89,1,0:55.0,Defensive rebound by L. Galloway,,33,27
90,1,0:46.0,Turnover by M. Morris (bad pass; steal by B. Fernando),,33,27
91,1,0:33.0,,Turnover by J. Teague (bad pass; steal by L. Galloway),33,27
92,1,0:29.0,S. Mykhailiuk makes 3-pt jump shot from 25 ft (assist by L. Galloway),,36,27
93,1,0:06.0,,V. Carter makes 2-pt layup from 8 ft (assist by J. Teague),36,29
94,1,0:00.0,T. Frazier misses 3-pt jump shot from 27 ft,,36,29
95,1,0:00.0,Offensive rebound by Team,,36,29
96,2,11:46.0,,J. Teague misses 2-pt jump shot from 10 ft,36,29
97,2,11:43.0,,Offensive rebound by J. Collins,36,29
98,2,11:41.0,,T. Graham misses 3-pt jump shot from 25 ft,36,29
99,2,11:39.0,Defensive rebound by C. Wood,,36,29
100,2,11:25.0,L. Galloway misses 3-pt jump shot from 26 ft,,36,29
101,2,11:21.0,,Defensive rebound by J. Teague,36,29
102,2,11:13.0,,Turnover by J. Collins (3 sec),36,29
103,2,11:05.0,Personal foul by T. Graham (drawn by M. Morris),,36,29
104,2,10:52.0,M. Morris makes 2-pt jump shot from 10 ft,,38,29
105,2,10:29.0,,D. Hunter makes 2-pt layup from 1 ft (assist by J. Teague),38,31
106,2,10:19.0,M. Morris misses 3-pt jump shot from 27 ft,,38,31
107,2,10:17.0,,Defensive rebound by J. Collins,38,31
108,2,10:17.0,,K. Huerter enters the game for C. Reddish,38,31
109,2,10:17.0,,T. Young enters the game for J. Teague,38,31
110,2,10:07.0,Violation by Team (jump ball),,38,31
111,2,10:03.0,,J. Collins makes 2-pt dunk at rim (assist by D. Hunter),38,33
112,2,9:45.0,C. Wood makes 2-pt layup from 5 ft (assist by L. Galloway),,40,33
113,2,9:28.0,,D. Hunter misses 3-pt jump shot from 25 ft (block by S. Mykhailiuk),40,33
114,2,9:27.0,,Offensive rebound by Team,40,33
115,2,9:23.0,,T. Young misses 2-pt jump shot from 11 ft,40,33
116,2,9:18.0,Defensive rebound by C. Wood,,40,33
117,2,9:12.0,C. Wood makes 2-pt dunk from 1 ft (assist by T. Frazier),,42,33
118,2,9:12.0,Shooting foul by J. Collins (drawn by C. Wood),,42,33
119,2,9:12.0,,C. Reddish enters the game for T. Graham,42,33
120,2,9:12.0,C. Wood makes free throw 1 of 1,,43,33
121,2,9:02.0,,D. Hunter makes 3-pt jump shot from 25 ft (assist by T. Young),43,36
122,2,8:50.0,L. Galloway makes 2-pt jump shot from 16 ft (assist by T. Frazier),,45,36
123,2,8:36.0,,D. Hunter makes 2-pt hook shot from 2 ft (assist by T. Young),45,38
124,2,8:36.0,,Shooting foul by M. Morris (drawn by D. Hunter),45,38
125,2,8:36.0,,D. Hunter makes free throw 1 of 1,45,39
126,2,8:27.0,S. Mykhailiuk makes 3-pt jump shot from 26 ft (assist by T. Frazier),,48,39
127,2,8:05.0,,C. Reddish misses 2-pt dunk from 1 ft (block by C. Wood),48,39
128,2,8:01.0,Defensive rebound by S. Mykhailiuk,,48,39
129,2,7:58.0,T. Frazier misses 3-pt jump shot from 26 ft,,48,39
130,2,7:57.0,,Defensive rebound by T. Young,48,39
131,2,7:57.0,S. Doumbouya enters the game for M. Morris,,48,39
132,2,7:41.0,,J. Collins makes 2-pt jump shot from 20 ft (assist by T. Young),48,41
133,2,7:41.0,Personal foul by K. Huerter (drawn by C. Wood),,48,41
