,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,GOLDEN STATE_ACTION,SACRAMENTO_SCORE,GOLDEN STATE_SCORE
0,1,11:40.0,H. Giles makes 2-pt hook shot from 6 ft (assist by B. Bogdanović),,2,0
1,1,11:20.0,,Turnover by D. Lee (bad pass; steal by H. Giles),2,0
2,1,11:08.0,H. Barnes misses 2-pt jump shot from 13 ft,,2,0
3,1,11:06.0,,Defensive rebound by M. Chriss,2,0
4,1,10:46.0,,Turnover by A. Wiggins (lost ball; steal by B. Bogdanović),2,0
5,1,10:42.0,H. Barnes makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,4,0
6,1,10:25.0,,Personal foul by B. Bogdanović (drawn by D. Lee),4,0
7,1,10:13.0,,Shooting foul by H. Giles (drawn by M. Chriss),4,0
8,1,10:13.0,,M. Chriss makes free throw 1 of 2,4,1
9,1,10:13.0,,M. Chriss misses free throw 2 of 2,4,1
10,1,10:11.0,Defensive rebound by N. Bjelica,,4,1
11,1,9:59.0,N. Bjelica misses 3-pt jump shot from 24 ft,,4,1
12,1,9:55.0,Offensive rebound by H. Giles,,4,1
13,1,9:53.0,H. Giles makes 2-pt hook shot from 6 ft,,6,1
14,1,9:40.0,,A. Wiggins makes 2-pt layup from 2 ft,6,3
15,1,9:40.0,,Shooting foul by H. Barnes (drawn by A. Wiggins),6,3
16,1,9:40.0,,A. Wiggins makes free throw 1 of 1,6,4
17,1,9:26.0,D. Fox misses 3-pt jump shot from 26 ft,,6,4
18,1,9:24.0,,Defensive rebound by Team,6,4
19,1,9:09.0,,D. Lee misses 3-pt jump shot from 22 ft,6,4
20,1,9:07.0,Defensive rebound by D. Fox,,6,4
21,1,8:59.0,Shooting foul by M. Chriss (drawn by D. Fox),,6,4
22,1,8:59.0,D. Fox makes free throw 1 of 2,,7,4
23,1,8:59.0,D. Fox misses free throw 2 of 2,,7,4
24,1,8:57.0,,Defensive rebound by M. Chriss,7,4
25,1,8:43.0,,D. Lee makes 2-pt jump shot from 9 ft (assist by J. Poole),7,6
26,1,8:26.0,B. Bogdanović makes 2-pt layup from 6 ft (assist by H. Giles),,9,6
27,1,8:09.0,,M. Chriss makes 2-pt dunk at rim (assist by A. Wiggins),9,8
28,1,7:42.0,H. Barnes makes 3-pt jump shot from 26 ft (assist by D. Fox),,12,8
29,1,7:42.0,,Loose ball foul by J. Poole (drawn by N. Bjelica),12,8
30,1,7:42.0,N. Bjelica makes free throw 1 of 1,,13,8
31,1,7:19.0,,E. Paschall misses 3-pt jump shot from 23 ft,13,8
32,1,7:18.0,,Offensive rebound by Team,13,8
33,1,7:18.0,,Turnover by Team (shot clock),13,8
34,1,7:10.0,H. Giles misses 2-pt layup from 2 ft,,13,8
35,1,7:09.0,,Defensive rebound by D. Lee,13,8
36,1,7:06.0,,M. Chriss makes 2-pt dunk from 3 ft (assist by D. Lee),13,10
37,1,7:00.0,Personal foul by D. Lee (drawn by H. Giles),,13,10
38,1,6:50.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by N. Bjelica),,16,10
39,1,6:46.0,,Golden State full timeout,16,10
40,1,6:46.0,,K. Bowman enters the game for J. Poole,16,10
41,1,6:42.0,,Turnover by A. Wiggins (traveling),16,10
42,1,6:32.0,B. Bogdanović misses 2-pt layup from 2 ft (block by D. Lee),,16,10
43,1,6:31.0,Offensive rebound by Team,,16,10
44,1,6:25.0,B. Bogdanović makes 3-pt jump shot from 33 ft (assist by N. Bjelica),,19,10
45,1,6:15.0,,Turnover by K. Bowman (dbl dribble),19,10
46,1,6:03.0,H. Barnes makes 2-pt layup from 2 ft (assist by H. Giles),,21,10
47,1,5:44.0,,D. Lee misses 3-pt jump shot from 27 ft,21,10
48,1,5:42.0,,Offensive rebound by M. Chriss,21,10
