,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,ORLANDO_ACTION,GOLDEN STATE_SCORE,ORLANDO_SCORE
0,1,11:39.0,D. Green makes 2-pt layup from 6 ft (assist by W. Cauley-Stein),,2,0
1,1,11:25.0,,A. Gordon makes 3-pt jump shot from 24 ft (assist by M. Fultz),2,3
2,1,11:06.0,E. Paschall misses 2-pt jump shot from 11 ft,,2,3
3,1,11:04.0,,Defensive rebound by J. Isaac,2,3
4,1,10:51.0,,Turnover by J. Isaac (lost ball; steal by A. Burks),2,3
5,1,10:39.0,E. Paschall makes 2-pt dunk from 1 ft (assist by A. Burks),,4,3
6,1,10:22.0,,E. Fournier misses 2-pt jump shot from 3 ft,4,3
7,1,10:19.0,Defensive rebound by W. Cauley-Stein,,4,3
8,1,10:11.0,Turnover by D. Green (bad pass; steal by J. Isaac),,4,3
9,1,10:07.0,,Shooting foul by W. Cauley-Stein (drawn by J. Isaac),4,3
10,1,10:07.0,,J. Isaac makes free throw 1 of 2,4,4
11,1,10:07.0,,J. Isaac makes free throw 2 of 2,4,5
12,1,9:51.0,E. Paschall misses 2-pt jump shot from 24 ft,,4,5
13,1,9:48.0,,Defensive rebound by J. Isaac,4,5
14,1,9:40.0,,Personal foul by D. Green (drawn by K. Birch),4,5
15,1,9:28.0,,A. Gordon misses 3-pt jump shot from 26 ft,4,5
16,1,9:26.0,,Offensive rebound by Team,4,5
17,1,9:26.0,,Turnover by Team (shot clock),4,5
18,1,9:17.0,Turnover by G. Robinson (bad pass; steal by K. Birch),,4,5
19,1,9:11.0,,M. Fultz makes 2-pt layup from 2 ft (assist by A. Gordon),4,7
20,1,8:46.0,W. Cauley-Stein misses 2-pt jump shot from 20 ft,,4,7
21,1,8:43.0,,Defensive rebound by K. Birch,4,7
22,1,8:31.0,,A. Gordon misses 2-pt layup from 9 ft,4,7
23,1,8:31.0,Defensive rebound by W. Cauley-Stein,,4,7
24,1,8:25.0,E. Paschall misses 2-pt layup from 6 ft (block by J. Isaac),,4,7
25,1,8:25.0,Offensive rebound by W. Cauley-Stein,,4,7
26,1,8:10.0,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by A. Burks),,6,7
27,1,7:45.0,,E. Fournier makes 2-pt jump shot from 10 ft,6,9
28,1,7:23.0,G. Robinson misses 2-pt jump shot from 18 ft,,6,9
29,1,7:20.0,,Defensive rebound by M. Fultz,6,9
30,1,7:14.0,,M. Fultz misses 2-pt layup from 5 ft (block by W. Cauley-Stein),6,9
31,1,7:11.0,,Offensive rebound by M. Fultz,6,9
32,1,7:10.0,,J. Isaac makes 3-pt jump shot from 26 ft (assist by M. Fultz),6,12
33,1,6:52.0,A. Burks makes 2-pt layup from 3 ft (assist by W. Cauley-Stein),,8,12
34,1,6:45.0,,M. Fultz makes 2-pt layup from 2 ft,8,14
35,1,6:45.0,,Shooting foul by W. Cauley-Stein (drawn by M. Fultz),8,14
36,1,6:45.0,,Orlando full timeout,8,14
37,1,6:45.0,K. Bowman enters the game for W. Cauley-Stein,,8,14
38,1,6:45.0,M. Chriss enters the game for D. Green,,8,14
39,1,6:45.0,,M. Fultz makes free throw 1 of 1,8,15
40,1,6:33.0,G. Robinson makes 2-pt jump shot from 8 ft (assist by K. Bowman),,10,15
41,1,6:11.0,,A. Gordon misses 2-pt jump shot from 11 ft,10,15
42,1,6:11.0,Defensive rebound by Team,,10,15
43,1,6:11.0,,W. Iwundu enters the game for A. Gordon,10,15
44,1,5:58.0,K. Bowman misses 3-pt jump shot from 26 ft,,10,15
45,1,5:56.0,,Defensive rebound by J. Isaac,10,15
46,1,5:49.0,,Turnover by J. Isaac (step out of bounds),10,15
47,1,5:40.0,A. Burks misses 3-pt jump shot from 27 ft,,10,15
48,1,5:38.0,,Defensive rebound by J. Isaac,10,15
49,1,5:30.0,,J. Isaac makes 2-pt layup from 2 ft (assist by M. Fultz),10,17
50,1,5:08.0,G. Robinson misses 2-pt dunk from 2 ft,,10,17
51,1,5:06.0,,Defensive rebound by E. Fournier,10,17
52,1,5:02.0,,E. Fournier misses 3-pt jump shot from 27 ft,10,17
53,1,4:57.0,Defensive rebound by M. Chriss,,10,17
54,1,4:54.0,K. Bowman makes 2-pt layup from 1 ft,,12,17
55,1,4:41.0,,E. Fournier makes 2-pt layup from 1 ft (assist by M. Fultz),12,19
56,1,4:25.0,Turnover by A. Burks (bad pass; steal by W. Iwundu),,12,19
57,1,4:21.0,,E. Fournier makes 2-pt layup from 1 ft (assist by K. Birch),12,21
58,1,4:21.0,Golden State full timeout,,12,21
59,1,4:21.0,J. Poole enters the game for A. Burks,,12,21
60,1,4:21.0,,D. Augustin enters the game for M. Fultz,12,21
