,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,LA LAKERS_ACTION,WASHINGTON_SCORE,LA LAKERS_SCORE
0,1,11:32.0,R. Hachimura makes 2-pt jump shot from 19 ft (assist by I. Thomas),,2,0
1,1,11:19.0,,Turnover by L. James (bad pass; steal by R. Hachimura),2,0
2,1,11:13.0,R. Hachimura makes 2-pt layup from 2 ft,,4,0
3,1,11:02.0,,K. Caldwell-Pope misses 2-pt jump shot from 22 ft,4,0
4,1,10:57.0,Defensive rebound by T. Bryant,,4,0
5,1,10:53.0,I. Thomas misses 3-pt jump shot from 27 ft,,4,0
6,1,10:49.0,,Defensive rebound by J. McGee,4,0
7,1,10:36.0,,A. Davis misses 2-pt jump shot from 3 ft,4,0
8,1,10:33.0,Defensive rebound by R. Hachimura,,4,0
9,1,10:21.0,I. Thomas makes 3-pt jump shot from 24 ft (assist by B. Beal),,7,0
10,1,9:56.0,,Turnover by L. James (bad pass; steal by T. Brown),7,0
11,1,9:52.0,T. Brown makes 2-pt layup from 1 ft,,9,0
12,1,9:43.0,,D. Green misses 3-pt jump shot from 23 ft,9,0
13,1,9:41.0,Defensive rebound by R. Hachimura,,9,0
14,1,9:36.0,T. Brown misses 3-pt jump shot from 26 ft (block by A. Davis),,9,0
15,1,9:32.0,,Defensive rebound by J. McGee,9,0
16,1,9:28.0,,Personal foul by T. Brown (drawn by A. Davis),9,0
17,1,9:24.0,,L. James makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),9,2
18,1,9:05.0,Turnover by T. Bryant (lost ball; steal by D. Green),,9,2
19,1,8:56.0,,Turnover by L. James (bad pass; steal by B. Beal),9,2
20,1,8:49.0,R. Hachimura makes 2-pt hook shot from 4 ft (assist by B. Beal),,11,2
21,1,8:37.0,,Turnover by L. James (lost ball; steal by I. Thomas),11,2
22,1,8:27.0,R. Hachimura misses 2-pt layup from 2 ft (block by A. Davis),,11,2
23,1,8:27.0,,Defensive rebound by J. McGee,11,2
24,1,8:22.0,,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by L. James),11,4
25,1,8:13.0,B. Beal makes 2-pt layup from 2 ft,,13,4
26,1,7:53.0,,A. Davis misses 2-pt jump shot from 3 ft,13,4
27,1,7:51.0,Defensive rebound by T. Brown,,13,4
28,1,7:46.0,R. Hachimura makes 2-pt layup from 3 ft (assist by T. Brown),,15,4
29,1,7:46.0,,LA Lakers full timeout,15,4
30,1,7:36.0,,K. Caldwell-Pope makes 2-pt hook shot from 2 ft (assist by J. McGee),15,6
31,1,7:10.0,Turnover by Team (shot clock),,15,6
32,1,6:56.0,,L. James misses 3-pt jump shot from 26 ft,15,6
33,1,6:50.0,Defensive rebound by R. Hachimura,,15,6
34,1,6:38.0,Personal foul by D. Green (drawn by B. Beal),,15,6
35,1,6:32.0,R. Hachimura misses 3-pt jump shot from 25 ft,,15,6
36,1,6:31.0,,Defensive rebound by J. McGee,15,6
37,1,6:21.0,,Shooting foul by T. Bryant (drawn by A. Davis),15,6
38,1,6:21.0,,A. Davis makes free throw 1 of 2,15,7
39,1,6:21.0,,A. Davis makes free throw 2 of 2,15,8
40,1,6:02.0,I. Thomas misses 3-pt jump shot from 25 ft,,15,8
41,1,6:00.0,Offensive rebound by T. Brown,,15,8
42,1,5:59.0,T. Brown makes 2-pt layup from 1 ft,,17,8
43,1,5:43.0,,D. Green makes 3-pt jump shot from 24 ft (assist by J. McGee),17,11
44,1,5:31.0,R. Hachimura misses 2-pt layup from 2 ft (block by J. McGee),,17,11
45,1,5:28.0,,Defensive rebound by J. McGee,17,11
46,1,5:26.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,17,11
47,1,5:24.0,,Offensive rebound by Team,17,11
48,1,5:17.0,,A. Davis makes 3-pt jump shot from 26 ft (assist by L. James),17,14
49,1,5:01.0,Turnover by B. Beal (lost ball; steal by J. McGee),,17,14
50,1,4:59.0,,J. McGee makes 2-pt dunk from 2 ft,17,16
51,1,4:59.0,Washington full timeout,,17,16
52,1,4:59.0,D. Bertāns enters the game for T. Brown,,17,16
53,1,4:59.0,,K. Kuzma enters the game for D. Green,17,16
54,1,4:59.0,,R. Rondo enters the game for J. McGee,17,16
55,1,4:42.0,T. Bryant makes 2-pt dunk from 2 ft (assist by B. Beal),,19,16
56,1,4:29.0,,A. Davis makes 2-pt dunk from 1 ft (assist by L. James),19,18
57,1,4:11.0,D. Bertāns misses 3-pt jump shot from 24 ft,,19,18
58,1,4:08.0,,Defensive rebound by K. Kuzma,19,18
59,1,3:57.0,,K. Kuzma misses 2-pt jump shot from 17 ft,19,18
60,1,3:56.0,,Offensive rebound by Team,19,18
61,1,3:56.0,Loose ball foul by D. Bertāns (drawn by A. Davis),,19,18
62,1,3:56.0,I. Smith enters the game for T. Bryant,,19,18
63,1,3:56.0,M. Wagner enters the game for I. Thomas,,19,18
64,1,3:54.0,,L. James makes 3-pt jump shot from 26 ft (assist by R. Rondo),19,21
65,1,3:40.0,Turnover by M. Wagner (bad pass),,19,21
66,1,3:31.0,,R. Rondo makes 3-pt jump shot from 24 ft (assist by K. Kuzma),19,24
67,1,3:24.0,Turnover by I. Smith (traveling),,19,24
68,1,3:24.0,,A. Caruso enters the game for L. James,19,24
69,1,3:11.0,,A. Davis makes 2-pt jump shot from 5 ft (assist by K. Caldwell-Pope),19,26
70,1,3:11.0,,Shooting foul by B. Beal (drawn by A. Davis),19,26
71,1,3:11.0,,A. Davis misses free throw 1 of 1,19,26
72,1,3:09.0,Defensive rebound by R. Hachimura,,19,26
73,1,2:53.0,B. Beal misses 2-pt jump shot from 4 ft,,19,26
74,1,2:52.0,,Defensive rebound by A. Davis,19,26
75,1,2:52.0,,Personal foul by B. Beal (drawn by A. Davis),19,26
76,1,2:52.0,,A. Davis makes free throw 1 of 2,19,27
