,QUARTER,TIME_REMAINING,ORLANDO_ACTION,PORTLAND_ACTION,ORLANDO_SCORE,PORTLAND_SCORE
0,1,11:42.0,,Turnover by H. Whiteside (bad pass),0,0
1,1,11:33.0,J. Isaac misses 2-pt layup from 3 ft (block by C. Anthony),,0,0
2,1,11:32.0,,Defensive rebound by C. Anthony,0,0
3,1,11:19.0,,D. Lillard misses 2-pt jump shot from 23 ft,0,0
4,1,11:16.0,Defensive rebound by A. Gordon,,0,0
5,1,11:02.0,Turnover by M. Fultz (bad pass; steal by C. McCollum),,0,0
6,1,10:58.0,,C. McCollum makes 2-pt layup from 1 ft,0,2
7,1,10:45.0,N. Vučević makes 2-pt jump shot from 9 ft (assist by M. Fultz),,2,2
8,1,10:20.0,,K. Bazemore misses 3-pt jump shot from 23 ft,2,2
9,1,10:14.0,,Offensive rebound by C. Anthony,2,2
10,1,10:14.0,,C. Anthony misses 2-pt dunk from 1 ft,2,2
11,1,10:14.0,Defensive rebound by N. Vučević,,2,2
12,1,10:09.0,E. Fournier makes 2-pt layup from 1 ft,,4,2
13,1,9:54.0,,D. Lillard makes 2-pt layup from 3 ft,4,4
14,1,9:47.0,A. Gordon misses 3-pt jump shot from 25 ft,,4,4
15,1,9:45.0,,Defensive rebound by D. Lillard,4,4
16,1,9:34.0,,Turnover by D. Lillard (bad pass; steal by N. Vučević),4,4
17,1,9:29.0,A. Gordon misses 2-pt layup from 2 ft (block by C. Anthony),,4,4
18,1,9:27.0,,Defensive rebound by Team,4,4
19,1,9:20.0,,Offensive foul by C. Anthony (drawn by E. Fournier),4,4
20,1,9:20.0,,Turnover by C. Anthony (offensive foul),4,4
21,1,9:09.0,J. Isaac misses 2-pt layup from 2 ft,,4,4
22,1,9:07.0,,Defensive rebound by C. Anthony,4,4
23,1,8:51.0,,C. Anthony makes 3-pt jump shot from 26 ft (assist by C. McCollum),4,7
24,1,8:37.0,N. Vučević misses 3-pt jump shot from 26 ft,,4,7
25,1,8:33.0,,Defensive rebound by C. Anthony,4,7
26,1,8:21.0,,C. McCollum makes 2-pt jump shot from 3 ft,4,9
27,1,8:04.0,M. Fultz misses 2-pt layup from 1 ft (block by H. Whiteside),,4,9
28,1,8:01.0,,Defensive rebound by C. McCollum,4,9
29,1,7:51.0,,D. Lillard misses 3-pt jump shot from 27 ft,4,9
30,1,7:48.0,Defensive rebound by N. Vučević,,4,9
31,1,7:37.0,N. Vučević makes 2-pt jump shot from 8 ft (assist by M. Fultz),,6,9
32,1,7:25.0,,H. Whiteside misses 3-pt jump shot from 27 ft,6,9
33,1,7:22.0,Defensive rebound by N. Vučević,,6,9
34,1,7:17.0,E. Fournier misses 3-pt jump shot from 25 ft,,6,9
35,1,7:17.0,Offensive rebound by Team,,6,9
36,1,7:17.0,,Loose ball foul by C. Anthony (drawn by J. Isaac),6,9
37,1,7:05.0,A. Gordon misses 2-pt jump shot from 8 ft (block by C. Anthony),,6,9
38,1,7:02.0,Offensive rebound by A. Gordon,,6,9
39,1,6:59.0,M. Fultz makes 3-pt jump shot from 25 ft (assist by A. Gordon),,9,9
40,1,6:41.0,,Personal foul by M. Fultz (drawn by H. Whiteside),9,9
41,1,6:41.0,,Portland full timeout,9,9
42,1,6:34.0,,Shooting foul by J. Isaac (drawn by C. Anthony),9,9
43,1,6:34.0,,C. Anthony makes free throw 1 of 2,9,10
44,1,6:34.0,,C. Anthony makes free throw 2 of 2,9,11
45,1,6:18.0,A. Gordon misses 3-pt jump shot from 22 ft,,9,11
46,1,6:16.0,,Defensive rebound by H. Whiteside,9,11
47,1,6:08.0,,C. McCollum makes 2-pt jump shot from 14 ft,9,13
48,1,5:53.0,A. Gordon misses 2-pt jump shot from 11 ft,,9,13
49,1,5:51.0,,Defensive rebound by H. Whiteside,9,13
50,1,5:45.0,,C. Anthony misses 2-pt layup from 2 ft (block by A. Gordon),9,13
51,1,5:44.0,,Offensive rebound by C. Anthony,9,13
52,1,5:43.0,,C. Anthony misses 2-pt layup at rim (block by N. Vučević),9,13
53,1,5:42.0,,Offensive rebound by C. Anthony,9,13
54,1,5:42.0,,C. Anthony misses 2-pt layup from 1 ft,9,13
55,1,5:41.0,,Offensive rebound by H. Whiteside,9,13
56,1,5:40.0,,H. Whiteside makes 2-pt layup from 1 ft,9,15
57,1,5:26.0,A. Gordon misses 2-pt layup from 1 ft (block by H. Whiteside),,9,15
58,1,5:25.0,Offensive rebound by A. Gordon,,9,15
59,1,5:24.0,A. Gordon misses 2-pt layup from 4 ft,,9,15
60,1,5:23.0,Offensive rebound by N. Vučević,,9,15
61,1,5:23.0,N. Vučević misses 2-pt layup from 2 ft,,9,15
62,1,5:22.0,Offensive rebound by N. Vučević,,9,15
63,1,5:22.0,N. Vučević misses 2-pt layup from 1 ft,,9,15
64,1,5:21.0,,Defensive rebound by K. Bazemore,9,15
65,1,5:12.0,,Turnover by K. Bazemore (lost ball; steal by J. Isaac),9,15
66,1,5:00.0,E. Fournier misses 2-pt jump shot from 15 ft,,9,15
67,1,5:00.0,,Defensive rebound by C. McCollum,9,15
68,1,4:52.0,,C. McCollum makes 3-pt jump shot from 26 ft,9,18
69,1,4:28.0,N. Vučević misses 2-pt hook shot from 6 ft,,9,18
70,1,4:25.0,Offensive rebound by A. Gordon,,9,18
71,1,4:25.0,A. Gordon misses 2-pt layup from 1 ft,,9,18
72,1,4:24.0,,Defensive rebound by H. Whiteside,9,18
73,1,4:17.0,,C. McCollum misses 2-pt layup from 2 ft,9,18
74,1,4:16.0,Defensive rebound by N. Vučević,,9,18
75,1,4:04.0,J. Isaac misses 2-pt jump shot from 15 ft,,9,18
76,1,4:02.0,,Defensive rebound by H. Whiteside,9,18
77,1,3:53.0,,K. Bazemore makes 3-pt jump shot from 26 ft (assist by D. Lillard),9,21
78,1,3:42.0,Turnover by M. Fultz (bad pass; steal by D. Lillard),,9,21
79,1,3:39.0,,K. Bazemore misses 3-pt jump shot from 26 ft,9,21
80,1,3:36.0,Defensive rebound by N. Vučević,,9,21
81,1,3:36.0,Orlando full timeout,,9,21
82,1,3:36.0,D. Augustin enters the game for E. Fournier,,9,21
83,1,3:36.0,M. Carter-Williams enters the game for M. Fultz,,9,21
84,1,3:36.0,T. Ross enters the game for A. Gordon,,9,21
85,1,3:36.0,,A. Simons enters the game for C. Anthony,9,21
86,1,3:36.0,,A. Tolliver enters the game for K. Bazemore,9,21
