,QUARTER,TIME_REMAINING,BOSTON_ACTION,PHOENIX_ACTION,BOSTON_SCORE,PHOENIX_SCORE
0,1,11:42.0,,K. Oubre misses 2-pt layup from 9 ft (block by M. Smart),0,0
1,1,11:40.0,Defensive rebound by K. Walker,,0,0
2,1,11:38.0,J. Brown misses 2-pt layup from 1 ft (block by J. Carter),,0,0
3,1,11:35.0,,Defensive rebound by A. Baynes,0,0
4,1,11:30.0,,D. Booker makes 2-pt layup from 1 ft,0,2
5,1,11:09.0,J. Brown misses 3-pt jump shot from 23 ft,,0,2
6,1,11:06.0,,Defensive rebound by D. Booker,0,2
7,1,11:01.0,,Turnover by D. Booker (bad pass; steal by M. Smart),0,2
8,1,10:56.0,J. Tatum misses 3-pt jump shot from 24 ft,,0,2
9,1,10:54.0,,Defensive rebound by A. Baynes,0,2
10,1,10:39.0,,Personal foul by J. Tatum (drawn by D. Booker),0,2
11,1,10:34.0,,Shooting foul by D. Theis (drawn by D. Šarić),0,2
12,1,10:34.0,,D. Šarić misses free throw 1 of 2,0,2
13,1,10:34.0,,Offensive rebound by Team,0,2
14,1,10:34.0,,D. Šarić makes free throw 2 of 2,0,3
15,1,10:17.0,J. Brown misses 2-pt jump shot from 12 ft,,0,3
16,1,10:13.0,,Defensive rebound by K. Oubre,0,3
17,1,10:03.0,,K. Oubre misses 3-pt jump shot from 25 ft,0,3
18,1,10:01.0,Defensive rebound by D. Theis,,0,3
19,1,9:49.0,Offensive foul by J. Tatum (drawn by D. Šarić),,0,3
20,1,9:49.0,Turnover by J. Tatum (offensive foul),,0,3
21,1,9:34.0,,A. Baynes misses 3-pt jump shot from 26 ft,0,3
22,1,9:31.0,Defensive rebound by J. Brown,,0,3
23,1,9:27.0,K. Walker makes 2-pt jump shot from 22 ft (assist by J. Tatum),,2,3
24,1,9:06.0,,D. Šarić misses 2-pt layup from 1 ft,2,3
25,1,9:04.0,Defensive rebound by D. Theis,,2,3
26,1,8:58.0,J. Brown misses 3-pt jump shot from 26 ft,,2,3
27,1,8:55.0,,Defensive rebound by J. Carter,2,3
28,1,8:41.0,,K. Oubre makes 3-pt jump shot from 23 ft (assist by A. Baynes),2,6
29,1,8:15.0,K. Walker misses 3-pt jump shot from 26 ft,,2,6
30,1,8:12.0,,Defensive rebound by K. Oubre,2,6
31,1,8:05.0,,A. Baynes makes 2-pt hook shot from 1 ft (assist by D. Booker),2,8
32,1,7:46.0,J. Tatum misses 2-pt jump shot from 23 ft,,2,8
33,1,7:42.0,Offensive rebound by D. Theis,,2,8
34,1,7:41.0,D. Theis misses 2-pt layup from 2 ft,,2,8
35,1,7:40.0,,Defensive rebound by D. Šarić,2,8
36,1,7:30.0,,D. Šarić misses 3-pt jump shot from 26 ft,2,8
37,1,7:27.0,Defensive rebound by J. Tatum,,2,8
38,1,7:20.0,K. Walker misses 3-pt jump shot from 25 ft,,2,8
39,1,7:16.0,Offensive rebound by D. Theis,,2,8
40,1,7:11.0,Shooting foul by J. Carter (drawn by J. Tatum),,2,8
41,1,7:11.0,J. Tatum makes free throw 1 of 2,,3,8
42,1,7:11.0,,Phoenix full timeout,3,8
43,1,7:11.0,E. Freedom enters the game for D. Theis,,3,8
44,1,7:11.0,J. Tatum makes free throw 2 of 2,,4,8
45,1,6:57.0,,D. Šarić misses 2-pt hook shot from 2 ft,4,8
46,1,6:55.0,Defensive rebound by E. Freedom,,4,8
47,1,6:48.0,Shooting foul by A. Baynes (drawn by J. Brown),,4,8
48,1,6:48.0,J. Brown misses free throw 1 of 2,,4,8
49,1,6:48.0,Offensive rebound by Team,,4,8
50,1,6:48.0,J. Brown misses free throw 2 of 2,,4,8
51,1,6:46.0,,Defensive rebound by D. Šarić,4,8
52,1,6:37.0,,D. Booker misses 2-pt jump shot from 14 ft,4,8
53,1,6:34.0,Defensive rebound by J. Tatum,,4,8
54,1,6:23.0,M. Smart makes 2-pt jump shot from 11 ft,,6,8
55,1,6:23.0,Shooting foul by K. Oubre (drawn by M. Smart),,6,8
56,1,6:23.0,B. Wanamaker enters the game for J. Tatum,,6,8
57,1,6:23.0,M. Smart makes free throw 1 of 1,,7,8
58,1,6:06.0,,A. Baynes makes 3-pt jump shot from 25 ft (assist by J. Carter),7,11
59,1,5:49.0,K. Walker makes 2-pt layup from 1 ft,,9,11
60,1,5:36.0,,D. Booker makes 2-pt layup at rim,9,13
61,1,5:17.0,M. Smart misses 3-pt jump shot from 26 ft,,9,13
62,1,5:14.0,,Defensive rebound by K. Oubre,9,13
63,1,5:14.0,,F. Kaminsky enters the game for A. Baynes,9,13
64,1,5:09.0,,D. Booker misses 3-pt jump shot from 23 ft,9,13
65,1,5:06.0,Defensive rebound by E. Freedom,,9,13
66,1,5:00.0,K. Walker misses 3-pt jump shot from 25 ft,,9,13
67,1,4:56.0,,Defensive rebound by F. Kaminsky,9,13
68,1,4:48.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by D. Booker),9,16
69,1,4:26.0,E. Freedom makes 2-pt hook shot from 7 ft,,11,16
70,1,4:13.0,,Offensive foul by K. Oubre (drawn by M. Smart),11,16
71,1,4:13.0,,Turnover by K. Oubre (offensive foul),11,16
72,1,4:13.0,,C. Johnson enters the game for J. Carter,11,16
73,1,4:13.0,,T. Johnson enters the game for K. Oubre,11,16
74,1,3:55.0,E. Freedom misses 2-pt jump shot from 7 ft,,11,16
75,1,3:51.0,,Defensive rebound by D. Šarić,11,16
