,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DETROIT_ACTION,BROOKLYN_SCORE,DETROIT_SCORE
0,1,11:44.0,,S. Mykhailiuk misses 3-pt jump shot from 25 ft,0,0
1,1,11:43.0,Defensive rebound by T. Prince,,0,0
2,1,11:31.0,K. Irving misses 2-pt jump shot from 11 ft,,0,0
3,1,11:28.0,Offensive rebound by J. Allen,,0,0
4,1,11:28.0,J. Allen makes 2-pt layup at rim,,2,0
5,1,11:10.0,,S. Doumbouya misses 3-pt jump shot from 25 ft,2,0
6,1,11:07.0,Defensive rebound by J. Allen,,2,0
7,1,10:56.0,G. Temple makes 3-pt jump shot from 25 ft (assist by K. Irving),,5,0
8,1,10:32.0,,S. Doumbouya misses 2-pt dunk from 2 ft (block by J. Allen),5,0
9,1,10:31.0,,Offensive rebound by S. Doumbouya,5,0
10,1,10:28.0,,S. Doumbouya misses 2-pt layup from 3 ft,5,0
11,1,10:27.0,,Offensive rebound by A. Drummond,5,0
12,1,10:27.0,,A. Drummond misses 2-pt layup from 1 ft,5,0
13,1,10:25.0,Defensive rebound by G. Temple,,5,0
14,1,10:20.0,Shooting foul by S. Doumbouya (drawn by G. Temple),,5,0
15,1,10:20.0,G. Temple makes free throw 1 of 2,,6,0
16,1,10:20.0,G. Temple misses free throw 2 of 2,,6,0
17,1,10:17.0,,Defensive rebound by S. Doumbouya,6,0
18,1,9:57.0,,A. Drummond makes 2-pt hook shot from 5 ft,6,2
19,1,9:48.0,T. Prince misses 3-pt jump shot from 29 ft,,6,2
20,1,9:48.0,,Defensive rebound by D. Rose,6,2
21,1,9:37.0,,D. Rose misses 3-pt jump shot from 23 ft,6,2
22,1,9:37.0,Defensive rebound by K. Irving,,6,2
23,1,9:26.0,K. Irving misses 2-pt jump shot from 16 ft,,6,2
24,1,9:23.0,,Defensive rebound by A. Drummond,6,2
25,1,9:13.0,,A. Drummond makes 2-pt layup from 2 ft (assist by B. Brown),6,4
26,1,9:01.0,G. Temple misses 3-pt jump shot from 27 ft,,6,4
27,1,8:58.0,,Defensive rebound by A. Drummond,6,4
28,1,8:53.0,,S. Mykhailiuk misses 3-pt jump shot from 27 ft,6,4
29,1,8:50.0,Defensive rebound by J. Harris,,6,4
30,1,8:43.0,T. Prince misses 3-pt jump shot from 28 ft,,6,4
31,1,8:43.0,,Defensive rebound by A. Drummond,6,4
32,1,8:34.0,,B. Brown makes 3-pt jump shot from 23 ft (assist by S. Mykhailiuk),6,7
33,1,8:08.0,J. Allen makes 2-pt hook shot from 5 ft,,8,7
34,1,7:54.0,,Shooting foul by G. Temple (drawn by D. Rose),8,7
35,1,7:54.0,,D. Rose makes free throw 1 of 2,8,8
36,1,7:54.0,,D. Rose makes free throw 2 of 2,8,9
37,1,7:44.0,K. Irving makes 2-pt jump shot from 11 ft,,10,9
38,1,7:23.0,,A. Drummond makes 2-pt layup from 2 ft (assist by S. Mykhailiuk),10,11
39,1,7:08.0,K. Irving makes 3-pt jump shot from 26 ft,,13,11
