,QUARTER,TIME_REMAINING,DENVER_ACTION,CLEVELAND_ACTION,DENVER_SCORE,CLEVELAND_SCORE
0,1,11:45.0,W. Barton misses 2-pt layup from 4 ft,,0,0
1,1,11:39.0,Offensive rebound by W. Barton,,0,0
2,1,11:39.0,W. Barton makes 2-pt layup at rim,,2,0
3,1,11:29.0,,K. Love misses 3-pt jump shot from 25 ft,2,0
4,1,11:26.0,Defensive rebound by W. Barton,,2,0
5,1,11:16.0,W. Barton misses 3-pt jump shot from 25 ft,,2,0
6,1,11:13.0,,Defensive rebound by T. Thompson,2,0
7,1,11:04.0,,K. Love misses 3-pt jump shot from 32 ft,2,0
8,1,11:00.0,Defensive rebound by N. Jokić,,2,0
9,1,10:57.0,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),,5,0
10,1,10:42.0,,C. Osman makes 3-pt jump shot from 23 ft (assist by M. Dellavedova),5,3
11,1,10:20.0,N. Jokić misses 2-pt jump shot from 4 ft,,5,3
12,1,10:19.0,,Defensive rebound by M. Dellavedova,5,3
13,1,10:19.0,,Personal take foul by N. Jokić (drawn by M. Dellavedova),5,3
14,1,10:07.0,,Offensive foul by C. Osman (drawn by P. Millsap),5,3
15,1,10:07.0,,Turnover by C. Osman (offensive foul),5,3
16,1,9:49.0,Turnover by N. Jokić (traveling),,5,3
17,1,9:33.0,,Turnover by C. Sexton (lost ball; steal by P. Millsap),5,3
18,1,9:28.0,W. Barton makes 3-pt jump shot from 23 ft (assist by G. Harris),,8,3
19,1,9:15.0,,C. Sexton misses 2-pt jump shot from 20 ft,8,3
20,1,9:13.0,Defensive rebound by W. Barton,,8,3
21,1,8:57.0,G. Harris makes 3-pt jump shot from 23 ft (assist by J. Murray),,11,3
22,1,8:48.0,,Personal foul by J. Murray (drawn by T. Thompson),11,3
23,1,8:31.0,,Turnover by Team (shot clock),11,3
24,1,8:19.0,Turnover by P. Millsap (bad pass; steal by C. Osman),,11,3
25,1,8:15.0,,C. Sexton makes 2-pt layup at rim (assist by C. Osman),11,5
26,1,7:53.0,G. Harris makes 3-pt jump shot from 23 ft (assist by J. Murray),,14,5
27,1,7:52.0,,Cleveland full timeout,14,5
28,1,7:38.0,,C. Sexton makes 2-pt jump shot from 17 ft,14,7
29,1,7:25.0,Turnover by N. Jokić (traveling),,14,7
30,1,7:25.0,,L. Nance enters the game for M. Dellavedova,14,7
31,1,7:18.0,,C. Sexton makes 2-pt jump shot from 11 ft (assist by T. Thompson),14,9
32,1,7:01.0,P. Millsap makes 2-pt jump shot from 7 ft (assist by W. Barton),,16,9
33,1,6:50.0,,C. Sexton misses 2-pt jump shot from 8 ft,16,9
34,1,6:48.0,Defensive rebound by W. Barton,,16,9
35,1,6:42.0,W. Barton makes 3-pt jump shot from 26 ft,,19,9
36,1,6:21.0,,K. Love makes 3-pt jump shot from 29 ft (assist by L. Nance),19,12
37,1,6:02.0,P. Millsap makes 2-pt layup from 2 ft,,21,12
38,1,5:50.0,,T. Thompson misses 2-pt hook shot from 7 ft,21,12
39,1,5:50.0,Defensive rebound by Team,,21,12
40,1,5:50.0,M. Morris enters the game for J. Murray,,21,12
41,1,5:35.0,N. Jokić makes 2-pt jump shot from 2 ft,,23,12
42,1,5:35.0,Shooting foul by T. Thompson (drawn by N. Jokić),,23,12
43,1,5:35.0,,A. McKinnie enters the game for C. Osman,23,12
44,1,5:35.0,N. Jokić misses free throw 1 of 1,,23,12
45,1,5:33.0,,Defensive rebound by K. Love,23,12
46,1,5:25.0,,A. McKinnie makes 2-pt dunk from 1 ft (assist by C. Sexton),23,14
47,1,5:15.0,G. Harris makes 2-pt dunk from 2 ft (assist by N. Jokić),,25,14
48,1,4:59.0,,T. Thompson misses 3-pt jump shot from 25 ft,25,14
49,1,4:56.0,Defensive rebound by P. Millsap,,25,14
50,1,4:48.0,Turnover by P. Millsap (out of bounds lost ball),,25,14
51,1,4:23.0,,T. Thompson makes 2-pt hook shot from 4 ft (assist by L. Nance),25,16
52,1,3:58.0,W. Barton misses 2-pt jump shot from 2 ft,,25,16
53,1,3:56.0,,Defensive rebound by T. Thompson,25,16
54,1,3:41.0,,A. McKinnie makes 2-pt dunk from 1 ft (assist by C. Sexton),25,18
55,1,3:41.0,Denver full timeout,,25,18
56,1,3:41.0,J. Grant enters the game for P. Millsap,,25,18
57,1,3:41.0,,C. Osman enters the game for K. Love,25,18
58,1,3:24.0,Turnover by M. Morris (lost ball; steal by L. Nance),,25,18
59,1,3:19.0,,C. Sexton misses 3-pt jump shot from 26 ft,25,18
60,1,3:14.0,Defensive rebound by G. Harris,,25,18
61,1,3:11.0,G. Harris makes 2-pt jump shot from 23 ft,,27,18
62,1,2:47.0,,A. McKinnie misses 3-pt jump shot from 24 ft,27,18
63,1,2:41.0,Defensive rebound by M. Morris,,27,18
64,1,2:38.0,W. Barton misses 3-pt jump shot from 26 ft,,27,18
65,1,2:36.0,Offensive rebound by Team,,27,18
66,1,2:36.0,T. Craig enters the game for W. Barton,,27,18
67,1,2:36.0,J. Murray enters the game for G. Harris,,27,18
68,1,2:25.0,J. Grant misses 2-pt jump shot from 23 ft,,27,18
69,1,2:22.0,,Defensive rebound by T. Thompson,27,18
70,1,2:10.0,,A. McKinnie makes 2-pt jump shot from 9 ft (assist by L. Nance),27,20
71,1,1:46.0,N. Jokić misses 3-pt jump shot from 23 ft,,27,20
72,1,1:44.0,,Defensive rebound by A. McKinnie,27,20
73,1,1:36.0,,Shooting foul by N. Jokić (drawn by T. Thompson),27,20
74,1,1:36.0,,T. Thompson makes free throw 1 of 2,27,21
75,1,1:36.0,M. Plumlee enters the game for N. Jokić,,27,21
76,1,1:36.0,,M. Dellavedova enters the game for C. Sexton,27,21
77,1,1:36.0,,T. Thompson misses free throw 2 of 2,27,21
78,1,1:34.0,Defensive rebound by M. Plumlee,,27,21
79,1,1:23.0,T. Craig misses 3-pt jump shot from 23 ft,,27,21
80,1,1:20.0,,Defensive rebound by A. McKinnie,27,21
81,1,1:07.0,,T. Thompson misses 2-pt hook shot from 4 ft,27,21
82,1,1:05.0,Defensive rebound by J. Grant,,27,21
83,1,1:02.0,Offensive foul by J. Grant (drawn by C. Osman),,27,21
84,1,1:02.0,Turnover by J. Grant (offensive foul),,27,21
85,1,1:02.0,,A. Žižić enters the game for T. Thompson,27,21
86,1,0:52.0,,C. Osman makes 2-pt layup from 1 ft (assist by M. Dellavedova),27,23
87,1,0:32.0,J. Murray misses 3-pt jump shot from 25 ft,,27,23
88,1,0:25.0,Offensive rebound by J. Murray,,27,23
89,1,0:24.0,M. Morris makes 3-pt jump shot from 24 ft (assist by M. Plumlee),,30,23
90,1,0:03.0,,Turnover by M. Dellavedova (lost ball; steal by M. Morris),30,23
91,1,0:01.0,J. Murray makes 3-pt jump shot from 35 ft (assist by T. Craig),,33,23
92,1,0:00.0,Instant Replay (Request: Ruling Stands),,33,23
93,2,11:45.0,,Personal foul by T. Craig (drawn by L. Nance),33,23
94,2,11:30.0,,L. Nance makes 2-pt hook shot from 4 ft,33,25
95,2,11:06.0,M. Morris makes 2-pt jump shot from 13 ft,,35,25
96,2,10:52.0,,C. Osman makes 3-pt jump shot from 26 ft,35,28
97,2,10:52.0,,Shooting foul by T. Craig (drawn by C. Osman),35,28
98,2,10:52.0,,C. Osman makes free throw 1 of 1,35,29
99,2,10:31.0,J. Grant makes 3-pt jump shot from 23 ft (assist by T. Craig),,38,29
100,2,10:20.0,,K. Love makes 3-pt jump shot from 27 ft (assist by M. Dellavedova),38,32
101,2,9:57.0,T. Craig misses 3-pt jump shot from 27 ft,,38,32
102,2,9:52.0,,Defensive rebound by K. Love,38,32
103,2,9:41.0,,A. Žižić misses 2-pt layup at rim,38,32
104,2,9:38.0,Defensive rebound by J. Grant,,38,32
105,2,9:30.0,J. Grant makes 2-pt jump shot from 16 ft (assist by J. Murray),,40,32
