,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,ORLANDO_ACTION,MINNESOTA_SCORE,ORLANDO_SCORE
0,1,11:48.0,,N. Vučević makes 2-pt layup from 2 ft (assist by A. Gordon),0,2
1,1,11:35.0,D. Russell misses 2-pt layup from 4 ft,,0,2
2,1,11:33.0,,Defensive rebound by N. Vučević,0,2
3,1,11:26.0,,Shooting foul by J. Okogie (drawn by A. Gordon),0,2
4,1,11:26.0,,A. Gordon misses free throw 1 of 2,0,2
5,1,11:26.0,,Offensive rebound by Team,0,2
6,1,11:26.0,,A. Gordon makes free throw 2 of 2,0,3
7,1,11:11.0,Turnover by J. Hernangómez (bad pass; steal by M. Fultz),,0,3
8,1,11:06.0,,J. Ennis makes 2-pt dunk at rim (assist by A. Gordon),0,5
9,1,11:06.0,Minnesota full timeout,,0,5
10,1,10:53.0,D. Russell makes 2-pt jump shot from 9 ft,,2,5
11,1,10:33.0,,M. Fultz misses 2-pt layup from 1 ft (block by D. Russell),2,5
12,1,10:24.0,,Offensive rebound by A. Gordon,2,5
13,1,10:24.0,,A. Gordon misses 2-pt layup at rim,2,5
14,1,10:23.0,Defensive rebound by J. Hernangómez,,2,5
15,1,10:21.0,D. Russell misses 2-pt jump shot from 8 ft,,2,5
16,1,10:19.0,,Defensive rebound by A. Gordon,2,5
17,1,10:18.0,,Turnover by A. Gordon (bad pass; steal by J. Hernangómez),2,5
18,1,10:13.0,Turnover by D. Russell (bad pass),,2,5
19,1,10:02.0,,M. Fultz makes 2-pt jump shot from 17 ft (assist by N. Vučević),2,7
20,1,9:51.0,N. Reid misses 2-pt layup from 10 ft (block by N. Vučević),,2,7
21,1,9:51.0,Offensive rebound by Team,,2,7
22,1,9:42.0,J. Hernangómez misses 3-pt jump shot from 26 ft,,2,7
23,1,9:39.0,,Defensive rebound by J. Ennis,2,7
24,1,9:33.0,,E. Fournier makes 2-pt layup at rim (assist by M. Fultz),2,9
25,1,9:19.0,J. Okogie makes 3-pt jump shot from 24 ft (assist by J. Hernangómez),,5,9
26,1,8:55.0,,E. Fournier makes 2-pt jump shot from 14 ft,5,11
27,1,8:47.0,Turnover by D. Russell (bad pass),,5,11
28,1,8:40.0,,Offensive foul by M. Fultz (drawn by J. Hernangómez),5,11
29,1,8:40.0,,Turnover by M. Fultz (offensive foul),5,11
30,1,8:28.0,M. Beasley makes 2-pt jump shot from 14 ft,,7,11
31,1,8:15.0,,N. Vučević makes 2-pt jump shot from 3 ft (assist by M. Fultz),7,13
32,1,8:01.0,J. Hernangómez makes 2-pt layup from 1 ft (assist by J. Okogie),,9,13
33,1,7:44.0,,J. Ennis misses 3-pt jump shot from 26 ft,9,13
34,1,7:41.0,Defensive rebound by J. Hernangómez,,9,13
35,1,7:34.0,M. Beasley misses 3-pt jump shot from 27 ft,,9,13
36,1,7:30.0,,Defensive rebound by J. Ennis,9,13
37,1,7:24.0,,Turnover by N. Vučević (bad pass),9,13
38,1,7:12.0,D. Russell misses 2-pt jump shot from 7 ft,,9,13
39,1,7:10.0,,Defensive rebound by A. Gordon,9,13
40,1,6:55.0,,A. Gordon misses 3-pt jump shot from 26 ft,9,13
41,1,6:51.0,Defensive rebound by N. Reid,,9,13
42,1,6:40.0,N. Reid makes 3-pt jump shot from 27 ft (assist by D. Russell),,12,13
43,1,6:28.0,,M. Fultz makes 2-pt jump shot from 18 ft (assist by A. Gordon),12,15
44,1,6:06.0,D. Russell makes 3-pt jump shot from 27 ft,,15,15
45,1,5:54.0,,N. Vučević makes 2-pt jump shot from 12 ft (assist by M. Fultz),15,17
46,1,5:44.0,D. Russell makes 2-pt jump shot from 20 ft,,17,17
47,1,5:33.0,,Orlando full timeout,17,17
48,1,5:33.0,J. Layman enters the game for M. Beasley,,17,17
49,1,5:33.0,,T. Ross enters the game for J. Ennis,17,17
50,1,5:33.0,Violation by Team (delay of game),,17,17
51,1,5:24.0,,A. Gordon makes 2-pt layup from 2 ft (assist by N. Vučević),17,19
52,1,5:12.0,J. Okogie makes 2-pt dunk from 1 ft (assist by J. Hernangómez),,19,19
53,1,5:01.0,,N. Vučević misses 3-pt jump shot from 27 ft,19,19
54,1,5:01.0,Defensive rebound by D. Russell,,19,19
55,1,4:49.0,D. Russell makes 2-pt jump shot from 19 ft,,21,19
56,1,4:36.0,,N. Vučević misses 2-pt layup from 5 ft (block by N. Reid),21,19
57,1,4:36.0,,Offensive rebound by Team,21,19
58,1,4:36.0,J. Culver enters the game for J. Hernangómez,,21,19
59,1,4:36.0,J. Johnson enters the game for J. Okogie,,21,19
60,1,4:35.0,,Shooting foul by D. Russell (drawn by M. Fultz),21,19
61,1,4:35.0,,M. Fultz misses free throw 1 of 2,21,19
62,1,4:35.0,,Offensive rebound by Team,21,19
63,1,4:35.0,,M. Fultz makes free throw 2 of 2,21,20
