,QUARTER,TIME_REMAINING,DENVER_ACTION,DETROIT_ACTION,DENVER_SCORE,DETROIT_SCORE
0,1,11:45.0,W. Barton makes 2-pt layup from 2 ft,,2,0
1,1,11:45.0,Shooting foul by T. Snell (drawn by W. Barton),,2,0
2,1,11:45.0,W. Barton makes free throw 1 of 1,,3,0
3,1,11:27.0,,A. Drummond misses 2-pt jump shot from 9 ft,3,0
4,1,11:24.0,Defensive rebound by N. Jokić,,3,0
5,1,11:07.0,N. Jokić makes 2-pt jump shot from 12 ft (assist by W. Barton),,5,0
6,1,10:51.0,,A. Drummond misses 2-pt jump shot from 8 ft,5,0
7,1,10:50.0,Defensive rebound by N. Jokić,,5,0
8,1,10:43.0,W. Barton misses 2-pt layup from 2 ft,,5,0
9,1,10:40.0,,Defensive rebound by S. Doumbouya,5,0
10,1,10:36.0,,S. Mykhailiuk misses 3-pt jump shot from 26 ft,5,0
11,1,10:30.0,Defensive rebound by M. Morris,,5,0
12,1,10:22.0,T. Craig makes 2-pt layup from 2 ft (assist by N. Jokić),,7,0
13,1,10:22.0,Shooting foul by S. Mykhailiuk (drawn by T. Craig),,7,0
14,1,10:22.0,T. Craig misses free throw 1 of 1,,7,0
15,1,10:17.0,,Defensive rebound by A. Drummond,7,0
16,1,10:16.0,,Detroit full timeout,7,0
17,1,10:02.0,,T. Snell makes 3-pt jump shot from 23 ft (assist by S. Mykhailiuk),7,3
18,1,9:44.0,W. Barton makes 2-pt dunk from 1 ft (assist by N. Jokić),,9,3
19,1,9:20.0,,T. Snell makes 2-pt jump shot from 5 ft (assist by S. Mykhailiuk),9,5
20,1,9:05.0,T. Craig makes 3-pt jump shot from 23 ft (assist by M. Morris),,12,5
21,1,8:54.0,,Shooting foul by T. Craig (drawn by D. Rose),12,5
22,1,8:54.0,,D. Rose misses free throw 1 of 2,12,5
23,1,8:54.0,,Offensive rebound by Team,12,5
24,1,8:54.0,,D. Rose misses free throw 2 of 2,12,5
25,1,8:52.0,Defensive rebound by T. Craig,,12,5
26,1,8:41.0,N. Jokić makes 2-pt jump shot from 15 ft (assist by M. Morris),,14,5
27,1,8:30.0,,A. Drummond misses 2-pt layup from 6 ft,14,5
28,1,8:28.0,Defensive rebound by T. Craig,,14,5
29,1,8:22.0,N. Jokić makes 2-pt jump shot from 7 ft (assist by W. Barton),,16,5
30,1,8:07.0,,S. Mykhailiuk misses 3-pt jump shot from 25 ft,16,5
31,1,8:05.0,Defensive rebound by N. Jokić,,16,5
32,1,7:55.0,M. Morris makes 2-pt layup from 6 ft,,18,5
33,1,7:55.0,Shooting foul by A. Drummond (drawn by M. Morris),,18,5
34,1,7:55.0,,C. Wood enters the game for A. Drummond,18,5
35,1,7:55.0,M. Morris makes free throw 1 of 1,,19,5
36,1,7:47.0,,Personal foul by N. Jokić (drawn by C. Wood),19,5
37,1,7:34.0,,S. Doumbouya makes 2-pt jump shot from 9 ft (assist by S. Mykhailiuk),19,7
