,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DALLAS_ACTION,PHOENIX_SCORE,DALLAS_SCORE
0,1,11:50.0,,Turnover by (8 sec),0,0
1,1,11:26.0,Turnover by Team (shot clock),,0,0
2,1,11:11.0,,Turnover by K. Porziņģis (bad pass; steal by D. Ayton),0,0
3,1,11:07.0,M. Bridges misses 2-pt dunk from 2 ft,,0,0
4,1,11:04.0,Offensive rebound by R. Rubio,,0,0
5,1,11:00.0,M. Bridges makes 2-pt layup from 1 ft (assist by R. Rubio),,2,0
6,1,10:45.0,,Turnover by D. Finney-Smith (lost ball; steal by K. Oubre),2,0
7,1,10:42.0,D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker),,4,0
8,1,10:40.0,,Dallas full timeout,4,0
9,1,10:22.0,,K. Porziņģis misses 3-pt jump shot from 27 ft,4,0
10,1,10:18.0,,Offensive rebound by D. Finney-Smith,4,0
11,1,10:17.0,,D. Finney-Smith misses 2-pt layup at rim,4,0
12,1,10:15.0,Defensive rebound by D. Ayton,,4,0
13,1,10:01.0,D. Booker makes 2-pt jump shot from 10 ft (assist by K. Oubre),,6,0
14,1,9:46.0,,L. Dončić misses 2-pt layup from 4 ft (block by D. Ayton),6,0
15,1,9:45.0,,Offensive rebound by K. Porziņģis,6,0
16,1,9:44.0,,Shooting foul by M. Bridges (drawn by K. Porziņģis),6,0
17,1,9:44.0,,K. Porziņģis makes free throw 1 of 2,6,1
18,1,9:44.0,,K. Porziņģis makes free throw 2 of 2,6,2
19,1,9:33.0,D. Ayton makes 2-pt hook shot from 6 ft (assist by D. Booker),,8,2
20,1,9:22.0,,L. Dončić makes 3-pt jump shot from 26 ft,8,5
21,1,9:08.0,Shooting foul by K. Porziņģis (drawn by D. Booker),,8,5
22,1,9:08.0,Technical foul by L. Dončić,,8,5
23,1,9:08.0,D. Booker misses technical free throw,,8,5
24,1,9:08.0,Offensive rebound by Team,,8,5
25,1,9:08.0,D. Booker makes free throw 1 of 2,,9,5
26,1,9:08.0,D. Booker makes free throw 2 of 2,,10,5
27,1,8:49.0,,L. Dončić misses 2-pt jump shot from 5 ft,10,5
28,1,8:46.0,,Offensive rebound by L. Dončić,10,5
29,1,8:46.0,,L. Dončić makes 2-pt layup at rim,10,7
30,1,8:37.0,D. Booker misses 2-pt jump shot from 12 ft,,10,7
31,1,8:34.0,,Defensive rebound by K. Porziņģis,10,7
32,1,8:31.0,,Turnover by L. Dončić (bad pass; steal by R. Rubio),10,7
33,1,8:28.0,D. Booker misses 3-pt jump shot from 26 ft,,10,7
34,1,8:25.0,,Defensive rebound by K. Porziņģis,10,7
