,QUARTER,TIME_REMAINING,PHOENIX_ACTION,NEW ORLEANS_ACTION,PHOENIX_SCORE,NEW ORLEANS_SCORE
0,1,11:43.0,,B. Ingram makes 3-pt jump shot from 23 ft (assist by J. Hayes),0,3
1,1,11:25.0,R. Rubio misses 3-pt jump shot from 24 ft,,0,3
2,1,11:21.0,,Defensive rebound by J. Hayes,0,3
3,1,11:10.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by B. Ingram),0,6
4,1,10:55.0,F. Kaminsky makes 2-pt jump shot from 8 ft (assist by D. Booker),,2,6
5,1,10:38.0,,B. Ingram makes 2-pt layup from 3 ft,2,8
6,1,10:23.0,D. Šarić makes 2-pt layup from 2 ft (assist by F. Kaminsky),,4,8
7,1,10:16.0,,J. Hayes makes 2-pt layup from 2 ft (assist by B. Ingram),4,10
8,1,10:16.0,,Shooting foul by F. Kaminsky (drawn by J. Hayes),4,10
9,1,10:16.0,,J. Hayes makes free throw 1 of 1,4,11
10,1,10:06.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by D. Booker),,7,11
11,1,9:55.0,,Turnover by L. Ball (bad pass; steal by F. Kaminsky),7,11
12,1,9:50.0,Turnover by D. Šarić (lost ball; steal by L. Ball),,7,11
13,1,9:44.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by J. Redick),7,14
14,1,9:31.0,Shooting foul by J. Holiday (drawn by D. Booker),,7,14
15,1,9:31.0,D. Booker makes free throw 1 of 3,,8,14
16,1,9:31.0,D. Booker makes free throw 2 of 3,,9,14
17,1,9:31.0,D. Booker makes free throw 3 of 3,,10,14
18,1,9:16.0,,J. Holiday misses 2-pt layup from 2 ft (block by R. Rubio),10,14
19,1,9:16.0,Defensive rebound by Team,,10,14
20,1,9:02.0,D. Šarić misses 3-pt jump shot from 23 ft,,10,14
21,1,9:02.0,,Defensive rebound by J. Redick,10,14
22,1,8:50.0,,B. Ingram makes 2-pt layup from 1 ft,10,16
23,1,8:50.0,,Violation by Team (delay of game),10,16
24,1,8:37.0,Personal foul by B. Ingram (drawn by F. Kaminsky),,10,16
25,1,8:32.0,K. Oubre misses 2-pt jump shot from 17 ft,,10,16
26,1,8:32.0,,Defensive rebound by B. Ingram,10,16
27,1,8:21.0,,Turnover by J. Holiday (lost ball; steal by R. Rubio),10,16
28,1,8:20.0,K. Oubre makes 2-pt dunk at rim (assist by R. Rubio),,12,16
29,1,8:20.0,Shooting foul by B. Ingram (drawn by K. Oubre),,12,16
30,1,8:20.0,,K. Williams enters the game for B. Ingram,12,16
31,1,8:20.0,K. Oubre misses free throw 1 of 1,,12,16
32,1,8:18.0,,Defensive rebound by Team,12,16
33,1,8:11.0,,Shooting foul by D. Booker (drawn by J. Redick),12,16
34,1,8:11.0,,J. Redick makes free throw 1 of 2,12,17
35,1,8:11.0,,J. Redick makes free throw 2 of 2,12,18
36,1,7:53.0,K. Oubre misses 2-pt jump shot from 2 ft,,12,18
37,1,7:50.0,Offensive rebound by K. Oubre,,12,18
38,1,7:50.0,K. Oubre misses 2-pt layup from 1 ft,,12,18
