,QUARTER,TIME_REMAINING,NEW YORK_ACTION,SACRAMENTO_ACTION,NEW YORK_SCORE,SACRAMENTO_SCORE
0,1,11:41.0,,N. Bjelica misses 2-pt jump shot from 5 ft,0,0
1,1,11:38.0,Defensive rebound by F. Ntilikina,,0,0
2,1,11:34.0,F. Ntilikina misses 2-pt jump shot from 23 ft,,0,0
3,1,11:32.0,,Defensive rebound by C. Joseph,0,0
4,1,11:25.0,,C. Joseph misses 2-pt jump shot from 14 ft,0,0
5,1,11:19.0,Defensive rebound by M. Morris,,0,0
6,1,11:05.0,J. Randle misses 3-pt jump shot from 26 ft,,0,0
7,1,11:01.0,,Defensive rebound by B. Hield,0,0
8,1,10:52.0,,N. Bjelica misses 3-pt jump shot from 24 ft,0,0
9,1,10:49.0,Defensive rebound by J. Randle,,0,0
10,1,10:43.0,M. Morris misses 2-pt jump shot from 17 ft,,0,0
11,1,10:40.0,Offensive rebound by J. Randle,,0,0
12,1,10:35.0,J. Randle makes 2-pt layup from 3 ft,,2,0
13,1,10:15.0,,N. Bjelica makes 3-pt jump shot from 25 ft (assist by H. Barnes),2,3
14,1,9:55.0,T. Gibson misses 2-pt layup from 3 ft (block by N. Bjelica),,2,3
15,1,9:51.0,,Defensive rebound by B. Hield,2,3
16,1,9:48.0,,Shooting foul by T. Gibson (drawn by N. Bjelica),2,3
17,1,9:48.0,,N. Bjelica makes free throw 1 of 2,2,4
18,1,9:48.0,,N. Bjelica misses free throw 2 of 2,2,4
19,1,9:46.0,Defensive rebound by T. Gibson,,2,4
20,1,9:27.0,F. Ntilikina misses 3-pt jump shot from 25 ft,,2,4
21,1,9:24.0,,Defensive rebound by H. Barnes,2,4
22,1,9:19.0,,H. Barnes makes 3-pt jump shot from 26 ft,2,7
23,1,9:06.0,New York full timeout,,2,7
24,1,8:54.0,J. Randle makes 2-pt hook shot from 8 ft,,4,7
25,1,8:35.0,,C. Joseph makes 3-pt jump shot from 26 ft (assist by N. Bjelica),4,10
26,1,8:22.0,J. Randle makes 2-pt layup from 4 ft,,6,10
27,1,8:04.0,,Turnover by C. Joseph (bad pass; steal by F. Ntilikina),6,10
28,1,7:56.0,J. Randle misses 3-pt jump shot from 26 ft,,6,10
29,1,7:53.0,,Defensive rebound by B. Hield,6,10
30,1,7:48.0,,Personal foul by F. Ntilikina (drawn by R. Holmes),6,10
31,1,7:40.0,,B. Hield makes 2-pt jump shot from 13 ft,6,12
32,1,7:23.0,T. Gibson misses 2-pt dunk from 2 ft,,6,12
33,1,7:20.0,Offensive rebound by M. Morris,,6,12
34,1,7:17.0,M. Morris makes 2-pt jump shot from 20 ft,,8,12
35,1,7:10.0,,R. Holmes misses 2-pt jump shot from 7 ft (block by T. Gibson),8,12
36,1,7:10.0,Defensive rebound by J. Randle,,8,12
37,1,7:06.0,T. Gibson makes 2-pt dunk from 2 ft (assist by J. Randle),,10,12
38,1,6:43.0,,Shooting foul by T. Gibson (drawn by N. Bjelica),10,12
39,1,6:43.0,,N. Bjelica makes free throw 1 of 2,10,13
40,1,6:43.0,M. Robinson enters the game for T. Gibson,,10,13
41,1,6:43.0,,N. Bjelica makes free throw 2 of 2,10,14
42,1,6:29.0,F. Ntilikina misses 3-pt jump shot from 23 ft,,10,14
43,1,6:27.0,,Defensive rebound by R. Holmes,10,14
44,1,6:18.0,,H. Barnes makes 2-pt layup from 2 ft,10,16
45,1,6:09.0,R. Barrett misses 3-pt jump shot from 25 ft,,10,16
46,1,6:06.0,,Defensive rebound by H. Barnes,10,16
47,1,6:00.0,,B. Hield makes 2-pt dunk at rim,10,18
48,1,5:35.0,Shooting foul by R. Holmes (drawn by J. Randle),,10,18
49,1,5:35.0,J. Randle misses free throw 1 of 2,,10,18
50,1,5:35.0,Offensive rebound by Team,,10,18
51,1,5:35.0,E. Payton enters the game for F. Ntilikina,,10,18
52,1,5:35.0,,M. Bagley enters the game for H. Barnes,10,18
53,1,5:35.0,,B. Bogdanović enters the game for R. Holmes,10,18
54,1,5:35.0,J. Randle makes free throw 2 of 2,,11,18
55,1,5:22.0,,Turnover by B. Bogdanović (bad pass),11,18
56,1,5:02.0,M. Robinson makes 2-pt dunk from 2 ft (assist by E. Payton),,13,18
57,1,4:48.0,,B. Hield makes 3-pt jump shot from 25 ft,13,21
58,1,4:37.0,Shooting foul by C. Joseph (drawn by E. Payton),,13,21
59,1,4:37.0,E. Payton makes free throw 1 of 2,,14,21
60,1,4:37.0,,T. Ariza enters the game for C. Joseph,14,21
61,1,4:37.0,E. Payton misses free throw 2 of 2,,14,21
62,1,4:35.0,,Defensive rebound by B. Hield,14,21
63,1,4:28.0,,B. Hield makes 3-pt jump shot from 23 ft,14,24
64,1,4:12.0,J. Randle makes 2-pt layup from 2 ft,,16,24
65,1,3:47.0,,T. Ariza misses 3-pt jump shot from 23 ft,16,24
66,1,3:43.0,,Offensive rebound by B. Hield,16,24
67,1,3:42.0,,B. Hield makes 2-pt dunk from 1 ft,16,26
68,1,3:38.0,New York full timeout,,16,26
69,1,3:38.0,D. Dotson enters the game for R. Barrett,,16,26
70,1,3:38.0,,H. Barnes enters the game for N. Bjelica,16,26
71,1,3:26.0,M. Robinson misses 2-pt dunk from 4 ft (block by M. Bagley),,16,26
72,1,3:25.0,,Defensive rebound by H. Barnes,16,26
73,1,3:22.0,,Personal foul by M. Morris (drawn by H. Barnes),16,26
74,1,3:09.0,,B. Hield misses 2-pt jump shot from 12 ft,16,26
75,1,3:09.0,Defensive rebound by M. Robinson,,16,26
76,1,2:54.0,J. Randle misses 2-pt layup from 8 ft,,16,26
77,1,2:52.0,Offensive rebound by M. Robinson,,16,26
78,1,2:51.0,M. Robinson makes 2-pt layup from 3 ft,,18,26
79,1,2:33.0,,M. Bagley misses 2-pt jump shot from 10 ft,18,26
80,1,2:30.0,Defensive rebound by M. Morris,,18,26
81,1,2:27.0,Personal foul by M. Bagley (drawn by J. Randle),,18,26
82,1,2:27.0,B. Portis enters the game for J. Randle,,18,26
83,1,2:21.0,B. Portis misses 2-pt jump shot from 13 ft,,18,26
84,1,2:17.0,,Defensive rebound by B. Hield,18,26
85,1,2:05.0,,M. Bagley makes 2-pt hook shot from 7 ft,18,28
86,1,1:45.0,E. Payton misses 2-pt layup from 2 ft,,18,28
87,1,1:41.0,,Defensive rebound by B. Hield,18,28
88,1,1:33.0,,M. Bagley makes 2-pt hook shot from 5 ft (assist by B. Bogdanović),18,30
89,1,1:12.0,M. Morris misses 3-pt jump shot from 26 ft,,18,30
90,1,1:10.0,,Defensive rebound by Team,18,30
91,1,1:10.0,K. Knox enters the game for M. Morris,,18,30
92,1,0:55.0,,B. Bogdanović misses 2-pt jump shot from 12 ft,18,30
93,1,0:54.0,Defensive rebound by Team,,18,30
94,1,0:54.0,,Loose ball foul by M. Bagley (drawn by M. Robinson),18,30
95,1,0:39.0,Offensive foul by B. Portis (drawn by M. Bagley),,18,30
96,1,0:39.0,Turnover by B. Portis (offensive foul),,18,30
97,1,0:32.0,,B. Hield makes 2-pt jump shot from 20 ft,18,32
98,1,0:25.0,E. Payton misses 2-pt layup from 2 ft,,18,32
99,1,0:24.0,Offensive rebound by M. Robinson,,18,32
100,1,0:24.0,M. Robinson makes 2-pt dunk from 1 ft,,20,32
101,1,0:03.0,,H. Barnes misses 2-pt layup from 2 ft,20,32
102,1,0:03.0,,Offensive rebound by M. Bagley,20,32
103,1,0:00.0,,M. Bagley misses 2-pt layup at rim,20,32
104,1,0:00.0,Defensive rebound by D. Dotson,,20,32
105,2,11:45.0,K. Knox misses 2-pt jump shot from 4 ft,,20,32
