,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PHILADELPHIA_ACTION,WASHINGTON_SCORE,PHILADELPHIA_SCORE
0,1,11:47.0,,A. Horford misses 2-pt jump shot from 20 ft,0,0
1,1,11:44.0,Defensive rebound by B. Beal,,0,0
2,1,11:31.0,I. Thomas misses 2-pt jump shot from 15 ft,,0,0
3,1,11:30.0,Offensive rebound by Team,,0,0
4,1,11:25.0,B. Beal misses 3-pt jump shot from 23 ft,,0,0
5,1,11:22.0,,Defensive rebound by J. Embiid,0,0
6,1,11:17.0,,J. Embiid misses 3-pt jump shot from 26 ft,0,0
7,1,11:14.0,Defensive rebound by B. Beal,,0,0
8,1,10:59.0,D. Bertāns makes 2-pt dunk from 1 ft (assist by B. Beal),,2,0
9,1,10:44.0,,B. Simmons makes 2-pt hook shot from 5 ft (assist by A. Horford),2,2
10,1,10:44.0,,Shooting foul by I. Bonga (drawn by B. Simmons),2,2
11,1,10:44.0,,B. Simmons misses free throw 1 of 1,2,2
12,1,10:42.0,Defensive rebound by I. Bonga,,2,2
13,1,10:39.0,Shooting foul by A. Horford (drawn by I. Bonga),,2,2
14,1,10:39.0,I. Bonga makes free throw 1 of 2,,3,2
15,1,10:39.0,I. Bonga makes free throw 2 of 2,,4,2
16,1,10:27.0,,J. Embiid makes 2-pt layup from 1 ft (assist by B. Simmons),4,4
17,1,10:14.0,B. Beal misses 3-pt jump shot from 24 ft,,4,4
18,1,10:11.0,Offensive rebound by I. Mahinmi,,4,4
19,1,10:09.0,I. Mahinmi makes 2-pt hook shot from 13 ft,,6,4
20,1,9:56.0,,A. Horford makes 2-pt jump shot from 6 ft,6,6
21,1,9:43.0,I. Thomas misses 2-pt layup from 1 ft (block by J. Embiid),,6,6
22,1,9:43.0,Offensive rebound by Team,,6,6
23,1,9:40.0,B. Beal makes 2-pt layup from 2 ft (assist by I. Bonga),,8,6
24,1,9:26.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by J. Embiid),8,9
25,1,9:16.0,Turnover by I. Mahinmi (out of bounds lost ball),,8,9
26,1,9:04.0,,J. Richardson misses 2-pt jump shot from 16 ft,8,9
27,1,9:00.0,Defensive rebound by D. Bertāns,,8,9
28,1,8:54.0,D. Bertāns misses 3-pt jump shot from 29 ft,,8,9
29,1,8:51.0,,Defensive rebound by J. Embiid,8,9
30,1,8:46.0,,T. Harris makes 2-pt dunk from 1 ft (assist by B. Simmons),8,11
31,1,8:39.0,Turnover by D. Bertāns (bad pass; steal by B. Simmons),,8,11
32,1,8:29.0,,T. Harris makes 3-pt jump shot from 24 ft (assist by A. Horford),8,14
33,1,8:28.0,Washington full timeout,,8,14
34,1,8:09.0,D. Bertāns misses 2-pt jump shot from 14 ft,,8,14
35,1,8:06.0,Offensive rebound by D. Bertāns,,8,14
36,1,8:04.0,D. Bertāns makes 2-pt dunk at rim,,10,14
37,1,7:53.0,,Personal foul by I. Mahinmi (drawn by J. Embiid),10,14
38,1,7:47.0,,Turnover by A. Horford (bad pass; steal by I. Mahinmi),10,14
39,1,7:43.0,Turnover by I. Thomas (bad pass),,10,14
40,1,7:30.0,,T. Harris misses 3-pt jump shot from 26 ft,10,14
41,1,7:24.0,Defensive rebound by I. Bonga,,10,14
42,1,7:21.0,I. Thomas misses 2-pt jump shot from 5 ft,,10,14
43,1,7:21.0,Offensive rebound by I. Mahinmi,,10,14
44,1,7:20.0,I. Mahinmi misses 2-pt layup from 1 ft,,10,14
45,1,7:20.0,,Defensive rebound by A. Horford,10,14
46,1,7:06.0,,J. Richardson misses 3-pt jump shot from 27 ft,10,14
47,1,7:03.0,Defensive rebound by D. Bertāns,,10,14
48,1,6:57.0,B. Beal makes 2-pt jump shot from 13 ft (assist by D. Bertāns),,12,14
49,1,6:38.0,,A. Horford misses 3-pt jump shot from 23 ft,12,14
50,1,6:35.0,Defensive rebound by D. Bertāns,,12,14
51,1,6:32.0,B. Beal misses 3-pt jump shot from 28 ft,,12,14
52,1,6:28.0,,Defensive rebound by A. Horford,12,14
53,1,6:19.0,,J. Richardson makes 2-pt jump shot from 8 ft (assist by B. Simmons),12,16
54,1,6:08.0,I. Thomas makes 2-pt jump shot from 16 ft,,14,16
55,1,6:00.0,,Shooting foul by B. Beal (drawn by B. Simmons),14,16
56,1,6:00.0,,B. Simmons makes free throw 1 of 2,14,17
57,1,6:00.0,T. Brown enters the game for I. Bonga,,14,17
58,1,6:00.0,A. Pasečņiks enters the game for I. Mahinmi,,14,17
59,1,6:00.0,,J. Ennis enters the game for J. Embiid,14,17
60,1,6:00.0,,F. Korkmaz enters the game for J. Richardson,14,17
61,1,6:00.0,,B. Simmons misses free throw 2 of 2,14,17
62,1,5:58.0,Defensive rebound by D. Bertāns,,14,17
63,1,5:52.0,I. Thomas misses 3-pt jump shot from 23 ft,,14,17
64,1,5:50.0,Offensive rebound by T. Brown,,14,17
65,1,5:42.0,A. Pasečņiks misses 2-pt jump shot from 15 ft,,14,17
66,1,5:39.0,,Defensive rebound by F. Korkmaz,14,17
67,1,5:24.0,,A. Horford misses 2-pt hook shot from 4 ft,14,17
68,1,5:20.0,,Offensive rebound by J. Ennis,14,17
69,1,5:20.0,,J. Ennis makes 2-pt layup at rim,14,19
70,1,5:20.0,I. Smith enters the game for I. Thomas,,14,19
71,1,5:09.0,A. Pasečņiks makes 2-pt layup from 2 ft (assist by B. Beal),,16,19
72,1,4:45.0,,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Ennis),16,22
73,1,4:33.0,B. Beal misses 3-pt jump shot from 25 ft,,16,22
74,1,4:31.0,,Defensive rebound by J. Ennis,16,22
75,1,4:25.0,,B. Simmons makes 2-pt layup from 3 ft,16,24
76,1,4:04.0,T. Brown misses 2-pt layup from 5 ft (block by A. Horford),,16,24
77,1,4:01.0,,Defensive rebound by T. Harris,16,24
78,1,3:47.0,,J. Ennis misses 3-pt jump shot from 26 ft,16,24
79,1,3:44.0,Defensive rebound by B. Beal,,16,24
80,1,3:40.0,B. Beal misses 2-pt dunk from 1 ft,,16,24
81,1,3:38.0,,Defensive rebound by B. Simmons,16,24
82,1,3:33.0,,Turnover by B. Simmons (bad pass),16,24
83,1,3:33.0,,M. Scott enters the game for T. Harris,16,24
84,1,3:16.0,A. Pasečņiks makes 2-pt jump shot from 4 ft (assist by D. Bertāns),,18,24
85,1,3:00.0,,J. Ennis misses 3-pt jump shot from 23 ft,18,24
86,1,2:57.0,Defensive rebound by D. Bertāns,,18,24
87,1,2:52.0,I. Smith misses 2-pt jump shot from 9 ft,,18,24
88,1,2:50.0,Offensive rebound by Team,,18,24
89,1,2:50.0,,Loose ball foul by F. Korkmaz (drawn by A. Pasečņiks),18,24
90,1,2:50.0,,Philadelphia full timeout,18,24
91,1,2:50.0,A. Schofield enters the game for D. Bertāns,,18,24
92,1,2:50.0,,T. Burke enters the game for J. Ennis,18,24
93,1,2:50.0,,J. Embiid enters the game for A. Horford,18,24
94,1,2:50.0,,J. Richardson enters the game for B. Simmons,18,24
95,1,2:50.0,,Instant Replay (Request: Ruling Stands),18,24
96,1,2:50.0,Away from play foul by J. Embiid (drawn by A. Pasečņiks),,18,24
97,1,2:50.0,B. Beal makes free throw 1 of 1,,19,24
98,1,2:38.0,B. Beal misses 3-pt jump shot from 27 ft,,19,24
99,1,2:37.0,,Defensive rebound by J. Embiid,19,24
100,1,2:33.0,,Personal foul by A. Pasečņiks (drawn by J. Embiid),19,24
101,1,2:27.0,,Shooting foul by A. Pasečņiks (drawn by J. Embiid),19,24
102,1,2:27.0,,J. Embiid makes free throw 1 of 2,19,25
103,1,2:27.0,,J. Embiid makes free throw 2 of 2,19,26
104,1,2:08.0,I. Smith misses 3-pt jump shot from 23 ft,,19,26
105,1,2:06.0,Offensive rebound by A. Pasečņiks,,19,26
106,1,1:55.0,B. Beal makes 2-pt jump shot from 17 ft,,21,26
107,1,1:37.0,,J. Richardson misses 3-pt jump shot from 27 ft,21,26
108,1,1:33.0,,Offensive rebound by T. Burke,21,26
109,1,1:23.0,,T. Burke makes 3-pt jump shot from 25 ft (assist by J. Richardson),21,29
110,1,1:05.0,I. Smith misses 2-pt jump shot from 10 ft,,21,29
111,1,1:02.0,,Defensive rebound by J. Embiid,21,29
112,1,0:52.0,,Personal foul by A. Pasečņiks (drawn by J. Embiid),21,29
113,1,0:52.0,,J. Embiid misses free throw 1 of 2,21,29
114,1,0:52.0,,Offensive rebound by Team,21,29
115,1,0:52.0,D. Bertāns enters the game for A. Pasečņiks,,21,29
116,1,0:52.0,,J. Embiid makes free throw 2 of 2,21,30
117,1,0:45.0,T. Brown makes 2-pt jump shot from 7 ft (assist by I. Smith),,23,30
118,1,0:34.0,,F. Korkmaz misses 2-pt layup from 4 ft,23,30
119,1,0:32.0,Defensive rebound by T. Brown,,23,30
120,1,0:26.0,T. Brown misses 2-pt hook shot from 3 ft,,23,30
121,1,0:24.0,,Defensive rebound by T. Burke,23,30
122,1,0:20.0,,J. Richardson makes 2-pt jump shot from 16 ft,23,32
123,1,0:00.0,B. Beal makes 2-pt jump shot from 20 ft,,25,32
124,1,0:00.0,Instant Replay (Request: Ruling Stands),,25,32
125,2,11:40.0,I. Smith misses 2-pt layup from 1 ft,,25,32
126,2,11:38.0,,Defensive rebound by J. Embiid,25,32
127,2,11:18.0,,Offensive foul by T. Burke (drawn by G. Mathews),25,32
128,2,11:18.0,,Turnover by T. Burke (offensive foul),25,32
129,2,11:10.0,D. Bertāns misses 3-pt jump shot from 26 ft (block by M. Thybulle),,25,32
130,2,11:06.0,,Defensive rebound by T. Burke,25,32
131,2,11:06.0,,Personal foul by G. Mathews (drawn by J. Richardson),25,32
132,2,10:55.0,,J. Embiid makes 2-pt hook shot from 3 ft (assist by T. Harris),25,34
133,2,10:46.0,Shooting foul by J. Richardson (drawn by G. Mathews),,25,34
134,2,10:46.0,G. Mathews misses free throw 1 of 3,,25,34
135,2,10:46.0,Offensive rebound by Team,,25,34
136,2,10:46.0,G. Mathews makes free throw 2 of 3,,26,34
137,2,10:46.0,G. Mathews makes free throw 3 of 3,,27,34
138,2,10:31.0,,M. Thybulle misses 3-pt jump shot from 25 ft,27,34
139,2,10:28.0,,Offensive rebound by J. Embiid,27,34
140,2,10:26.0,,Personal foul by A. Schofield (drawn by J. Embiid),27,34
141,2,10:19.0,,J. Richardson misses 2-pt jump shot from 16 ft (block by G. Mathews),27,34
142,2,10:15.0,Defensive rebound by T. Brown,,27,34
143,2,10:10.0,T. Brown makes 3-pt jump shot from 26 ft (assist by D. Bertāns),,30,34
144,2,9:52.0,,Turnover by J. Richardson (bad pass; steal by D. Bertāns),30,34
145,2,9:44.0,Turnover by I. Smith (bad pass; steal by T. Harris),,30,34
146,2,9:31.0,,J. Embiid makes 2-pt jump shot from 8 ft (assist by T. Burke),30,36
147,2,9:09.0,I. Smith misses 2-pt layup from 2 ft,,30,36
148,2,9:07.0,,Defensive rebound by T. Burke,30,36
