,QUARTER,TIME_REMAINING,DETROIT_ACTION,CLEVELAND_ACTION,DETROIT_SCORE,CLEVELAND_SCORE
0,1,11:41.0,Personal foul by C. Osman (drawn by A. Drummond),,0,0
1,1,11:32.0,Turnover by B. Griffin (traveling),,0,0
2,1,11:19.0,,Turnover by C. Osman (lost ball; steal by L. Kennard),0,0
3,1,11:12.0,L. Kennard misses 3-pt jump shot from 25 ft,,0,0
4,1,11:08.0,,Defensive rebound by K. Love,0,0
5,1,11:07.0,,Turnover by K. Love (bad pass; steal by A. Drummond),0,0
6,1,10:57.0,B. Griffin makes 3-pt jump shot from 24 ft,,3,0
7,1,10:46.0,,C. Sexton makes 2-pt layup at rim,3,2
8,1,10:35.0,A. Drummond misses 2-pt hook shot from 10 ft,,3,2
9,1,10:34.0,,Defensive rebound by T. Thompson,3,2
10,1,10:19.0,,K. Love makes 2-pt jump shot from 11 ft,3,4
11,1,10:04.0,L. Kennard misses 2-pt jump shot from 19 ft (block by C. Osman),,3,4
12,1,10:00.0,,Defensive rebound by T. Thompson,3,4
13,1,9:58.0,,C. Sexton misses 2-pt layup from 1 ft,3,4
14,1,9:51.0,Defensive rebound by A. Drummond,,3,4
15,1,9:50.0,Turnover by A. Drummond (bad pass; steal by K. Love),,3,4
16,1,9:44.0,,K. Love makes 3-pt jump shot from 28 ft,3,7
17,1,9:18.0,B. Brown makes 2-pt dunk from 1 ft (assist by L. Kennard),,5,7
18,1,8:48.0,,T. Thompson makes 2-pt jump shot from 6 ft,5,9
19,1,8:33.0,L. Kennard misses 2-pt jump shot from 11 ft,,5,9
20,1,8:32.0,Offensive rebound by Team,,5,9
21,1,8:32.0,,Cleveland full timeout,5,9
22,1,8:32.0,,Instant Replay (Challenge: Stands),5,9
23,1,8:28.0,B. Griffin misses 3-pt jump shot from 25 ft,,5,9
24,1,8:25.0,,Defensive rebound by D. Garland,5,9
25,1,8:21.0,,Turnover by D. Garland (bad pass; steal by A. Drummond),5,9
26,1,8:07.0,Shooting foul by T. Thompson (drawn by B. Griffin),,5,9
27,1,8:07.0,B. Griffin makes free throw 1 of 2,,6,9
28,1,8:07.0,B. Griffin makes free throw 2 of 2,,7,9
29,1,7:54.0,,Turnover by C. Osman (bad pass; steal by A. Drummond),7,9
30,1,7:46.0,B. Griffin makes 2-pt layup from 1 ft (assist by B. Brown),,9,9
31,1,7:26.0,,D. Garland misses 3-pt jump shot from 27 ft,9,9
32,1,7:23.0,Defensive rebound by T. Snell,,9,9
33,1,7:16.0,A. Drummond makes 2-pt dunk from 2 ft (assist by B. Brown),,11,9
34,1,6:56.0,,C. Sexton misses 2-pt jump shot from 11 ft,11,9
35,1,6:53.0,,Offensive rebound by T. Thompson,11,9
36,1,6:51.0,,T. Thompson misses 2-pt layup from 3 ft (block by B. Brown),11,9
37,1,6:50.0,,Offensive rebound by T. Thompson,11,9
38,1,6:50.0,,Personal foul by T. Snell (drawn by T. Thompson),11,9
39,1,6:41.0,,D. Garland misses 2-pt layup at rim (block by A. Drummond),11,9
40,1,6:41.0,,Offensive rebound by Team,11,9
41,1,6:37.0,,D. Garland misses 2-pt jump shot from 16 ft,11,9
42,1,6:34.0,Defensive rebound by A. Drummond,,11,9
43,1,6:25.0,B. Brown makes 3-pt jump shot from 24 ft (assist by B. Griffin),,14,9
44,1,6:06.0,,T. Thompson makes 2-pt dunk at rim (assist by K. Love),14,11
45,1,5:51.0,B. Griffin misses 2-pt layup from 7 ft,,14,11
46,1,5:47.0,Offensive rebound by B. Griffin,,14,11
47,1,5:45.0,T. Snell misses 3-pt jump shot from 25 ft,,14,11
48,1,5:42.0,,Defensive rebound by C. Sexton,14,11
49,1,5:34.0,,C. Sexton makes 2-pt dunk from 1 ft,14,13
50,1,5:25.0,B. Brown makes 2-pt layup from 2 ft,,16,13
51,1,5:05.0,,C. Osman misses 3-pt jump shot from 26 ft,16,13
52,1,5:04.0,Defensive rebound by Team,,16,13
53,1,5:04.0,Detroit full timeout,,16,13
54,1,5:04.0,L. Galloway enters the game for B. Brown,,16,13
55,1,5:04.0,D. Rose enters the game for T. Snell,,16,13
56,1,5:04.0,,J. Clarkson enters the game for D. Garland,16,13
57,1,5:04.0,,K. Porter enters the game for C. Osman,16,13
58,1,4:51.0,B. Griffin makes 3-pt jump shot from 26 ft (assist by D. Rose),,19,13
59,1,4:32.0,,C. Sexton misses 2-pt layup from 3 ft (block by A. Drummond),19,13
60,1,4:32.0,,Offensive rebound by Team,19,13
61,1,4:28.0,,T. Thompson misses 2-pt jump shot from 7 ft (block by A. Drummond),19,13
62,1,4:24.0,Defensive rebound by L. Kennard,,19,13
