,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,SACRAMENTO_ACTION,OKLAHOMA CITY_SCORE,SACRAMENTO_SCORE
0,1,11:44.0,D. Gallinari misses 3-pt jump shot from 26 ft,,0,0
1,1,11:41.0,,Defensive rebound by D. Dedmon,0,0
2,1,11:28.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,0,0
3,1,11:24.0,Defensive rebound by C. Paul,,0,0
4,1,11:08.0,L. Dort misses 2-pt jump shot from 4 ft,,0,0
5,1,11:04.0,Offensive rebound by L. Dort,,0,0
6,1,11:01.0,S. Gilgeous-Alexander makes 3-pt jump shot from 25 ft (assist by D. Gallinari),,3,0
7,1,10:48.0,,Personal foul by S. Gilgeous-Alexander (drawn by B. Bogdanović),3,0
8,1,10:39.0,,B. Bogdanović makes 2-pt jump shot from 16 ft,3,2
9,1,10:21.0,D. Gallinari misses 3-pt jump shot from 25 ft,,3,2
10,1,10:20.0,Offensive rebound by Team,,3,2
11,1,10:20.0,,Loose ball foul by H. Barnes (drawn by S. Adams),3,2
12,1,10:08.0,D. Gallinari misses 3-pt jump shot from 26 ft,,3,2
13,1,10:05.0,,Defensive rebound by D. Dedmon,3,2
14,1,9:55.0,,N. Bjelica misses 2-pt jump shot from 5 ft,3,2
15,1,9:49.0,Defensive rebound by C. Paul,,3,2
16,1,9:42.0,Shooting foul by N. Bjelica (drawn by S. Adams),,3,2
17,1,9:42.0,S. Adams makes free throw 1 of 2,,4,2
18,1,9:42.0,S. Adams makes free throw 2 of 2,,5,2
19,1,9:24.0,,D. Fox misses 2-pt jump shot from 10 ft,5,2
20,1,9:21.0,Defensive rebound by S. Adams,,5,2
21,1,9:06.0,S. Gilgeous-Alexander misses 2-pt layup from 5 ft,,5,2
22,1,9:02.0,,Defensive rebound by D. Dedmon,5,2
23,1,8:50.0,,D. Fox misses 2-pt jump shot from 6 ft,5,2
24,1,8:47.0,Defensive rebound by S. Gilgeous-Alexander,,5,2
25,1,8:33.0,S. Adams makes 2-pt dunk from 2 ft (assist by D. Gallinari),,7,2
26,1,8:20.0,,H. Barnes misses 3-pt jump shot from 26 ft,7,2
27,1,8:19.0,Defensive rebound by S. Adams,,7,2
28,1,8:00.0,Turnover by D. Gallinari (bad pass; steal by B. Bogdanović),,7,2
29,1,7:53.0,,D. Fox misses 3-pt jump shot from 23 ft,7,2
30,1,7:50.0,Defensive rebound by L. Dort,,7,2
31,1,7:40.0,C. Paul misses 2-pt jump shot from 14 ft,,7,2
32,1,7:36.0,Offensive rebound by D. Gallinari,,7,2
33,1,7:33.0,D. Gallinari misses 2-pt layup from 4 ft,,7,2
34,1,7:30.0,,Defensive rebound by B. Bogdanović,7,2
35,1,7:23.0,,B. Bogdanović makes 2-pt jump shot from 23 ft,7,4
36,1,7:22.0,Oklahoma City full timeout,,7,4
37,1,7:05.0,Personal foul by N. Bjelica (drawn by D. Gallinari),,7,4
38,1,7:00.0,Turnover by L. Dort (traveling),,7,4
39,1,7:00.0,,A. Tolliver enters the game for N. Bjelica,7,4
40,1,6:49.0,,Shooting foul by C. Paul (drawn by H. Barnes),7,4
41,1,6:49.0,,H. Barnes makes free throw 1 of 2,7,5
42,1,6:49.0,N. Noel enters the game for S. Adams,,7,5
43,1,6:49.0,,H. Barnes makes free throw 2 of 2,7,6
44,1,6:31.0,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,,7,6
45,1,6:26.0,Offensive rebound by N. Noel,,7,6
46,1,6:21.0,L. Dort makes 3-pt jump shot from 26 ft (assist by C. Paul),,10,6
47,1,6:07.0,,H. Barnes misses 2-pt layup from 2 ft,10,6
48,1,6:04.0,,Offensive rebound by A. Tolliver,10,6
49,1,6:01.0,,B. Bogdanović misses 3-pt jump shot from 28 ft,10,6
50,1,5:59.0,Defensive rebound by N. Noel,,10,6
51,1,5:48.0,C. Paul makes 2-pt jump shot from 11 ft,,12,6
