,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PHOENIX_ACTION,SAN ANTONIO_SCORE,PHOENIX_SCORE
0,1,11:50.0,B. Forbes misses 3-pt jump shot from 26 ft,,0,0
1,1,11:47.0,,Defensive rebound by M. Bridges,0,0
2,1,11:34.0,,F. Kaminsky misses 3-pt jump shot from 26 ft,0,0
3,1,11:31.0,Defensive rebound by B. Forbes,,0,0
4,1,11:26.0,Shooting foul by K. Oubre (drawn by D. DeRozan),,0,0
5,1,11:26.0,D. DeRozan misses free throw 1 of 2,,0,0
6,1,11:26.0,Offensive rebound by Team,,0,0
7,1,11:26.0,D. DeRozan makes free throw 2 of 2,,1,0
8,1,11:17.0,,D. Šarić misses 2-pt layup at rim (block by T. Lyles),1,0
9,1,11:12.0,Defensive rebound by L. Aldridge,,1,0
10,1,11:01.0,L. Aldridge misses 2-pt jump shot from 19 ft,,1,0
11,1,10:59.0,,Defensive rebound by M. Bridges,1,0
12,1,10:49.0,,K. Oubre misses 3-pt jump shot from 26 ft,1,0
13,1,10:45.0,Defensive rebound by T. Lyles,,1,0
14,1,10:34.0,D. DeRozan makes 2-pt layup from 2 ft (assist by D. Murray),,3,0
15,1,10:21.0,,F. Kaminsky misses 3-pt jump shot from 26 ft,3,0
16,1,10:18.0,Defensive rebound by T. Lyles,,3,0
17,1,10:11.0,D. Murray makes 2-pt jump shot from 12 ft,,5,0
18,1,9:52.0,,K. Oubre misses 2-pt jump shot from 6 ft,5,0
19,1,9:50.0,,Offensive rebound by F. Kaminsky,5,0
20,1,9:48.0,,D. Šarić misses 3-pt jump shot from 25 ft,5,0
21,1,9:46.0,Defensive rebound by T. Lyles,,5,0
22,1,9:43.0,B. Forbes misses 3-pt jump shot from 27 ft,,5,0
23,1,9:35.0,,Defensive rebound by M. Bridges,5,0
24,1,9:32.0,,K. Oubre makes 2-pt dunk at rim (assist by R. Rubio),5,2
25,1,9:04.0,B. Forbes misses 2-pt jump shot from 19 ft,,5,2
26,1,8:58.0,,Defensive rebound by D. Šarić,5,2
27,1,8:42.0,,R. Rubio misses 2-pt jump shot from 19 ft,5,2
28,1,8:40.0,Defensive rebound by D. Murray,,5,2
29,1,8:24.0,L. Aldridge misses 2-pt jump shot from 8 ft,,5,2
30,1,8:22.0,,Defensive rebound by D. Šarić,5,2
31,1,8:06.0,,D. Šarić makes 2-pt jump shot from 4 ft,5,4
32,1,7:46.0,D. Murray makes 2-pt layup from 1 ft,,7,4
33,1,7:34.0,,M. Bridges misses 2-pt layup from 3 ft (block by L. Aldridge),7,4
34,1,7:34.0,,Offensive rebound by Team,7,4
35,1,7:26.0,,K. Oubre misses 2-pt layup from 2 ft (block by L. Aldridge),7,4
36,1,7:24.0,Defensive rebound by B. Forbes,,7,4
37,1,7:15.0,D. DeRozan misses 2-pt layup from 2 ft,,7,4
