,QUARTER,TIME_REMAINING,TORONTO_ACTION,CLEVELAND_ACTION,TORONTO_SCORE,CLEVELAND_SCORE
0,1,11:46.0,K. Lowry misses 2-pt layup at rim,,0,0
1,1,11:43.0,,Defensive rebound by K. Love,0,0
2,1,11:39.0,,C. Osman misses 3-pt jump shot from 26 ft,0,0
3,1,11:38.0,,Offensive rebound by Team,0,0
4,1,11:38.0,Loose ball foul by P. Siakam (drawn by T. Thompson),,0,0
5,1,11:26.0,,T. Thompson misses 3-pt jump shot from 23 ft,0,0
6,1,11:23.0,Defensive rebound by K. Lowry,,0,0
7,1,11:11.0,P. Siakam misses 2-pt jump shot from 11 ft,,0,0
8,1,11:08.0,,Defensive rebound by T. Thompson,0,0
9,1,10:57.0,,D. Garland makes 2-pt jump shot from 10 ft (assist by C. Sexton),0,2
10,1,10:44.0,O. Anunoby misses 2-pt layup from 1 ft (block by C. Sexton),,0,2
11,1,10:41.0,,Defensive rebound by T. Thompson,0,2
12,1,10:34.0,,C. Osman misses 3-pt jump shot from 23 ft,0,2
13,1,10:32.0,Defensive rebound by Team,,0,2
14,1,10:17.0,Def 3 sec tech foul by Team,,0,2
15,1,10:17.0,K. Lowry makes technical free throw,,1,2
16,1,10:12.0,F. VanVleet misses 3-pt jump shot from 24 ft,,1,2
17,1,10:10.0,,Defensive rebound by K. Love,1,2
18,1,9:55.0,,C. Osman misses 3-pt jump shot from 23 ft,1,2
19,1,9:53.0,Defensive rebound by Team,,1,2
20,1,9:42.0,Shooting foul by T. Thompson (drawn by P. Siakam),,1,2
21,1,9:42.0,P. Siakam makes free throw 1 of 2,,2,2
22,1,9:42.0,P. Siakam makes free throw 2 of 2,,3,2
23,1,9:21.0,,C. Sexton makes 2-pt jump shot from 10 ft,3,4
24,1,9:15.0,K. Lowry makes 2-pt layup from 1 ft,,5,4
25,1,8:57.0,,C. Osman makes 3-pt jump shot from 23 ft (assist by K. Love),5,7
26,1,8:38.0,O. Anunoby makes 2-pt dunk at rim,,7,7
27,1,8:30.0,,Turnover by C. Sexton (lost ball; steal by S. Ibaka),7,7
28,1,8:24.0,S. Ibaka makes 2-pt dunk from 1 ft (assist by K. Lowry),,9,7
29,1,8:05.0,,C. Sexton misses 3-pt jump shot from 23 ft,9,7
30,1,8:03.0,Defensive rebound by S. Ibaka,,9,7
31,1,7:58.0,P. Siakam misses 3-pt jump shot from 27 ft,,9,7
32,1,7:54.0,,Defensive rebound by C. Osman,9,7
33,1,7:41.0,,C. Sexton misses 2-pt jump shot from 6 ft,9,7
34,1,7:40.0,,Offensive rebound by C. Sexton,9,7
35,1,7:34.0,,C. Sexton makes 2-pt jump shot from 2 ft,9,9
36,1,7:18.0,S. Ibaka makes 2-pt hook shot from 7 ft (assist by F. VanVleet),,11,9
37,1,7:18.0,,K. Porter enters the game for D. Garland,11,9
38,1,7:02.0,,K. Love makes 3-pt jump shot from 27 ft (assist by C. Osman),11,12
39,1,6:46.0,Turnover by P. Siakam (lost ball; steal by C. Osman),,11,12
40,1,6:42.0,,K. Porter makes 2-pt layup at rim (assist by K. Love),11,14
41,1,6:37.0,Shooting foul by C. Osman (drawn by O. Anunoby),,11,14
42,1,6:37.0,,Cleveland full timeout,11,14
43,1,6:37.0,O. Anunoby misses free throw 1 of 2,,11,14
44,1,6:37.0,Offensive rebound by Team,,11,14
45,1,6:37.0,O. Anunoby misses free throw 2 of 2,,11,14
46,1,6:34.0,,Defensive rebound by T. Thompson,11,14
