,QUARTER,TIME_REMAINING,ATLANTA_ACTION,HOUSTON_ACTION,ATLANTA_SCORE,HOUSTON_SCORE
0,1,11:40.0,,T. Chandler makes 2-pt dunk at rim (assist by P. Tucker),0,2
1,1,11:15.0,A. Crabbe makes 3-pt jump shot from 26 ft (assist by D. Jones),,3,2
2,1,11:00.0,,R. Westbrook misses 2-pt jump shot from 17 ft,3,2
3,1,10:56.0,Defensive rebound by J. Parker,,3,2
4,1,10:50.0,Turnover by T. Young (bad pass; steal by T. Chandler),,3,2
5,1,10:47.0,,Turnover by J. Harden (bad pass),3,2
6,1,10:23.0,D. Jones makes 2-pt dunk from 1 ft (assist by J. Parker),,5,2
7,1,10:15.0,,Shooting foul by D. Jones (drawn by P. Tucker),5,2
8,1,10:15.0,,P. Tucker makes free throw 1 of 2,5,3
9,1,10:15.0,,P. Tucker makes free throw 2 of 2,5,4
10,1,10:04.0,Turnover by J. Parker (bad pass; steal by J. Harden),,5,4
11,1,10:00.0,,R. Westbrook makes 2-pt dunk from 1 ft (assist by J. Harden),5,6
12,1,9:49.0,J. Parker misses 3-pt jump shot from 27 ft,,5,6
13,1,9:45.0,,Defensive rebound by B. McLemore,5,6
14,1,9:38.0,,J. Harden makes 3-pt jump shot from 25 ft,5,9
15,1,9:10.0,D. Hunter misses 3-pt jump shot from 25 ft,,5,9
16,1,9:08.0,,Defensive rebound by B. McLemore,5,9
17,1,9:01.0,,J. Harden makes 2-pt layup from 1 ft,5,11
18,1,8:41.0,A. Crabbe misses 3-pt jump shot from 25 ft,,5,11
19,1,8:38.0,,Defensive rebound by T. Chandler,5,11
20,1,8:24.0,,B. McLemore makes 3-pt jump shot from 25 ft (assist by R. Westbrook),5,14
21,1,8:23.0,Atlanta full timeout,,5,14
22,1,8:08.0,Personal foul by R. Westbrook (drawn by T. Young),,5,14
23,1,7:52.0,J. Parker makes 2-pt hook shot from 5 ft (assist by A. Crabbe),,7,14
24,1,7:35.0,,J. Harden makes 2-pt layup from 2 ft (assist by R. Westbrook),7,16
25,1,7:25.0,T. Young makes 3-pt jump shot from 26 ft,,10,16
26,1,7:18.0,,Personal foul by D. Hunter (drawn by R. Westbrook),10,16
27,1,7:18.0,,I. Hartenstein enters the game for T. Chandler,10,16
28,1,7:13.0,,Turnover by R. Westbrook (bad pass; steal by J. Parker),10,16
29,1,7:08.0,D. Hunter makes 2-pt layup from 2 ft (assist by T. Young),,12,16
30,1,6:53.0,,B. McLemore makes 2-pt dunk from 1 ft (assist by J. Harden),12,18
31,1,6:42.0,Turnover by T. Young (bad pass; steal by I. Hartenstein),,12,18
32,1,6:37.0,,B. McLemore makes 2-pt dunk from 1 ft (assist by R. Westbrook),12,20
33,1,6:18.0,D. Hunter misses 2-pt jump shot from 12 ft,,12,20
34,1,6:16.0,,Defensive rebound by P. Tucker,12,20
35,1,6:10.0,,J. Harden makes 3-pt jump shot from 27 ft (assist by R. Westbrook),12,23
36,1,5:53.0,J. Parker makes 3-pt jump shot from 26 ft (assist by A. Crabbe),,15,23
37,1,5:41.0,,B. McLemore makes 3-pt jump shot from 27 ft (assist by P. Tucker),15,26
38,1,5:28.0,D. Jones makes 2-pt dunk from 1 ft (assist by T. Young),,17,26
39,1,5:27.0,,Houston full timeout,17,26
40,1,5:27.0,D. Bembry enters the game for A. Crabbe,,17,26
41,1,5:27.0,V. Carter enters the game for D. Jones,,17,26
42,1,5:27.0,B. Fernando enters the game for J. Parker,,17,26
43,1,5:27.0,,G. Clark enters the game for B. McLemore,17,26
44,1,5:27.0,,A. Rivers enters the game for R. Westbrook,17,26
45,1,5:09.0,,J. Harden makes 2-pt layup from 1 ft (assist by G. Clark),17,28
46,1,4:49.0,D. Bembry misses 3-pt jump shot from 24 ft,,17,28
47,1,4:48.0,,Defensive rebound by J. Harden,17,28
48,1,4:39.0,,G. Clark misses 3-pt jump shot from 26 ft,17,28
49,1,4:33.0,,Offensive rebound by A. Rivers,17,28
50,1,4:28.0,,Turnover by I. Hartenstein (bad pass),17,28
51,1,4:28.0,,T. Sefolosha enters the game for P. Tucker,17,28
52,1,4:08.0,D. Bembry misses 2-pt layup from 1 ft,,17,28
53,1,4:06.0,,Defensive rebound by G. Clark,17,28
54,1,3:56.0,,T. Sefolosha misses 3-pt jump shot from 24 ft,17,28
55,1,3:55.0,Defensive rebound by Team,,17,28
56,1,3:55.0,E. Turner enters the game for D. Hunter,,17,28
57,1,3:55.0,T. Wallace enters the game for T. Young,,17,28
58,1,3:40.0,D. Bembry misses 3-pt jump shot from 26 ft,,17,28
59,1,3:37.0,,Defensive rebound by G. Clark,17,28
60,1,3:25.0,,Turnover by J. Harden (bad pass),17,28
61,1,3:10.0,Personal foul by T. Sefolosha (drawn by E. Turner),,17,28
62,1,3:00.0,Turnover by D. Bembry (lost ball; steal by J. Harden),,17,28
63,1,2:56.0,,A. Rivers makes 2-pt layup from 1 ft (assist by J. Harden),17,30
64,1,2:37.0,T. Wallace misses 2-pt layup from 2 ft,,17,30
65,1,2:35.0,,Defensive rebound by T. Sefolosha,17,30
66,1,2:31.0,,Shooting foul by D. Bembry (drawn by J. Harden),17,30
67,1,2:31.0,,J. Harden misses free throw 1 of 2,17,30
68,1,2:31.0,,Offensive rebound by Team,17,30
69,1,2:31.0,,R. Westbrook enters the game for G. Clark,17,30
70,1,2:31.0,,J. Harden makes free throw 2 of 2,17,31
71,1,2:14.0,V. Carter misses 3-pt jump shot from 25 ft,,17,31
72,1,2:10.0,,Defensive rebound by R. Westbrook,17,31
73,1,2:02.0,,J. Harden misses 3-pt jump shot from 28 ft,17,31
74,1,2:00.0,Defensive rebound by T. Wallace,,17,31
75,1,2:00.0,Personal foul by I. Hartenstein (drawn by T. Wallace),,17,31
76,1,2:00.0,A. Len enters the game for V. Carter,,17,31
77,1,2:00.0,C. Parsons enters the game for B. Fernando,,17,31
78,1,2:00.0,,G. Clark enters the game for J. Harden,17,31
79,1,1:45.0,A. Len makes 2-pt dunk from 1 ft (assist by D. Bembry),,19,31
80,1,1:29.0,,R. Westbrook misses 2-pt jump shot from 14 ft,19,31
81,1,1:25.0,,Offensive rebound by I. Hartenstein,19,31
82,1,1:25.0,,I. Hartenstein makes 2-pt layup from 1 ft,19,33
83,1,1:04.0,E. Turner misses 3-pt jump shot from 25 ft,,19,33
84,1,1:03.0,,Defensive rebound by R. Westbrook,19,33
