,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,NEW YORK_ACTION,SAN ANTONIO_SCORE,NEW YORK_SCORE
0,1,11:42.0,J. Poeltl makes 2-pt layup from 2 ft (assist by L. Aldridge),,2,0
1,1,11:37.0,,Personal foul by B. Forbes (drawn by F. Ntilikina),2,0
2,1,11:24.0,,F. Ntilikina misses 2-pt jump shot from 15 ft,2,0
3,1,11:22.0,Defensive rebound by J. Poeltl,,2,0
4,1,11:08.0,B. Forbes misses 3-pt jump shot from 26 ft,,2,0
5,1,11:06.0,,Defensive rebound by T. Gibson,2,0
6,1,10:54.0,,J. Randle misses 2-pt layup from 3 ft,2,0
7,1,10:52.0,Defensive rebound by D. White,,2,0
8,1,10:40.0,L. Aldridge misses 2-pt jump shot from 19 ft,,2,0
9,1,10:38.0,,Defensive rebound by J. Randle,2,0
10,1,10:32.0,,R. Barrett misses 3-pt jump shot from 26 ft,2,0
11,1,10:30.0,Defensive rebound by J. Poeltl,,2,0
12,1,10:20.0,D. DeRozan makes 2-pt layup from 1 ft,,4,0
13,1,10:20.0,Shooting foul by R. Barrett (drawn by D. DeRozan),,4,0
14,1,10:20.0,D. DeRozan makes free throw 1 of 1,,5,0
15,1,10:06.0,,Offensive foul by T. Gibson (drawn by J. Poeltl),5,0
16,1,10:06.0,,Turnover by T. Gibson (offensive foul),5,0
17,1,9:52.0,D. DeRozan makes 2-pt jump shot from 15 ft (assist by B. Forbes),,7,0
18,1,9:52.0,,New York full timeout,7,0
19,1,9:40.0,,R. Barrett misses 2-pt jump shot from 6 ft,7,0
20,1,9:38.0,,Offensive rebound by R. Barrett,7,0
21,1,9:37.0,,R. Barrett makes 2-pt layup from 1 ft,7,2
22,1,9:18.0,L. Aldridge misses 2-pt jump shot from 21 ft,,7,2
23,1,9:16.0,,Defensive rebound by Team,7,2
24,1,9:02.0,,M. Morris makes 2-pt jump shot from 8 ft (assist by T. Gibson),7,4
25,1,8:46.0,Shooting foul by M. Morris (drawn by D. DeRozan),,7,4
26,1,8:46.0,D. DeRozan makes free throw 1 of 2,,8,4
27,1,8:46.0,D. DeRozan makes free throw 2 of 2,,9,4
28,1,8:33.0,,J. Randle makes 2-pt jump shot from 21 ft,9,6
29,1,8:14.0,J. Poeltl makes 2-pt layup from 2 ft (assist by D. DeRozan),,11,6
30,1,8:03.0,,J. Randle misses 3-pt jump shot from 26 ft,11,6
31,1,7:59.0,Defensive rebound by D. DeRozan,,11,6
32,1,7:45.0,D. White misses 3-pt jump shot from 23 ft,,11,6
33,1,7:43.0,,Defensive rebound by J. Randle,11,6
34,1,7:34.0,,Shooting foul by B. Forbes (drawn by R. Barrett),11,6
35,1,7:34.0,M. Belinelli enters the game for B. Forbes,,11,6
36,1,7:34.0,,R. Barrett misses free throw 1 of 2,11,6
37,1,7:34.0,,Offensive rebound by Team,11,6
38,1,7:34.0,,R. Barrett makes free throw 2 of 2,11,7
39,1,7:13.0,L. Aldridge misses 2-pt jump shot from 16 ft,,11,7
40,1,7:11.0,,Defensive rebound by M. Morris,11,7
41,1,7:05.0,,M. Morris misses 2-pt jump shot from 16 ft,11,7
42,1,7:03.0,Defensive rebound by J. Poeltl,,11,7
43,1,6:43.0,Turnover by D. White (bad pass; steal by T. Gibson),,11,7
44,1,6:39.0,,Offensive foul by J. Randle (drawn by D. White),11,7
45,1,6:39.0,,Turnover by J. Randle (offensive foul),11,7
46,1,6:39.0,R. Gay enters the game for J. Poeltl,,11,7
47,1,6:39.0,P. Mills enters the game for D. White,,11,7
48,1,6:22.0,R. Gay makes 2-pt jump shot from 14 ft,,13,7
49,1,6:07.0,,R. Barrett misses 2-pt jump shot from 7 ft,13,7
50,1,6:05.0,Defensive rebound by R. Gay,,13,7
51,1,5:50.0,M. Belinelli makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,16,7
52,1,5:49.0,,New York full timeout,16,7
53,1,5:49.0,D. Carroll enters the game for D. DeRozan,,16,7
54,1,5:49.0,,D. Dotson enters the game for R. Barrett,16,7
55,1,5:31.0,,Turnover by M. Morris (bad pass),16,7
56,1,5:31.0,,M. Robinson enters the game for T. Gibson,16,7
57,1,5:30.0,Turnover by R. Gay (bad pass; steal by F. Ntilikina),,16,7
58,1,5:25.0,,F. Ntilikina makes 2-pt layup from 2 ft,16,9
59,1,5:09.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by L. Aldridge),,19,9
60,1,4:56.0,,D. Dotson misses 3-pt jump shot from 25 ft,19,9
61,1,4:54.0,Defensive rebound by D. Carroll,,19,9
62,1,4:40.0,R. Gay makes 2-pt layup from 1 ft,,21,9
63,1,4:25.0,,J. Randle misses 2-pt jump shot from 17 ft,21,9
64,1,4:23.0,Defensive rebound by D. Carroll,,21,9
65,1,4:18.0,Shooting foul by M. Morris (drawn by M. Belinelli),,21,9
66,1,4:18.0,J. Poeltl enters the game for L. Aldridge,,21,9
67,1,4:18.0,,K. Knox enters the game for M. Morris,21,9
68,1,4:18.0,,B. Portis enters the game for F. Ntilikina,21,9
69,1,4:18.0,,D. Smith enters the game for J. Randle,21,9
70,1,4:18.0,M. Belinelli makes free throw 1 of 3,,22,9
71,1,4:18.0,M. Belinelli makes free throw 2 of 3,,23,9
72,1,4:18.0,M. Belinelli misses free throw 3 of 3,,23,9
73,1,4:16.0,,Defensive rebound by B. Portis,23,9
74,1,3:58.0,,K. Knox misses 3-pt jump shot from 25 ft,23,9
