,QUARTER,TIME_REMAINING,MIAMI_ACTION,PORTLAND_ACTION,MIAMI_SCORE,PORTLAND_SCORE
0,1,11:41.0,,Turnover by C. McCollum (bad pass; steal by K. Olynyk),0,0
1,1,11:32.0,K. Olynyk misses 3-pt jump shot from 27 ft,,0,0
2,1,11:28.0,,Defensive rebound by C. McCollum,0,0
3,1,11:22.0,,T. Ariza makes 2-pt layup from 1 ft (assist by D. Lillard),0,2
4,1,11:05.0,Offensive foul by D. Robinson (drawn by T. Ariza),,0,2
5,1,11:05.0,Turnover by D. Robinson (offensive foul),,0,2
6,1,10:55.0,,Turnover by H. Whiteside (bad pass),0,2
7,1,10:44.0,K. Nunn misses 2-pt jump shot from 19 ft,,0,2
8,1,10:41.0,,Defensive rebound by H. Whiteside,0,2
9,1,10:24.0,,T. Ariza makes 3-pt jump shot from 25 ft,0,5
10,1,10:09.0,D. Robinson misses 3-pt jump shot from 26 ft,,0,5
11,1,10:06.0,,Defensive rebound by C. Anthony,0,5
12,1,9:55.0,,C. Anthony misses 2-pt jump shot from 17 ft,0,5
13,1,9:52.0,Defensive rebound by K. Olynyk,,0,5
14,1,9:47.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by K. Nunn),,3,5
15,1,9:34.0,,T. Ariza makes 2-pt layup from 2 ft,3,7
16,1,9:34.0,,Shooting foul by K. Olynyk (drawn by T. Ariza),3,7
17,1,9:34.0,,T. Ariza makes free throw 1 of 1,3,8
18,1,9:24.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by B. Adebayo),,6,8
19,1,9:16.0,,C. McCollum makes 2-pt jump shot from 19 ft,6,10
20,1,9:06.0,K. Nunn misses 3-pt jump shot from 26 ft,,6,10
21,1,9:04.0,,Defensive rebound by H. Whiteside,6,10
22,1,8:50.0,,T. Ariza misses 3-pt jump shot from 25 ft,6,10
23,1,8:48.0,Defensive rebound by K. Olynyk,,6,10
24,1,8:38.0,K. Olynyk misses 3-pt jump shot from 24 ft,,6,10
25,1,8:36.0,,Defensive rebound by D. Lillard,6,10
26,1,8:26.0,,C. Anthony makes 2-pt layup from 1 ft (assist by T. Ariza),6,12
27,1,8:01.0,Turnover by K. Olynyk (bad pass; steal by T. Ariza),,6,12
28,1,7:46.0,,C. Anthony makes 2-pt jump shot from 11 ft,6,14
29,1,7:39.0,Miami full timeout,,6,14
30,1,7:29.0,K. Nunn misses 2-pt jump shot from 11 ft,,6,14
31,1,7:27.0,,Defensive rebound by H. Whiteside,6,14
32,1,7:23.0,,C. McCollum misses 3-pt jump shot from 25 ft,6,14
33,1,7:20.0,Defensive rebound by B. Adebayo,,6,14
34,1,7:14.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,9,14
35,1,6:53.0,,D. Lillard makes 3-pt jump shot from 26 ft,9,17
36,1,6:37.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by K. Olynyk),,11,17
37,1,6:27.0,,Shooting foul by K. Nunn (drawn by D. Lillard),11,17
38,1,6:27.0,,D. Lillard makes free throw 1 of 3,11,18
39,1,6:27.0,,D. Lillard misses free throw 2 of 3,11,18
40,1,6:27.0,,Offensive rebound by Team,11,18
41,1,6:27.0,,D. Lillard makes free throw 3 of 3,11,19
42,1,6:19.0,Personal foul by C. McCollum (drawn by D. Jones),,11,19
43,1,6:15.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,14,19
44,1,6:05.0,,C. Anthony makes 2-pt jump shot from 21 ft (assist by D. Lillard),14,21
45,1,6:05.0,,Shooting foul by B. Adebayo (drawn by C. Anthony),14,21
46,1,6:05.0,,C. Anthony misses free throw 1 of 1,14,21
47,1,6:01.0,Defensive rebound by B. Adebayo,,14,21
48,1,5:53.0,D. Jones makes 3-pt jump shot from 23 ft (assist by K. Olynyk),,17,21
49,1,5:39.0,,Shooting foul by D. Robinson (drawn by T. Ariza),17,21
50,1,5:39.0,,T. Ariza makes free throw 1 of 2,17,22
51,1,5:39.0,G. Dragić enters the game for K. Nunn,,17,22
52,1,5:39.0,,T. Ariza makes free throw 2 of 2,17,23
53,1,5:26.0,K. Olynyk makes 2-pt layup from 2 ft (assist by B. Adebayo),,19,23
54,1,5:26.0,Shooting foul by C. Anthony (drawn by K. Olynyk),,19,23
55,1,5:26.0,K. Nunn enters the game for D. Robinson,,19,23
56,1,5:26.0,K. Olynyk makes free throw 1 of 1,,20,23
57,1,5:15.0,,Shooting foul by K. Olynyk (drawn by H. Whiteside),20,23
58,1,5:15.0,,H. Whiteside misses free throw 1 of 2,20,23
59,1,5:15.0,,Offensive rebound by Team,20,23
60,1,5:15.0,,H. Whiteside makes free throw 2 of 2,20,24
61,1,5:02.0,G. Dragić misses 3-pt jump shot from 22 ft,,20,24
62,1,4:59.0,,Defensive rebound by C. Anthony,20,24
63,1,4:51.0,,D. Lillard makes 3-pt jump shot from 32 ft,20,27
64,1,4:38.0,Turnover by K. Nunn (lost ball; steal by T. Ariza),,20,27
65,1,4:35.0,,T. Ariza makes 2-pt dunk from 1 ft (assist by D. Lillard),20,29
66,1,4:18.0,Personal foul by T. Ariza (drawn by B. Adebayo),,20,29
67,1,4:18.0,J. Crowder enters the game for K. Olynyk,,20,29
68,1,4:18.0,,M. Hezonja enters the game for T. Ariza,20,29
69,1,4:18.0,,G. Trent enters the game for C. McCollum,20,29
70,1,4:12.0,Personal foul by G. Trent (drawn by B. Adebayo),,20,29
71,1,4:12.0,,W. Gabriel enters the game for C. Anthony,20,29
72,1,4:06.0,K. Nunn misses 3-pt jump shot from 25 ft,,20,29
73,1,4:04.0,,Defensive rebound by H. Whiteside,20,29
74,1,3:53.0,,H. Whiteside makes 2-pt jump shot from 17 ft (assist by M. Hezonja),20,31
75,1,3:46.0,D. Jones makes 2-pt dunk from 1 ft (assist by G. Dragić),,22,31
76,1,3:46.0,Shooting foul by W. Gabriel (drawn by D. Jones),,22,31
77,1,3:46.0,D. Jones makes free throw 1 of 1,,23,31
78,1,3:31.0,,D. Lillard makes 3-pt jump shot from 29 ft,23,34
79,1,3:11.0,G. Dragić makes 2-pt jump shot from 16 ft,,25,34
80,1,2:58.0,,M. Hezonja misses 2-pt layup from 2 ft,25,34
81,1,2:56.0,Defensive rebound by D. Jones,,25,34
82,1,2:43.0,K. Nunn misses 2-pt hook shot from 3 ft,,25,34
83,1,2:42.0,,Defensive rebound by W. Gabriel,25,34
84,1,2:34.0,,D. Lillard misses 3-pt jump shot from 26 ft,25,34
85,1,2:31.0,Defensive rebound by J. Crowder,,25,34
86,1,2:19.0,Shooting foul by M. Hezonja (drawn by G. Dragić),,25,34
87,1,2:19.0,,Portland full timeout,25,34
