,QUARTER,TIME_REMAINING,UTAH_ACTION,MIAMI_ACTION,UTAH_SCORE,MIAMI_SCORE
0,1,11:38.0,R. Gobert makes 2-pt layup from 4 ft (assist by D. Mitchell),,2,0
1,1,11:23.0,,M. Leonard makes 2-pt layup from 4 ft (assist by J. Butler),2,2
2,1,11:05.0,R. O'Neale misses 3-pt jump shot from 26 ft,,2,2
3,1,11:03.0,,Defensive rebound by D. Robinson,2,2
4,1,10:50.0,,K. Nunn misses 3-pt jump shot from 28 ft,2,2
5,1,10:47.0,,Offensive rebound by Team,2,2
6,1,10:46.0,,B. Adebayo misses 2-pt jump shot from 16 ft,2,2
7,1,10:44.0,Defensive rebound by R. Gobert,,2,2
8,1,10:26.0,J. Ingles makes 3-pt jump shot from 28 ft,,5,2
9,1,10:07.0,,K. Nunn misses 2-pt jump shot from 15 ft,5,2
10,1,10:05.0,Defensive rebound by D. Mitchell,,5,2
11,1,10:03.0,B. Bogdanović misses 2-pt layup from 4 ft (block by B. Adebayo),,5,2
12,1,10:02.0,,Defensive rebound by M. Leonard,5,2
13,1,9:50.0,,J. Butler misses 2-pt layup from 7 ft,5,2
14,1,9:49.0,Defensive rebound by R. Gobert,,5,2
15,1,9:38.0,Turnover by D. Mitchell (bad pass; steal by J. Butler),,5,2
16,1,9:32.0,,M. Leonard makes 3-pt jump shot from 27 ft (assist by K. Nunn),5,5
17,1,9:20.0,D. Mitchell makes 3-pt jump shot from 26 ft,,8,5
18,1,9:00.0,,B. Adebayo misses 2-pt jump shot from 18 ft,8,5
19,1,8:58.0,Defensive rebound by R. Gobert,,8,5
20,1,8:48.0,R. O'Neale misses 2-pt layup from 4 ft,,8,5
21,1,8:46.0,,Defensive rebound by D. Robinson,8,5
22,1,8:40.0,,K. Nunn makes 2-pt layup from 4 ft,8,7
23,1,8:21.0,R. Gobert misses 2-pt layup from 3 ft,,8,7
24,1,8:19.0,,Defensive rebound by D. Robinson,8,7
25,1,8:00.0,,K. Nunn makes 2-pt hook shot from 4 ft,8,9
26,1,7:47.0,D. Mitchell misses 2-pt jump shot from 17 ft,,8,9
27,1,7:44.0,,Defensive rebound by J. Butler,8,9
28,1,7:34.0,,Shooting foul by B. Bogdanović (drawn by B. Adebayo),8,9
29,1,7:34.0,,B. Adebayo makes free throw 1 of 2,8,10
30,1,7:34.0,,B. Adebayo makes free throw 2 of 2,8,11
31,1,7:22.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by J. Ingles),,11,11
32,1,7:10.0,,J. Butler makes 2-pt jump shot from 12 ft,11,13
33,1,6:56.0,Shooting foul by D. Robinson (drawn by B. Bogdanović),,11,13
34,1,6:56.0,,Miami full timeout,11,13
35,1,6:56.0,B. Bogdanović makes free throw 1 of 2,,12,13
36,1,6:56.0,B. Bogdanović makes free throw 2 of 2,,13,13
37,1,6:34.0,,M. Leonard misses 2-pt jump shot from 20 ft,13,13
38,1,6:32.0,,Offensive rebound by B. Adebayo,13,13
39,1,6:23.0,,K. Nunn misses 3-pt jump shot from 26 ft,13,13
40,1,6:22.0,Defensive rebound by R. Gobert,,13,13
41,1,6:14.0,J. Ingles makes 3-pt jump shot from 25 ft,,16,13
42,1,5:52.0,,B. Adebayo misses 2-pt layup from 5 ft,16,13
43,1,5:52.0,,Offensive rebound by Team,16,13
44,1,5:52.0,,Offensive foul by D. Robinson (drawn by D. Mitchell),16,13
45,1,5:52.0,,Turnover by D. Robinson (offensive foul),16,13
46,1,5:52.0,E. Mudiay enters the game for D. Mitchell,,16,13
47,1,5:52.0,,G. Dragić enters the game for D. Robinson,16,13
