,QUARTER,TIME_REMAINING,CHICAGO_ACTION,ORLANDO_ACTION,CHICAGO_SCORE,ORLANDO_SCORE
0,1,11:50.0,,Turnover by M. Fultz (bad pass; steal by K. Dunn),0,0
1,1,11:47.0,Shooting foul by J. Isaac (drawn by Z. LaVine),,0,0
2,1,11:47.0,Z. LaVine makes free throw 1 of 2,,1,0
3,1,11:47.0,Z. LaVine makes free throw 2 of 2,,2,0
4,1,11:29.0,,E. Fournier misses 3-pt jump shot from 25 ft,2,0
5,1,11:26.0,Defensive rebound by Team,,2,0
6,1,11:08.0,L. Markkanen makes 2-pt layup from 2 ft (assist by K. Dunn),,4,0
7,1,10:55.0,,Turnover by M. Fultz (bad pass; steal by T. Satoranský),4,0
8,1,10:50.0,T. Satoranský makes 2-pt layup from 1 ft,,6,0
9,1,10:30.0,,J. Isaac misses 2-pt jump shot from 8 ft,6,0
10,1,10:29.0,Defensive rebound by W. Carter,,6,0
11,1,10:16.0,Z. LaVine makes 3-pt jump shot from 27 ft (assist by K. Dunn),,9,0
12,1,10:03.0,,Personal foul by T. Satoranský (drawn by N. Vučević),9,0
13,1,9:51.0,,M. Fultz makes 2-pt layup from 3 ft (assist by J. Isaac),9,2
14,1,9:45.0,Offensive foul by K. Dunn (drawn by E. Fournier),,9,2
15,1,9:45.0,Turnover by K. Dunn (offensive foul),,9,2
16,1,9:27.0,,J. Isaac makes 2-pt jump shot from 17 ft,9,4
17,1,9:01.0,L. Markkanen misses 3-pt jump shot from 32 ft,,9,4
18,1,9:01.0,Offensive rebound by Team,,9,4
19,1,9:01.0,Turnover by Team (shot clock),,9,4
20,1,8:41.0,,M. Fultz misses 3-pt jump shot from 26 ft,9,4
21,1,8:38.0,Defensive rebound by T. Satoranský,,9,4
22,1,8:36.0,K. Dunn misses 3-pt jump shot from 25 ft,,9,4
23,1,8:30.0,Offensive rebound by W. Carter,,9,4
24,1,8:30.0,Z. LaVine misses 3-pt jump shot from 25 ft,,9,4
