,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MEMPHIS_ACTION,SACRAMENTO_SCORE,MEMPHIS_SCORE
0,1,11:58.0,,Violation by Team (jump ball),0,0
1,1,11:37.0,N. Bjelica makes 2-pt layup from 1 ft (assist by D. Fox),,2,0
2,1,11:15.0,,D. Brooks makes 3-pt jump shot from 25 ft (assist by J. Morant),2,3
3,1,10:53.0,B. Bogdanović misses 2-pt jump shot from 11 ft,,2,3
4,1,10:51.0,Offensive rebound by H. Giles,,2,3
5,1,10:51.0,H. Giles misses 2-pt layup from 4 ft,,2,3
6,1,10:51.0,,Defensive rebound by Team,2,3
7,1,10:27.0,,D. Brooks misses 2-pt layup from 3 ft,2,3
8,1,10:23.0,Defensive rebound by N. Bjelica,,2,3
9,1,10:18.0,D. Fox makes 3-pt jump shot from 26 ft (assist by N. Bjelica),,5,3
10,1,9:59.0,,J. Valančiūnas makes 2-pt hook shot from 5 ft (assist by D. Melton),5,5
11,1,9:49.0,D. Fox misses 3-pt jump shot from 26 ft,,5,5
12,1,9:47.0,,Defensive rebound by Team,5,5
13,1,9:37.0,,D. Brooks makes 2-pt layup from 1 ft (assist by J. Morant),5,7
14,1,9:21.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,5,7
15,1,9:18.0,,Defensive rebound by K. Anderson,5,7
16,1,9:06.0,,J. Morant makes 2-pt layup from 1 ft (assist by D. Melton),5,9
17,1,8:53.0,H. Barnes misses 3-pt jump shot from 29 ft,,5,9
18,1,8:51.0,,Defensive rebound by Team,5,9
19,1,8:42.0,,D. Brooks misses 2-pt jump shot from 14 ft,5,9
20,1,8:37.0,Defensive rebound by B. Bogdanović,,5,9
21,1,8:30.0,H. Giles misses 2-pt jump shot from 12 ft,,5,9
22,1,8:28.0,,Defensive rebound by K. Anderson,5,9
23,1,8:18.0,,J. Valančiūnas makes 3-pt jump shot from 25 ft (assist by K. Anderson),5,12
24,1,8:01.0,Shooting foul by D. Melton (drawn by D. Fox),,5,12
25,1,8:01.0,D. Fox makes free throw 1 of 2,,6,12
26,1,8:01.0,D. Fox makes free throw 2 of 2,,7,12
27,1,7:57.0,,D. Brooks makes 2-pt layup from 1 ft (assist by J. Morant),7,14
28,1,7:44.0,H. Barnes misses 2-pt layup from 3 ft,,7,14
29,1,7:42.0,,Defensive rebound by J. Valančiūnas,7,14
30,1,7:30.0,,J. Morant makes 2-pt jump shot from 7 ft,7,16
31,1,7:29.0,Sacramento full timeout,,7,16
32,1,7:04.0,H. Giles misses 2-pt hook shot from 7 ft (block by J. Valančiūnas),,7,16
33,1,7:02.0,,Defensive rebound by J. Valančiūnas,7,16
34,1,6:57.0,,D. Melton makes 2-pt layup at rim (assist by J. Morant),7,18
35,1,6:42.0,H. Giles misses 2-pt hook shot from 6 ft,,7,18
36,1,6:40.0,,Defensive rebound by J. Valančiūnas,7,18
37,1,6:33.0,,J. Morant misses 3-pt jump shot from 25 ft,7,18
38,1,6:30.0,Defensive rebound by H. Barnes,,7,18
39,1,6:23.0,Personal foul by D. Melton (drawn by D. Fox),,7,18
40,1,6:23.0,Violation by Team (delay of game),,7,18
41,1,6:23.0,B. Hield enters the game for B. Bogdanović,,7,18
42,1,6:23.0,A. Len enters the game for H. Giles,,7,18
43,1,6:23.0,,T. Jones enters the game for D. Melton,7,18
44,1,6:17.0,B. Hield misses 2-pt jump shot from 19 ft,,7,18
45,1,6:15.0,,Defensive rebound by J. Valančiūnas,7,18
46,1,6:09.0,,J. Valančiūnas misses 3-pt jump shot from 25 ft,7,18
47,1,6:04.0,Defensive rebound by B. Hield,,7,18
48,1,5:59.0,D. Fox makes 2-pt layup from 2 ft,,9,18
49,1,5:46.0,,T. Jones makes 2-pt jump shot from 1 ft,9,20
50,1,5:35.0,N. Bjelica misses 2-pt jump shot from 7 ft,,9,20
51,1,5:35.0,,Defensive rebound by J. Valančiūnas,9,20
52,1,5:28.0,,D. Brooks misses 3-pt jump shot from 26 ft,9,20
53,1,5:28.0,Defensive rebound by D. Fox,,9,20
54,1,5:11.0,A. Len makes 2-pt jump shot from 6 ft (assist by H. Barnes),,11,20
55,1,4:53.0,,J. Morant misses 2-pt jump shot from 8 ft,11,20
56,1,4:51.0,Defensive rebound by N. Bjelica,,11,20
57,1,4:46.0,N. Bjelica misses 3-pt jump shot from 27 ft,,11,20
58,1,4:42.0,Offensive rebound by A. Len,,11,20
59,1,4:41.0,N. Bjelica makes 3-pt jump shot from 28 ft (assist by A. Len),,14,20
60,1,4:40.0,,Memphis full timeout,14,20
61,1,4:40.0,,G. Dieng enters the game for K. Anderson,14,20
62,1,4:40.0,,J. Jackson enters the game for J. Morant,14,20
63,1,4:16.0,,D. Brooks misses 2-pt layup from 1 ft,14,20
64,1,4:13.0,,Offensive rebound by J. Valančiūnas,14,20
65,1,4:12.0,,G. Dieng misses 3-pt jump shot from 26 ft,14,20
66,1,4:09.0,Defensive rebound by D. Fox,,14,20
67,1,3:57.0,N. Bjelica misses 3-pt jump shot from 26 ft,,14,20
68,1,3:54.0,,Defensive rebound by J. Valančiūnas,14,20
69,1,3:52.0,,Personal foul by N. Bjelica (drawn by G. Dieng),14,20
70,1,3:52.0,K. Bazemore enters the game for H. Barnes,,14,20
