,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHOENIX_ACTION,ATLANTA_SCORE,PHOENIX_SCORE
0,1,11:35.0,D. Hunter misses 3-pt jump shot from 23 ft,,0,0
1,1,11:33.0,,Defensive rebound by R. Rubio,0,0
2,1,11:30.0,,K. Oubre makes 2-pt layup at rim (assist by R. Rubio),0,2
3,1,11:16.0,J. Parker misses 2-pt jump shot from 20 ft,,0,2
4,1,11:13.0,,Defensive rebound by D. Booker,0,2
5,1,11:10.0,,D. Booker misses 3-pt jump shot from 26 ft,0,2
6,1,11:07.0,Defensive rebound by J. Parker,,0,2
7,1,11:07.0,Turnover by D. Jones (step out of bounds),,0,2
8,1,11:05.0,,D. Šarić makes 2-pt layup from 1 ft (assist by D. Booker),0,4
9,1,10:57.0,Shooting foul by D. Šarić (drawn by T. Young),,0,4
10,1,10:57.0,T. Young makes free throw 1 of 2,,1,4
11,1,10:57.0,T. Young makes free throw 2 of 2,,2,4
12,1,10:35.0,,Turnover by A. Baynes (lost ball; steal by D. Hunter),2,4
13,1,10:27.0,D. Jones makes 2-pt dunk at rim (assist by T. Young),,4,4
14,1,10:15.0,,A. Baynes makes 2-pt layup at rim (assist by D. Booker),4,6
15,1,9:58.0,J. Parker makes 2-pt jump shot from 11 ft (assist by T. Young),,6,6
16,1,9:46.0,,Personal foul by T. Young (drawn by K. Oubre),6,6
17,1,9:43.0,,R. Rubio misses 3-pt jump shot from 23 ft,6,6
18,1,9:38.0,,Offensive rebound by D. Šarić,6,6
19,1,9:37.0,,Turnover by D. Šarić (bad pass; steal by J. Parker),6,6
20,1,9:30.0,D. Hunter makes 3-pt jump shot from 26 ft (assist by C. Reddish),,9,6
21,1,9:19.0,,Personal foul by D. Hunter (drawn by A. Baynes),9,6
22,1,9:09.0,,Turnover by R. Rubio (bad pass; steal by J. Parker),9,6
23,1,9:05.0,T. Young misses 3-pt jump shot from 29 ft,,9,6
24,1,9:03.0,,Defensive rebound by K. Oubre,9,6
25,1,8:55.0,,K. Oubre misses 3-pt jump shot from 25 ft,9,6
26,1,8:51.0,Defensive rebound by C. Reddish,,9,6
27,1,8:48.0,Shooting foul by D. Booker (drawn by T. Young),,9,6
28,1,8:48.0,T. Young makes free throw 1 of 2,,10,6
29,1,8:48.0,T. Young makes free throw 2 of 2,,11,6
30,1,8:38.0,,Turnover by D. Booker (bad pass),11,6
31,1,8:29.0,Turnover by T. Young (bad pass; steal by K. Oubre),,11,6
32,1,8:25.0,,D. Booker makes 2-pt layup at rim (assist by K. Oubre),11,8
33,1,8:13.0,Turnover by D. Hunter (dbl dribble),,11,8
34,1,8:03.0,,Turnover by D. Booker (bad pass; steal by D. Jones),11,8
35,1,7:59.0,Turnover by C. Reddish (step out of bounds),,11,8
36,1,7:48.0,,R. Rubio misses 2-pt jump shot from 5 ft,11,8
37,1,7:46.0,Defensive rebound by D. Hunter,,11,8
38,1,7:37.0,D. Jones makes 2-pt dunk from 1 ft (assist by J. Parker),,13,8
39,1,7:23.0,,D. Šarić misses 2-pt layup from 1 ft,13,8
40,1,7:18.0,Defensive rebound by D. Jones,,13,8
41,1,7:16.0,C. Reddish misses 3-pt jump shot from 24 ft,,13,8
42,1,7:14.0,Offensive rebound by D. Jones,,13,8
43,1,7:14.0,D. Jones makes 2-pt layup from 1 ft,,15,8
44,1,7:14.0,,Phoenix full timeout,15,8
45,1,7:06.0,,D. Šarić makes 2-pt jump shot from 12 ft (assist by R. Rubio),15,10
46,1,6:47.0,D. Jones makes 2-pt dunk from 1 ft (assist by T. Young),,17,10
47,1,6:23.0,,Turnover by D. Booker (bad pass; steal by D. Hunter),17,10
48,1,6:19.0,Shooting foul by D. Booker (drawn by C. Reddish),,17,10
49,1,6:19.0,C. Reddish makes free throw 1 of 2,,18,10
50,1,6:19.0,B. Fernando enters the game for J. Parker,,18,10
51,1,6:19.0,,T. Johnson enters the game for D. Booker,18,10
52,1,6:19.0,C. Reddish makes free throw 2 of 2,,19,10
53,1,6:10.0,,D. Šarić misses 3-pt jump shot from 25 ft,19,10
54,1,6:07.0,Defensive rebound by C. Reddish,,19,10
55,1,5:56.0,Offensive foul by D. Hunter (drawn by A. Baynes),,19,10
56,1,5:56.0,Turnover by D. Hunter (offensive foul),,19,10
57,1,5:56.0,D. Bembry enters the game for D. Hunter,,19,10
58,1,5:56.0,,F. Kaminsky enters the game for A. Baynes,19,10
