,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,UTAH_ACTION,CHARLOTTE_SCORE,UTAH_SCORE
0,1,11:42.0,,J. Ingles misses 2-pt layup from 2 ft,0,0
1,1,11:40.0,Defensive rebound by P. Washington,,0,0
2,1,11:33.0,Personal foul by J. Ingles (drawn by P. Washington),,0,0
3,1,11:20.0,Turnover by P. Washington (bad pass; steal by J. Ingles),,0,0
4,1,11:06.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Mitchell),0,2
5,1,10:53.0,Turnover by M. Bridges (bad pass; steal by D. Mitchell),,0,2
6,1,10:42.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,0,2
7,1,10:39.0,Defensive rebound by B. Biyombo,,0,2
8,1,10:30.0,M. Bridges makes 2-pt hook shot from 11 ft,,2,2
9,1,10:06.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by R. Gobert),2,5
10,1,9:38.0,B. Biyombo misses 2-pt hook shot from 6 ft (block by R. Gobert),,2,5
11,1,9:36.0,,Defensive rebound by B. Bogdanović,2,5
12,1,9:31.0,,R. Gobert misses 2-pt layup from 3 ft,2,5
13,1,9:29.0,,Offensive rebound by R. O'Neale,2,5
14,1,9:18.0,,D. Mitchell misses 2-pt jump shot from 16 ft,2,5
15,1,9:15.0,Defensive rebound by P. Washington,,2,5
16,1,9:08.0,T. Rozier makes 2-pt layup from 2 ft (assist by D. Graham),,4,5
17,1,8:43.0,,R. Gobert misses 2-pt layup from 5 ft,4,5
18,1,8:41.0,Defensive rebound by M. Bridges,,4,5
19,1,8:35.0,D. Graham misses 2-pt jump shot from 8 ft,,4,5
20,1,8:33.0,Offensive rebound by B. Biyombo,,4,5
21,1,8:25.0,M. Bridges makes 3-pt jump shot from 25 ft (assist by T. Rozier),,7,5
22,1,8:09.0,,D. Mitchell misses 3-pt jump shot from 25 ft,7,5
23,1,8:04.0,Defensive rebound by M. Bridges,,7,5
24,1,8:01.0,Turnover by D. Graham (bad pass),,7,5
25,1,7:42.0,,J. Ingles makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),7,8
26,1,7:20.0,Turnover by D. Graham (bad pass; steal by D. Mitchell),,7,8
27,1,7:03.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by D. Mitchell),7,10
28,1,6:48.0,Shooting foul by D. Mitchell (drawn by P. Washington),,7,10
29,1,6:48.0,,Utah full timeout,7,10
30,1,6:48.0,D. Bacon enters the game for T. Rozier,,7,10
31,1,6:48.0,,E. Mudiay enters the game for D. Mitchell,7,10
32,1,6:48.0,P. Washington makes free throw 1 of 2,,8,10
33,1,6:48.0,P. Washington makes free throw 2 of 2,,9,10
34,1,6:36.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by J. Ingles),9,12
35,1,6:14.0,D. Bacon misses 2-pt layup from 5 ft,,9,12
36,1,6:12.0,,Defensive rebound by R. Gobert,9,12
37,1,6:08.0,,J. Ingles misses 3-pt jump shot from 25 ft,9,12
38,1,6:04.0,Defensive rebound by B. Biyombo,,9,12
39,1,5:53.0,M. Bridges misses 2-pt jump shot from 10 ft,,9,12
40,1,5:51.0,,Defensive rebound by B. Bogdanović,9,12
41,1,5:45.0,,Turnover by B. Bogdanović (bad pass; steal by P. Washington),9,12
42,1,5:37.0,P. Washington misses 3-pt jump shot from 25 ft,,9,12
43,1,5:34.0,,Defensive rebound by R. O'Neale,9,12
44,1,5:29.0,,Turnover by R. O'Neale (lost ball; steal by D. Graham),9,12
45,1,5:24.0,Turnover by D. Graham (bad pass),,9,12
46,1,5:24.0,M. Monk enters the game for B. Biyombo,,9,12
47,1,5:24.0,C. Zeller enters the game for M. Bridges,,9,12
48,1,4:59.0,,R. O'Neale makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),9,15
49,1,4:39.0,Turnover by C. Zeller (traveling),,9,15
50,1,4:39.0,,J. Clarkson enters the game for J. Ingles,9,15
51,1,4:20.0,,B. Bogdanović makes 3-pt jump shot from 26 ft,9,18
52,1,3:57.0,Turnover by P. Washington (lost ball; steal by E. Mudiay),,9,18
53,1,3:51.0,,Shooting foul by M. Monk (drawn by R. Gobert),9,18
54,1,3:51.0,,R. Gobert makes free throw 1 of 2,9,19
55,1,3:51.0,Charlotte full timeout,,9,19
56,1,3:51.0,M. Williams enters the game for P. Washington,,9,19
57,1,3:51.0,,G. Niang enters the game for R. O'Neale,9,19
58,1,3:51.0,,R. Gobert misses free throw 2 of 2,9,19
59,1,3:49.0,Defensive rebound by D. Bacon,,9,19
60,1,3:34.0,C. Zeller misses 3-pt jump shot from 26 ft,,9,19
61,1,3:31.0,,Defensive rebound by R. Gobert,9,19
62,1,3:16.0,,J. Clarkson misses 3-pt jump shot from 23 ft,9,19
63,1,3:12.0,,Offensive rebound by R. Gobert,9,19
64,1,3:10.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by R. Gobert),9,22
65,1,2:52.0,D. Graham makes 2-pt jump shot from 17 ft,,11,22
