,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,GOLDEN STATE_ACTION,PHILADELPHIA_SCORE,GOLDEN STATE_SCORE
0,1,11:41.0,A. Horford makes 2-pt dunk from 2 ft (assist by M. Thybulle),,2,0
1,1,11:23.0,,Turnover by A. Wiggins (bad pass; steal by S. Milton),2,0
2,1,11:18.0,,Violation by Team (kicked ball),2,0
3,1,11:12.0,A. Horford makes 3-pt jump shot from 26 ft (assist by S. Milton),,5,0
4,1,10:59.0,,A. Wiggins misses 2-pt jump shot from 19 ft,5,0
5,1,10:57.0,Defensive rebound by A. Horford,,5,0
6,1,10:49.0,T. Harris misses 2-pt jump shot from 11 ft,,5,0
7,1,10:46.0,Offensive rebound by Team,,5,0
8,1,10:35.0,A. Horford makes 2-pt layup from 2 ft (assist by T. Harris),,7,0
9,1,10:27.0,,D. Lee misses 3-pt jump shot from 29 ft,7,0
10,1,10:25.0,Defensive rebound by M. Scott,,7,0
11,1,10:06.0,T. Harris misses 2-pt jump shot from 8 ft,,7,0
12,1,10:05.0,,Defensive rebound by D. Lee,7,0
13,1,9:53.0,,D. Lee makes 2-pt jump shot from 10 ft (assist by M. Chriss),7,2
14,1,9:34.0,Turnover by A. Horford (lost ball; steal by A. Wiggins),,7,2
15,1,9:27.0,,Shooting foul by T. Harris (drawn by A. Wiggins),7,2
16,1,9:27.0,,A. Wiggins makes free throw 1 of 2,7,3
17,1,9:27.0,,A. Wiggins makes free throw 2 of 2,7,4
18,1,9:17.0,M. Thybulle misses 3-pt jump shot from 26 ft,,7,4
19,1,9:16.0,,Defensive rebound by Team,7,4
20,1,9:09.0,,M. Mulder misses 3-pt jump shot from 28 ft,7,4
21,1,9:07.0,Defensive rebound by S. Milton,,7,4
22,1,8:56.0,Turnover by M. Scott (bad pass; steal by M. Chriss),,7,4
23,1,8:50.0,,D. Lee misses 3-pt jump shot from 23 ft,7,4
24,1,8:48.0,Defensive rebound by A. Horford,,7,4
25,1,8:33.0,S. Milton misses 2-pt jump shot from 12 ft,,7,4
26,1,8:32.0,Offensive rebound by S. Milton,,7,4
27,1,8:32.0,S. Milton makes 2-pt layup from 3 ft,,9,4
28,1,8:10.0,,A. Wiggins makes 2-pt layup from 5 ft,9,6
29,1,8:10.0,,Shooting foul by S. Milton (drawn by A. Wiggins),9,6
30,1,8:10.0,,A. Wiggins misses free throw 1 of 1,9,6
