,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,TORONTO_ACTION,CHARLOTTE_SCORE,TORONTO_SCORE
0,1,11:32.0,C. Zeller misses 3-pt jump shot from 26 ft,,0,0
1,1,11:30.0,Offensive rebound by T. Rozier,,0,0
2,1,11:28.0,T. Rozier misses 3-pt jump shot from 23 ft,,0,0
3,1,11:25.0,,Defensive rebound by O. Anunoby,0,0
4,1,11:07.0,,N. Powell makes 3-pt jump shot from 29 ft (assist by O. Anunoby),0,3
5,1,10:48.0,P. Washington misses 2-pt jump shot from 11 ft,,0,3
6,1,10:46.0,,Defensive rebound by N. Powell,0,3
7,1,10:25.0,,M. Gasol makes 2-pt layup from 1 ft (assist by F. VanVleet),0,5
8,1,10:00.0,Turnover by Team (shot clock),,0,5
9,1,9:40.0,,N. Powell makes 2-pt layup at rim (assist by M. Gasol),0,7
10,1,9:40.0,Charlotte full timeout,,0,7
11,1,9:27.0,Personal foul by F. VanVleet (drawn by P. Washington),,0,7
12,1,9:21.0,D. Graham makes 3-pt jump shot from 26 ft (assist by P. Washington),,3,7
13,1,8:56.0,,F. VanVleet misses 3-pt jump shot from 26 ft,3,7
14,1,8:52.0,Defensive rebound by C. Zeller,,3,7
15,1,8:43.0,Turnover by C. Zeller (lost ball; steal by F. VanVleet),,3,7
16,1,8:37.0,,N. Powell misses 3-pt jump shot from 24 ft,3,7
17,1,8:34.0,Defensive rebound by M. Bridges,,3,7
18,1,8:23.0,T. Rozier misses 2-pt jump shot from 13 ft,,3,7
19,1,8:20.0,,Defensive rebound by M. Gasol,3,7
20,1,8:17.0,,Turnover by N. Powell (bad pass; steal by D. Graham),3,7
21,1,8:00.0,P. Washington makes 2-pt layup from 1 ft (assist by D. Graham),,5,7
22,1,7:45.0,,P. Siakam makes 3-pt jump shot from 25 ft (assist by F. VanVleet),5,10
23,1,7:29.0,C. Zeller makes 3-pt jump shot from 26 ft (assist by D. Graham),,8,10
24,1,7:12.0,,P. Siakam makes 2-pt layup at rim (assist by F. VanVleet),8,12
25,1,7:02.0,Offensive foul by C. Zeller (drawn by O. Anunoby),,8,12
26,1,7:02.0,Turnover by C. Zeller (offensive foul),,8,12
27,1,7:02.0,M. Monk enters the game for D. Graham,,8,12
28,1,6:54.0,,Shooting foul by P. Washington (drawn by F. VanVleet),8,12
29,1,6:54.0,,F. VanVleet makes free throw 1 of 2,8,13
30,1,6:54.0,M. Williams enters the game for C. Zeller,,8,13
31,1,6:54.0,,F. VanVleet makes free throw 2 of 2,8,14
32,1,6:37.0,M. Bridges misses 3-pt jump shot from 26 ft,,8,14
33,1,6:34.0,,Defensive rebound by P. Siakam,8,14
34,1,6:28.0,,Personal foul by P. Washington (drawn by P. Siakam),8,14
35,1,6:28.0,N. Batum enters the game for P. Washington,,8,14
36,1,6:23.0,,N. Powell misses 3-pt jump shot from 25 ft,8,14
37,1,6:20.0,Defensive rebound by T. Rozier,,8,14
38,1,6:13.0,M. Monk misses 3-pt jump shot from 25 ft,,8,14
39,1,6:10.0,,Defensive rebound by O. Anunoby,8,14
40,1,5:59.0,,F. VanVleet makes 2-pt layup at rim,8,16
41,1,5:51.0,T. Rozier makes 2-pt layup from 2 ft,,10,16
42,1,5:40.0,,O. Anunoby makes 2-pt jump shot from 16 ft,10,18
43,1,5:18.0,M. Monk misses 2-pt jump shot from 11 ft,,10,18
44,1,5:15.0,,Defensive rebound by M. Gasol,10,18
45,1,5:11.0,,N. Powell misses 2-pt layup from 1 ft,10,18
46,1,5:09.0,Defensive rebound by N. Batum,,10,18
47,1,5:03.0,M. Bridges misses 2-pt layup from 2 ft (block by P. Siakam),,10,18
48,1,5:00.0,,Defensive rebound by P. Siakam,10,18
49,1,4:59.0,,Personal foul by T. Rozier (drawn by N. Powell),10,18
50,1,4:51.0,,N. Powell misses 3-pt jump shot from 26 ft,10,18
51,1,4:48.0,Defensive rebound by M. Williams,,10,18
52,1,4:32.0,Turnover by M. Monk (bad pass; steal by F. VanVleet),,10,18
53,1,4:29.0,,Turnover by O. Anunoby (out of bounds lost ball),10,18
54,1,4:29.0,B. Biyombo enters the game for M. Bridges,,10,18
55,1,4:15.0,M. Monk misses 3-pt jump shot from 27 ft,,10,18
56,1,4:11.0,,Defensive rebound by O. Anunoby,10,18
57,1,4:03.0,,O. Anunoby misses 3-pt jump shot from 27 ft,10,18
