,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PORTLAND_ACTION,BROOKLYN_SCORE,PORTLAND_SCORE
0,1,11:44.0,,Turnover by M. Hezonja (bad pass; steal by T. Prince),0,0
1,1,11:27.0,T. Prince misses 2-pt layup from 1 ft,,0,0
2,1,11:27.0,Offensive rebound by Team,,0,0
3,1,11:27.0,,Loose ball foul by R. Hood (drawn by J. Allen),0,0
4,1,11:23.0,K. Irving misses 2-pt jump shot from 18 ft,,0,0
5,1,11:19.0,,Defensive rebound by M. Hezonja,0,0
6,1,11:11.0,,D. Lillard makes 3-pt jump shot from 26 ft,0,3
7,1,10:56.0,T. Prince misses 3-pt jump shot from 27 ft,,0,3
8,1,10:55.0,Offensive rebound by Team,,0,3
9,1,10:47.0,C. LeVert misses 2-pt jump shot from 11 ft,,0,3
10,1,10:47.0,,Defensive rebound by Team,0,3
11,1,10:47.0,Loose ball foul by C. LeVert (drawn by M. Hezonja),,0,3
12,1,10:34.0,,C. McCollum misses 2-pt jump shot from 13 ft,0,3
13,1,10:30.0,Defensive rebound by J. Harris,,0,3
14,1,10:26.0,K. Irving makes 3-pt jump shot from 26 ft (assist by J. Harris),,3,3
15,1,10:13.0,,D. Lillard makes 2-pt layup from 2 ft,3,5
16,1,10:00.0,J. Allen misses 2-pt hook shot from 4 ft,,3,5
17,1,9:56.0,Offensive rebound by J. Allen,,3,5
18,1,9:56.0,J. Allen makes 2-pt layup from 1 ft,,5,5
19,1,9:47.0,,H. Whiteside misses 2-pt hook shot from 8 ft,5,5
20,1,9:45.0,Defensive rebound by T. Prince,,5,5
21,1,9:36.0,J. Allen misses 2-pt hook shot from 5 ft,,5,5
22,1,9:35.0,,Defensive rebound by Team,5,5
23,1,9:21.0,,C. McCollum misses 2-pt jump shot from 3 ft (block by C. LeVert),5,5
24,1,9:18.0,Defensive rebound by C. LeVert,,5,5
25,1,9:10.0,Turnover by C. LeVert (bad pass; steal by M. Hezonja),,5,5
26,1,9:05.0,,Shooting foul by J. Harris (drawn by M. Hezonja),5,5
27,1,9:05.0,,M. Hezonja makes free throw 1 of 2,5,6
28,1,9:05.0,,M. Hezonja makes free throw 2 of 2,5,7
29,1,8:53.0,K. Irving misses 2-pt jump shot from 12 ft,,5,7
30,1,8:52.0,,Defensive rebound by Team,5,7
31,1,8:38.0,,H. Whiteside misses 2-pt layup from 1 ft,5,7
32,1,8:36.0,Defensive rebound by T. Prince,,5,7
33,1,8:31.0,T. Prince misses 2-pt layup from 2 ft,,5,7
34,1,8:29.0,Offensive rebound by J. Harris,,5,7
35,1,8:29.0,J. Harris makes 2-pt layup from 1 ft,,7,7
36,1,8:15.0,,D. Lillard misses 2-pt jump shot from 14 ft,7,7
37,1,8:11.0,Defensive rebound by J. Allen,,7,7
38,1,7:56.0,Shooting foul by M. Hezonja (drawn by C. LeVert),,7,7
39,1,7:56.0,C. LeVert makes free throw 1 of 2,,8,7
40,1,7:56.0,C. LeVert misses free throw 2 of 2,,8,7
41,1,7:53.0,,Defensive rebound by M. Hezonja,8,7
42,1,7:36.0,,H. Whiteside makes 2-pt dunk from 2 ft (assist by M. Hezonja),8,9
43,1,7:16.0,T. Prince misses 2-pt jump shot from 17 ft,,8,9
44,1,7:13.0,Offensive rebound by T. Prince,,8,9
45,1,7:11.0,C. LeVert makes 2-pt layup at rim (assist by J. Allen),,10,9
46,1,7:11.0,Shooting foul by R. Hood (drawn by C. LeVert),,10,9
47,1,7:11.0,C. LeVert makes free throw 1 of 1,,11,9
48,1,6:47.0,,M. Hezonja misses 3-pt jump shot from 26 ft,11,9
49,1,6:44.0,Defensive rebound by J. Harris,,11,9
50,1,6:36.0,C. LeVert misses 3-pt jump shot from 23 ft,,11,9
51,1,6:32.0,,Defensive rebound by R. Hood,11,9
52,1,6:17.0,,H. Whiteside misses 2-pt jump shot from 19 ft,11,9
53,1,6:14.0,Defensive rebound by T. Prince,,11,9
54,1,6:07.0,K. Irving misses 2-pt jump shot from 7 ft,,11,9
55,1,6:04.0,,Defensive rebound by H. Whiteside,11,9
56,1,5:59.0,,Personal foul by T. Prince (drawn by D. Lillard),11,9
57,1,5:59.0,,Portland full timeout,11,9
58,1,5:59.0,S. Dinwiddie enters the game for C. LeVert,,11,9
59,1,5:59.0,G. Temple enters the game for T. Prince,,11,9
60,1,5:59.0,,A. Simons enters the game for R. Hood,11,9
61,1,5:49.0,,A. Simons makes 2-pt layup from 2 ft (assist by D. Lillard),11,11
62,1,5:39.0,K. Irving makes 3-pt jump shot from 27 ft,,14,11
63,1,5:13.0,,Turnover by Team (shot clock),14,11
64,1,5:00.0,G. Temple misses 3-pt jump shot from 25 ft,,14,11
65,1,4:55.0,,Defensive rebound by M. Hezonja,14,11
66,1,4:47.0,,M. Hezonja misses 2-pt layup from 1 ft (block by J. Allen),14,11
67,1,4:45.0,Defensive rebound by J. Allen,,14,11
68,1,4:41.0,Turnover by K. Irving (bad pass),,14,11
69,1,4:41.0,,K. Bazemore enters the game for M. Hezonja,14,11
70,1,4:24.0,,C. McCollum misses 2-pt jump shot from 14 ft,14,11
71,1,4:21.0,Defensive rebound by K. Irving,,14,11
72,1,4:16.0,J. Allen makes 2-pt dunk at rim (assist by S. Dinwiddie),,16,11
73,1,4:01.0,,D. Lillard makes 2-pt jump shot from 13 ft,16,13
74,1,3:52.0,K. Irving misses 2-pt jump shot from 11 ft,,16,13
75,1,3:51.0,,Defensive rebound by Team,16,13
76,1,3:51.0,,S. Labissière enters the game for H. Whiteside,16,13
77,1,3:41.0,,D. Lillard makes 2-pt layup from 3 ft,16,15
78,1,3:30.0,Shooting foul by S. Labissière (drawn by J. Allen),,16,15
79,1,3:30.0,J. Allen misses free throw 1 of 2,,16,15
