,QUARTER,TIME_REMAINING,DALLAS_ACTION,INDIANA_ACTION,DALLAS_SCORE,INDIANA_SCORE
0,1,11:42.0,Turnover by T. Hardaway (bad pass; steal by D. Sabonis),,0,0
1,1,11:30.0,,M. Brogdon makes 2-pt jump shot from 18 ft,0,2
2,1,11:16.0,J. Brunson misses 2-pt jump shot from 17 ft,,0,2
3,1,11:13.0,,Defensive rebound by M. Turner,0,2
4,1,11:03.0,,D. Sabonis misses 2-pt layup from 1 ft,0,2
5,1,11:01.0,Defensive rebound by D. Finney-Smith,,0,2
6,1,10:55.0,J. Brunson misses 3-pt jump shot from 23 ft,,0,2
7,1,10:52.0,,Defensive rebound by M. Brogdon,0,2
8,1,10:41.0,,D. Sabonis makes 2-pt layup from 1 ft,0,4
9,1,10:26.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,0,4
10,1,10:22.0,Offensive rebound by D. Finney-Smith,,0,4
11,1,10:18.0,K. Porziņģis makes 2-pt dunk from 2 ft (assist by D. Finney-Smith),,2,4
12,1,10:03.0,,Indiana full timeout,2,4
13,1,9:52.0,,A. Holiday misses 2-pt jump shot from 13 ft,2,4
14,1,9:48.0,,Offensive rebound by A. Holiday,2,4
15,1,9:37.0,,J. Lamb makes 3-pt jump shot from 26 ft,2,7
16,1,9:25.0,T. Hardaway makes 2-pt jump shot from 16 ft,,4,7
17,1,9:04.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by A. Holiday),4,9
18,1,8:48.0,K. Porziņģis makes 3-pt jump shot from 29 ft (assist by T. Hardaway),,7,9
19,1,8:33.0,,M. Turner makes 2-pt jump shot from 9 ft (assist by A. Holiday),7,11
20,1,8:19.0,D. Finney-Smith makes 3-pt jump shot from 23 ft,,10,11
21,1,8:04.0,,A. Holiday makes 3-pt jump shot from 28 ft (assist by D. Sabonis),10,14
22,1,7:50.0,Personal foul by A. Holiday (drawn by K. Porziņģis),,10,14
23,1,7:37.0,T. Hardaway makes 2-pt jump shot from 15 ft,,12,14
24,1,7:19.0,,M. Brogdon misses 3-pt jump shot from 27 ft,12,14
25,1,7:16.0,Defensive rebound by D. Finney-Smith,,12,14
26,1,7:06.0,M. Kleber makes 2-pt layup from 2 ft (assist by T. Hardaway),,14,14
27,1,6:45.0,,M. Turner makes 2-pt jump shot from 12 ft (assist by M. Brogdon),14,16
28,1,6:32.0,M. Kleber misses 3-pt jump shot from 23 ft,,14,16
29,1,6:30.0,,Defensive rebound by D. Sabonis,14,16
30,1,6:21.0,,J. Lamb misses 2-pt jump shot from 9 ft,14,16
31,1,6:18.0,Defensive rebound by J. Brunson,,14,16
32,1,6:07.0,Personal foul by A. Holiday (drawn by J. Brunson),,14,16
33,1,6:07.0,D. Wright enters the game for D. Finney-Smith,,14,16
34,1,6:07.0,,V. Oladipo enters the game for A. Holiday,14,16
35,1,6:04.0,K. Porziņģis makes 3-pt jump shot from 32 ft (assist by M. Kleber),,17,16
36,1,5:49.0,,D. Sabonis misses 2-pt jump shot from 17 ft,17,16
37,1,5:46.0,Defensive rebound by K. Porziņģis,,17,16
38,1,5:35.0,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by T. Hardaway),,20,16
39,1,5:10.0,,J. Lamb makes 2-pt layup from 1 ft (assist by M. Turner),20,18
40,1,4:51.0,T. Hardaway misses 3-pt jump shot from 23 ft,,20,18
41,1,4:48.0,,Defensive rebound by J. Lamb,20,18
42,1,4:34.0,,M. Turner misses 2-pt jump shot from 18 ft,20,18
43,1,4:33.0,Defensive rebound by Team,,20,18
44,1,4:33.0,,Loose ball foul by D. Sabonis (drawn by J. Brunson),20,18
45,1,4:33.0,,J. Holiday enters the game for D. Sabonis,20,18
46,1,4:22.0,Personal foul by M. Turner (drawn by T. Hardaway),,20,18
47,1,4:14.0,Turnover by J. Brunson (bad pass; steal by M. Turner),,20,18
48,1,4:10.0,,V. Oladipo makes 2-pt layup at rim (assist by M. Brogdon),20,20
49,1,4:09.0,Dallas full timeout,,20,20
50,1,4:09.0,J. Barea enters the game for J. Brunson,,20,20
51,1,3:54.0,Offensive foul by K. Porziņģis (drawn by J. Lamb),,20,20
52,1,3:54.0,Turnover by K. Porziņģis (offensive foul),,20,20
53,1,3:34.0,,V. Oladipo misses 3-pt jump shot from 26 ft,20,20
54,1,3:31.0,Defensive rebound by K. Porziņģis,,20,20
55,1,3:23.0,K. Porziņģis misses 2-pt layup from 2 ft,,20,20
56,1,3:20.0,,Defensive rebound by J. Lamb,20,20
57,1,3:03.0,,M. Brogdon misses 3-pt jump shot from 23 ft,20,20
58,1,3:00.0,Defensive rebound by D. Wright,,20,20
59,1,2:53.0,T. Hardaway makes 2-pt layup from 2 ft,,22,20
60,1,2:37.0,,M. Brogdon misses 2-pt layup at rim,22,20
61,1,2:35.0,Defensive rebound by M. Kleber,,22,20
62,1,2:28.0,K. Porziņģis misses 3-pt jump shot from 28 ft,,22,20
63,1,2:26.0,,Defensive rebound by Team,22,20
64,1,2:26.0,,T. McConnell enters the game for M. Brogdon,22,20
65,1,2:26.0,,D. McDermott enters the game for J. Lamb,22,20
66,1,2:12.0,,D. McDermott misses 3-pt jump shot from 28 ft,22,20
67,1,2:09.0,Defensive rebound by T. Hardaway,,22,20
68,1,2:03.0,J. Barea misses 2-pt jump shot from 2 ft,,22,20
69,1,2:01.0,,Defensive rebound by D. McDermott,22,20
70,1,1:54.0,,M. Turner makes 2-pt jump shot from 15 ft (assist by T. McConnell),22,22
71,1,1:36.0,D. Wright misses 3-pt jump shot from 29 ft,,22,22
72,1,1:34.0,,Defensive rebound by Team,22,22
73,1,1:34.0,R. Broekhoff enters the game for T. Hardaway,,22,22
74,1,1:34.0,W. Cauley-Stein enters the game for M. Kleber,,22,22
75,1,1:34.0,D. Finney-Smith enters the game for K. Porziņģis,,22,22
76,1,1:23.0,,V. Oladipo misses 3-pt jump shot from 32 ft,22,22
77,1,1:20.0,Defensive rebound by D. Finney-Smith,,22,22
78,1,1:03.0,J. Barea makes 3-pt jump shot from 27 ft (assist by D. Finney-Smith),,25,22
79,1,0:48.0,,J. Holiday misses 3-pt jump shot from 24 ft,25,22
80,1,0:45.0,Defensive rebound by R. Broekhoff,,25,22
81,1,0:35.0,R. Broekhoff misses 3-pt jump shot from 26 ft,,25,22
82,1,0:33.0,,Defensive rebound by Team,25,22
83,1,0:33.0,Loose ball foul by W. Cauley-Stein (drawn by M. Turner),,25,22
84,1,0:17.0,,V. Oladipo misses 2-pt jump shot from 3 ft,25,22
85,1,0:15.0,Defensive rebound by R. Broekhoff,,25,22
86,1,0:02.0,D. Wright misses 2-pt layup from 3 ft (block by M. Turner),,25,22
87,1,0:02.0,,Defensive rebound by M. Turner,25,22
88,2,11:41.0,,T. McConnell makes 2-pt jump shot from 10 ft,25,24
89,2,11:27.0,R. Broekhoff misses 3-pt jump shot from 26 ft,,25,24
90,2,11:24.0,,Defensive rebound by J. Holiday,25,24
91,2,11:17.0,,D. McDermott misses 3-pt jump shot from 26 ft,25,24
92,2,11:14.0,Defensive rebound by R. Broekhoff,,25,24
93,2,11:05.0,D. Wright makes 2-pt layup from 2 ft,,27,24
94,2,10:51.0,,T. McConnell makes 2-pt layup from 1 ft (assist by D. McDermott),27,26
95,2,10:38.0,J. Barea misses 2-pt jump shot from 16 ft,,27,26
96,2,10:35.0,,Defensive rebound by D. Sabonis,27,26
97,2,10:28.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by T. McConnell),27,28
98,2,10:15.0,Turnover by J. Barea (bad pass),,27,28
99,2,10:09.0,,D. McDermott misses 3-pt jump shot from 27 ft,27,28
100,2,10:06.0,Defensive rebound by W. Cauley-Stein,,27,28
101,2,9:58.0,R. Broekhoff makes 3-pt jump shot from 28 ft (assist by W. Cauley-Stein),,30,28
102,2,9:45.0,,A. Holiday misses 2-pt layup from 2 ft (block by W. Cauley-Stein),30,28
103,2,9:45.0,Defensive rebound by Team,,30,28
104,2,9:35.0,Offensive foul by W. Cauley-Stein (drawn by T. McConnell),,30,28
105,2,9:35.0,Turnover by W. Cauley-Stein (offensive foul),,30,28
