,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MIAMI_ACTION,MILWAUKEE_SCORE,MIAMI_SCORE
0,1,11:39.0,G. Antetokounmpo makes 2-pt hook shot from 4 ft,,2,0
1,1,11:24.0,,Turnover by B. Adebayo (bad pass),2,0
2,1,11:12.0,W. Matthews misses 3-pt jump shot from 26 ft,,2,0
3,1,11:08.0,,Defensive rebound by B. Adebayo,2,0
4,1,10:56.0,,B. Adebayo misses 2-pt jump shot from 7 ft,2,0
5,1,10:54.0,Defensive rebound by G. Antetokounmpo,,2,0
6,1,10:50.0,Personal foul by D. Jones (drawn by G. Antetokounmpo),,2,0
7,1,10:40.0,B. Lopez misses 2-pt jump shot from 10 ft,,2,0
8,1,10:38.0,,Defensive rebound by J. Butler,2,0
9,1,10:31.0,,J. Butler makes 2-pt jump shot from 16 ft (assist by D. Jones),2,2
10,1,10:12.0,K. Middleton misses 2-pt jump shot from 19 ft,,2,2
11,1,10:10.0,,Defensive rebound by D. Robinson,2,2
12,1,9:50.0,,J. Butler makes 2-pt jump shot from 14 ft,2,4
13,1,9:38.0,G. Antetokounmpo misses 3-pt jump shot from 25 ft,,2,4
14,1,9:37.0,,Defensive rebound by Team,2,4
15,1,9:19.0,,D. Jones misses 3-pt jump shot from 26 ft,2,4
16,1,9:17.0,Defensive rebound by K. Middleton,,2,4
17,1,9:03.0,G. Antetokounmpo makes 2-pt jump shot from 13 ft,,4,4
18,1,8:48.0,,J. Butler misses 2-pt layup from 1 ft,4,4
19,1,8:46.0,Defensive rebound by G. Antetokounmpo,,4,4
20,1,8:42.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,4,4
21,1,8:39.0,,Defensive rebound by B. Adebayo,4,4
22,1,8:37.0,,Turnover by B. Adebayo (bad pass; steal by E. Bledsoe),4,4
23,1,8:27.0,K. Middleton makes 3-pt jump shot from 23 ft,,7,4
24,1,8:08.0,,B. Adebayo makes 2-pt hook shot from 3 ft (assist by K. Nunn),7,6
25,1,7:58.0,K. Middleton misses 2-pt jump shot from 5 ft,,7,6
26,1,7:55.0,,Defensive rebound by B. Adebayo,7,6
27,1,7:49.0,,B. Adebayo misses 2-pt jump shot from 9 ft,7,6
28,1,7:46.0,Defensive rebound by G. Antetokounmpo,,7,6
29,1,7:40.0,G. Antetokounmpo misses 2-pt jump shot from 2 ft,,7,6
30,1,7:36.0,,Defensive rebound by D. Jones,7,6
31,1,7:34.0,,Turnover by B. Adebayo (bad pass; steal by K. Middleton),7,6
32,1,7:32.0,Shooting foul by D. Robinson (drawn by K. Middleton),,7,6
33,1,7:32.0,K. Middleton makes free throw 1 of 2,,8,6
34,1,7:32.0,K. Middleton makes free throw 2 of 2,,9,6
35,1,7:21.0,,K. Nunn makes 3-pt jump shot from 25 ft (assist by J. Butler),9,9
36,1,7:12.0,Turnover by E. Bledsoe (lost ball; steal by K. Nunn),,9,9
37,1,6:57.0,,K. Nunn makes 2-pt jump shot from 13 ft,9,11
38,1,6:57.0,Milwaukee full timeout,,9,11
39,1,6:57.0,D. DiVincenzo enters the game for B. Lopez,,9,11
40,1,6:57.0,M. Williams enters the game for K. Middleton,,9,11
41,1,6:41.0,Turnover by E. Bledsoe (bad pass),,9,11
42,1,6:25.0,,J. Butler makes 2-pt jump shot from 6 ft,9,13
43,1,6:16.0,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by E. Bledsoe),,11,13
44,1,6:16.0,Violation by Team (delay of game),,11,13
45,1,6:13.0,,Personal foul by W. Matthews (drawn by J. Butler),11,13
46,1,6:13.0,G. Hill enters the game for E. Bledsoe,,11,13
47,1,6:13.0,,G. Dragić enters the game for D. Robinson,11,13
48,1,6:06.0,,D. Jones makes 2-pt dunk from 1 ft (assist by J. Butler),11,15
49,1,5:42.0,M. Williams misses 3-pt jump shot from 28 ft,,11,15
50,1,5:42.0,Offensive rebound by Team,,11,15
51,1,5:32.0,G. Hill makes 2-pt jump shot from 11 ft,,13,15
52,1,5:18.0,,B. Adebayo misses 2-pt jump shot from 9 ft,13,15
53,1,5:16.0,Defensive rebound by G. Antetokounmpo,,13,15
54,1,5:12.0,G. Antetokounmpo misses 2-pt jump shot from 20 ft,,13,15
55,1,5:09.0,,Defensive rebound by K. Nunn,13,15
56,1,5:04.0,,K. Nunn misses 2-pt layup from 2 ft (block by G. Antetokounmpo),13,15
57,1,4:59.0,,Offensive rebound by D. Jones,13,15
58,1,4:52.0,,K. Nunn makes 3-pt jump shot from 24 ft (assist by D. Jones),13,18
59,1,4:30.0,Turnover by Team (shot clock),,13,18
60,1,4:30.0,E. İlyasova enters the game for G. Antetokounmpo,,13,18
61,1,4:13.0,,J. Butler misses 2-pt layup from 1 ft,13,18
62,1,4:11.0,Defensive rebound by D. DiVincenzo,,13,18
63,1,4:02.0,D. DiVincenzo makes 2-pt layup from 1 ft (assist by W. Matthews),,15,18
64,1,4:01.0,,Miami full timeout,15,18
65,1,4:01.0,K. Middleton enters the game for W. Matthews,,15,18
66,1,4:01.0,,J. Crowder enters the game for B. Adebayo,15,18
67,1,4:01.0,,K. Olynyk enters the game for D. Jones,15,18
68,1,3:47.0,,Shooting foul by K. Middleton (drawn by J. Butler),15,18
69,1,3:47.0,,J. Butler makes free throw 1 of 2,15,19
70,1,3:47.0,,J. Butler makes free throw 2 of 2,15,20
71,1,3:33.0,G. Hill makes 2-pt layup from 1 ft (assist by D. DiVincenzo),,17,20
72,1,3:18.0,,G. Dragić misses 3-pt jump shot from 25 ft,17,20
73,1,3:16.0,Defensive rebound by D. DiVincenzo,,17,20
74,1,3:10.0,D. DiVincenzo makes 2-pt layup from 2 ft,,19,20
75,1,2:55.0,,Shooting foul by D. DiVincenzo (drawn by K. Olynyk),19,20
76,1,2:55.0,,K. Olynyk makes free throw 1 of 2,19,21
77,1,2:55.0,,K. Olynyk makes free throw 2 of 2,19,22
78,1,2:55.0,B. Lopez enters the game for M. Williams,,19,22
79,1,2:41.0,K. Middleton makes 3-pt jump shot from 25 ft,,22,22
80,1,2:36.0,,Offensive foul by K. Olynyk (drawn by G. Hill),22,22
81,1,2:36.0,,Turnover by K. Olynyk (offensive foul),22,22
82,1,2:23.0,K. Middleton makes 2-pt layup from 1 ft,,24,22
83,1,2:11.0,,K. Olynyk makes 3-pt jump shot from 26 ft (assist by G. Dragić),24,25
84,1,2:11.0,,A. Iguodala enters the game for J. Butler,24,25
85,1,1:56.0,K. Middleton misses 3-pt jump shot from 25 ft,,24,25
86,1,1:54.0,,Defensive rebound by K. Olynyk,24,25
87,1,1:46.0,,K. Olynyk makes 3-pt jump shot from 25 ft,24,28
