,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DENVER_ACTION,LA CLIPPERS_SCORE,DENVER_SCORE
0,1,11:38.0,,N. Jokić misses 2-pt layup from 3 ft,0,0
1,1,11:37.0,Defensive rebound by I. Zubac,,0,0
2,1,11:33.0,K. Leonard misses 3-pt jump shot from 26 ft,,0,0
3,1,11:29.0,,Defensive rebound by J. Grant,0,0
4,1,11:18.0,,W. Barton misses 3-pt jump shot from 25 ft,0,0
5,1,11:15.0,Defensive rebound by L. Williams,,0,0
6,1,11:04.0,I. Zubac makes 2-pt dunk from 3 ft (assist by P. Beverley),,2,0
7,1,10:47.0,,N. Jokić misses 2-pt hook shot from 3 ft,2,0
8,1,10:45.0,Defensive rebound by P. Beverley,,2,0
9,1,10:40.0,L. Williams makes 3-pt jump shot from 29 ft (assist by P. Beverley),,5,0
10,1,10:18.0,,N. Jokić makes 3-pt jump shot from 24 ft (assist by G. Harris),5,3
11,1,9:55.0,K. Leonard makes 2-pt jump shot from 16 ft (assist by P. Patterson),,7,3
12,1,9:49.0,,Personal foul by I. Zubac (drawn by N. Jokić),7,3
13,1,9:31.0,,W. Barton misses 2-pt layup from 5 ft (block by I. Zubac),7,3
14,1,9:28.0,Defensive rebound by I. Zubac,,7,3
15,1,9:12.0,I. Zubac makes 2-pt dunk from 4 ft (assist by K. Leonard),,9,3
16,1,8:55.0,,G. Harris misses 2-pt jump shot from 2 ft,9,3
17,1,8:54.0,Defensive rebound by I. Zubac,,9,3
18,1,8:48.0,P. Patterson misses 3-pt jump shot from 28 ft,,9,3
19,1,8:45.0,,Defensive rebound by J. Grant,9,3
20,1,8:29.0,,G. Harris makes 3-pt jump shot from 22 ft (assist by N. Jokić),9,6
21,1,8:10.0,Turnover by P. Beverley (bad pass; steal by J. Grant),,9,6
22,1,8:10.0,,Personal take foul by L. Williams (drawn by J. Murray),9,6
23,1,7:58.0,,Shooting foul by P. Patterson (drawn by J. Murray),9,6
24,1,7:58.0,,J. Murray makes free throw 1 of 2,9,7
25,1,7:58.0,,J. Murray makes free throw 2 of 2,9,8
26,1,7:48.0,P. Beverley makes 3-pt jump shot from 25 ft (assist by K. Leonard),,12,8
27,1,7:31.0,,J. Murray misses 2-pt jump shot from 16 ft,12,8
28,1,7:30.0,,Offensive rebound by N. Jokić,12,8
29,1,7:29.0,,N. Jokić misses 2-pt layup from 2 ft,12,8
30,1,7:27.0,Defensive rebound by P. Beverley,,12,8
31,1,7:19.0,K. Leonard makes 2-pt jump shot from 10 ft,,14,8
32,1,6:59.0,,Turnover by N. Jokić (bad pass; steal by P. Beverley),14,8
33,1,6:54.0,K. Leonard misses 3-pt jump shot from 24 ft,,14,8
34,1,6:52.0,,Defensive rebound by N. Jokić,14,8
35,1,6:49.0,,Shooting foul by K. Leonard (drawn by J. Grant),14,8
36,1,6:49.0,,Denver full timeout,14,8
37,1,6:49.0,L. Shamet enters the game for P. Beverley,,14,8
38,1,6:49.0,,J. Grant makes free throw 1 of 2,14,9
39,1,6:49.0,,J. Grant misses free throw 2 of 2,14,9
40,1,6:46.0,Defensive rebound by I. Zubac,,14,9
41,1,6:28.0,I. Zubac makes 2-pt dunk at rim (assist by K. Leonard),,16,9
42,1,6:07.0,,W. Barton makes 2-pt jump shot from 13 ft,16,11
43,1,5:56.0,L. Williams makes 2-pt jump shot from 16 ft,,18,11
44,1,5:40.0,,N. Jokić makes 2-pt jump shot from 17 ft (assist by J. Grant),18,13
45,1,5:25.0,P. Patterson misses 3-pt jump shot from 22 ft,,18,13
46,1,5:22.0,,Defensive rebound by N. Jokić,18,13
47,1,5:15.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by N. Jokić),18,16
48,1,4:58.0,K. Leonard makes 2-pt jump shot from 15 ft (assist by I. Zubac),,20,16
49,1,4:39.0,,Shooting foul by P. Patterson (drawn by J. Grant),20,16
50,1,4:39.0,,J. Grant misses free throw 1 of 2,20,16
51,1,4:39.0,,Offensive rebound by Team,20,16
52,1,4:39.0,LA Clippers full timeout,,20,16
53,1,4:39.0,M. Harkless enters the game for P. Patterson,,20,16
54,1,4:39.0,M. Harrell enters the game for L. Williams,,20,16
55,1,4:39.0,R. McGruder enters the game for I. Zubac,,20,16
56,1,4:39.0,,T. Craig enters the game for W. Barton,20,16
57,1,4:39.0,,M. Porter enters the game for G. Harris,20,16
58,1,4:39.0,,J. Grant makes free throw 2 of 2,20,17
59,1,4:29.0,K. Leonard misses 2-pt jump shot from 13 ft,,20,17
60,1,4:24.0,,Defensive rebound by N. Jokić,20,17
61,1,4:09.0,,J. Grant makes 2-pt dunk from 1 ft (assist by N. Jokić),20,19
62,1,3:54.0,K. Leonard misses 2-pt layup from 1 ft,,20,19
63,1,3:52.0,,Defensive rebound by N. Jokić,20,19
64,1,3:43.0,,Shooting foul by L. Shamet (drawn by J. Murray),20,19
65,1,3:43.0,,J. Murray makes free throw 1 of 2,20,20
66,1,3:43.0,J. Robinson enters the game for K. Leonard,,20,20
67,1,3:43.0,L. Williams enters the game for L. Shamet,,20,20
68,1,3:43.0,,J. Murray makes free throw 2 of 2,20,21
