,QUARTER,TIME_REMAINING,DALLAS_ACTION,BOSTON_ACTION,DALLAS_SCORE,BOSTON_SCORE
0,1,11:43.0,K. Porziņģis misses 3-pt jump shot from 27 ft,,0,0
1,1,11:40.0,,Defensive rebound by D. Theis,0,0
2,1,11:26.0,,M. Smart makes 2-pt layup from 2 ft,0,2
3,1,11:11.0,K. Porziņģis misses 2-pt jump shot from 14 ft,,0,2
4,1,11:09.0,,Defensive rebound by J. Tatum,0,2
5,1,10:53.0,,J. Tatum misses 2-pt layup from 2 ft,0,2
6,1,10:50.0,Defensive rebound by L. Dončić,,0,2
7,1,10:43.0,L. Dončić misses 3-pt jump shot from 27 ft,,0,2
8,1,10:40.0,Offensive rebound by M. Kleber,,0,2
9,1,10:36.0,S. Curry misses 3-pt jump shot from 23 ft,,0,2
10,1,10:34.0,,Defensive rebound by J. Brown,0,2
11,1,10:20.0,,K. Walker makes 2-pt layup from 1 ft (assist by D. Theis),0,4
12,1,9:53.0,Turnover by Team (shot clock),,0,4
13,1,9:53.0,,R. Williams enters the game for D. Theis,0,4
14,1,9:45.0,,R. Williams makes 2-pt dunk at rim (assist by K. Walker),0,6
15,1,9:45.0,Dallas full timeout,,0,6
16,1,9:36.0,M. Kleber misses 2-pt layup from 9 ft (block by R. Williams),,0,6
17,1,9:35.0,,Defensive rebound by R. Williams,0,6
18,1,9:18.0,,K. Walker misses 3-pt jump shot from 25 ft,0,6
19,1,9:15.0,,Offensive rebound by J. Tatum,0,6
20,1,9:14.0,,J. Tatum misses 2-pt jump shot from 11 ft,0,6
21,1,9:12.0,Defensive rebound by D. Finney-Smith,,0,6
22,1,9:07.0,L. Dončić misses 2-pt jump shot from 9 ft,,0,6
23,1,9:04.0,,Defensive rebound by J. Brown,0,6
24,1,9:02.0,,Shooting foul by M. Kleber (drawn by J. Tatum),0,6
25,1,9:02.0,,J. Tatum makes free throw 1 of 2,0,7
26,1,9:02.0,,J. Tatum makes free throw 2 of 2,0,8
27,1,8:53.0,Def 3 sec tech foul by Team,,0,8
28,1,8:53.0,K. Porziņģis makes technical free throw,,1,8
29,1,8:53.0,,D. Theis enters the game for R. Williams,1,8
30,1,8:42.0,L. Dončić makes 2-pt hook shot from 9 ft (assist by K. Porziņģis),,3,8
31,1,8:30.0,,D. Theis makes 2-pt layup from 1 ft (assist by K. Walker),3,10
32,1,8:19.0,S. Curry misses 3-pt jump shot from 24 ft,,3,10
33,1,8:18.0,Offensive rebound by Team,,3,10
34,1,8:18.0,,Loose ball foul by D. Theis (drawn by K. Porziņģis),3,10
35,1,8:05.0,Shooting foul by J. Brown (drawn by L. Dončić),,3,10
36,1,8:05.0,L. Dončić makes free throw 1 of 2,,4,10
37,1,8:05.0,L. Dončić makes free throw 2 of 2,,5,10
38,1,7:50.0,,D. Theis makes 2-pt dunk from 2 ft (assist by J. Brown),5,12
39,1,7:38.0,D. Finney-Smith misses 2-pt jump shot from 17 ft,,5,12
40,1,7:36.0,,Defensive rebound by J. Brown,5,12
41,1,7:31.0,,J. Brown makes 3-pt jump shot from 25 ft,5,15
42,1,7:02.0,L. Dončić misses 3-pt jump shot from 26 ft,,5,15
43,1,7:00.0,,Defensive rebound by D. Theis,5,15
44,1,6:49.0,,K. Walker misses 2-pt layup from 5 ft (block by K. Porziņģis),5,15
45,1,6:48.0,Defensive rebound by M. Kleber,,5,15
46,1,6:43.0,Turnover by S. Curry (traveling),,5,15
47,1,6:23.0,,J. Tatum misses 2-pt jump shot from 15 ft,5,15
48,1,6:19.0,Defensive rebound by D. Finney-Smith,,5,15
49,1,6:08.0,K. Porziņģis misses 3-pt jump shot from 27 ft,,5,15
50,1,6:05.0,Offensive rebound by M. Kleber,,5,15
51,1,6:02.0,D. Finney-Smith makes 2-pt layup from 3 ft (assist by M. Kleber),,7,15
52,1,5:49.0,,Personal foul by K. Porziņģis (drawn by D. Theis),7,15
53,1,5:49.0,,J. Green enters the game for J. Brown,7,15
54,1,5:49.0,,G. Williams enters the game for J. Tatum,7,15
55,1,5:49.0,,R. Williams enters the game for D. Theis,7,15
56,1,5:40.0,,Turnover by G. Williams (out of bounds lost ball),7,15
57,1,5:31.0,M. Kleber misses 3-pt jump shot from 26 ft,,7,15
58,1,5:28.0,,Defensive rebound by G. Williams,7,15
