,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,CLEVELAND_ACTION,MILWAUKEE_SCORE,CLEVELAND_SCORE
0,1,11:47.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by E. Bledsoe),,2,0
1,1,11:47.0,Shooting foul by K. Love (drawn by G. Antetokounmpo),,2,0
2,1,11:47.0,G. Antetokounmpo makes free throw 1 of 1,,3,0
3,1,11:28.0,,K. Love misses 3-pt jump shot from 26 ft,3,0
4,1,11:26.0,Defensive rebound by B. Lopez,,3,0
5,1,11:19.0,G. Antetokounmpo misses 3-pt jump shot from 24 ft,,3,0
6,1,11:16.0,,Defensive rebound by T. Thompson,3,0
7,1,11:06.0,,T. Thompson misses 2-pt jump shot from 12 ft,3,0
8,1,11:03.0,Defensive rebound by D. DiVincenzo,,3,0
9,1,10:58.0,B. Lopez misses 3-pt jump shot from 31 ft,,3,0
10,1,10:57.0,,Defensive rebound by Team,3,0
11,1,10:45.0,,K. Love makes 3-pt jump shot from 26 ft (assist by D. Garland),3,3
12,1,10:31.0,Shooting foul by C. Osman (drawn by W. Matthews),,3,3
13,1,10:31.0,W. Matthews makes free throw 1 of 2,,4,3
14,1,10:31.0,W. Matthews makes free throw 2 of 2,,5,3
15,1,10:11.0,,C. Sexton misses 2-pt layup from 1 ft,5,3
16,1,10:09.0,Defensive rebound by B. Lopez,,5,3
17,1,10:02.0,D. DiVincenzo makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),,8,3
18,1,9:44.0,,T. Thompson makes 2-pt dunk from 2 ft (assist by C. Osman),8,5
19,1,9:34.0,Turnover by G. Antetokounmpo (lost ball; steal by C. Sexton),,8,5
20,1,9:25.0,,D. Garland makes 2-pt jump shot from 9 ft,8,7
21,1,9:04.0,G. Antetokounmpo misses 2-pt hook shot from 11 ft,,8,7
22,1,9:02.0,,Defensive rebound by T. Thompson,8,7
23,1,8:44.0,,C. Osman makes 3-pt jump shot from 23 ft (assist by D. Garland),8,10
24,1,8:24.0,B. Lopez makes 2-pt layup from 1 ft (assist by D. DiVincenzo),,10,10
25,1,8:07.0,,C. Sexton misses 2-pt jump shot from 9 ft,10,10
26,1,8:03.0,,Offensive rebound by T. Thompson,10,10
27,1,8:03.0,,T. Thompson misses 2-pt layup at rim,10,10
28,1,8:03.0,Defensive rebound by B. Lopez,,10,10
29,1,7:59.0,G. Antetokounmpo misses 3-pt jump shot from 27 ft,,10,10
30,1,7:58.0,,Defensive rebound by Team,10,10
31,1,7:44.0,,K. Love misses 2-pt jump shot from 9 ft,10,10
32,1,7:40.0,Defensive rebound by W. Matthews,,10,10
33,1,7:36.0,D. DiVincenzo misses 2-pt layup from 1 ft,,10,10
34,1,7:29.0,Offensive rebound by G. Antetokounmpo,,10,10
35,1,7:29.0,G. Antetokounmpo makes 2-pt dunk from 1 ft,,12,10
36,1,7:24.0,,D. Garland misses 2-pt jump shot from 13 ft,12,10
37,1,7:21.0,Defensive rebound by W. Matthews,,12,10
38,1,7:17.0,D. DiVincenzo makes 3-pt jump shot from 29 ft (assist by W. Matthews),,15,10
39,1,6:57.0,,T. Thompson misses 2-pt hook shot from 10 ft,15,10
40,1,6:54.0,Defensive rebound by B. Lopez,,15,10
41,1,6:54.0,Milwaukee full timeout,,15,10
42,1,6:43.0,B. Lopez makes 2-pt hook shot from 8 ft (assist by G. Antetokounmpo),,17,10
43,1,6:24.0,,Turnover by C. Osman (bad pass; steal by B. Lopez),17,10
44,1,6:19.0,G. Antetokounmpo misses 2-pt layup at rim,,17,10
45,1,6:16.0,,Defensive rebound by K. Love,17,10
46,1,6:05.0,,C. Osman makes 2-pt layup from 2 ft (assist by K. Love),17,12
47,1,5:51.0,G. Antetokounmpo makes 3-pt jump shot from 23 ft (assist by W. Matthews),,20,12
