,QUARTER,TIME_REMAINING,ORLANDO_ACTION,DENVER_ACTION,ORLANDO_SCORE,DENVER_SCORE
0,1,11:47.0,A. Gordon misses 2-pt jump shot from 12 ft,,0,0
1,1,11:43.0,,Defensive rebound by N. Jokić,0,0
2,1,11:29.0,,N. Jokić makes 2-pt layup at rim (assist by P. Millsap),0,2
3,1,11:13.0,N. Vučević makes 2-pt jump shot from 3 ft (assist by E. Fournier),,2,2
4,1,11:00.0,,J. Murray makes 2-pt layup from 2 ft (assist by N. Jokić),2,4
5,1,10:48.0,J. Isaac misses 3-pt jump shot from 24 ft,,2,4
6,1,10:48.0,,Defensive rebound by W. Barton,2,4
7,1,10:37.0,,P. Millsap misses 2-pt layup from 2 ft (block by E. Fournier),2,4
8,1,10:35.0,,Offensive rebound by P. Millsap,2,4
9,1,10:33.0,,G. Harris misses 3-pt jump shot from 23 ft,2,4
10,1,10:29.0,Defensive rebound by J. Isaac,,2,4
11,1,10:22.0,M. Fultz makes 2-pt jump shot from 13 ft,,4,4
12,1,10:06.0,,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),4,6
13,1,9:46.0,J. Isaac makes 2-pt jump shot from 8 ft (assist by A. Gordon),,6,6
14,1,9:31.0,,W. Barton misses 2-pt layup from 2 ft,6,6
15,1,9:27.0,,Offensive rebound by N. Jokić,6,6
16,1,9:27.0,,N. Jokić makes 2-pt layup at rim,6,8
17,1,9:19.0,A. Gordon misses 3-pt jump shot from 25 ft,,6,8
18,1,9:18.0,,Defensive rebound by Team,6,8
19,1,9:06.0,,W. Barton makes 2-pt dunk from 1 ft (assist by N. Jokić),6,10
20,1,8:59.0,Orlando full timeout,,6,10
21,1,8:41.0,N. Vučević makes 2-pt layup from 4 ft,,8,10
22,1,8:16.0,,P. Millsap misses 2-pt jump shot from 18 ft,8,10
23,1,8:16.0,,Offensive rebound by Team,8,10
24,1,8:16.0,,Turnover by Team (shot clock),8,10
25,1,7:56.0,Turnover by J. Isaac (lost ball; steal by W. Barton),,8,10
26,1,7:52.0,,N. Jokić makes 2-pt layup from 1 ft,8,12
27,1,7:36.0,M. Fultz misses 2-pt jump shot from 14 ft,,8,12
28,1,7:34.0,,Defensive rebound by P. Millsap,8,12
29,1,7:28.0,,G. Harris misses 3-pt jump shot from 24 ft,8,12
30,1,7:28.0,Defensive rebound by A. Gordon,,8,12
31,1,7:19.0,N. Vučević makes 2-pt jump shot from 5 ft (assist by A. Gordon),,10,12
32,1,7:06.0,,J. Murray misses 3-pt jump shot from 25 ft,10,12
33,1,7:04.0,Defensive rebound by N. Vučević,,10,12
34,1,6:43.0,J. Isaac misses 2-pt layup from 2 ft,,10,12
35,1,6:41.0,Offensive rebound by J. Isaac,,10,12
36,1,6:41.0,J. Isaac misses 2-pt layup from 1 ft,,10,12
37,1,6:41.0,Offensive rebound by J. Isaac,,10,12
38,1,6:41.0,J. Isaac makes 2-pt layup from 1 ft,,12,12
39,1,6:41.0,Shooting foul by P. Millsap (drawn by J. Isaac),,12,12
40,1,6:41.0,J. Isaac makes free throw 1 of 1,,13,12
41,1,6:23.0,,G. Harris makes 2-pt dunk from 1 ft (assist by P. Millsap),13,14
42,1,6:12.0,Shooting foul by W. Barton (drawn by M. Fultz),,13,14
43,1,6:12.0,M. Fultz makes free throw 1 of 2,,14,14
44,1,6:12.0,M. Carter-Williams enters the game for A. Gordon,,14,14
45,1,6:12.0,,J. Grant enters the game for G. Harris,14,14
46,1,6:12.0,,M. Porter enters the game for P. Millsap,14,14
47,1,6:12.0,M. Fultz makes free throw 2 of 2,,15,14
48,1,5:58.0,,J. Murray makes 2-pt jump shot from 7 ft (assist by J. Grant),15,16
49,1,5:43.0,E. Fournier misses 3-pt jump shot from 26 ft,,15,16
50,1,5:41.0,,Defensive rebound by M. Porter,15,16
51,1,5:33.0,,Personal foul by M. Fultz (drawn by M. Porter),15,16
52,1,5:22.0,,Turnover by J. Murray (bad pass; steal by M. Fultz),15,16
53,1,5:18.0,E. Fournier misses 2-pt layup from 1 ft,,15,16
54,1,5:15.0,,Defensive rebound by M. Porter,15,16
55,1,5:07.0,,Turnover by J. Murray (bad pass),15,16
56,1,4:56.0,M. Fultz misses 2-pt jump shot from 14 ft,,15,16
57,1,4:53.0,,Defensive rebound by M. Porter,15,16
58,1,4:46.0,,M. Porter makes 2-pt layup from 1 ft,15,18
59,1,4:31.0,Turnover by M. Fultz (bad pass),,15,18
60,1,4:31.0,T. Ross enters the game for E. Fournier,,15,18
61,1,4:18.0,,Shooting foul by N. Vučević (drawn by N. Jokić),15,18
62,1,4:18.0,,N. Jokić makes free throw 1 of 2,15,19
63,1,4:18.0,,N. Jokić makes free throw 2 of 2,15,20
64,1,3:57.0,M. Carter-Williams makes 2-pt dunk from 1 ft (assist by N. Vučević),,17,20
65,1,3:47.0,,M. Porter makes 2-pt dunk from 1 ft (assist by N. Jokić),17,22
66,1,3:28.0,M. Carter-Williams makes 2-pt layup from 1 ft (assist by N. Vučević),,19,22
67,1,3:11.0,,J. Grant misses 2-pt jump shot from 13 ft,19,22
68,1,3:08.0,,Offensive rebound by J. Murray,19,22
69,1,3:01.0,,J. Murray misses 3-pt jump shot from 22 ft,19,22
70,1,2:59.0,Defensive rebound by N. Vučević,,19,22
71,1,2:53.0,J. Isaac makes 2-pt dunk at rim (assist by M. Fultz),,21,22
72,1,2:52.0,,Denver full timeout,21,22
73,1,2:52.0,D. Augustin enters the game for M. Fultz,,21,22
74,1,2:52.0,M. Bamba enters the game for J. Isaac,,21,22
75,1,2:52.0,A. Gordon enters the game for N. Vučević,,21,22
76,1,2:52.0,,G. Harris enters the game for W. Barton,21,22
77,1,2:52.0,,M. Morris enters the game for N. Jokić,21,22
78,1,2:52.0,,M. Plumlee enters the game for J. Murray,21,22
79,1,2:36.0,,J. Grant misses 2-pt jump shot from 7 ft,21,22
80,1,2:32.0,Defensive rebound by M. Carter-Williams,,21,22
81,1,2:28.0,Personal foul by M. Porter (drawn by M. Carter-Williams),,21,22
82,1,2:25.0,Personal foul by J. Grant (drawn by A. Gordon),,21,22
83,1,2:15.0,A. Gordon makes 2-pt jump shot from 10 ft,,23,22
84,1,2:03.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by M. Morris),23,25
85,1,1:46.0,M. Bamba misses 2-pt layup from 3 ft,,23,25
86,1,1:45.0,M. Bamba misses 2-pt hook shot from 2 ft,,23,25
87,1,1:45.0,Offensive rebound by Team,,23,25
88,1,1:45.0,Offensive rebound by M. Bamba,,23,25
89,1,1:43.0,A. Gordon misses 2-pt layup from 2 ft,,23,25
90,1,1:40.0,Offensive rebound by M. Carter-Williams,,23,25
91,1,1:35.0,T. Ross misses 2-pt jump shot from 15 ft,,23,25
92,1,1:31.0,,Defensive rebound by M. Plumlee,23,25
93,1,1:21.0,,M. Porter misses 3-pt jump shot from 23 ft,23,25
94,1,1:18.0,Defensive rebound by D. Augustin,,23,25
95,1,1:14.0,T. Ross makes 3-pt jump shot from 24 ft (assist by D. Augustin),,26,25
96,1,0:52.0,,Turnover by J. Grant (bad pass; steal by M. Bamba),26,25
97,1,0:48.0,T. Ross makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),,29,25
98,1,0:31.0,,Turnover by M. Morris (traveling),29,25
99,1,0:13.0,D. Augustin makes 3-pt jump shot from 25 ft,,32,25
100,1,0:01.0,,Shooting foul by M. Bamba (drawn by M. Plumlee),32,25
101,1,0:01.0,,M. Plumlee makes free throw 1 of 2,32,26
102,1,0:01.0,,M. Plumlee makes free throw 2 of 2,32,27
103,2,11:40.0,,Turnover by J. Grant (traveling),32,27
104,2,11:23.0,M. Bamba makes 2-pt layup from 1 ft,,34,27
105,2,11:05.0,,W. Barton makes 3-pt jump shot from 25 ft (assist by M. Plumlee),34,30
106,2,10:48.0,D. Augustin misses 2-pt jump shot from 9 ft,,34,30
107,2,10:48.0,Offensive rebound by Team,,34,30
108,2,10:35.0,M. Bamba misses 3-pt jump shot from 25 ft,,34,30
109,2,10:32.0,,Defensive rebound by W. Barton,34,30
110,2,10:26.0,,W. Barton misses 2-pt layup from 1 ft,34,30
111,2,10:26.0,,Offensive rebound by Team,34,30
112,2,10:19.0,,M. Plumlee misses 2-pt hook shot from 4 ft,34,30
113,2,10:17.0,Defensive rebound by T. Ross,,34,30
114,2,10:12.0,T. Ross misses 3-pt jump shot from 24 ft,,34,30
115,2,10:09.0,Offensive rebound by A. Gordon,,34,30
116,2,10:07.0,Turnover by A. Gordon (bad pass; steal by M. Porter),,34,30
117,2,9:56.0,,Shooting foul by M. Bamba (drawn by M. Plumlee),34,30
118,2,9:56.0,,M. Plumlee makes free throw 1 of 2,34,31
119,2,9:56.0,,P. Millsap enters the game for J. Grant,34,31
120,2,9:56.0,,M. Plumlee misses free throw 2 of 2,34,31
121,2,9:52.0,Defensive rebound by M. Bamba,,34,31
122,2,9:34.0,A. Gordon misses 2-pt dunk from 2 ft (block by M. Porter),,34,31
123,2,9:30.0,,Defensive rebound by W. Barton,34,31
124,2,9:29.0,,W. Barton misses 2-pt layup from 2 ft,34,31
125,2,9:27.0,Defensive rebound by E. Fournier,,34,31
126,2,9:23.0,A. Gordon makes 2-pt layup from 1 ft (assist by D. Augustin),,36,31
127,2,9:23.0,Shooting foul by P. Millsap (drawn by A. Gordon),,36,31
128,2,9:23.0,,G. Harris enters the game for M. Porter,36,31
129,2,9:23.0,A. Gordon misses free throw 1 of 1,,36,31
130,2,9:20.0,,Defensive rebound by P. Millsap,36,31
131,2,9:09.0,,W. Barton misses 2-pt jump shot from 15 ft,36,31
132,2,9:06.0,,Offensive rebound by M. Plumlee,36,31
133,2,9:06.0,,M. Plumlee misses 2-pt dunk at rim,36,31
134,2,9:05.0,Defensive rebound by A. Gordon,,36,31
135,2,9:04.0,Turnover by A. Gordon (out of bounds lost ball),,36,31
136,2,9:04.0,J. Isaac enters the game for A. Gordon,,36,31
137,2,8:53.0,,M. Morris makes 2-pt jump shot from 22 ft,36,33
138,2,8:39.0,M. Bamba misses 3-pt jump shot from 24 ft,,36,33
139,2,8:35.0,,Defensive rebound by P. Millsap,36,33
140,2,8:27.0,,M. Morris misses 2-pt layup from 4 ft,36,33
141,2,8:24.0,Defensive rebound by J. Isaac,,36,33
142,2,8:09.0,M. Bamba misses 3-pt jump shot from 24 ft,,36,33
143,2,8:06.0,,Defensive rebound by W. Barton,36,33
144,2,8:03.0,,Turnover by W. Barton (bad pass; steal by M. Bamba),36,33
145,2,8:01.0,Turnover by M. Bamba (bad pass; steal by M. Morris),,36,33
146,2,7:58.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by M. Morris),36,36
147,2,7:40.0,Shooting foul by W. Barton (drawn by E. Fournier),,36,36
148,2,7:40.0,E. Fournier makes free throw 1 of 2,,37,36
149,2,7:40.0,N. Vučević enters the game for M. Bamba,,37,36
150,2,7:40.0,,N. Jokić enters the game for W. Barton,37,36
151,2,7:40.0,,J. Murray enters the game for M. Plumlee,37,36
152,2,7:40.0,E. Fournier makes free throw 2 of 2,,38,36
153,2,7:15.0,,J. Murray misses 3-pt jump shot from 25 ft,38,36
154,2,7:11.0,Defensive rebound by N. Vučević,,38,36
155,2,7:06.0,Shooting foul by M. Morris (drawn by D. Augustin),,38,36
156,2,7:06.0,D. Augustin makes free throw 1 of 2,,39,36
157,2,7:06.0,M. Carter-Williams enters the game for E. Fournier,,39,36
158,2,7:06.0,M. Fultz enters the game for T. Ross,,39,36
159,2,7:06.0,D. Augustin makes free throw 2 of 2,,40,36
160,2,6:53.0,,Personal foul by J. Isaac (drawn by P. Millsap),40,36
161,2,6:53.0,,Denver full timeout,40,36
162,2,6:53.0,,T. Craig enters the game for M. Morris,40,36
163,2,6:39.0,,P. Millsap misses 2-pt jump shot from 16 ft,40,36
164,2,6:34.0,Defensive rebound by D. Augustin,,40,36
165,2,6:26.0,N. Vučević misses 3-pt jump shot from 24 ft,,40,36
166,2,6:22.0,,Defensive rebound by J. Murray,40,36
167,2,6:11.0,,J. Murray makes 2-pt jump shot from 16 ft (assist by N. Jokić),40,38
168,2,5:48.0,M. Carter-Williams makes 2-pt jump shot from 9 ft (assist by M. Fultz),,42,38
169,2,5:37.0,,J. Murray makes 2-pt jump shot from 19 ft (assist by N. Jokić),42,40
170,2,5:22.0,D. Augustin makes 3-pt jump shot from 23 ft,,45,40
171,2,5:01.0,,T. Craig misses 3-pt jump shot from 23 ft,45,40
172,2,4:58.0,,Offensive rebound by P. Millsap,45,40
173,2,4:58.0,,Shooting foul by J. Isaac (drawn by P. Millsap),45,40
174,2,4:58.0,,P. Millsap misses free throw 1 of 2,45,40
175,2,4:58.0,,Offensive rebound by Team,45,40
176,2,4:58.0,,P. Millsap makes free throw 2 of 2,45,41
177,2,4:44.0,D. Augustin misses 2-pt layup from 3 ft (block by G. Harris),,45,41
178,2,4:43.0,Offensive rebound by Team,,45,41
179,2,4:43.0,,J. Grant enters the game for P. Millsap,45,41
180,2,4:41.0,D. Augustin makes 3-pt jump shot from 27 ft (assist by M. Carter-Williams),,48,41
181,2,4:25.0,,Turnover by J. Murray (lost ball; steal by M. Carter-Williams),48,41
182,2,4:19.0,Turnover by M. Fultz (bad pass; steal by G. Harris),,48,41
183,2,4:11.0,,Turnover by J. Grant (bad pass),48,41
184,2,4:04.0,Shooting foul by T. Craig (drawn by D. Augustin),,48,41
185,2,4:04.0,D. Augustin makes free throw 1 of 2,,49,41
186,2,4:04.0,A. Gordon enters the game for J. Isaac,,49,41
187,2,4:04.0,,W. Barton enters the game for T. Craig,49,41
188,2,4:04.0,D. Augustin makes free throw 2 of 2,,50,41
189,2,3:44.0,,N. Jokić misses 3-pt jump shot from 25 ft,50,41
190,2,3:41.0,Defensive rebound by A. Gordon,,50,41
191,2,3:35.0,N. Vučević makes 3-pt jump shot from 24 ft (assist by M. Fultz),,53,41
192,2,3:33.0,,Denver full timeout,53,41
193,2,3:12.0,,J. Murray misses 3-pt jump shot from 26 ft,53,41
194,2,3:07.0,Defensive rebound by D. Augustin,,53,41
195,2,2:53.0,N. Vučević makes 2-pt layup from 2 ft (assist by D. Augustin),,55,41
196,2,2:40.0,,Turnover by N. Jokić (bad pass; steal by M. Carter-Williams),55,41
197,2,2:31.0,Shooting foul by G. Harris (drawn by N. Vučević),,55,41
198,2,2:31.0,N. Vučević makes free throw 1 of 2,,56,41
199,2,2:31.0,E. Fournier enters the game for D. Augustin,,56,41
200,2,2:31.0,T. Ross enters the game for M. Carter-Williams,,56,41
201,2,2:31.0,,M. Plumlee enters the game for J. Grant,56,41
202,2,2:31.0,N. Vučević makes free throw 2 of 2,,57,41
203,2,2:24.0,,G. Harris misses 3-pt jump shot from 25 ft,57,41
204,2,2:20.0,,Offensive rebound by M. Plumlee,57,41
205,2,2:07.0,,W. Barton misses 2-pt jump shot from 19 ft,57,41
206,2,2:03.0,Defensive rebound by A. Gordon,,57,41
207,2,1:57.0,A. Gordon misses 3-pt jump shot from 23 ft,,57,41
208,2,1:53.0,,Defensive rebound by G. Harris,57,41
209,2,1:33.0,,J. Murray makes 2-pt layup from 4 ft (assist by N. Jokić),57,43
210,2,1:09.0,Turnover by E. Fournier (bad pass; steal by N. Jokić),,57,43
211,2,1:04.0,,N. Jokić misses 2-pt layup from 3 ft,57,43
212,2,1:00.0,Defensive rebound by N. Vučević,,57,43
213,2,0:49.0,N. Vučević misses 3-pt jump shot from 24 ft,,57,43
214,2,0:46.0,,Defensive rebound by N. Jokić,57,43
215,2,0:38.0,,N. Jokić misses 2-pt jump shot from 4 ft,57,43
216,2,0:38.0,Defensive rebound by Team,,57,43
217,2,0:38.0,,Loose ball foul by N. Jokić (drawn by N. Vučević),57,43
218,2,0:38.0,N. Vučević makes free throw 1 of 2,,58,43
219,2,0:38.0,N. Vučević misses free throw 2 of 2,,58,43
220,2,0:35.0,,Defensive rebound by N. Jokić,58,43
221,2,0:32.0,,Offensive foul by N. Jokić (drawn by M. Fultz),58,43
222,2,0:32.0,,Turnover by N. Jokić (offensive foul),58,43
223,2,0:32.0,,J. Grant enters the game for N. Jokić,58,43
224,2,0:11.0,N. Vučević makes 2-pt hook shot from 5 ft (assist by E. Fournier),,60,43
225,2,0:01.0,,W. Barton makes 2-pt dunk from 1 ft (assist by J. Murray),60,45
226,2,0:00.0,A. Gordon misses 3-pt jump shot from 77 ft,,60,45
227,2,0:00.0,Offensive rebound by Team,,60,45
228,3,11:48.0,,N. Jokić misses 2-pt jump shot from 20 ft,60,45
229,3,11:44.0,Defensive rebound by A. Gordon,,60,45
230,3,11:32.0,M. Fultz misses 2-pt layup from 3 ft,,60,45
231,3,11:30.0,,Defensive rebound by P. Millsap,60,45
232,3,11:24.0,,Turnover by N. Jokić (bad pass; steal by E. Fournier),60,45
233,3,11:15.0,M. Fultz makes 2-pt layup from 1 ft (assist by E. Fournier),,62,45
234,3,11:15.0,,Denver full timeout,62,45
235,3,11:00.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by G. Harris),62,48
236,3,10:38.0,A. Gordon makes 2-pt hook shot from 6 ft (assist by N. Vučević),,64,48
237,3,10:24.0,,Personal foul by E. Fournier (drawn by N. Jokić),64,48
238,3,10:20.0,,Shooting foul by J. Isaac (drawn by P. Millsap),64,48
239,3,10:20.0,,P. Millsap makes free throw 1 of 2,64,49
240,3,10:20.0,,P. Millsap makes free throw 2 of 2,64,50
241,3,10:00.0,M. Fultz misses 2-pt jump shot from 10 ft,,64,50
242,3,9:57.0,Offensive rebound by N. Vučević,,64,50
243,3,9:57.0,Personal foul by J. Murray (drawn by N. Vučević),,64,50
244,3,9:57.0,N. Vučević makes free throw 1 of 2,,65,50
245,3,9:57.0,N. Vučević makes free throw 2 of 2,,66,50
246,3,9:39.0,,N. Jokić misses 2-pt layup from 3 ft,66,50
247,3,9:37.0,Defensive rebound by J. Isaac,,66,50
248,3,9:32.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by M. Fultz),,69,50
249,3,9:16.0,,J. Murray misses 2-pt layup from 4 ft (block by N. Vučević),69,50
250,3,9:12.0,,Offensive rebound by P. Millsap,69,50
251,3,9:11.0,,P. Millsap makes 2-pt layup from 3 ft,69,52
252,3,9:02.0,Offensive foul by J. Isaac (drawn by G. Harris),,69,52
253,3,9:02.0,Turnover by J. Isaac (offensive foul),,69,52
254,3,9:02.0,M. Carter-Williams enters the game for J. Isaac,,69,52
255,3,8:52.0,,J. Murray misses 2-pt jump shot from 15 ft,69,52
256,3,8:47.0,Defensive rebound by M. Carter-Williams,,69,52
257,3,8:40.0,N. Vučević misses 2-pt jump shot from 18 ft,,69,52
258,3,8:35.0,,Defensive rebound by G. Harris,69,52
259,3,8:31.0,,P. Millsap makes 2-pt layup from 3 ft (assist by N. Jokić),69,54
260,3,8:31.0,,Shooting foul by M. Fultz (drawn by P. Millsap),69,54
261,3,8:31.0,,P. Millsap makes free throw 1 of 1,69,55
262,3,8:12.0,M. Fultz misses 2-pt layup at rim,,69,55
263,3,8:08.0,Offensive rebound by N. Vučević,,69,55
264,3,8:08.0,N. Vučević misses 2-pt layup from 1 ft,,69,55
265,3,8:07.0,,Defensive rebound by W. Barton,69,55
266,3,7:58.0,,P. Millsap makes 2-pt jump shot from 6 ft (assist by G. Harris),69,57
267,3,7:44.0,E. Fournier misses 2-pt jump shot from 7 ft,,69,57
268,3,7:42.0,Offensive rebound by Team,,69,57
269,3,7:39.0,A. Gordon misses 2-pt jump shot from 17 ft,,69,57
270,3,7:39.0,,Defensive rebound by W. Barton,69,57
271,3,7:30.0,,N. Jokić misses 3-pt jump shot from 25 ft,69,57
272,3,7:23.0,,Offensive rebound by P. Millsap,69,57
273,3,7:22.0,,Turnover by P. Millsap (bad pass; steal by M. Carter-Williams),69,57
274,3,7:18.0,E. Fournier misses 3-pt jump shot from 25 ft,,69,57
275,3,7:15.0,,Defensive rebound by N. Jokić,69,57
276,3,7:00.0,,N. Jokić makes 2-pt jump shot from 7 ft (assist by W. Barton),69,59
277,3,7:00.0,Orlando full timeout,,69,59
278,3,6:47.0,Turnover by E. Fournier (bad pass; steal by W. Barton),,69,59
279,3,6:43.0,,W. Barton makes 2-pt dunk from 2 ft,69,61
280,3,6:15.0,N. Vučević misses 2-pt jump shot from 11 ft,,69,61
281,3,6:11.0,,Defensive rebound by W. Barton,69,61
282,3,6:08.0,,Personal foul by M. Carter-Williams (drawn by N. Jokić),69,61
283,3,5:59.0,,Turnover by J. Murray (bad pass; steal by A. Gordon),69,61
284,3,5:48.0,A. Gordon misses 2-pt jump shot from 1 ft,,69,61
285,3,5:44.0,,Defensive rebound by P. Millsap,69,61
286,3,5:41.0,,Shooting foul by N. Vučević (drawn by P. Millsap),69,61
287,3,5:41.0,,P. Millsap makes free throw 1 of 2,69,62
288,3,5:41.0,,P. Millsap makes free throw 2 of 2,69,63
289,3,5:41.0,,Technical foul by S. Clifford,69,63
290,3,5:41.0,,J. Murray makes technical free throw,69,64
291,3,5:41.0,,M. Beasley enters the game for G. Harris,69,64
292,3,5:41.0,,J. Grant enters the game for P. Millsap,69,64
293,3,5:23.0,Turnover by M. Fultz (bad pass; steal by J. Murray),,69,64
294,3,5:05.0,,J. Grant misses 2-pt layup from 3 ft (block by M. Fultz),69,64
295,3,5:02.0,,Offensive rebound by N. Jokić,69,64
296,3,5:01.0,,N. Jokić makes 3-pt jump shot from 22 ft,69,67
297,3,4:47.0,N. Vučević misses 2-pt jump shot from 2 ft (block by N. Jokić),,69,67
298,3,4:46.0,,Defensive rebound by M. Beasley,69,67
299,3,4:37.0,,W. Barton misses 3-pt jump shot from 25 ft,69,67
300,3,4:33.0,Defensive rebound by N. Vučević,,69,67
301,3,4:26.0,M. Carter-Williams misses 2-pt jump shot from 3 ft,,69,67
302,3,4:25.0,,Defensive rebound by N. Jokić,69,67
303,3,4:20.0,,J. Grant makes 3-pt jump shot from 25 ft (assist by W. Barton),69,70
304,3,4:03.0,E. Fournier misses 2-pt layup from 3 ft,,69,70
305,3,4:01.0,,Defensive rebound by J. Murray,69,70
306,3,4:00.0,,Personal take foul by M. Carter-Williams (drawn by J. Murray),69,70
307,3,4:00.0,,J. Murray makes free throw 1 of 2,69,71
308,3,4:00.0,D. Augustin enters the game for E. Fournier,,69,71
309,3,4:00.0,M. Bamba enters the game for M. Fultz,,69,71
310,3,4:00.0,T. Ross enters the game for N. Vučević,,69,71
311,3,4:00.0,,J. Murray makes free throw 2 of 2,69,72
312,3,3:43.0,Turnover by T. Ross (out of bounds lost ball),,69,72
313,3,3:33.0,,Personal foul by M. Bamba (drawn by J. Murray),69,72
314,3,3:33.0,,J. Murray makes free throw 1 of 2,69,73
315,3,3:33.0,,M. Plumlee enters the game for N. Jokić,69,73
316,3,3:33.0,,J. Murray makes free throw 2 of 2,69,74
317,3,3:13.0,A. Gordon misses 2-pt jump shot from 12 ft,,69,74
318,3,3:06.0,Offensive rebound by M. Bamba,,69,74
319,3,3:06.0,M. Bamba makes 2-pt dunk from 1 ft,,71,74
320,3,2:52.0,,J. Murray makes 3-pt jump shot from 25 ft,71,77
321,3,2:32.0,A. Gordon misses 3-pt jump shot from 24 ft,,71,77
322,3,2:30.0,,Defensive rebound by J. Grant,71,77
323,3,2:23.0,,J. Murray misses 3-pt jump shot from 25 ft,71,77
324,3,2:19.0,Defensive rebound by M. Bamba,,71,77
325,3,2:14.0,T. Ross misses 3-pt jump shot from 24 ft,,71,77
326,3,2:11.0,,Defensive rebound by J. Murray,71,77
327,3,2:11.0,,Personal foul by M. Carter-Williams (drawn by J. Murray),71,77
328,3,2:11.0,,Instant Replay,71,77
329,3,2:11.0,,J. Murray makes free throw 1 of 2,71,78
330,3,2:11.0,,G. Harris enters the game for W. Barton,71,78
331,3,2:11.0,,J. Murray makes free throw 2 of 2,71,79
332,3,1:54.0,Personal foul by G. Harris (drawn by T. Ross),,71,79
333,3,1:48.0,T. Ross misses 2-pt jump shot from 18 ft,,71,79
334,3,1:45.0,,Defensive rebound by G. Harris,71,79
335,3,1:28.0,,J. Grant misses 3-pt jump shot from 25 ft,71,79
336,3,1:22.0,,Offensive rebound by G. Harris,71,79
337,3,1:22.0,,Personal foul by T. Ross (drawn by G. Harris),71,79
338,3,1:22.0,,G. Harris makes free throw 1 of 2,71,80
339,3,1:22.0,,G. Harris makes free throw 2 of 2,71,81
340,3,1:00.0,M. Bamba makes 2-pt dunk from 1 ft (assist by D. Augustin),,73,81
341,3,0:42.0,,G. Harris misses 2-pt layup from 2 ft (block by M. Bamba),73,81
342,3,0:39.0,Defensive rebound by M. Carter-Williams,,73,81
343,3,0:24.0,D. Augustin misses 3-pt jump shot from 25 ft,,73,81
344,3,0:22.0,,Defensive rebound by G. Harris,73,81
345,3,0:16.0,,Technical foul by D. Augustin,73,81
346,3,0:16.0,,J. Murray makes technical free throw,73,82
347,3,0:03.0,,J. Murray makes 2-pt jump shot from 20 ft,73,84
348,3,0:00.0,Shooting foul by J. Murray (drawn by D. Augustin),,73,84
349,3,0:00.0,Instant Replay (Request: Ruling Stands),,73,84
