,QUARTER,TIME_REMAINING,MIAMI_ACTION,MEMPHIS_ACTION,MIAMI_SCORE,MEMPHIS_SCORE
0,1,11:49.0,,Turnover by J. Jackson (traveling),0,0
1,1,11:36.0,K. Nunn misses 3-pt jump shot from 26 ft,,0,0
2,1,11:32.0,Offensive rebound by J. Butler,,0,0
3,1,11:30.0,Turnover by D. Robinson (step out of bounds),,0,0
4,1,11:16.0,,J. Crowder makes 3-pt jump shot from 26 ft (assist by J. Morant),0,3
5,1,10:59.0,D. Robinson makes 3-pt jump shot from 23 ft (assist by J. Butler),,3,3
6,1,10:43.0,,D. Brooks makes 2-pt jump shot from 15 ft (assist by J. Valančiūnas),3,5
7,1,10:32.0,D. Robinson misses 3-pt jump shot from 26 ft,,3,5
8,1,10:30.0,,Defensive rebound by J. Valančiūnas,3,5
9,1,10:20.0,,J. Morant makes 2-pt jump shot from 4 ft,3,7
10,1,10:04.0,B. Adebayo makes 2-pt jump shot from 10 ft (assist by K. Nunn),,5,7
11,1,9:45.0,,Personal foul by M. Leonard (drawn by J. Valančiūnas),5,7
12,1,9:34.0,,J. Valančiūnas makes 2-pt hook shot from 5 ft (assist by J. Morant),5,9
13,1,9:13.0,B. Adebayo misses 2-pt layup from 2 ft (block by J. Valančiūnas),,5,9
14,1,9:11.0,,Defensive rebound by J. Jackson,5,9
15,1,9:06.0,,J. Morant misses 2-pt layup from 2 ft (block by M. Leonard),5,9
16,1,9:04.0,Defensive rebound by M. Leonard,,5,9
17,1,8:58.0,Personal foul by D. Brooks (drawn by K. Nunn),,5,9
18,1,8:49.0,B. Adebayo misses 2-pt jump shot from 17 ft,,5,9
19,1,8:46.0,,Defensive rebound by J. Jackson,5,9
20,1,8:38.0,,J. Jackson makes 3-pt jump shot from 26 ft (assist by J. Morant),5,12
21,1,8:16.0,K. Nunn makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,8,12
22,1,8:00.0,,J. Valančiūnas makes 2-pt jump shot from 6 ft (assist by J. Morant),8,14
23,1,7:52.0,B. Adebayo misses 2-pt layup from 2 ft,,8,14
24,1,7:48.0,Offensive rebound by J. Butler,,8,14
25,1,7:47.0,M. Leonard misses 3-pt jump shot from 23 ft,,8,14
26,1,7:45.0,Offensive rebound by J. Butler,,8,14
27,1,7:42.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by M. Leonard),,11,14
28,1,7:28.0,,D. Brooks misses 3-pt jump shot from 26 ft,11,14
29,1,7:25.0,Defensive rebound by B. Adebayo,,11,14
30,1,7:15.0,Turnover by J. Butler (bad pass),,11,14
31,1,7:15.0,Loose ball foul by B. Adebayo (drawn by D. Brooks),,11,14
32,1,7:04.0,,J. Morant makes 2-pt jump shot from 10 ft,11,16
33,1,6:47.0,K. Nunn makes 2-pt jump shot from 11 ft,,13,16
34,1,6:33.0,,J. Jackson makes 3-pt jump shot from 24 ft (assist by J. Morant),13,19
35,1,6:15.0,K. Nunn misses 2-pt jump shot from 17 ft,,13,19
36,1,6:12.0,Offensive rebound by M. Leonard,,13,19
37,1,6:03.0,Shooting foul by J. Morant (drawn by J. Butler),,13,19
38,1,6:03.0,,Memphis full timeout,13,19
39,1,6:03.0,,D. Melton enters the game for D. Brooks,13,19
40,1,6:03.0,J. Butler makes free throw 1 of 2,,14,19
41,1,6:03.0,J. Butler makes free throw 2 of 2,,15,19
42,1,5:53.0,,J. Valančiūnas makes 2-pt dunk at rim (assist by J. Jackson),15,21
43,1,5:37.0,B. Adebayo makes 2-pt jump shot from 5 ft (assist by J. Butler),,17,21
44,1,5:24.0,,Turnover by J. Morant (traveling),17,21
45,1,5:24.0,T. Herro enters the game for B. Adebayo,,17,21
46,1,5:24.0,D. Jones enters the game for K. Nunn,,17,21
47,1,5:13.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by J. Butler),,20,21
48,1,5:01.0,,J. Morant makes 3-pt jump shot from 26 ft,20,24
49,1,4:53.0,Turnover by T. Herro (palming),,20,24
50,1,4:53.0,,B. Clarke enters the game for J. Morant,20,24
51,1,4:53.0,,T. Jones enters the game for J. Valančiūnas,20,24
52,1,4:30.0,,J. Jackson misses 2-pt jump shot from 14 ft (block by D. Jones),20,24
53,1,4:26.0,Defensive rebound by D. Robinson,,20,24
54,1,4:19.0,J. Butler makes 2-pt jump shot from 20 ft,,22,24
55,1,4:05.0,,Turnover by J. Jackson (bad pass; steal by J. Butler),22,24
56,1,4:04.0,D. Jones makes 2-pt dunk from 1 ft (assist by J. Butler),,24,24
57,1,4:04.0,,Memphis full timeout,24,24
