,QUARTER,TIME_REMAINING,UTAH_ACTION,DETROIT_ACTION,UTAH_SCORE,DETROIT_SCORE
0,1,11:47.0,,Turnover by J. Henson (lost ball; steal by M. Conley),0,0
1,1,11:38.0,R. O'Neale misses 3-pt jump shot from 26 ft,,0,0
2,1,11:33.0,,Defensive rebound by B. Knight,0,0
3,1,11:25.0,,J. Henson makes 2-pt layup from 2 ft (assist by B. Knight),0,2
4,1,10:58.0,Turnover by Team (shot clock),,0,2
5,1,10:33.0,,C. Wood misses 2-pt jump shot from 14 ft,0,2
6,1,10:30.0,Defensive rebound by R. Gobert,,0,2
7,1,10:19.0,M. Conley misses 2-pt jump shot from 23 ft,,0,2
8,1,10:16.0,Offensive rebound by R. Gobert,,0,2
9,1,10:15.0,R. Gobert makes 2-pt layup from 2 ft,,2,2
10,1,9:56.0,,J. Henson makes 2-pt hook shot from 6 ft (assist by T. Snell),2,4
11,1,9:35.0,B. Bogdanović misses 2-pt jump shot from 12 ft,,2,4
12,1,9:33.0,Offensive rebound by B. Bogdanović,,2,4
13,1,9:24.0,R. O'Neale misses 3-pt jump shot from 28 ft,,2,4
14,1,9:17.0,,Defensive rebound by S. Mykhailiuk,2,4
15,1,9:10.0,,S. Mykhailiuk misses 2-pt layup from 3 ft,2,4
16,1,9:07.0,Defensive rebound by R. Gobert,,2,4
17,1,8:56.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by D. Mitchell),,4,4
18,1,8:45.0,,J. Henson misses 2-pt hook shot from 3 ft,4,4
19,1,8:43.0,Defensive rebound by Team,,4,4
20,1,8:38.0,Turnover by B. Bogdanović (bad pass),,4,4
21,1,8:25.0,,B. Knight misses 3-pt jump shot from 27 ft,4,4
22,1,8:23.0,Defensive rebound by R. O'Neale,,4,4
23,1,7:59.0,D. Mitchell makes 2-pt jump shot from 9 ft (assist by R. O'Neale),,6,4
24,1,7:41.0,,B. Knight misses 3-pt jump shot from 26 ft,6,4
25,1,7:39.0,Defensive rebound by R. O'Neale,,6,4
26,1,7:29.0,D. Mitchell makes 2-pt jump shot from 17 ft,,8,4
27,1,7:05.0,,J. Henson makes 2-pt layup from 2 ft (assist by S. Mykhailiuk),8,6
28,1,6:45.0,D. Mitchell misses 3-pt jump shot from 27 ft,,8,6
29,1,6:43.0,,Defensive rebound by J. Henson,8,6
30,1,6:28.0,,C. Wood misses 3-pt jump shot from 26 ft,8,6
31,1,6:25.0,Defensive rebound by R. Gobert,,8,6
32,1,6:10.0,R. Gobert makes 2-pt layup from 3 ft,,10,6
33,1,5:44.0,,S. Mykhailiuk misses 2-pt jump shot from 4 ft,10,6
34,1,5:42.0,Defensive rebound by D. Mitchell,,10,6
35,1,5:36.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by M. Conley),,13,6
36,1,5:36.0,,Detroit full timeout,13,6
37,1,5:36.0,J. Clarkson enters the game for M. Conley,,13,6
38,1,5:36.0,J. Ingles enters the game for R. O'Neale,,13,6
39,1,5:36.0,,S. Doumbouya enters the game for J. Henson,13,6
40,1,5:19.0,,C. Wood misses 3-pt jump shot from 25 ft,13,6
41,1,5:19.0,,Offensive rebound by Team,13,6
42,1,5:19.0,Loose ball foul by B. Bogdanović (drawn by S. Doumbouya),,13,6
43,1,5:10.0,,C. Wood makes 2-pt dunk from 3 ft (assist by S. Mykhailiuk),13,8
44,1,4:54.0,D. Mitchell makes 2-pt jump shot from 17 ft,,15,8
45,1,4:30.0,,C. Wood makes 2-pt jump shot from 7 ft (assist by S. Mykhailiuk),15,10
