,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,CLEVELAND_ACTION,GOLDEN STATE_SCORE,CLEVELAND_SCORE
0,1,11:40.0,,Personal foul by M. Chriss (drawn by C. Sexton),0,0
1,1,11:33.0,,K. Love makes 2-pt layup from 1 ft (assist by D. Garland),0,2
2,1,11:14.0,Personal foul by D. Garland (drawn by D. Green),,0,2
3,1,11:03.0,D. Lee makes 2-pt jump shot from 4 ft (assist by D. Russell),,2,2
4,1,10:45.0,,C. Osman makes 3-pt jump shot from 26 ft,2,5
5,1,10:38.0,Shooting foul by C. Osman (drawn by G. Robinson),,2,5
6,1,10:38.0,G. Robinson makes free throw 1 of 2,,3,5
7,1,10:38.0,G. Robinson misses free throw 2 of 2,,3,5
8,1,10:35.0,Offensive rebound by M. Chriss,,3,5
9,1,10:30.0,M. Chriss misses 2-pt jump shot from 7 ft,,3,5
10,1,10:28.0,,Defensive rebound by T. Thompson,3,5
11,1,10:23.0,,K. Love misses 3-pt jump shot from 29 ft,3,5
12,1,10:21.0,,Offensive rebound by T. Thompson,3,5
13,1,10:18.0,,C. Sexton makes 3-pt jump shot from 25 ft (assist by T. Thompson),3,8
14,1,10:06.0,D. Russell makes 3-pt jump shot from 29 ft (assist by M. Chriss),,6,8
15,1,9:52.0,,C. Osman makes 2-pt jump shot from 4 ft (assist by K. Love),6,10
16,1,9:45.0,D. Russell misses 3-pt jump shot from 25 ft,,6,10
17,1,9:42.0,,Defensive rebound by T. Thompson,6,10
18,1,9:37.0,,D. Garland misses 3-pt jump shot from 27 ft,6,10
19,1,9:34.0,Defensive rebound by D. Russell,,6,10
20,1,9:24.0,Turnover by D. Green (bad pass; steal by K. Love),,6,10
21,1,9:20.0,,C. Sexton misses 2-pt layup at rim (block by M. Chriss),6,10
22,1,9:15.0,Defensive rebound by D. Russell,,6,10
23,1,9:13.0,G. Robinson makes 3-pt jump shot from 23 ft (assist by D. Green),,9,10
24,1,8:57.0,,D. Garland misses 2-pt jump shot from 8 ft,9,10
25,1,8:54.0,Defensive rebound by M. Chriss,,9,10
26,1,8:50.0,Turnover by D. Green (bad pass; steal by C. Osman),,9,10
27,1,8:44.0,,T. Thompson misses 2-pt jump shot from 5 ft,9,10
28,1,8:41.0,,Offensive rebound by C. Sexton,9,10
29,1,8:41.0,,C. Sexton makes 2-pt layup from 1 ft,9,12
30,1,8:33.0,D. Green misses 3-pt jump shot from 25 ft,,9,12
31,1,8:29.0,,Defensive rebound by D. Garland,9,12
32,1,8:17.0,,T. Thompson makes 2-pt dunk from 1 ft (assist by D. Garland),9,14
33,1,8:02.0,M. Chriss makes 2-pt jump shot from 5 ft,,11,14
34,1,7:51.0,,Offensive foul by C. Osman (drawn by M. Chriss),11,14
35,1,7:51.0,,Turnover by C. Osman (offensive foul),11,14
36,1,7:51.0,,K. Porter enters the game for C. Osman,11,14
37,1,7:32.0,M. Chriss misses 2-pt layup from 1 ft (block by T. Thompson),,11,14
38,1,7:28.0,,Defensive rebound by K. Porter,11,14
39,1,7:26.0,,T. Thompson misses 2-pt layup at rim (block by M. Chriss),11,14
40,1,7:22.0,Defensive rebound by D. Lee,,11,14
41,1,7:19.0,D. Lee makes 2-pt layup from 2 ft (assist by D. Green),,13,14
42,1,7:03.0,,K. Love misses 3-pt jump shot from 26 ft,13,14
43,1,7:00.0,,Offensive rebound by D. Garland,13,14
44,1,6:51.0,,T. Thompson misses 2-pt jump shot from 8 ft,13,14
45,1,6:49.0,,Offensive rebound by T. Thompson,13,14
