,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DETROIT_ACTION,MEMPHIS_SCORE,DETROIT_SCORE
0,1,11:46.0,Personal foul by R. Jackson (drawn by J. Jackson),,0,0
1,1,11:37.0,Turnover by J. Morant (bad pass; steal by R. Jackson),,0,0
2,1,11:31.0,,T. Maker misses 2-pt layup from 1 ft (block by J. Jackson),0,0
3,1,11:29.0,Defensive rebound by J. Jackson,,0,0
4,1,11:13.0,J. Valančiūnas misses 2-pt jump shot from 19 ft,,0,0
5,1,11:11.0,,Defensive rebound by D. Rose,0,0
6,1,11:04.0,,D. Rose makes 2-pt jump shot from 12 ft,0,2
7,1,10:54.0,Turnover by D. Brooks (traveling),,0,2
8,1,10:37.0,,Turnover by D. Rose (lost ball; steal by D. Brooks),0,2
9,1,10:31.0,J. Jackson makes 2-pt dunk from 1 ft (assist by D. Brooks),,2,2
10,1,10:19.0,,S. Mykhailiuk makes 2-pt layup from 2 ft,2,4
11,1,10:07.0,J. Crowder misses 3-pt jump shot from 23 ft,,2,4
12,1,10:03.0,,Defensive rebound by R. Jackson,2,4
13,1,9:55.0,,Turnover by R. Jackson (traveling),2,4
14,1,9:39.0,J. Valančiūnas makes 2-pt hook shot from 3 ft (assist by J. Jackson),,4,4
15,1,9:23.0,,S. Mykhailiuk misses 3-pt jump shot from 25 ft,4,4
16,1,9:23.0,Defensive rebound by J. Valančiūnas,,4,4
17,1,9:11.0,J. Valančiūnas misses 3-pt jump shot from 25 ft,,4,4
18,1,9:11.0,,Defensive rebound by S. Doumbouya,4,4
19,1,8:46.0,,D. Rose misses 2-pt jump shot from 10 ft,4,4
20,1,8:42.0,Defensive rebound by J. Crowder,,4,4
21,1,8:32.0,D. Brooks misses 2-pt jump shot from 14 ft,,4,4
22,1,8:29.0,,Defensive rebound by T. Maker,4,4
23,1,8:28.0,,S. Doumbouya misses 2-pt layup from 3 ft,4,4
24,1,8:28.0,,Offensive rebound by T. Maker,4,4
25,1,8:26.0,,Shooting foul by D. Brooks (drawn by T. Maker),4,4
26,1,8:26.0,,T. Maker makes free throw 1 of 2,4,5
27,1,8:26.0,,T. Maker makes free throw 2 of 2,4,6
28,1,8:09.0,Turnover by J. Morant (bad pass; steal by S. Doumbouya),,4,6
29,1,8:02.0,,R. Jackson misses 3-pt jump shot from 25 ft,4,6
30,1,7:59.0,Defensive rebound by J. Valančiūnas,,4,6
31,1,7:50.0,J. Jackson makes 2-pt dunk from 1 ft (assist by J. Valančiūnas),,6,6
32,1,7:38.0,,D. Rose misses 2-pt jump shot from 6 ft,6,6
33,1,7:36.0,,Offensive rebound by D. Rose,6,6
34,1,7:36.0,,D. Rose misses 2-pt layup from 2 ft,6,6
35,1,7:35.0,Defensive rebound by J. Valančiūnas,,6,6
36,1,7:21.0,J. Jackson makes 3-pt jump shot from 29 ft (assist by J. Morant),,9,6
37,1,6:59.0,,R. Jackson misses 2-pt jump shot from 10 ft,9,6
38,1,6:57.0,Defensive rebound by J. Valančiūnas,,9,6
39,1,6:45.0,D. Brooks makes 3-pt jump shot from 22 ft (assist by J. Crowder),,12,6
40,1,6:44.0,,Detroit full timeout,12,6
41,1,6:44.0,,L. Galloway enters the game for R. Jackson,12,6
42,1,6:35.0,,Shooting foul by J. Valančiūnas (drawn by D. Rose),12,6
43,1,6:35.0,,D. Rose makes free throw 1 of 2,12,7
44,1,6:35.0,,D. Rose misses free throw 2 of 2,12,7
45,1,6:32.0,,Offensive rebound by Team,12,7
46,1,6:26.0,,S. Mykhailiuk misses 3-pt jump shot from 25 ft,12,7
47,1,6:24.0,,Offensive rebound by T. Maker,12,7
48,1,6:23.0,,L. Galloway makes 3-pt jump shot from 26 ft (assist by T. Maker),12,10
49,1,6:06.0,J. Valančiūnas misses 2-pt hook shot from 2 ft,,12,10
50,1,5:59.0,Offensive rebound by J. Jackson,,12,10
51,1,5:59.0,J. Jackson makes 2-pt layup from 1 ft,,14,10
52,1,5:45.0,,D. Rose misses 2-pt jump shot from 7 ft,14,10
53,1,5:44.0,,Offensive rebound by T. Maker,14,10
54,1,5:44.0,,T. Maker makes 2-pt hook shot from 5 ft,14,12
55,1,5:44.0,,Shooting foul by J. Crowder (drawn by T. Maker),14,12
56,1,5:44.0,B. Clarke enters the game for J. Morant,,14,12
57,1,5:44.0,T. Jones enters the game for J. Valančiūnas,,14,12
58,1,5:44.0,,T. Maker makes free throw 1 of 1,14,13
59,1,5:35.0,J. Jackson makes 2-pt layup from 3 ft,,16,13
60,1,5:20.0,,T. Maker makes 2-pt dunk at rim (assist by D. Rose),16,15
61,1,5:09.0,J. Jackson misses 3-pt jump shot from 30 ft,,16,15
62,1,5:06.0,Offensive rebound by D. Brooks,,16,15
63,1,5:06.0,Shooting foul by D. Rose (drawn by D. Brooks),,16,15
64,1,5:06.0,D. Brooks makes free throw 1 of 2,,17,15
65,1,5:06.0,D. Melton enters the game for J. Crowder,,17,15
