,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PORTLAND_ACTION,OKLAHOMA CITY_SCORE,PORTLAND_SCORE
0,1,11:36.0,S. Adams misses 2-pt hook shot from 6 ft (block by H. Whiteside),,0,0
1,1,11:35.0,,Defensive rebound by K. Bazemore,0,0
2,1,11:23.0,,H. Whiteside makes 2-pt layup from 2 ft (assist by C. McCollum),0,2
3,1,11:12.0,S. Adams misses 2-pt hook shot from 3 ft,,0,2
4,1,11:10.0,,Defensive rebound by H. Whiteside,0,2
5,1,11:04.0,,D. Lillard misses 3-pt jump shot from 29 ft,0,2
6,1,11:01.0,Defensive rebound by S. Gilgeous-Alexander,,0,2
7,1,10:57.0,Personal foul by K. Bazemore (drawn by S. Gilgeous-Alexander),,0,2
8,1,10:49.0,Shooting foul by D. Lillard (drawn by A. Nader),,0,2
9,1,10:49.0,A. Nader makes free throw 1 of 2,,1,2
10,1,10:49.0,A. Nader makes free throw 2 of 2,,2,2
11,1,10:23.0,,Turnover by D. Lillard (bad pass; steal by C. Paul),2,2
12,1,10:19.0,A. Nader misses 2-pt layup from 1 ft,,2,2
13,1,10:17.0,,Defensive rebound by C. Anthony,2,2
14,1,10:12.0,,C. McCollum misses 2-pt jump shot from 4 ft,2,2
15,1,10:12.0,Defensive rebound by Team,,2,2
16,1,10:12.0,,Loose ball foul by H. Whiteside (drawn by S. Adams),2,2
17,1,10:01.0,Shooting foul by C. Anthony (drawn by S. Gilgeous-Alexander),,2,2
18,1,10:01.0,S. Gilgeous-Alexander makes free throw 1 of 2,,3,2
19,1,10:01.0,S. Gilgeous-Alexander makes free throw 2 of 2,,4,2
20,1,9:46.0,,C. McCollum makes 2-pt jump shot from 12 ft (assist by H. Whiteside),4,4
21,1,9:36.0,C. Paul makes 2-pt jump shot from 8 ft,,6,4
22,1,9:24.0,,D. Lillard misses 2-pt jump shot from 7 ft,6,4
23,1,9:23.0,Defensive rebound by D. Gallinari,,6,4
24,1,9:12.0,Turnover by D. Gallinari (out of bounds lost ball),,6,4
25,1,8:56.0,,K. Bazemore makes 3-pt jump shot from 27 ft (assist by H. Whiteside),6,7
26,1,8:38.0,A. Nader makes 2-pt layup from 3 ft (assist by S. Adams),,8,7
27,1,8:21.0,,Turnover by H. Whiteside (lost ball; steal by D. Gallinari),8,7
28,1,8:14.0,D. Gallinari makes 2-pt dunk from 1 ft,,10,7
29,1,7:55.0,,C. McCollum misses 3-pt jump shot from 24 ft,10,7
30,1,7:55.0,,Offensive rebound by Team,10,7
31,1,7:55.0,Loose ball foul by D. Gallinari (drawn by C. Anthony),,10,7
32,1,7:42.0,,K. Bazemore makes 3-pt jump shot from 25 ft (assist by D. Lillard),10,10
33,1,7:31.0,C. Paul misses 2-pt jump shot from 12 ft,,10,10
34,1,7:30.0,,Defensive rebound by C. Anthony,10,10
35,1,7:18.0,,D. Lillard misses 2-pt jump shot from 2 ft,10,10
36,1,7:15.0,Defensive rebound by D. Gallinari,,10,10
37,1,7:08.0,D. Gallinari misses 3-pt jump shot from 26 ft,,10,10
38,1,7:06.0,,Defensive rebound by D. Lillard,10,10
39,1,6:57.0,,K. Bazemore misses 2-pt jump shot from 15 ft,10,10
40,1,6:53.0,Defensive rebound by C. Paul,,10,10
41,1,6:45.0,C. Paul misses 2-pt jump shot from 16 ft,,10,10
42,1,6:44.0,Offensive rebound by S. Adams,,10,10
43,1,6:40.0,Turnover by A. Nader (bad pass; steal by C. Anthony),,10,10
44,1,6:38.0,,Personal foul by S. Gilgeous-Alexander (drawn by C. Anthony),10,10
45,1,6:38.0,,Portland full timeout,10,10
46,1,6:38.0,N. Noel enters the game for S. Adams,,10,10
47,1,6:28.0,,D. Lillard misses 3-pt jump shot from 25 ft,10,10
48,1,6:26.0,Defensive rebound by A. Nader,,10,10
49,1,6:08.0,D. Gallinari makes 2-pt jump shot from 16 ft,,12,10
50,1,5:45.0,,C. Anthony misses 2-pt layup from 2 ft (block by N. Noel),12,10
51,1,5:43.0,Defensive rebound by N. Noel,,12,10
52,1,5:41.0,Turnover by N. Noel (bad pass; steal by C. Anthony),,12,10
53,1,5:38.0,,C. Anthony makes 2-pt layup from 1 ft,12,12
54,1,5:18.0,Turnover by D. Gallinari (lost ball; steal by C. McCollum),,12,12
55,1,5:10.0,,C. Anthony misses 2-pt jump shot from 21 ft,12,12
56,1,5:06.0,Defensive rebound by C. Paul,,12,12
57,1,4:59.0,S. Gilgeous-Alexander misses 2-pt jump shot from 15 ft,,12,12
58,1,4:57.0,Offensive rebound by N. Noel,,12,12
59,1,4:46.0,C. Paul makes 2-pt jump shot from 16 ft,,14,12
60,1,4:46.0,L. Dort enters the game for A. Nader,,14,12
61,1,4:46.0,D. Schröder enters the game for C. Paul,,14,12
62,1,4:46.0,,S. Labissière enters the game for C. Anthony,14,12
63,1,4:46.0,,N. Little enters the game for C. McCollum,14,12
64,1,4:46.0,,A. Simons enters the game for H. Whiteside,14,12
65,1,4:20.0,,D. Lillard misses 2-pt jump shot from 16 ft,14,12
66,1,4:19.0,Defensive rebound by N. Noel,,14,12
67,1,4:11.0,D. Gallinari misses 3-pt jump shot from 25 ft,,14,12
68,1,4:08.0,,Defensive rebound by S. Labissière,14,12
69,1,4:01.0,,Personal foul by L. Dort (drawn by S. Labissière),14,12
70,1,4:01.0,D. Bazley enters the game for D. Gallinari,,14,12
71,1,3:57.0,,Turnover by S. Labissière (bad pass; steal by N. Noel),14,12
72,1,3:55.0,Shooting foul by N. Little (drawn by L. Dort),,14,12
73,1,3:55.0,L. Dort misses free throw 1 of 2,,14,12
74,1,3:55.0,Offensive rebound by Team,,14,12
75,1,3:55.0,L. Dort misses free throw 2 of 2,,14,12
