,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,SACRAMENTO_ACTION,WASHINGTON_SCORE,SACRAMENTO_SCORE
0,1,11:42.0,Turnover by S. Napier (bad pass; steal by H. Giles),,0,0
1,1,11:26.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by H. Barnes),0,3
2,1,10:58.0,R. Hachimura misses 2-pt jump shot from 12 ft,,0,3
3,1,10:55.0,,Defensive rebound by H. Giles,0,3
4,1,10:45.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by H. Barnes),0,6
5,1,10:24.0,Turnover by B. Beal (lost ball; steal by H. Barnes),,0,6
6,1,10:20.0,,N. Bjelica makes 2-pt dunk from 1 ft (assist by H. Giles),0,8
7,1,10:18.0,Washington full timeout,,0,8
8,1,10:06.0,I. Bonga misses 3-pt jump shot from 24 ft,,0,8
9,1,10:01.0,,Defensive rebound by N. Bjelica,0,8
10,1,9:46.0,,Turnover by H. Giles (bad pass; steal by R. Hachimura),0,8
11,1,9:41.0,Shooting foul by N. Bjelica (drawn by I. Bonga),,0,8
12,1,9:41.0,I. Bonga makes free throw 1 of 2,,1,8
13,1,9:41.0,I. Bonga makes free throw 2 of 2,,2,8
14,1,9:32.0,,H. Barnes makes 2-pt jump shot from 17 ft,2,10
15,1,9:17.0,R. Hachimura makes 2-pt layup from 1 ft (assist by B. Beal),,4,10
16,1,8:53.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,4,10
17,1,8:50.0,Defensive rebound by T. Bryant,,4,10
18,1,8:48.0,Turnover by T. Bryant (bad pass; steal by D. Fox),,4,10
19,1,8:44.0,,D. Fox makes 2-pt layup from 1 ft,4,12
20,1,8:24.0,Shooting foul by H. Giles (drawn by B. Beal),,4,12
21,1,8:24.0,B. Beal makes free throw 1 of 2,,5,12
22,1,8:24.0,B. Beal makes free throw 2 of 2,,6,12
23,1,8:05.0,,Personal foul by I. Bonga (drawn by H. Giles),6,12
24,1,7:59.0,,H. Barnes makes 2-pt layup from 1 ft (assist by N. Bjelica),6,14
25,1,7:46.0,B. Beal makes 2-pt layup from 1 ft,,8,14
26,1,7:31.0,,H. Barnes makes 2-pt jump shot from 8 ft,8,16
27,1,7:11.0,B. Beal makes 2-pt jump shot from 4 ft (assist by T. Bryant),,10,16
28,1,6:56.0,,Shooting foul by R. Hachimura (drawn by H. Giles),10,16
29,1,6:56.0,,H. Giles makes free throw 1 of 2,10,17
30,1,6:56.0,M. Wagner enters the game for T. Bryant,,10,17
31,1,6:56.0,,H. Giles makes free throw 2 of 2,10,18
32,1,6:39.0,Turnover by B. Beal (bad pass; steal by H. Barnes),,10,18
33,1,6:32.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,10,18
34,1,6:28.0,Defensive rebound by M. Wagner,,10,18
35,1,6:23.0,S. Napier makes 2-pt layup from 2 ft,,12,18
36,1,6:23.0,,Sacramento full timeout,12,18
37,1,6:23.0,,K. Bazemore enters the game for H. Barnes,12,18
38,1,6:23.0,,A. Len enters the game for H. Giles,12,18
39,1,6:07.0,,Offensive foul by N. Bjelica (drawn by M. Wagner),12,18
40,1,6:07.0,,Turnover by N. Bjelica (offensive foul),12,18
41,1,5:52.0,B. Beal makes 2-pt jump shot from 14 ft (assist by M. Wagner),,14,18
42,1,5:37.0,,K. Bazemore makes 2-pt jump shot from 4 ft,14,20
43,1,5:24.0,M. Wagner misses 3-pt jump shot from 25 ft,,14,20
44,1,5:22.0,,Defensive rebound by D. Fox,14,20
45,1,5:16.0,,D. Fox misses 3-pt jump shot from 26 ft,14,20
46,1,5:09.0,,Offensive rebound by A. Len,14,20
47,1,5:09.0,,A. Len makes 2-pt dunk at rim,14,22
48,1,5:00.0,R. Hachimura misses 2-pt jump shot from 16 ft,,14,22
49,1,4:57.0,,Defensive rebound by N. Bjelica,14,22
50,1,4:49.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,14,22
51,1,4:45.0,,Offensive rebound by N. Bjelica,14,22
52,1,4:41.0,,D. Fox makes 2-pt jump shot from 7 ft,14,24
53,1,4:30.0,B. Beal misses 2-pt layup from 2 ft (block by B. Bogdanović),,14,24
54,1,4:30.0,Offensive rebound by Team,,14,24
55,1,4:30.0,D. Bertāns enters the game for I. Bonga,,14,24
56,1,4:30.0,T. Brown enters the game for R. Hachimura,,14,24
57,1,4:30.0,I. Smith enters the game for S. Napier,,14,24
58,1,4:30.0,,H. Barnes enters the game for N. Bjelica,14,24
59,1,4:30.0,,B. Hield enters the game for B. Bogdanović,14,24
60,1,4:18.0,B. Beal makes 2-pt dunk from 1 ft,,16,24
61,1,4:07.0,,K. Bazemore misses 2-pt layup from 2 ft,16,24
62,1,4:05.0,Defensive rebound by D. Bertāns,,16,24
63,1,3:56.0,Personal foul by D. Fox (drawn by B. Beal),,16,24
64,1,3:48.0,B. Beal misses 2-pt jump shot from 13 ft (block by A. Len),,16,24
65,1,3:45.0,,Defensive rebound by B. Hield,16,24
66,1,3:35.0,,K. Bazemore makes 2-pt jump shot from 13 ft,16,26
67,1,3:26.0,I. Smith makes 2-pt layup from 1 ft,,18,26
68,1,3:15.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by D. Fox),18,29
69,1,3:04.0,M. Wagner misses 3-pt jump shot from 25 ft,,18,29
70,1,2:59.0,,Defensive rebound by K. Bazemore,18,29
71,1,2:48.0,,D. Fox makes 3-pt jump shot from 25 ft (assist by B. Hield),18,32
72,1,2:43.0,Washington full timeout,,18,32
73,1,2:43.0,,C. Joseph enters the game for D. Fox,18,32
74,1,2:36.0,D. Bertāns misses 2-pt layup from 3 ft,,18,32
75,1,2:34.0,,Defensive rebound by H. Barnes,18,32
76,1,2:24.0,,Personal foul by T. Brown (drawn by A. Len),18,32
77,1,2:24.0,J. Robinson enters the game for B. Beal,,18,32
78,1,2:17.0,,A. Len makes 2-pt dunk from 1 ft (assist by B. Hield),18,34
79,1,2:07.0,I. Smith misses 2-pt jump shot from 14 ft,,18,34
80,1,2:03.0,,Defensive rebound by C. Joseph,18,34
81,1,1:51.0,,H. Barnes misses 2-pt jump shot from 7 ft,18,34
82,1,1:46.0,,Offensive rebound by A. Len,18,34
83,1,1:46.0,,A. Len misses 2-pt layup at rim,18,34
84,1,1:45.0,Defensive rebound by D. Bertāns,,18,34
85,1,1:32.0,Personal foul by A. Len (drawn by I. Smith),,18,34
86,1,1:21.0,T. Brown misses 2-pt jump shot from 12 ft,,18,34
87,1,1:18.0,,Defensive rebound by B. Hield,18,34
88,1,1:08.0,,B. Hield misses 2-pt jump shot from 16 ft,18,34
89,1,1:05.0,Defensive rebound by T. Brown,,18,34
90,1,0:59.0,J. Robinson misses 2-pt jump shot from 17 ft,,18,34
91,1,0:56.0,,Defensive rebound by A. Len,18,34
92,1,0:45.0,,A. Len makes 2-pt layup from 1 ft (assist by C. Joseph),18,36
93,1,0:40.0,D. Bertāns makes 3-pt jump shot from 26 ft (assist by T. Brown),,21,36
