,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,LA LAKERS_ACTION,LA CLIPPERS_SCORE,LA LAKERS_SCORE
0,1,11:41.0,Shooting foul by A. Bradley (drawn by I. Zubac),,0,0
1,1,11:41.0,I. Zubac misses free throw 1 of 2,,0,0
2,1,11:41.0,Offensive rebound by Team,,0,0
3,1,11:41.0,I. Zubac makes free throw 2 of 2,,1,0
4,1,11:20.0,,L. James misses 3-pt jump shot from 26 ft,1,0
5,1,11:17.0,Defensive rebound by P. Beverley,,1,0
6,1,11:05.0,K. Leonard makes 2-pt jump shot from 13 ft,,3,0
7,1,10:47.0,,A. Davis makes 2-pt jump shot from 14 ft,3,2
8,1,10:32.0,P. George misses 2-pt layup from 4 ft (block by J. McGee),,3,2
9,1,10:30.0,,Defensive rebound by D. Green,3,2
10,1,10:23.0,,D. Green makes 3-pt jump shot from 23 ft (assist by L. James),3,5
11,1,10:04.0,Personal foul by L. James (drawn by P. Beverley),,3,5
12,1,9:56.0,K. Leonard makes 3-pt jump shot from 25 ft,,6,5
13,1,9:50.0,,Turnover by L. James (bad pass),6,5
14,1,9:36.0,Turnover by P. Beverley (step out of bounds),,6,5
15,1,9:18.0,,A. Davis makes 2-pt jump shot from 5 ft,6,7
16,1,9:03.0,K. Leonard misses 2-pt jump shot from 19 ft,,6,7
17,1,9:01.0,,Defensive rebound by Team,6,7
18,1,8:47.0,,J. McGee misses 2-pt hook shot from 4 ft,6,7
19,1,8:43.0,,Offensive rebound by A. Bradley,6,7
20,1,8:43.0,,A. Bradley misses 2-pt layup from 1 ft,6,7
21,1,8:42.0,Defensive rebound by I. Zubac,,6,7
22,1,8:36.0,I. Zubac misses 2-pt dunk from 5 ft (block by A. Davis),,6,7
23,1,8:36.0,Offensive rebound by Team,,6,7
24,1,8:34.0,P. George makes 2-pt layup from 2 ft (assist by P. Beverley),,8,7
25,1,8:11.0,,L. James misses 2-pt jump shot from 8 ft,8,7
26,1,8:09.0,Defensive rebound by I. Zubac,,8,7
27,1,8:01.0,I. Zubac misses 2-pt dunk from 4 ft (block by J. McGee),,8,7
28,1,7:59.0,Offensive rebound by I. Zubac,,8,7
29,1,7:57.0,I. Zubac makes 2-pt hook shot from 4 ft,,10,7
30,1,7:52.0,,D. Green makes 3-pt jump shot from 26 ft (assist by L. James),10,10
31,1,7:34.0,P. Patterson makes 2-pt jump shot from 4 ft (assist by K. Leonard),,12,10
32,1,7:22.0,,Turnover by D. Green (bad pass),12,10
33,1,7:08.0,Turnover by P. George (bad pass; steal by L. James),,12,10
34,1,7:04.0,,Shooting foul by I. Zubac (drawn by L. James),12,10
35,1,7:04.0,,L. James makes free throw 1 of 2,12,11
36,1,7:04.0,,L. James makes free throw 2 of 2,12,12
37,1,6:46.0,P. George misses 2-pt jump shot from 16 ft,,12,12
38,1,6:42.0,,Defensive rebound by L. James,12,12
39,1,6:40.0,,Personal foul by K. Leonard (drawn by L. James),12,12
40,1,6:40.0,,LA Lakers full timeout,12,12
41,1,6:24.0,,A. Davis makes 2-pt jump shot from 6 ft,12,14
42,1,6:01.0,I. Zubac makes 2-pt dunk from 2 ft (assist by P. Beverley),,14,14
43,1,5:44.0,,A. Bradley misses 3-pt jump shot from 23 ft,14,14
44,1,5:40.0,Defensive rebound by K. Leonard,,14,14
45,1,5:32.0,Shooting foul by A. Davis (drawn by P. Beverley),,14,14
46,1,5:32.0,P. Beverley misses free throw 1 of 3,,14,14
47,1,5:32.0,Offensive rebound by Team,,14,14
48,1,5:32.0,P. Beverley misses free throw 2 of 3,,14,14
49,1,5:32.0,Offensive rebound by Team,,14,14
50,1,5:32.0,M. Harkless enters the game for P. Patterson,,14,14
51,1,5:32.0,M. Harrell enters the game for I. Zubac,,14,14
52,1,5:32.0,,K. Caldwell-Pope enters the game for A. Bradley,14,14
53,1,5:32.0,,K. Kuzma enters the game for J. McGee,14,14
54,1,5:32.0,P. Beverley makes free throw 3 of 3,,15,14
55,1,5:17.0,,K. Kuzma makes 3-pt jump shot from 27 ft (assist by K. Caldwell-Pope),15,17
56,1,4:55.0,P. George makes 3-pt jump shot from 25 ft,,18,17
57,1,4:42.0,,D. Green misses 2-pt layup from 2 ft,18,17
58,1,4:35.0,,Offensive rebound by D. Green,18,17
59,1,4:26.0,,L. James misses 2-pt hook shot from 6 ft,18,17
60,1,4:24.0,,Offensive rebound by K. Kuzma,18,17
61,1,4:19.0,,K. Kuzma misses 3-pt jump shot from 26 ft,18,17
62,1,4:15.0,Defensive rebound by P. Beverley,,18,17
63,1,4:04.0,K. Leonard makes 2-pt jump shot from 11 ft,,20,17
64,1,3:54.0,,K. Caldwell-Pope makes 2-pt jump shot from 10 ft (assist by L. James),20,19
65,1,3:39.0,K. Leonard misses 2-pt layup from 3 ft,,20,19
66,1,3:36.0,Offensive rebound by K. Leonard,,20,19
67,1,3:36.0,K. Leonard makes 2-pt layup at rim,,22,19
68,1,3:15.0,,L. James misses 3-pt jump shot from 25 ft,22,19
69,1,3:12.0,Defensive rebound by P. Beverley,,22,19
70,1,3:00.0,M. Harrell misses 2-pt hook shot from 7 ft,,22,19
71,1,2:59.0,,Defensive rebound by L. James,22,19
72,1,2:52.0,,K. Kuzma makes 2-pt jump shot from 13 ft (assist by L. James),22,21
73,1,2:50.0,LA Clippers full timeout,,22,21
74,1,2:50.0,L. Shamet enters the game for P. Beverley,,22,21
75,1,2:50.0,L. Williams enters the game for P. George,,22,21
76,1,2:50.0,,A. Caruso enters the game for D. Green,22,21
77,1,2:50.0,,R. Rondo enters the game for L. James,22,21
78,1,2:37.0,K. Leonard makes 2-pt jump shot from 9 ft (assist by L. Williams),,24,21
79,1,2:23.0,,K. Kuzma makes 2-pt jump shot from 21 ft (assist by A. Davis),24,23
80,1,2:15.0,K. Leonard makes 3-pt jump shot from 28 ft (assist by L. Williams),,27,23
81,1,2:05.0,,K. Kuzma makes 3-pt jump shot from 27 ft (assist by R. Rondo),27,26
82,1,1:49.0,Turnover by L. Williams (bad pass; steal by K. Kuzma),,27,26
83,1,1:40.0,,K. Kuzma misses 2-pt jump shot from 16 ft,27,26
84,1,1:37.0,Defensive rebound by L. Williams,,27,26
85,1,1:30.0,M. Harrell makes 2-pt layup from 3 ft (assist by L. Williams),,29,26
86,1,1:22.0,,R. Rondo misses 2-pt jump shot from 11 ft,29,26
87,1,1:19.0,Defensive rebound by K. Leonard,,29,26
88,1,1:14.0,L. Williams makes 2-pt layup from 2 ft,,31,26
89,1,1:01.0,,Shooting foul by M. Harkless (drawn by K. Kuzma),31,26
90,1,1:01.0,,K. Kuzma makes free throw 1 of 2,31,27
91,1,1:01.0,P. George enters the game for K. Leonard,,31,27
92,1,1:01.0,,K. Kuzma makes free throw 2 of 2,31,28
93,1,0:46.0,Turnover by L. Williams (lost ball; steal by A. Caruso),,31,28
94,1,0:42.0,,A. Caruso misses 2-pt layup from 1 ft,31,28
95,1,0:39.0,,Offensive rebound by K. Caldwell-Pope,31,28
96,1,0:39.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft,31,30
97,1,0:28.0,Turnover by L. Shamet (bad pass),,31,30
