,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,DALLAS_ACTION,NEW ORLEANS_SCORE,DALLAS_SCORE
0,1,11:43.0,L. Ball makes 3-pt jump shot from 25 ft (assist by D. Favors),,3,0
1,1,11:20.0,,D. Finney-Smith makes 2-pt layup from 1 ft (assist by T. Hardaway),3,2
2,1,11:06.0,L. Ball makes 3-pt jump shot from 27 ft (assist by D. Favors),,6,2
3,1,10:52.0,,K. Porziņģis makes 2-pt dunk at rim (assist by L. Dončić),6,4
4,1,10:36.0,B. Ingram makes 2-pt layup from 1 ft,,8,4
5,1,10:17.0,,T. Hardaway misses 3-pt jump shot from 25 ft,8,4
6,1,10:14.0,Defensive rebound by Z. Williamson,,8,4
7,1,10:09.0,J. Holiday misses 2-pt layup from 2 ft (block by K. Porziņģis),,8,4
8,1,10:05.0,,Defensive rebound by M. Kleber,8,4
9,1,10:05.0,,Turnover by T. Hardaway (bad pass),8,4
10,1,9:52.0,L. Ball misses 3-pt jump shot from 25 ft,,8,4
11,1,9:50.0,,Defensive rebound by M. Kleber,8,4
12,1,9:38.0,,L. Dončić misses 2-pt jump shot from 5 ft,8,4
13,1,9:36.0,Defensive rebound by D. Favors,,8,4
14,1,9:32.0,L. Ball misses 2-pt layup from 4 ft (block by K. Porziņģis),,8,4
15,1,9:28.0,,Defensive rebound by M. Kleber,8,4
16,1,9:16.0,,K. Porziņģis misses 2-pt jump shot from 9 ft,8,4
17,1,9:13.0,Defensive rebound by J. Holiday,,8,4
18,1,9:08.0,Turnover by D. Favors (traveling),,8,4
19,1,8:50.0,,Personal foul by D. Favors (drawn by L. Dončić),8,4
20,1,8:42.0,,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by M. Kleber),8,7
21,1,8:34.0,B. Ingram makes 2-pt jump shot from 15 ft (assist by J. Holiday),,10,7
22,1,8:20.0,,Turnover by L. Dončić (bad pass; steal by L. Ball),10,7
23,1,8:09.0,Turnover by L. Ball (bad pass),,10,7
24,1,8:06.0,,M. Kleber misses 2-pt layup from 3 ft (block by B. Ingram),10,7
25,1,8:06.0,,Offensive rebound by Team,10,7
26,1,8:04.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,10,7
27,1,8:01.0,Defensive rebound by L. Ball,,10,7
28,1,7:46.0,Shooting foul by K. Porziņģis (drawn by D. Favors),,10,7
29,1,7:46.0,D. Favors misses free throw 1 of 2,,10,7
30,1,7:46.0,Offensive rebound by Team,,10,7
31,1,7:46.0,D. Favors misses free throw 2 of 2,,10,7
32,1,7:43.0,,Defensive rebound by L. Dončić,10,7
33,1,7:26.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,10,7
34,1,7:24.0,Defensive rebound by L. Ball,,10,7
35,1,7:21.0,B. Ingram misses 3-pt jump shot from 25 ft,,10,7
36,1,7:18.0,,Defensive rebound by L. Dončić,10,7
37,1,7:11.0,,T. Hardaway misses 3-pt jump shot from 23 ft,10,7
38,1,7:08.0,Defensive rebound by B. Ingram,,10,7
