,QUARTER,TIME_REMAINING,CHICAGO_ACTION,INDIANA_ACTION,CHICAGO_SCORE,INDIANA_SCORE
0,1,11:39.0,Turnover by (8 sec),,0,0
1,1,11:14.0,,Turnover by Team (shot clock),0,0
2,1,11:03.0,T. Young makes 2-pt jump shot from 3 ft (assist by T. Satoranský),,2,0
3,1,10:42.0,,D. Sabonis misses 2-pt hook shot from 4 ft,2,0
4,1,10:39.0,Defensive rebound by K. Dunn,,2,0
5,1,10:19.0,T. Satoranský makes 2-pt jump shot from 4 ft (assist by K. Dunn),,4,0
6,1,9:53.0,,J. Lamb misses 3-pt jump shot from 28 ft,4,0
7,1,9:48.0,,Offensive rebound by M. Brogdon,4,0
8,1,9:46.0,,M. Brogdon makes 2-pt jump shot from 15 ft,4,2
9,1,9:31.0,T. Satoranský misses 2-pt jump shot from 11 ft,,4,2
10,1,9:27.0,,Defensive rebound by J. Lamb,4,2
11,1,9:17.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by M. Brogdon),4,4
12,1,8:54.0,T. Satoranský makes 2-pt layup from 4 ft,,6,4
13,1,8:32.0,,J. Sampson misses 3-pt jump shot from 23 ft,6,4
14,1,8:29.0,Defensive rebound by T. Satoranský,,6,4
15,1,8:18.0,Turnover by K. Dunn (bad pass; steal by M. Brogdon),,6,4
16,1,8:14.0,,J. Lamb makes 2-pt layup from 1 ft,6,6
17,1,8:01.0,Turnover by L. Kornet (bad pass; steal by T. Warren),,6,6
18,1,7:57.0,,T. Warren makes 2-pt layup from 4 ft,6,8
19,1,7:35.0,Z. LaVine misses 3-pt jump shot from 29 ft,,6,8
20,1,7:32.0,,Defensive rebound by J. Lamb,6,8
21,1,7:17.0,,D. Sabonis makes 2-pt layup at rim (assist by M. Brogdon),6,10
22,1,7:03.0,T. Young misses 2-pt layup from 3 ft (block by J. Sampson),,6,10
23,1,6:59.0,,Defensive rebound by J. Sampson,6,10
24,1,6:52.0,,T. Warren makes 2-pt jump shot from 5 ft,6,12
25,1,6:33.0,L. Kornet misses 3-pt jump shot from 22 ft,,6,12
26,1,6:31.0,,Defensive rebound by J. Sampson,6,12
27,1,6:18.0,,J. Lamb misses 2-pt jump shot from 17 ft,6,12
28,1,6:14.0,Defensive rebound by K. Dunn,,6,12
29,1,6:09.0,K. Dunn makes 2-pt layup from 3 ft,,8,12
30,1,6:02.0,,Indiana full timeout,8,12
31,1,6:02.0,C. Felício enters the game for L. Kornet,,8,12
32,1,6:02.0,C. White enters the game for T. Satoranský,,8,12
33,1,5:48.0,,M. Brogdon misses 3-pt jump shot from 27 ft,8,12
34,1,5:43.0,,Offensive rebound by J. Sampson,8,12
35,1,5:40.0,,T. Warren misses 3-pt jump shot from 28 ft,8,12
36,1,5:36.0,,Offensive rebound by D. Sabonis,8,12
37,1,5:34.0,,T. Warren misses 2-pt jump shot from 5 ft,8,12
38,1,5:30.0,,Offensive rebound by J. Sampson,8,12
39,1,5:30.0,,J. Sampson makes 2-pt layup from 1 ft,8,14
40,1,5:09.0,T. Young makes 2-pt layup from 2 ft (assist by Z. LaVine),,10,14
41,1,4:50.0,,J. Lamb misses 3-pt jump shot from 27 ft,10,14
42,1,4:45.0,,Offensive rebound by M. Brogdon,10,14
43,1,4:45.0,,M. Brogdon makes 2-pt layup from 1 ft,10,16
44,1,4:32.0,T. Young makes 2-pt hook shot from 2 ft (assist by K. Dunn),,12,16
45,1,4:12.0,,Shooting foul by T. Young (drawn by D. Sabonis),12,16
46,1,4:12.0,,D. Sabonis misses free throw 1 of 2,12,16
47,1,4:12.0,,Offensive rebound by Team,12,16
48,1,4:12.0,C. Hutchison enters the game for K. Dunn,,12,16
49,1,4:12.0,,V. Oladipo enters the game for J. Lamb,12,16
50,1,4:12.0,,D. Sabonis makes free throw 2 of 2,12,17
51,1,3:53.0,Turnover by Z. LaVine (bad pass),,12,17
52,1,3:45.0,,V. Oladipo misses 3-pt jump shot from 26 ft,12,17
53,1,3:42.0,Defensive rebound by Z. LaVine,,12,17
54,1,3:34.0,Z. LaVine makes 2-pt layup from 1 ft,,14,17
