,QUARTER,TIME_REMAINING,TORONTO_ACTION,CHICAGO_ACTION,TORONTO_SCORE,CHICAGO_SCORE
0,1,11:35.0,,Z. LaVine misses 3-pt jump shot from 27 ft,0,0
1,1,11:35.0,,Offensive rebound by Team,0,0
2,1,11:35.0,,Turnover by Team (shot clock),0,0
3,1,11:14.0,P. Siakam makes 2-pt jump shot from 18 ft,,2,0
4,1,10:58.0,,W. Carter misses 2-pt layup from 1 ft (block by M. Gasol),2,0
5,1,10:57.0,Defensive rebound by P. Siakam,,2,0
6,1,10:48.0,K. Lowry misses 3-pt jump shot from 23 ft,,2,0
7,1,10:45.0,,Defensive rebound by Z. LaVine,2,0
8,1,10:40.0,,L. Markkanen makes 2-pt dunk at rim (assist by Z. LaVine),2,2
9,1,10:25.0,P. Siakam makes 2-pt layup from 1 ft,,4,2
10,1,10:16.0,,Offensive foul by K. Dunn (drawn by K. Lowry),4,2
11,1,10:16.0,,Turnover by K. Dunn (offensive foul),4,2
12,1,9:54.0,K. Lowry makes 2-pt jump shot from 22 ft (assist by N. Powell),,6,2
13,1,9:32.0,,L. Markkanen misses 3-pt jump shot from 22 ft,6,2
14,1,9:29.0,,Offensive rebound by W. Carter,6,2
15,1,9:23.0,,Z. LaVine makes 2-pt jump shot from 13 ft (assist by T. Satoranský),6,4
16,1,9:08.0,P. Siakam misses 3-pt jump shot from 27 ft,,6,4
17,1,9:05.0,,Defensive rebound by Z. LaVine,6,4
18,1,9:01.0,,Shooting foul by M. Gasol (drawn by Z. LaVine),6,4
19,1,9:01.0,,Z. LaVine makes free throw 1 of 2,6,5
20,1,9:01.0,,Z. LaVine makes free throw 2 of 2,6,6
21,1,8:46.0,N. Powell misses 2-pt layup from 2 ft,,6,6
22,1,8:44.0,Offensive rebound by N. Powell,,6,6
23,1,8:44.0,N. Powell makes 2-pt layup from 1 ft,,8,6
24,1,8:32.0,,T. Satoranský makes 2-pt jump shot from 13 ft (assist by W. Carter),8,8
25,1,8:20.0,N. Powell makes 3-pt jump shot from 25 ft (assist by M. Gasol),,11,8
26,1,8:02.0,,K. Dunn misses 3-pt jump shot from 22 ft,11,8
27,1,8:00.0,Defensive rebound by P. Siakam,,11,8
28,1,7:53.0,P. Siakam makes 2-pt jump shot from 9 ft,,13,8
29,1,7:38.0,,T. Satoranský makes 3-pt jump shot from 25 ft (assist by W. Carter),13,11
30,1,7:16.0,N. Powell misses 3-pt jump shot from 26 ft,,13,11
31,1,7:14.0,,Defensive rebound by T. Satoranský,13,11
32,1,7:09.0,,W. Carter makes 2-pt dunk from 1 ft (assist by T. Satoranský),13,13
33,1,6:45.0,P. Siakam makes 3-pt jump shot from 25 ft (assist by M. Gasol),,16,13
34,1,6:33.0,,W. Carter makes 2-pt dunk from 1 ft (assist by Z. LaVine),16,15
35,1,6:11.0,P. Siakam misses 3-pt jump shot from 27 ft,,16,15
36,1,6:08.0,,Defensive rebound by Z. LaVine,16,15
37,1,5:58.0,,Z. LaVine misses 3-pt jump shot from 25 ft,16,15
38,1,5:54.0,Defensive rebound by P. Siakam,,16,15
39,1,5:52.0,Shooting foul by K. Dunn (drawn by P. Siakam),,16,15
40,1,5:52.0,,Chicago full timeout,16,15
41,1,5:52.0,,C. White enters the game for K. Dunn,16,15
42,1,5:52.0,P. Siakam misses free throw 1 of 2,,16,15
43,1,5:52.0,Offensive rebound by Team,,16,15
44,1,5:52.0,P. Siakam makes free throw 2 of 2,,17,15
45,1,5:28.0,,Z. LaVine misses 3-pt jump shot from 23 ft (block by M. Gasol),17,15
46,1,5:22.0,Defensive rebound by O. Anunoby,,17,15
47,1,5:16.0,O. Anunoby misses 3-pt jump shot from 24 ft,,17,15
48,1,5:12.0,,Defensive rebound by C. White,17,15
49,1,5:08.0,,L. Markkanen misses 3-pt jump shot from 25 ft,17,15
50,1,5:04.0,Defensive rebound by M. Gasol,,17,15
51,1,4:51.0,K. Lowry makes 3-pt jump shot from 26 ft (assist by N. Powell),,20,15
52,1,4:36.0,,W. Carter makes 2-pt jump shot from 13 ft (assist by T. Satoranský),20,17
53,1,4:15.0,P. Siakam makes 3-pt jump shot from 26 ft (assist by K. Lowry),,23,17
54,1,3:52.0,,L. Markkanen misses 2-pt jump shot from 4 ft,23,17
55,1,3:51.0,,Offensive rebound by W. Carter,23,17
56,1,3:50.0,,Z. LaVine makes 3-pt jump shot from 23 ft (assist by W. Carter),23,20
57,1,3:30.0,P. Siakam misses 2-pt jump shot from 4 ft,,23,20
58,1,3:28.0,Offensive rebound by M. Gasol,,23,20
59,1,3:25.0,M. Gasol makes 3-pt jump shot from 23 ft (assist by K. Lowry),,26,20
60,1,3:17.0,,C. White misses 2-pt jump shot from 16 ft,26,20
61,1,3:16.0,,Offensive rebound by T. Satoranský,26,20
62,1,3:04.0,,Z. LaVine makes 2-pt layup from 1 ft,26,22
63,1,2:54.0,O. Anunoby misses 2-pt layup from 3 ft,,26,22
64,1,2:50.0,,Defensive rebound by W. Carter,26,22
65,1,2:47.0,,W. Carter makes 2-pt dunk from 1 ft (assist by T. Satoranský),26,24
66,1,2:31.0,Toronto full timeout,,26,24
67,1,2:31.0,T. Davis enters the game for O. Anunoby,,26,24
68,1,2:31.0,R. Hollis-Jefferson enters the game for M. Gasol,,26,24
69,1,2:31.0,S. Ibaka enters the game for K. Lowry,,26,24
70,1,2:31.0,M. Miller enters the game for N. Powell,,26,24
71,1,2:31.0,,D. Valentine enters the game for L. Markkanen,26,24
72,1,2:31.0,,T. Young enters the game for T. Satoranský,26,24
73,1,2:17.0,P. Siakam misses 3-pt jump shot from 26 ft,,26,24
74,1,2:15.0,,Defensive rebound by Team,26,24
75,1,1:55.0,,D. Valentine misses 3-pt jump shot from 25 ft,26,24
76,1,1:53.0,Defensive rebound by S. Ibaka,,26,24
77,1,1:37.0,Turnover by S. Ibaka (lost ball; steal by T. Young),,26,24
78,1,1:32.0,,Z. LaVine misses 3-pt jump shot from 25 ft,26,24
79,1,1:28.0,Defensive rebound by S. Ibaka,,26,24
80,1,1:19.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by P. Siakam),,28,24
81,1,1:04.0,,Shooting foul by T. Davis (drawn by Z. LaVine),28,24
82,1,1:04.0,,Z. LaVine makes free throw 1 of 2,28,25
83,1,1:04.0,,D. Gafford enters the game for W. Carter,28,25
84,1,1:04.0,,Z. LaVine makes free throw 2 of 2,28,26
85,1,0:44.0,R. Hollis-Jefferson misses 2-pt jump shot from 9 ft,,28,26
86,1,0:41.0,,Defensive rebound by C. White,28,26
87,1,0:27.0,,Z. LaVine makes 3-pt jump shot from 23 ft,28,29
88,1,0:05.0,P. Siakam misses 2-pt jump shot from 21 ft,,28,29
89,1,0:02.0,Offensive rebound by S. Ibaka,,28,29
90,1,0:02.0,S. Ibaka makes 2-pt layup from 1 ft,,30,29
91,1,0:00.0,,Shooting foul by R. Hollis-Jefferson (drawn by Z. LaVine),30,29
92,1,0:00.0,,Instant Replay (Request: Ruling Stands),30,29
93,1,0:00.0,,Z. LaVine misses free throw 1 of 3,30,29
94,1,0:00.0,,Offensive rebound by Team,30,29
95,1,0:00.0,,Z. LaVine misses free throw 2 of 3,30,29
96,1,0:00.0,,Offensive rebound by Team,30,29
97,1,0:00.0,,Z. LaVine makes free throw 3 of 3,30,30
98,1,0:00.0,M. Gasol enters the game for T. Davis,,30,30
99,1,0:00.0,R. Hollis-Jefferson misses 3-pt jump shot from 53 ft,,30,30
100,1,0:00.0,Offensive rebound by Team,,30,30
101,2,11:47.0,K. Lowry misses 2-pt jump shot from 19 ft,,30,30
102,2,11:43.0,,Defensive rebound by D. Gafford,30,30
103,2,11:23.0,,D. Gafford makes 2-pt dunk from 1 ft (assist by T. Young),30,32
104,2,11:00.0,T. Davis misses 3-pt jump shot from 24 ft,,30,32
105,2,10:59.0,Offensive rebound by Team,,30,32
106,2,10:55.0,K. Lowry misses 3-pt jump shot from 23 ft,,30,32
107,2,10:51.0,,Defensive rebound by C. White,30,32
108,2,10:47.0,,C. White misses 3-pt jump shot from 24 ft,30,32
109,2,10:44.0,Defensive rebound by S. Ibaka,,30,32
110,2,10:39.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by K. Lowry),,32,32
111,2,10:28.0,,Chicago full timeout,32,32
112,2,10:28.0,,L. Markkanen enters the game for D. Gafford,32,32
113,2,10:15.0,,R. Arcidiacono misses 2-pt jump shot from 7 ft (block by M. Miller),32,32
114,2,10:12.0,Defensive rebound by S. Ibaka,,32,32
115,2,10:06.0,Turnover by S. Ibaka (lost ball; steal by L. Markkanen),,32,32
116,2,9:59.0,,C. White misses 3-pt jump shot from 26 ft,32,32
117,2,9:56.0,Defensive rebound by M. Miller,,32,32
118,2,9:45.0,S. Ibaka misses 2-pt layup from 2 ft,,32,32
119,2,9:43.0,Offensive rebound by S. Ibaka,,32,32
120,2,9:43.0,S. Ibaka misses 2-pt layup from 1 ft,,32,32
121,2,9:42.0,Offensive rebound by S. Ibaka,,32,32
122,2,9:42.0,S. Ibaka makes 2-pt layup from 1 ft,,34,32
123,2,9:35.0,,Personal foul by M. Miller (drawn by R. Arcidiacono),34,32
124,2,9:27.0,,T. Young misses 3-pt jump shot from 26 ft,34,32
125,2,9:24.0,Defensive rebound by S. Ibaka,,34,32
126,2,9:14.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft,,36,32
127,2,9:01.0,,R. Arcidiacono misses 3-pt jump shot from 26 ft,36,32
128,2,8:58.0,Defensive rebound by K. Lowry,,36,32
129,2,8:55.0,M. Miller misses 2-pt layup from 6 ft,,36,32
130,2,8:53.0,,Defensive rebound by C. White,36,32
131,2,8:46.0,,D. Valentine misses 3-pt jump shot from 27 ft,36,32
132,2,8:44.0,Defensive rebound by S. Ibaka,,36,32
133,2,8:40.0,S. Ibaka misses 2-pt jump shot from 2 ft,,36,32
134,2,8:37.0,,Defensive rebound by L. Markkanen,36,32
135,2,8:32.0,,R. Arcidiacono misses 3-pt jump shot from 22 ft,36,32
136,2,8:28.0,Defensive rebound by M. Miller,,36,32
137,2,8:22.0,Shooting foul by C. White (drawn by M. Miller),,36,32
138,2,8:22.0,M. Miller misses free throw 1 of 2,,36,32
139,2,8:22.0,Offensive rebound by Team,,36,32
140,2,8:22.0,C. Boucher enters the game for R. Hollis-Jefferson,,36,32
141,2,8:22.0,,K. Dunn enters the game for R. Arcidiacono,36,32
142,2,8:22.0,,T. Satoranský enters the game for D. Valentine,36,32
143,2,8:22.0,M. Miller misses free throw 2 of 2,,36,32
144,2,8:19.0,,Defensive rebound by C. White,36,32
145,2,8:12.0,,Shooting foul by C. Boucher (drawn by L. Markkanen),36,32
146,2,8:12.0,,L. Markkanen makes free throw 1 of 2,36,33
147,2,8:12.0,R. Hollis-Jefferson enters the game for M. Miller,,36,33
148,2,8:12.0,,L. Markkanen misses free throw 2 of 2,36,33
149,2,8:10.0,Defensive rebound by R. Hollis-Jefferson,,36,33
150,2,7:51.0,Turnover by K. Lowry (step out of bounds),,36,33
151,2,7:41.0,,L. Markkanen makes 3-pt jump shot from 26 ft (assist by T. Satoranský),36,36
152,2,7:26.0,R. Hollis-Jefferson misses 2-pt layup from 4 ft,,36,36
153,2,7:23.0,,Defensive rebound by C. White,36,36
154,2,7:17.0,,K. Dunn misses 3-pt jump shot from 23 ft,36,36
155,2,7:16.0,,Offensive rebound by L. Markkanen,36,36
156,2,7:13.0,,T. Satoranský misses 3-pt jump shot from 25 ft,36,36
157,2,7:08.0,Defensive rebound by S. Ibaka,,36,36
158,2,7:08.0,O. Anunoby enters the game for T. Davis,,36,36
159,2,7:08.0,M. Gasol enters the game for S. Ibaka,,36,36
160,2,7:08.0,,W. Carter enters the game for T. Young,36,36
161,2,6:55.0,M. Gasol makes 2-pt jump shot from 7 ft (assist by O. Anunoby),,38,36
162,2,6:43.0,,Turnover by C. White (bad pass; steal by R. Hollis-Jefferson),38,36
163,2,6:36.0,K. Lowry misses 3-pt jump shot from 26 ft,,38,36
164,2,6:32.0,Offensive rebound by C. Boucher,,38,36
165,2,6:32.0,C. Boucher misses 2-pt layup from 1 ft,,38,36
166,2,6:32.0,,Defensive rebound by W. Carter,38,36
167,2,6:25.0,,K. Dunn misses 2-pt jump shot from 12 ft,38,36
