,QUARTER,TIME_REMAINING,INDIANA_ACTION,ORLANDO_ACTION,INDIANA_SCORE,ORLANDO_SCORE
0,1,11:48.0,,M. Fultz makes 2-pt layup from 4 ft,0,2
1,1,11:28.0,D. Sabonis misses 2-pt hook shot from 7 ft,,0,2
2,1,11:26.0,,Defensive rebound by J. Isaac,0,2
3,1,11:18.0,,J. Isaac misses 2-pt layup from 2 ft,0,2
4,1,11:18.0,Defensive rebound by Team,,0,2
5,1,11:06.0,T. Warren makes 2-pt jump shot from 11 ft (assist by M. Brogdon),,2,2
6,1,10:53.0,,Personal foul by T. Warren (drawn by M. Fultz),2,2
7,1,10:45.0,,N. Vučević misses 3-pt jump shot from 27 ft,2,2
8,1,10:42.0,Defensive rebound by D. Sabonis,,2,2
9,1,10:33.0,M. Brogdon makes 2-pt jump shot from 23 ft,,4,2
10,1,10:17.0,,J. Isaac makes 2-pt layup from 2 ft (assist by N. Vučević),4,4
11,1,10:02.0,A. Holiday makes 3-pt jump shot from 23 ft (assist by M. Brogdon),,7,4
12,1,9:47.0,,E. Fournier makes 3-pt jump shot from 25 ft,7,7
13,1,9:32.0,A. Holiday misses 2-pt jump shot from 13 ft,,7,7
14,1,9:29.0,,Defensive rebound by N. Vučević,7,7
15,1,9:19.0,,E. Fournier misses 2-pt jump shot from 12 ft,7,7
16,1,9:16.0,Defensive rebound by M. Brogdon,,7,7
17,1,9:08.0,M. Brogdon makes 2-pt jump shot from 18 ft,,9,7
18,1,8:54.0,,J. Isaac makes 3-pt jump shot from 23 ft (assist by A. Gordon),9,10
19,1,8:41.0,T. Warren makes 2-pt jump shot from 12 ft (assist by A. Holiday),,11,10
20,1,8:32.0,,M. Fultz makes 2-pt layup from 3 ft,11,12
21,1,8:18.0,M. Brogdon makes 2-pt jump shot from 16 ft,,13,12
22,1,7:57.0,,J. Isaac misses 2-pt jump shot from 16 ft,13,12
23,1,7:53.0,Defensive rebound by T. Warren,,13,12
24,1,7:45.0,D. Sabonis makes 2-pt jump shot from 20 ft (assist by M. Brogdon),,15,12
25,1,7:26.0,,E. Fournier makes 2-pt jump shot from 21 ft (assist by N. Vučević),15,14
26,1,7:06.0,D. Sabonis misses 2-pt hook shot from 9 ft,,15,14
27,1,7:02.0,,Defensive rebound by N. Vučević,15,14
28,1,6:53.0,,A. Gordon makes 2-pt jump shot from 11 ft (assist by E. Fournier),15,16
29,1,6:35.0,T. Warren misses 2-pt jump shot from 2 ft (block by J. Isaac),,15,16
30,1,6:31.0,,Defensive rebound by M. Fultz,15,16
31,1,6:28.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by M. Fultz),15,19
32,1,6:21.0,Indiana full timeout,,15,19
33,1,6:05.0,D. Sabonis makes 2-pt hook shot from 5 ft,,17,19
34,1,5:49.0,,Turnover by N. Vučević (bad pass; steal by D. Sabonis),17,19
35,1,5:44.0,A. Holiday misses 3-pt jump shot from 26 ft,,17,19
36,1,5:41.0,,Defensive rebound by N. Vučević,17,19
37,1,5:30.0,,M. Fultz misses 2-pt layup from 2 ft,17,19
38,1,5:24.0,,Offensive rebound by N. Vučević,17,19
39,1,5:24.0,,N. Vučević misses 2-pt layup at rim,17,19
40,1,5:21.0,,Offensive rebound by N. Vučević,17,19
41,1,5:21.0,,N. Vučević makes 2-pt layup at rim,17,21
42,1,5:17.0,T. Warren misses 2-pt jump shot from 9 ft,,17,21
43,1,5:12.0,,Defensive rebound by N. Vučević,17,21
44,1,5:12.0,,M. Carter-Williams enters the game for A. Gordon,17,21
45,1,4:54.0,,Turnover by N. Vučević (lost ball; steal by T. Warren),17,21
46,1,4:47.0,A. Holiday makes 3-pt jump shot from 25 ft (assist by D. Sabonis),,20,21
47,1,4:27.0,,N. Vučević makes 3-pt jump shot from 25 ft (assist by E. Fournier),20,24
48,1,4:12.0,M. Brogdon misses 2-pt hook shot from 5 ft,,20,24
49,1,4:09.0,,Defensive rebound by N. Vučević,20,24
50,1,4:08.0,,Personal foul by A. Holiday (drawn by J. Isaac),20,24
51,1,4:08.0,J. Holiday enters the game for M. Brogdon,,20,24
52,1,4:08.0,T. McConnell enters the game for A. Holiday,,20,24
53,1,4:08.0,D. McDermott enters the game for T. Warren,,20,24
54,1,4:08.0,,D. Augustin enters the game for E. Fournier,20,24
55,1,4:08.0,,T. Ross enters the game for M. Fultz,20,24
56,1,4:01.0,,M. Carter-Williams misses 3-pt jump shot from 24 ft,20,24
57,1,3:57.0,Defensive rebound by D. Sabonis,,20,24
58,1,3:47.0,D. Sabonis misses 2-pt jump shot from 5 ft (block by N. Vučević),,20,24
59,1,3:44.0,,Defensive rebound by N. Vučević,20,24
60,1,3:40.0,,Turnover by M. Carter-Williams (bad pass; steal by J. Holiday),20,24
61,1,3:23.0,D. Sabonis misses 2-pt hook shot from 2 ft,,20,24
62,1,3:21.0,,Defensive rebound by N. Vučević,20,24
63,1,3:14.0,,D. Augustin makes 2-pt layup from 3 ft,20,26
64,1,2:57.0,D. McDermott makes 3-pt jump shot from 26 ft (assist by D. Sabonis),,23,26
65,1,2:39.0,,N. Vučević misses 2-pt jump shot from 11 ft,23,26
66,1,2:37.0,Defensive rebound by D. McDermott,,23,26
67,1,2:29.0,D. Sabonis misses 3-pt jump shot from 25 ft,,23,26
68,1,2:27.0,,Defensive rebound by J. Isaac,23,26
69,1,2:24.0,,Orlando full timeout,23,26
70,1,2:24.0,T. Leaf enters the game for D. Sabonis,,23,26
71,1,2:24.0,T. Warren enters the game for J. Sampson,,23,26
72,1,2:24.0,,M. Bamba enters the game for J. Isaac,23,26
73,1,2:24.0,,A. Gordon enters the game for N. Vučević,23,26
74,1,2:17.0,,T. Ross makes 2-pt jump shot from 19 ft (assist by D. Augustin),23,28
75,1,2:04.0,T. Warren makes 2-pt layup from 2 ft (assist by T. McConnell),,25,28
76,1,1:44.0,,D. Augustin misses 2-pt layup from 3 ft,25,28
77,1,1:36.0,,Offensive rebound by M. Carter-Williams,25,28
78,1,1:36.0,,M. Carter-Williams misses 2-pt layup at rim,25,28
79,1,1:36.0,Defensive rebound by T. Leaf,,25,28
80,1,1:31.0,T. Leaf makes 2-pt hook shot from 1 ft (assist by J. Holiday),,27,28
81,1,1:12.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by D. Augustin),27,31
82,1,0:46.0,T. Leaf misses 2-pt layup from 1 ft,,27,31
83,1,0:43.0,Offensive rebound by D. McDermott,,27,31
84,1,0:42.0,D. McDermott misses 2-pt layup from 10 ft (block by M. Bamba),,27,31
85,1,0:42.0,Offensive rebound by D. McDermott,,27,31
86,1,0:34.0,Turnover by J. Holiday (lost ball; steal by M. Bamba),,27,31
87,1,0:30.0,,D. Augustin misses 2-pt layup from 2 ft (block by T. McConnell),27,31
88,1,0:30.0,,Offensive rebound by Team,27,31
89,1,0:29.0,,A. Gordon makes 2-pt layup from 2 ft (assist by M. Carter-Williams),27,33
90,1,0:16.0,T. McConnell makes 2-pt layup from 3 ft,,29,33
