,QUARTER,TIME_REMAINING,CHICAGO_ACTION,CLEVELAND_ACTION,CHICAGO_SCORE,CLEVELAND_SCORE
0,1,11:42.0,T. Young makes 2-pt layup from 1 ft (assist by K. Dunn),,2,0
1,1,11:26.0,,C. Osman misses 2-pt layup from 1 ft,2,0
2,1,11:24.0,,Offensive rebound by T. Thompson,2,0
3,1,11:24.0,,T. Thompson misses 2-pt layup from 1 ft,2,0
4,1,11:24.0,,Offensive rebound by T. Thompson,2,0
5,1,11:24.0,,T. Thompson misses 2-pt layup from 1 ft,2,0
6,1,11:24.0,Defensive rebound by Team,,2,0
7,1,11:12.0,T. Young misses 3-pt jump shot from 24 ft,,2,0
8,1,11:09.0,,Defensive rebound by K. Love,2,0
9,1,11:02.0,,K. Love misses 3-pt jump shot from 25 ft,2,0
10,1,11:00.0,Defensive rebound by K. Dunn,,2,0
11,1,10:52.0,T. Young misses 3-pt jump shot from 23 ft,,2,0
12,1,10:49.0,,Defensive rebound by C. Sexton,2,0
13,1,10:38.0,,Cleveland full timeout,2,0
14,1,10:28.0,,D. Garland misses 2-pt jump shot from 16 ft,2,0
15,1,10:26.0,Defensive rebound by Z. LaVine,,2,0
16,1,10:19.0,Z. LaVine makes 2-pt layup from 3 ft,,4,0
17,1,10:06.0,,C. Sexton misses 2-pt jump shot from 3 ft,4,0
18,1,10:05.0,,Offensive rebound by K. Love,4,0
19,1,10:00.0,,C. Sexton makes 3-pt jump shot from 24 ft (assist by K. Love),4,3
20,1,9:49.0,Z. LaVine misses 2-pt layup from 1 ft,,4,3
21,1,9:47.0,Offensive rebound by Z. LaVine,,4,3
22,1,9:46.0,Z. LaVine makes 2-pt layup from 1 ft,,6,3
23,1,9:40.0,,Turnover by K. Love (bad pass; steal by T. Young),6,3
24,1,9:32.0,T. Satoranský misses 2-pt layup from 1 ft,,6,3
25,1,9:30.0,,Defensive rebound by T. Thompson,6,3
26,1,9:12.0,,K. Love makes 2-pt jump shot from 12 ft,6,5
27,1,8:49.0,T. Satoranský makes 3-pt jump shot from 25 ft (assist by K. Dunn),,9,5
28,1,8:32.0,,D. Garland misses 2-pt jump shot from 19 ft,9,5
29,1,8:29.0,Defensive rebound by Z. LaVine,,9,5
30,1,8:26.0,Z. LaVine misses 3-pt jump shot from 25 ft,,9,5
31,1,8:24.0,,Defensive rebound by C. Sexton,9,5
32,1,8:19.0,,C. Sexton makes 2-pt layup from 1 ft,9,7
33,1,8:11.0,K. Dunn makes 2-pt layup from 1 ft (assist by Z. LaVine),,11,7
34,1,7:53.0,,K. Love misses 2-pt jump shot from 13 ft,11,7
35,1,7:50.0,Defensive rebound by Z. LaVine,,11,7
36,1,7:43.0,K. Dunn misses 3-pt jump shot from 26 ft,,11,7
37,1,7:40.0,,Defensive rebound by T. Thompson,11,7
