,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MEMPHIS_ACTION,HOUSTON_SCORE,MEMPHIS_SCORE
0,1,11:35.0,,J. Jackson misses 2-pt jump shot from 12 ft (block by J. Harden),0,0
1,1,11:31.0,Defensive rebound by C. Capela,,0,0
2,1,11:29.0,B. McLemore misses 3-pt jump shot from 25 ft,,0,0
3,1,11:26.0,,Defensive rebound by K. Anderson,0,0
4,1,11:23.0,,Shooting foul by P. Tucker (drawn by J. Morant),0,0
5,1,11:23.0,,J. Morant makes free throw 1 of 2,0,1
6,1,11:23.0,,J. Morant makes free throw 2 of 2,0,2
7,1,11:09.0,J. Harden makes 2-pt jump shot from 16 ft (assist by C. Capela),,2,2
8,1,10:44.0,,J. Morant makes 2-pt layup from 2 ft,2,4
9,1,10:31.0,C. Capela misses 2-pt layup from 1 ft (block by J. Valančiūnas),,2,4
10,1,10:28.0,,Defensive rebound by D. Brooks,2,4
11,1,10:25.0,,J. Jackson misses 3-pt jump shot from 27 ft,2,4
12,1,10:22.0,Defensive rebound by C. Capela,,2,4
13,1,10:14.0,C. Capela makes 2-pt hook shot from 9 ft (assist by A. Rivers),,4,4
14,1,10:00.0,,K. Anderson misses 3-pt jump shot from 26 ft,4,4
15,1,9:58.0,Defensive rebound by J. Harden,,4,4
16,1,9:51.0,Shooting foul by K. Anderson (drawn by J. Harden),,4,4
17,1,9:51.0,J. Harden makes free throw 1 of 3,,5,4
18,1,9:51.0,J. Harden makes free throw 2 of 3,,6,4
19,1,9:51.0,J. Harden makes free throw 3 of 3,,7,4
20,1,9:34.0,,J. Jackson misses 2-pt jump shot from 7 ft,7,4
21,1,9:30.0,Defensive rebound by C. Capela,,7,4
22,1,9:22.0,Shooting foul by D. Brooks (drawn by C. Capela),,7,4
23,1,9:22.0,C. Capela makes free throw 1 of 2,,8,4
24,1,9:22.0,C. Capela makes free throw 2 of 2,,9,4
25,1,9:12.0,,J. Morant makes 2-pt layup from 1 ft (assist by J. Valančiūnas),9,6
26,1,8:55.0,J. Harden makes 3-pt jump shot from 26 ft,,12,6
27,1,8:39.0,,J. Valančiūnas makes 2-pt jump shot from 6 ft,12,8
28,1,8:25.0,A. Rivers makes 2-pt jump shot from 8 ft,,14,8
29,1,8:19.0,,D. Brooks misses 3-pt jump shot from 25 ft,14,8
30,1,8:18.0,Defensive rebound by C. Capela,,14,8
31,1,8:13.0,Personal foul by D. Brooks (drawn by P. Tucker),,14,8
32,1,8:13.0,,D. Melton enters the game for D. Brooks,14,8
33,1,8:13.0,,Violation by Team (delay of game),14,8
34,1,8:05.0,J. Harden makes 3-pt jump shot from 26 ft,,17,8
35,1,8:01.0,,Memphis full timeout,17,8
36,1,7:47.0,,J. Valančiūnas misses 2-pt jump shot from 11 ft,17,8
37,1,7:45.0,Defensive rebound by C. Capela,,17,8
38,1,7:35.0,J. Harden misses 2-pt jump shot from 3 ft,,17,8
39,1,7:32.0,Offensive rebound by C. Capela,,17,8
40,1,7:32.0,C. Capela makes 2-pt layup from 1 ft,,19,8
41,1,7:21.0,,J. Morant makes 2-pt jump shot from 6 ft,19,10
42,1,6:57.0,J. Harden misses 3-pt jump shot from 23 ft,,19,10
43,1,6:56.0,,Defensive rebound by J. Valančiūnas,19,10
44,1,6:45.0,,J. Morant makes 3-pt jump shot from 26 ft,19,13
45,1,6:32.0,Shooting foul by J. Morant (drawn by A. Rivers),,19,13
46,1,6:32.0,A. Rivers makes free throw 1 of 2,,20,13
47,1,6:32.0,D. House enters the game for B. McLemore,,20,13
48,1,6:32.0,,B. Clarke enters the game for J. Jackson,20,13
49,1,6:32.0,A. Rivers misses free throw 2 of 2,,20,13
50,1,6:29.0,,Defensive rebound by B. Clarke,20,13
51,1,6:17.0,,D. Melton makes 3-pt jump shot from 26 ft (assist by J. Morant),20,16
52,1,6:06.0,J. Harden makes 2-pt jump shot from 6 ft,,22,16
53,1,5:50.0,,Personal foul by D. House (drawn by J. Morant),22,16
54,1,5:50.0,E. Gordon enters the game for A. Rivers,,22,16
55,1,5:50.0,,G. Allen enters the game for K. Anderson,22,16
56,1,5:50.0,,T. Jones enters the game for J. Morant,22,16
57,1,5:39.0,,D. Melton makes 2-pt jump shot from 22 ft (assist by G. Allen),22,18
58,1,5:27.0,E. Gordon misses 3-pt jump shot from 25 ft,,22,18
59,1,5:24.0,,Defensive rebound by B. Clarke,22,18
60,1,5:12.0,,J. Valančiūnas makes 2-pt layup from 1 ft (assist by B. Clarke),22,20
